context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I won't take the entrance exam. I know exactly what I want to do.
context: happily ever after!\It doesn't dry.\As for me, could a prince's kiss\return me to the original size?\How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince? response:	Well, I don't have any particular person in mind...
context: It doesn't dry.\As for me, could a prince's kiss\return me to the original size?\How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind... response:	Is it Takagi? Takagi Riku?
context: As for me, could a prince's kiss\return me to the original size?\How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku? response:	- He confessed to you, didn't he? - Eh?
context: return me to the original size?\How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh? response:	Well, I understand how you got carried away being confessed to.
context: How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to. response:	But, don't you have to think of a more realistic way of returning to the original size?
context: Yeah, right.\First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size? response:	I am not getting carried away. I'm seriously thinking...
context: First of all, do you have the qualities to be called a princess?\So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking... response:	Nooo!
context: So, who is the prince?\Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo! response:	- Don't look at me. Look away! - Ouch!
context: Well, I don't have any particular person in mind...\Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch! response:	Minami Kun No Koibito
context: Is it Takagi? Takagi Riku?\- He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito response:	My Little Lover - Minami Kun No Koibito
context: - He confessed to you, didn't he? - Eh?\Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudes N
context: Well, I understand how you got carried away being confessed to.\But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N response:	N But, I will tell you an amazing story N
context: But, don't you have to think of a more realistic way of returning to the original size?\I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N response:	N It is not a small story that will fit in a pocket N
context: I am not getting carried away. I'm seriously thinking...\Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N response:	N God played a trick N
context: Nooo!\- Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: - Don't look at me. Look away! - Ouch!\Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Minami Kun No Koibito\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N But if it is a world I create with you, it's okay N
context: N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N It is not a small story that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N N We can smile forever N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N response:	N Let's imagine a story with a happy ending N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N response:	I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo. response:	- Old pictures, right? - Yes.
context: N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes. response:	It is still April, and I know it is too soon.
context: N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon. response:	We decided to put our pictures from childhood in the yearbook.
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook. response:	I found it. Here you go.
context: N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go. response:	I know she should choose them by herself, but tomorrow is the due date.
context: N It is like a sequel to the fairy tale N N We can smile forever N\N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date. response:	I am sorry. She doesn't even pick up a phone.
context: N Let's imagine a story with a happy ending N\I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone. response:	Hey, come here a bit.
context: I'm sorry I'm causing you trouble because Minami suddenly went to Tokyo.\- Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit. response:	Okay, I'm coming.
context: - Old pictures, right? - Yes.\It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming. response:	Okay then. I'll choose them for her.
context: It is still April, and I know it is too soon.\We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her. response:	Thank you. Our shop is busy at this time of day.
context: We decided to put our pictures from childhood in the yearbook.\I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day. response:	- Did you find it? - Yeah.
context: I found it. Here you go.\I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah. response:	- Is this it? - Yeah, that's it.
context: I know she should choose them by herself, but tomorrow is the due date.\I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it. response:	Wow, this is good. I can wear decent clothes now.
context: I am sorry. She doesn't even pick up a phone.\Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now. response:	Onii-chan (big bro)!
context: Hey, come here a bit.\Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)! response:	Onii-chan!
context: Okay, I'm coming.\Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan! response:	Oh, no!
context: Okay then. I'll choose them for her.\Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan!\Oh, no! response:	I'm so glad you came.
context: Thank you. Our shop is busy at this time of day.\- Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan!\Oh, no!\I'm so glad you came. response:	What's wrong?
context: - Did you find it? - Yeah.\- Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan!\Oh, no!\I'm so glad you came.\What's wrong? response:	Eh? Well, it's a drag.
context: - Is this it? - Yeah, that's it.\Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan!\Oh, no!\I'm so glad you came.\What's wrong?\Eh? Well, it's a drag. response:	I was choosing pictures for the yearbook.
context: Wow, this is good. I can wear decent clothes now.\Onii-chan (big bro)!\Onii-chan!\Oh, no!\I'm so glad you came.\What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook. response:	It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.
context: Onii-chan (big bro)!\Onii-chan!\Oh, no!\I'm so glad you came.\What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same. response:	See? They are all the same.
context: Onii-chan!\Oh, no!\I'm so glad you came.\What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same. response:	You are right.
context: Oh, no!\I'm so glad you came.\What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right. response:	She looks happy.
context: I'm so glad you came.\What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right.\She looks happy. response:	Next day
context: What's wrong?\Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right.\She looks happy.\Next day response:	Go ahead.
context: Eh? Well, it's a drag.\I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right.\She looks happy.\Next day\Go ahead. response:	I feel comfortable.
context: I was choosing pictures for the yearbook.\It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right.\She looks happy.\Next day\Go ahead.\I feel comfortable. response:	Chiba Prefectural Tateyama No.1 High School
context: It doesn't matter which picture you choose. Onee-chan (big sis) always looks the same.\See? They are all the same.\You are right.\She looks happy.\Next day\Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School response:	Sei Shonagon and Murasaki Shikibu are
context: See? They are all the same.\You are right.\She looks happy.\Next day\Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are response:	said to be the two great female writers in the Heian period (794 to 1185).
context: You are right.\She looks happy.\Next day\Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185). response:	And they had written very famous books.
context: She looks happy.\Next day\Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books. response:	Murasaki Shikibu wrote Tales of Genji.
context: Next day\Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji. response:	I didn't think I could come to school again.
context: Go ahead.\I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again. response:	Sei Shonagon hadn't written anything
context: I feel comfortable.\Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything response:	about Murasaki Shikibu.
context: Chiba Prefectural Tateyama No.1 High School\Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu. response:	Murasaki Shikibu badly criticized Sei Shonagon
context: Sei Shonagon and Murasaki Shikibu are\said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon response:	in her book, The Diary of Lady Murasaki.
context: said to be the two great female writers in the Heian period (794 to 1185).\And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki. response:	That tells us what kind of writers they were.
context: And they had written very famous books.\Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were. response:	Things go along as usual without me.
context: Murasaki Shikibu wrote Tales of Genji.\I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me. response:	Okay, this is it for today.
context: I didn't think I could come to school again.\Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today. response:	- Let's go eat pancakes. - pancakes? Okay.
context: Sei Shonagon hadn't written anything\about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay. response:	- How about this? - I want more normal clothes.
context: about Murasaki Shikibu.\Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes. response:	Normal clothes...
context: Murasaki Shikibu badly criticized Sei Shonagon\in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes... response:	I don't know too much about women's clothes.
context: in her book, The Diary of Lady Murasaki.\That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes. response:	Then...
context: That tells us what kind of writers they were.\Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes.\Then... response:	- How about this? - It's not cute.
context: Things go along as usual without me.\Okay, this is it for today.\- Let's go eat pancakes. - pancakes? Okay.\- How about this? - I want more normal clothes.\Normal clothes...\I don't know too much about women's clothes.\Then...\- How about this? - It's not cute. response:	- How about this? - Weird.
