context: You made it to Class A, Taichi. response:	I was playing a third-year from Fujisaki.
context: Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi.\Congratulations!\Chihaya Furu\Verse 24\When I must hide...\Congratulations! response:	Stop crying, Chihaya. Stand up.
context: You did it...\You did it, Taichi.\Congratulations!\Chihaya Furu\Verse 24\When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up. response:	We need to get going before their match ends!
context: You did it, Taichi.\Congratulations!\Chihaya Furu\Verse 24\When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends! response:	Come on...
context: Congratulations!\Chihaya Furu\Verse 24\When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on... response:	Stupid, stand still.
context: Chihaya Furu\Verse 24\When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on...\Stupid, stand still. response:	Taichi's Class A now.
context: Verse 24\When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on...\Stupid, stand still.\Taichi's Class A now. response:	That means...
context: When I must hide...\Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on...\Stupid, stand still.\Taichi's Class A now.\That means... response:	he's a rival!
context: Congratulations!\Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on...\Stupid, stand still.\Taichi's Class A now.\That means...\he's a rival! response:	Y-You can go on.
context: Stop crying, Chihaya. Stand up.\We need to get going before their match ends!\Come on...\Stupid, stand still.\Taichi's Class A now.\That means...\he's a rival!\Y-You can go on. response:	We'll stay to cheer for Desktomu-kun.
context: We need to get going before their match ends!\Come on...\Stupid, stand still.\Taichi's Class A now.\That means...\he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun. response:	No, I'm the captain.
context: Come on...\Stupid, stand still.\Taichi's Class A now.\That means...\he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain. response:	I have to support Mizusawa
context: Stupid, stand still.\Taichi's Class A now.\That means...\he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa response:	Thanks.
context: Taichi's Class A now.\That means...\he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa\Thanks. response:	Let's go, Chihaya.
context: That means...\he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa\Thanks.\Let's go, Chihaya. response:	Hanano-san.
context: he's a rival!\Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa\Thanks.\Let's go, Chihaya.\Hanano-san. response:	When I must hide is a beautiful poem, isn't it?
context: Y-You can go on.\We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa\Thanks.\Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it? response:	Huh? What poem is that?
context: We'll stay to cheer for Desktomu-kun.\No, I'm the captain.\I have to support Mizusawa\Thanks.\Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that? response:	Oh, they're starting. Be quiet.
context: No, I'm the captain.\I have to support Mizusawa\Thanks.\Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet. response:	Oe-senpai is so strange.
context: I have to support Mizusawa\Thanks.\Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange. response:	She brings out poems like they're candy or remedies.
context: Thanks.\Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies. response:	When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort
context: Let's go, Chihaya.\Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort response:	You know nothing about
context: Hanano-san.\When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about response:	these feelings of mine that burn as if on fire.
context: When I must hide is a beautiful poem, isn't it?\Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire. response:	Got it! Yeah!
context: Huh? What poem is that?\Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah! response:	Huh?
context: Oh, they're starting. Be quiet.\Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh? response:	Yes! One more card!
context: Oe-senpai is so strange.\She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh?\Yes! One more card! response:	What?!
context: She brings out poems like they're candy or remedies.\When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh?\Yes! One more card!\What?! response:	Tsukuba made it to the Class D finals?!
context: When I must hide these burning feelings, I feel as though my body is on fire with Ibuki mugwort\You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh?\Yes! One more card!\What?!\Tsukuba made it to the Class D finals?! response:	Only person who noticed
context: You know nothing about\these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh?\Yes! One more card!\What?!\Tsukuba made it to the Class D finals?!\Only person who noticed response:	I had no idea!
context: these feelings of mine that burn as if on fire.\Got it! Yeah!\Huh?\Yes! One more card!\What?!\Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea! response:	When I must hide these burning feelings,
context: Got it! Yeah!\Huh?\Yes! One more card!\What?!\Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea!\When I must hide these burning feelings, response:	I feel as though my body is on fire with Ibuki mugwort
context: Huh?\Yes! One more card!\What?!\Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort response:	We didn't have many empty cards
context: Yes! One more card!\What?!\Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards response:	in our match on the first floor,
context: What?!\Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor, response:	so the second floor should still be going.
context: Tsukuba made it to the Class D finals?!\Only person who noticed\I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going. response:	I hope we can get into the Urayasu room.
context: Only person who noticed\I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room. response:	What's wrong, Chihaya?
context: I had no idea!\When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya? response:	I'm going back downstairs to cheer for Desktomu-kun.
context: When I must hide these burning feelings,\I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun. response:	Huh? What are you talking about?
context: I feel as though my body is on fire with Ibuki mugwort\We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about? response:	The Queen and Arata are playing!
context: We didn't have many empty cards\in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing! response:	Don't you want to watch their match?!
context: in our match on the first floor,\so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?! response:	Chihaya...
context: so the second floor should still be going.\I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya... response:	Why?
context: I hope we can get into the Urayasu room.\What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya...\Why? response:	I wanted to watch their match so badly.
context: What's wrong, Chihaya?\I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya...\Why?\I wanted to watch their match so badly. response:	Why?
context: I'm going back downstairs to cheer for Desktomu-kun.\Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya...\Why?\I wanted to watch their match so badly.\Why? response:	I'm scared.
context: Huh? What are you talking about?\The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya...\Why?\I wanted to watch their match so badly.\Why?\I'm scared. response:	Oh, sorry.
context: The Queen and Arata are playing!\Don't you want to watch their match?!\Chihaya...\Why?\I wanted to watch their match so badly.\Why?\I'm scared.\Oh, sorry. response:	There's no room inside with all the people watching the Class A final.
context: Don't you want to watch their match?!\Chihaya...\Why?\I wanted to watch their match so badly.\Why?\I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final. response:	Oh, really...
context: Chihaya...\Why?\I wanted to watch their match so badly.\Why?\I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really... response:	Mr. Kuriyama,
context: Why?\I wanted to watch their match so badly.\Why?\I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama, response:	is there really no room inside?
context: I wanted to watch their match so badly.\Why?\I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama,\is there really no room inside? response:	Midori-chan.
context: Why?\I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama,\is there really no room inside?\Midori-chan. response:	Can you squeeze us in?
context: I'm scared.\Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama,\is there really no room inside?\Midori-chan.\Can you squeeze us in? response:	Oh, hold on.
context: Oh, sorry.\There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama,\is there really no room inside?\Midori-chan.\Can you squeeze us in?\Oh, hold on. response:	You two, come with us.
context: There's no room inside with all the people watching the Class A final.\Oh, really...\Mr. Kuriyama,\is there really no room inside?\Midori-chan.\Can you squeeze us in?\Oh, hold on.\You two, come with us. response:	What? You don't want to watch the match?
context: Oh, really...\Mr. Kuriyama,\is there really no room inside?\Midori-chan.\Can you squeeze us in?\Oh, hold on.\You two, come with us.\What? You don't want to watch the match? response:	U-Um...
context: Mr. Kuriyama,\is there really no room inside?\Midori-chan.\Can you squeeze us in?\Oh, hold on.\You two, come with us.\What? You don't want to watch the match?\U-Um... response:	If you've chosen to take this path,
context: is there really no room inside?\Midori-chan.\Can you squeeze us in?\Oh, hold on.\You two, come with us.\What? You don't want to watch the match?\U-Um...\If you've chosen to take this path, response:	there isn't anything you're better off not knowing.
context: Midori-chan.\Can you squeeze us in?\Oh, hold on.\You two, come with us.\What? You don't want to watch the match?\U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing. response:	Midori-chan, there's no room in the back,
context: Can you squeeze us in?\Oh, hold on.\You two, come with us.\What? You don't want to watch the match?\U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back, response:	so you'll have to go in from the side.
context: Oh, hold on.\You two, come with us.\What? You don't want to watch the match?\U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side. response:	Thank you very much.
context: You two, come with us.\What? You don't want to watch the match?\U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much. response:	banish any lingering memories of the past
context: What? You don't want to watch the match?\U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past response:	Take a seat. Don't make any noise.
context: U-Um...\If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise. response:	Okay.
context: If you've chosen to take this path,\there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay. response:	There's no water here.
context: there isn't anything you're better off not knowing.\Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay.\There's no water here. response:	It looks just like a normal match.
context: Midori-chan, there's no room in the back,\so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay.\There's no water here.\It looks just like a normal match. response:	Yet...
context: so you'll have to go in from the side.\Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay.\There's no water here.\It looks just like a normal match.\Yet... response:	It's so painful.
context: Thank you very much.\banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay.\There's no water here.\It looks just like a normal match.\Yet...\It's so painful. response:	F-Five cards to eleven cards?
context: banish any lingering memories of the past\Take a seat. Don't make any noise.\Okay.\There's no water here.\It looks just like a normal match.\Yet...\It's so painful.\F-Five cards to eleven cards? response:	Shinobu-chan's losing?
context: Take a seat. Don't make any noise.\Okay.\There's no water here.\It looks just like a normal match.\Yet...\It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing? response:	Ayase! Mashima!
context: Okay.\There's no water here.\It looks just like a normal match.\Yet...\It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima! response:	They finally made it.
context: There's no water here.\It looks just like a normal match.\Yet...\It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima!\They finally made it. response:	Did Mashima win?
context: It looks just like a normal match.\Yet...\It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima!\They finally made it.\Did Mashima win? response:	I should have recorded this match, like Fujisaki is.
context: Yet...\It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima!\They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is. response:	I wish I could show Ayase and Mashima the entire match.
context: It's so painful.\F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima!\They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match. response:	Show them what's transpired...
context: F-Five cards to eleven cards?\Shinobu-chan's losing?\Ayase! Mashima!\They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired... response:	Show them their karuta...
context: Shinobu-chan's losing?\Ayase! Mashima!\They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta... response:	At the beginning, both Wataya and the Queen split similar cards.
context: Ayase! Mashima!\They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards. response:	The positioning benefited Wataya's cross stroke.
context: They finally made it.\Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke. response:	He could move before unique syllables were read,
context: Did Mashima win?\I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read, response:	and the Queen couldn't do a thing.
context: I should have recorded this match, like Fujisaki is.\I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing. response:	She stayed calm though.
context: I wish I could show Ayase and Mashima the entire match.\Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though. response:	She targeted select cards
context: Show them what's transpired...\Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards response:	and took them with her usual accuracy.
context: Show them their karuta...\At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards\and took them with her usual accuracy. response:	But...
context: At the beginning, both Wataya and the Queen split similar cards.\The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards\and took them with her usual accuracy.\But... response:	The cards she targeted weren't being read.
context: The positioning benefited Wataya's cross stroke.\He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards\and took them with her usual accuracy.\But...\The cards she targeted weren't being read. response:	Wataya Arata had all the momentum.
context: He could move before unique syllables were read,\and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards\and took them with her usual accuracy.\But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum. response:	How?
context: and the Queen couldn't do a thing.\She stayed calm though.\She targeted select cards\and took them with her usual accuracy.\But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How? response:	How does he summon cards this way?
context: She stayed calm though.\She targeted select cards\and took them with her usual accuracy.\But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How?\How does he summon cards this way? response:	How?
context: She targeted select cards\and took them with her usual accuracy.\But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How?\How does he summon cards this way?\How? response:	I'm moving my cards.
context: and took them with her usual accuracy.\But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How?\How does he summon cards this way?\How?\I'm moving my cards. response:	His card sending is nasty.
context: But...\The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How?\How does he summon cards this way?\How?\I'm moving my cards.\His card sending is nasty. response:	His card movement is nasty.
context: The cards she targeted weren't being read.\Wataya Arata had all the momentum.\How?\How does he summon cards this way?\How?\I'm moving my cards.\His card sending is nasty.\His card movement is nasty. response:	He's as sadistic as Sudo-san.
context: Wataya Arata had all the momentum.\How?\How does he summon cards this way?\How?\I'm moving my cards.\His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san. response:	A perfect cross...
context: How?\How does he summon cards this way?\How?\I'm moving my cards.\His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross... response:	A detailed game plan.
context: How does he summon cards this way?\How?\I'm moving my cards.\His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan. response:	That's not all.
context: How?\I'm moving my cards.\His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan.\That's not all. response:	I just have to change the momentum.
context: I'm moving my cards.\His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan.\That's not all.\I just have to change the momentum. response:	I'm only down a few cards.
context: His card sending is nasty.\His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan.\That's not all.\I just have to change the momentum.\I'm only down a few cards. response:	But...
context: His card movement is nasty.\He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan.\That's not all.\I just have to change the momentum.\I'm only down a few cards.\But... response:	Why are things going so badly?
context: He's as sadistic as Sudo-san.\A perfect cross...\A detailed game plan.\That's not all.\I just have to change the momentum.\I'm only down a few cards.\But...\Why are things going so badly? response:	Today, I'll have to choose which cards I can save
context: A perfect cross...\A detailed game plan.\That's not all.\I just have to change the momentum.\I'm only down a few cards.\But...\Why are things going so badly?\Today, I'll have to choose which cards I can save response:	and which cards I can't.
context: A detailed game plan.\That's not all.\I just have to change the momentum.\I'm only down a few cards.\But...\Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't. response:	I discriminated.
context: That's not all.\I just have to change the momentum.\I'm only down a few cards.\But...\Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated. response:	I looked away from everyone.
context: I just have to change the momentum.\I'm only down a few cards.\But...\Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated.\I looked away from everyone. response:	but for autumn's coming
context: I'm only down a few cards.\But...\Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated.\I looked away from everyone.\but for autumn's coming response:	The fall paddy shacks...
context: But...\Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated.\I looked away from everyone.\but for autumn's coming\The fall paddy shacks... response:	After I determined to abandon my love, my only regret
context: Why are things going so badly?\Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated.\I looked away from everyone.\but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret response:	Wow, she's fast.
context: Today, I'll have to choose which cards I can save\and which cards I can't.\I discriminated.\I looked away from everyone.\but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast. response:	Impressive.
context: and which cards I can't.\I discriminated.\I looked away from everyone.\but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive. response:	Amazing.
context: I discriminated.\I looked away from everyone.\but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive.\Amazing. response:	I-I've never heard Shinobu-chan make any sound when taking a card!
context: I looked away from everyone.\but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card! response:	How many cards did she hit with that swing?
context: but for autumn's coming\The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing? response:	This isn't Shinobu-chan's usual style.
context: The fall paddy shacks...\After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style. response:	She began moving after the first syllable.
context: After I determined to abandon my love, my only regret\Wow, she's fast.\Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable. response:	She's taking risks.
context: Wow, she's fast.\Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks. response:	Sorry, everyone.
context: Impressive.\Amazing.\I-I've never heard Shinobu-chan make any sound when taking a card!\How many cards did she hit with that swing?\This isn't Shinobu-chan's usual style.\She began moving after the first syllable.\She's taking risks.\Sorry, everyone. response:	I'm coming for you.
