context: People say that when someone dies, they can go to heaven. response:	But I don't think that's the case.
context: just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?! response:	Such...
context: But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?!\Such... response:	Hand?
context: That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?!\Such...\Hand? response:	Huh?
context: So others don't forget them.\Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?!\Such...\Hand?\Huh? response:	Why am I...
context: Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?!\Such...\Hand?\Huh?\Why am I... response:	Yesterday I was trying to test out the high ISO film...
context: The viewfinder's completely black.\So they're not forgotten...\Wh-What's going on?!\Such...\Hand?\Huh?\Why am I...\Yesterday I was trying to test out the high ISO film... response:	And then I...
context: So they're not forgotten...\Wh-What's going on?!\Such...\Hand?\Huh?\Why am I...\Yesterday I was trying to test out the high ISO film...\And then I... response:	Kai-kun!
context: Wh-What's going on?!\Such...\Hand?\Huh?\Why am I...\Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun! response:	If you don't get up soon, you're going to be late.
context: Such...\Hand?\Huh?\Why am I...\Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun!\If you don't get up soon, you're going to be late. response:	Okay.
context: Hand?\Huh?\Why am I...\Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun!\If you don't get up soon, you're going to be late.\Okay. response:	You're going on a business trip abroad?
context: Huh?\Why am I...\Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun!\If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad? response:	It'll just be for three months.
context: Why am I...\Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun!\If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad?\It'll just be for three months. response:	I see.
context: Yesterday I was trying to test out the high ISO film...\And then I...\Kai-kun!\If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad?\It'll just be for three months.\I see. response:	Where you going?
context: And then I...\Kai-kun!\If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad?\It'll just be for three months.\I see.\Where you going? response:	Bolivia.
context: Kai-kun!\If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad?\It'll just be for three months.\I see.\Where you going?\Bolivia. response:	They don't have enough people there, supposedly.
context: If you don't get up soon, you're going to be late.\Okay.\You're going on a business trip abroad?\It'll just be for three months.\I see.\Where you going?\Bolivia.\They don't have enough people there, supposedly. response:	Hey, Kai-kun.
context: Okay.\You're going on a business trip abroad?\It'll just be for three months.\I see.\Where you going?\Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun. response:	Hm?
context: You're going on a business trip abroad?\It'll just be for three months.\I see.\Where you going?\Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm? response:	Is it okay for your sister to leave you?
context: It'll just be for three months.\I see.\Where you going?\Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you? response:	You want to go, don't you?
context: I see.\Where you going?\Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you?\You want to go, don't you? response:	So go.
context: Where you going?\Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you?\You want to go, don't you?\So go. response:	Have fun.
context: Bolivia.\They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you?\You want to go, don't you?\So go.\Have fun. response:	I can make my own food.
context: They don't have enough people there, supposedly.\Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you?\You want to go, don't you?\So go.\Have fun.\I can make my own food. response:	It'll be summer break soon, anyway.
context: Hey, Kai-kun.\Hm?\Is it okay for your sister to leave you?\You want to go, don't you?\So go.\Have fun.\I can make my own food.\It'll be summer break soon, anyway. response:	Don't go too crazy because you'll be on your own.
context: Hm?\Is it okay for your sister to leave you?\You want to go, don't you?\So go.\Have fun.\I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own. response:	I know.
context: Is it okay for your sister to leave you?\You want to go, don't you?\So go.\Have fun.\I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know. response:	Also, that's bad manners.
context: You want to go, don't you?\So go.\Have fun.\I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners. response:	I'm going to go shopping and such on the way home.
context: So go.\Have fun.\I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home. response:	I'll be back by seven.
context: Have fun.\I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven. response:	Got it.
context: I can make my own food.\It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it. response:	Have fun.
context: It'll be summer break soon, anyway.\Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it.\Have fun. response:	You, too.
context: Don't go too crazy because you'll be on your own.\I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it.\Have fun.\You, too. response:	So I'll be on my own, then...
context: I know.\Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it.\Have fun.\You, too.\So I'll be on my own, then... response:	This is a nice place to shoot.
context: Also, that's bad manners.\I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it.\Have fun.\You, too.\So I'll be on my own, then...\This is a nice place to shoot. response:	Red... hair.
context: I'm going to go shopping and such on the way home.\I'll be back by seven.\Got it.\Have fun.\You, too.\So I'll be on my own, then...\This is a nice place to shoot.\Red... hair. response:	Why?
context: I'll be back by seven.\Got it.\Have fun.\You, too.\So I'll be on my own, then...\This is a nice place to shoot.\Red... hair.\Why? response:	How come...
context: Got it.\Have fun.\You, too.\So I'll be on my own, then...\This is a nice place to shoot.\Red... hair.\Why?\How come... response:	Did I get something wrong?
context: Have fun.\You, too.\So I'll be on my own, then...\This is a nice place to shoot.\Red... hair.\Why?\How come...\Did I get something wrong? response:	So, have you figured out where we're going to film yet, Kai-kun?
context: You, too.\So I'll be on my own, then...\This is a nice place to shoot.\Red... hair.\Why?\How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun? response:	Huh?
context: So I'll be on my own, then...\This is a nice place to shoot.\Red... hair.\Why?\How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh? response:	Didn't you go searching for a spot yesterday?
context: This is a nice place to shoot.\Red... hair.\Why?\How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday? response:	With that?
context: Red... hair.\Why?\How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday?\With that? response:	No, I just went to test out the film...
context: Why?\How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film... response:	You're going to shoot a movie, right, Director?
context: How come...\Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director? response:	I'm just kind of messing around.
context: Did I get something wrong?\So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around. response:	Just because I felt like it.
context: So, have you figured out where we're going to film yet, Kai-kun?\Huh?\Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it. response:	Come on.
context: Huh?\Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it.\Come on. response:	I was gonna help you, too.
context: Didn't you go searching for a spot yesterday?\With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it.\Come on.\I was gonna help you, too. response:	If Tetsuro-kun were in the movie, I think all the girls would go wild.
context: With that?\No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it.\Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild. response:	You think so?
context: No, I just went to test out the film...\You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it.\Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so? response:	I'll pass.
context: You're going to shoot a movie, right, Director?\I'm just kind of messing around.\Just because I felt like it.\Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass. response:	Actually, what about you, Mio?
context: I'm just kind of messing around.\Just because I felt like it.\Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass.\Actually, what about you, Mio? response:	Kai, wouldn't Mio make a good lead?
context: Just because I felt like it.\Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead? response:	It's summer, so we could make it like an idol video, or something.
context: Come on.\I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something. response:	What do you think?
context: I was gonna help you, too.\If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think? response:	It won't cost us any money, and we wouldn't need a script.
context: If Tetsuro-kun were in the movie, I think all the girls would go wild.\You think so?\I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script. response:	That makes sense...
context: You think so?\I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense... response:	They're staring at me...
context: I'll pass.\Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me... response:	Their imaginations are running wild with me...
context: Actually, what about you, Mio?\Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me...\Their imaginations are running wild with me... response:	The guys are showing their true colors here...
context: Kai, wouldn't Mio make a good lead?\It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here... response:	I was just kidding.
context: It's summer, so we could make it like an idol video, or something.\What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding. response:	But I kinda...
context: What do you think?\It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding.\But I kinda... response:	And what would that be?
context: It won't cost us any money, and we wouldn't need a script.\That makes sense...\They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding.\But I kinda...\And what would that be? response:	I'm not sure.
context: That makes sense...\They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding.\But I kinda...\And what would that be?\I'm not sure. response:	Just something.
context: They're staring at me...\Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding.\But I kinda...\And what would that be?\I'm not sure.\Just something. response:	Yeah.
context: Their imaginations are running wild with me...\The guys are showing their true colors here...\I was just kidding.\But I kinda...\And what would that be?\I'm not sure.\Just something.\Yeah. response:	We are in high school, after all.
context: The guys are showing their true colors here...\I was just kidding.\But I kinda...\And what would that be?\I'm not sure.\Just something.\Yeah.\We are in high school, after all. response:	And it's summertime.
context: I was just kidding.\But I kinda...\And what would that be?\I'm not sure.\Just something.\Yeah.\We are in high school, after all.\And it's summertime. response:	Yeah.
context: But I kinda...\And what would that be?\I'm not sure.\Just something.\Yeah.\We are in high school, after all.\And it's summertime.\Yeah. response:	We might just have to do something.
context: And what would that be?\I'm not sure.\Just something.\Yeah.\We are in high school, after all.\And it's summertime.\Yeah.\We might just have to do something. response:	And here I was wondering what you were filming...
context: I'm not sure.\Just something.\Yeah.\We are in high school, after all.\And it's summertime.\Yeah.\We might just have to do something.\And here I was wondering what you were filming... response:	Huh?
context: Just something.\Yeah.\We are in high school, after all.\And it's summertime.\Yeah.\We might just have to do something.\And here I was wondering what you were filming...\Huh? response:	So she's your type, huh?
context: Yeah.\We are in high school, after all.\And it's summertime.\Yeah.\We might just have to do something.\And here I was wondering what you were filming...\Huh?\So she's your type, huh? response:	The camera's still recording...
context: We are in high school, after all.\And it's summertime.\Yeah.\We might just have to do something.\And here I was wondering what you were filming...\Huh?\So she's your type, huh?\The camera's still recording... response:	That wasn't what I was trying to do...
context: And it's summertime.\Yeah.\We might just have to do something.\And here I was wondering what you were filming...\Huh?\So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do... response:	I see...
context: Yeah.\We might just have to do something.\And here I was wondering what you were filming...\Huh?\So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do...\I see... response:	She's like the complete opposite of you, Kanna.
context: We might just have to do something.\And here I was wondering what you were filming...\Huh?\So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna. response:	What's that supposed to mean?
context: And here I was wondering what you were filming...\Huh?\So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean? response:	It means what it means.
context: Huh?\So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means. response:	But what is that supposed to mean?!
context: So she's your type, huh?\The camera's still recording...\That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means.\But what is that supposed to mean?! response:	I told you it means what it means.
context: The camera's still recording...\That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means.\But what is that supposed to mean?!\I told you it means what it means. response:	What the hell?
context: That wasn't what I was trying to do...\I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means.\But what is that supposed to mean?!\I told you it means what it means.\What the hell? response:	You always
context: I see...\She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means.\But what is that supposed to mean?!\I told you it means what it means.\What the hell?\You always response:	It's okay. Calm down, Kanna.
context: She's like the complete opposite of you, Kanna.\What's that supposed to mean?\It means what it means.\But what is that supposed to mean?!\I told you it means what it means.\What the hell?\You always\It's okay. Calm down, Kanna. response:	Whose side are you on anyway, Mio?!
context: What's that supposed to mean?\It means what it means.\But what is that supposed to mean?!\I told you it means what it means.\What the hell?\You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?! response:	And unsurprisingly, I hadn't noticed yet.
context: It means what it means.\But what is that supposed to mean?!\I told you it means what it means.\What the hell?\You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet. response:	Teachers' Room
context: But what is that supposed to mean?!\I told you it means what it means.\What the hell?\You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room response:	Sorry I'm late.
context: I told you it means what it means.\What the hell?\You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late. response:	I'll be transferring in today.
context: What the hell?\You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late.\I'll be transferring in today. response:	My name is Ichika Takatsuki.
context: You always\It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki. response:	Our drama...
context: It's okay. Calm down, Kanna.\Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama... response:	We're starting homeroom now.
context: Whose side are you on anyway, Mio?!\And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now. response:	Everyone take your seats.
context: And unsurprisingly, I hadn't noticed yet.\Teachers' Room\Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now.\Everyone take your seats. response:	The camera was already rolling.
context: Teachers' Room\Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now.\Everyone take your seats.\The camera was already rolling. response:	Ichika Takatsuki
context: Sorry I'm late.\I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now.\Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki response:	Were you in any clubs at your old school?
context: I'll be transferring in today.\My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now.\Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school? response:	You don't get many people transferring at this time of the year.
context: My name is Ichika Takatsuki.\Our drama...\We're starting homeroom now.\Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year. response:	Your hair color is really pretty!
context: Our drama...\We're starting homeroom now.\Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty! response:	Is it natural?
context: We're starting homeroom now.\Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural? response:	Are you going out with anyone?
context: Everyone take your seats.\The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural?\Are you going out with anyone? response:	Come on, you wolves bare your fangs elsewhere.
context: The camera was already rolling.\Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere. response:	Wh-What's wrong, Yamano?
context: Ichika Takatsuki\Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano? response:	Who cares?
context: Were you in any clubs at your old school?\You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares? response:	Besides, we're her classmates.
context: You don't get many people transferring at this time of the year.\Your hair color is really pretty!\Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates. response:	If you guys don't settle down,
context: Your hair color is really pretty!\Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates.\If you guys don't settle down, response:	you won't like what I'll do.
context: Is it natural?\Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do. response:	What are you doing for lunch today?
context: Are you going out with anyone?\Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today? response:	Oh yeah, I was watching TV yesterday, and...
context: Come on, you wolves bare your fangs elsewhere.\Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and... response:	My name is Remon Yamano.
context: Wh-What's wrong, Yamano?\Who cares?\Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano. response:	Oh, I'm... uh,
context: Who cares?\Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh, response:	Ichika Takatsuki.
context: Besides, we're her classmates.\If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki. response:	Huh? Is something funny?
context: If you guys don't settle down,\you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny? response:	I think we'll be good friends.
context: you won't like what I'll do.\What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends. response:	Y-You think so?
context: What are you doing for lunch today?\Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends.\Y-You think so? response:	Yamano-san...
context: Oh yeah, I was watching TV yesterday, and...\My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends.\Y-You think so?\Yamano-san... response:	You can call me Refon.
context: My name is Remon Yamano.\Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends.\Y-You think so?\Yamano-san...\You can call me Refon. response:	Uh, so Remon...
context: Oh, I'm... uh,\Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends.\Y-You think so?\Yamano-san...\You can call me Refon.\Uh, so Remon... response:	May I ask you something?
context: Ichika Takatsuki.\Huh? Is something funny?\I think we'll be good friends.\Y-You think so?\Yamano-san...\You can call me Refon.\Uh, so Remon...\May I ask you something? response:	What ish it?
context: Huh? Is something funny?\I think we'll be good friends.\Y-You think so?\Yamano-san...\You can call me Refon.\Uh, so Remon...\May I ask you something?\What ish it? response:	Why are you wearing a different uniform?
context: I think we'll be good friends.\Y-You think so?\Yamano-san...\You can call me Refon.\Uh, so Remon...\May I ask you something?\What ish it?\Why are you wearing a different uniform? response:	That's a secret.
context: Y-You think so?\Yamano-san...\You can call me Refon.\Uh, so Remon...\May I ask you something?\What ish it?\Why are you wearing a different uniform?\That's a secret. response:	A major secret.
context: Yamano-san...\You can call me Refon.\Uh, so Remon...\May I ask you something?\What ish it?\Why are you wearing a different uniform?\That's a secret.\A major secret. response:	I-I see.
context: You can call me Refon.\Uh, so Remon...\May I ask you something?\What ish it?\Why are you wearing a different uniform?\That's a secret.\A major secret.\I-I see. response:	Anyway, you've got quite the biased collection there.
context: Uh, so Remon...\May I ask you something?\What ish it?\Why are you wearing a different uniform?\That's a secret.\A major secret.\I-I see.\Anyway, you've got quite the biased collection there. response:	Huh?
context: May I ask you something?\What ish it?\Why are you wearing a different uniform?\That's a secret.\A major secret.\I-I see.\Anyway, you've got quite the biased collection there.\Huh? response:	I-Is there something weird about it?
context: What ish it?\Why are you wearing a different uniform?\That's a secret.\A major secret.\I-I see.\Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it? response:	I've got carbohydrates, a drink...
context: Why are you wearing a different uniform?\That's a secret.\A major secret.\I-I see.\Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink... response:	Pretty average, don't you think?
context: That's a secret.\A major secret.\I-I see.\Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think? response:	Am I violating some sort of regional taboo?
context: A major secret.\I-I see.\Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo? response:	You're pretty weird.
context: I-I see.\Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird. response:	What was weird?
context: Anyway, you've got quite the biased collection there.\Huh?\I-Is there something weird about it?\I've got carbohydrates, a drink...\Pretty average, don't you think?\Am I violating some sort of regional taboo?\You're pretty weird.\What was weird? response:	How am I weird?
