context: Even if we're preoccupied by the spring weather, response:	playing with girls' dreams of love is abominable! Abominable snowman!
context: I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time. response:	Everything is going as planned.
context: One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned. response:	Is that so? It had better work this time.
context: and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time. response:	Yes. We had some interruptions before, but this time I am working
context: But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working response:	secretly with my minion Flowa.
context: Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa. response:	Very well, it is all on your shoulders.
context: Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders. response:	Keep that in mind.
context: Jadeite, what of the energy that we are to give our great ruler?\Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind. response:	Yes, my lady.
context: Queen Beryl, please give us a little more time.\Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady. response:	My old diary was full of you.
context: Everything is going as planned.\Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady.\My old diary was full of you. response:	And my diary now is full of the past.
context: Is that so? It had better work this time.\Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady.\My old diary was full of you.\And my diary now is full of the past. response:	I want to see you. I want to see you one more time.
context: Yes. We had some interruptions before, but this time I am working\secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady.\My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time. response:	I want to tell you my true feelings.
context: secretly with my minion Flowa.\Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady.\My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings. response:	This was sent to us from Haruna the Dreamer from Juubangai.
context: Very well, it is all on your shoulders.\Keep that in mind.\Yes, my lady.\My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai. response:	Haruna!
context: Keep that in mind.\Yes, my lady.\My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna! response:	That's our teacher's name.
context: Yes, my lady.\My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name. response:	Nah. Can't be her.
context: My old diary was full of you.\And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name.\Nah. Can't be her. response:	We're sharing everyone's love letters on this show.
context: And my diary now is full of the past.\I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show. response:	For those whose letters are read,
context: I want to see you. I want to see you one more time.\I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read, response:	we will send you a flower brooch that makes love come true.
context: I want to tell you my true feelings.\This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true. response:	I want a flower brooch.
context: This was sent to us from Haruna the Dreamer from Juubangai.\Haruna!\That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch. response:	10 Midnight Zero. I want a flower brooch.
context: Haruna!\That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch. response:	10 Midnight Zero.
context: That's our teacher's name.\Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero. response:	10 Midnight Zero. Usagi!
context: Nah. Can't be her.\We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi! response:	I want your love to blossom.
context: We're sharing everyone's love letters on this show.\For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom. response:	I'll be back tomorrow.
context: For those whose letters are read,\we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow. response:	This is J-Dite.
context: we will send you a flower brooch that makes love come true.\I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow.\This is J-Dite. response:	Usagi!
context: I want a flower brooch.\10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow.\This is J-Dite.\Usagi! response:	I've never written a love letter before.
context: 10 Midnight Zero. I want a flower brooch.\10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow.\This is J-Dite.\Usagi!\I've never written a love letter before. response:	Usagi!
context: 10 Midnight Zero.\10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow.\This is J-Dite.\Usagi!\I've never written a love letter before.\Usagi! response:	And there's the problem of whom to write it to.
context: 10 Midnight Zero. Usagi!\I want your love to blossom.\I'll be back tomorrow.\This is J-Dite.\Usagi!\I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to. response:	Usagi!
context: I want your love to blossom.\I'll be back tomorrow.\This is J-Dite.\Usagi!\I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to.\Usagi! response:	Oh! What?
context: I'll be back tomorrow.\This is J-Dite.\Usagi!\I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to.\Usagi!\Oh! What? response:	You should probably go to bed. You'll oversleep again.
context: This is J-Dite.\Usagi!\I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to.\Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again. response:	Besides, you don't have time to listen to late night radio.
context: Usagi!\I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to.\Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio. response:	You're a chosen warrior. You have a very important mission.
context: I've never written a love letter before.\Usagi!\And there's the problem of whom to write it to.\Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission. response:	Yeah, yeah! I know that!
context: Usagi!\And there's the problem of whom to write it to.\Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that! response:	I'm going to bed!
context: And there's the problem of whom to write it to.\Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed! response:	Is it a new modern disease?! Mysterious sleeping illness going around!
context: Usagi!\Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around! response:	Is it a new modern disease?! Mysterious sleeping illness going around!
context: Oh! What?\You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! response:	Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.
context: You should probably go to bed. You'll oversleep again.\Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep. response:	I want to get that and rest for a while.
context: Besides, you don't have time to listen to late night radio.\You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while. response:	What are you talking about?
context: You're a chosen warrior. You have a very important mission.\Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about? response:	We need you to work hard!
context: Yeah, yeah! I know that!\I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about?\We need you to work hard! response:	I'm just kidding.
context: I'm going to bed!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about?\We need you to work hard!\I'm just kidding. response:	If I were asleep I'd miss your delicious cooking.
context: Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about?\We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking. response:	You're such a flatterer, Dear.
context: Is it a new modern disease?! Mysterious sleeping illness going around!\Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about?\We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear. response:	Oh, I'm totally late!
context: Is it a new modern disease?! Mysterious sleeping illness going around! Once you've fallen asleep.\I want to get that and rest for a while.\What are you talking about?\We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late! response:	What?! Usagi's still here?
context: I want to get that and rest for a while.\What are you talking about?\We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here? response:	I forget.
context: What are you talking about?\We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here?\I forget. response:	Good morning! Good-bye!
context: We need you to work hard!\I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here?\I forget.\Good morning! Good-bye! response:	What am I going to do?! The teacher's going to yell at me again!
context: I'm just kidding.\If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here?\I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again! response:	Naru, where's Ms. Haruna?
context: If I were asleep I'd miss your delicious cooking.\You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here?\I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna? response:	She doesn't seem to be here yet.
context: You're such a flatterer, Dear.\Oh, I'm totally late!\What?! Usagi's still here?\I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet. response:	Lucky me!
context: Oh, I'm totally late!\What?! Usagi's still here?\I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me! response:	It's unusual for Ms. Haruna to be late.
context: What?! Usagi's still here?\I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late. response:	Let's see, I'll take roll call now.
context: I forget.\Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now. response:	Actually, today will be self study.
context: Good morning! Good-bye!\What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study. response:	Just study whatever you want.
context: What am I going to do?! The teacher's going to yell at me again!\Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want. response:	Today, I'm just...
context: Naru, where's Ms. Haruna?\She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want.\Today, I'm just... response:	So, so sleepy.
context: She doesn't seem to be here yet.\Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want.\Today, I'm just...\So, so sleepy. response:	Usagi, what could be wrong with Ms. Haruna?
context: Lucky me!\It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want.\Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna? response:	Don't ask me. How would I know?
context: It's unusual for Ms. Haruna to be late.\Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want.\Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know? response:	But I guess it's really lucky for me!
context: Let's see, I'll take roll call now.\Actually, today will be self study.\Just study whatever you want.\Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me! response:	I hate it. Usagi never listens to what I say.
context: Actually, today will be self study.\Just study whatever you want.\Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say. response:	She's probably being scolded by the teacher right now.
context: Just study whatever you want.\Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now. response:	Serves her right!
context: Today, I'm just...\So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right! response:	Hey!
context: So, so sleepy.\Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right!\Hey! response:	We meet again, kitty.
context: Usagi, what could be wrong with Ms. Haruna?\Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right!\Hey!\We meet again, kitty. response:	I hope he didn't hear me talking.
context: Don't ask me. How would I know?\But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right!\Hey!\We meet again, kitty.\I hope he didn't hear me talking. response:	You're not with Usagi today?
context: But I guess it's really lucky for me!\I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right!\Hey!\We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today? response:	Oh, she's probably at school right now.
context: I hate it. Usagi never listens to what I say.\She's probably being scolded by the teacher right now.\Serves her right!\Hey!\We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now. response:	Looks like it was okay.
context: She's probably being scolded by the teacher right now.\Serves her right!\Hey!\We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay. response:	There, there, I'll get you some milk. Wait just a minute.
context: Serves her right!\Hey!\We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute. response:	I wish Usagi would treat me like this.
context: Hey!\We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this. response:	Oh, I wonder what it is?
context: We meet again, kitty.\I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is? response:	I wonder what's wrong?
context: I hope he didn't hear me talking.\You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong? response:	She won't wake up no matter what we do.
context: You're not with Usagi today?\Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do. response:	Is it that exhausting to be a teacher?
context: Oh, she's probably at school right now.\Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher? response:	You know, I heard there's a disease going around just like this,
context: Looks like it was okay.\There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this, response:	where you don't ever wake up.
context: There, there, I'll get you some milk. Wait just a minute.\I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up. response:	So you get to sleep forever! How nice.
context: I wish Usagi would treat me like this.\Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice. response:	Why?
context: Oh, I wonder what it is?\I wonder what's wrong?\She won't wake up no matter what we do.\Is it that exhausting to be a teacher?\You know, I heard there's a disease going around just like this,\where you don't ever wake up.\So you get to sleep forever! How nice.\Why? response:	Why? Why?
