context: Antarctica, huh? response:	Antarctica, yeah...
context: It really is a big boat, isn't it?\Right?\Yeah.\At least look first.\A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead response:	Cha lle nge For Ant arc tic
context: Right?\Yeah.\At least look first.\A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic response:	Hey, lie down there!
context: Yeah.\At least look first.\A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there! response:	Okay!
context: At least look first.\A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there!\Okay! response:	It's so cold!
context: A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there!\Okay!\It's so cold! response:	Or not?
context: 25 Likes 17 Comments\Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there!\Okay!\It's so cold!\Or not? response:	December is summer here,
context: Partial Friendship\JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there!\Okay!\It's so cold!\Or not?\December is summer here, response:	so on warm days, it might not even get below freezing during the day.
context: JarGenie IfYouTouchMeI'llKillYou MessageRead\Cha lle nge For Ant arc tic\Hey, lie down there!\Okay!\It's so cold!\Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day. response:	Really?
context: Cha lle nge For Ant arc tic\Hey, lie down there!\Okay!\It's so cold!\Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day.\Really? response:	Hey, my hand's totally fine!
context: Hey, lie down there!\Okay!\It's so cold!\Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine! response:	Cold!
context: Okay!\It's so cold!\Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine!\Cold! response:	I'll give you a quick tour before the stuff arrives and things get crazy.
context: It's so cold!\Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy. response:	So this is Syowa Station?
context: Or not?\December is summer here,\so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station? response:	That thing that looks like a stack of cubes is the control building.
context: December is summer here,\so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building. response:	If this were a house, it would be like the living room where everyone hangs out.
context: so on warm days, it might not even get below freezing during the day.\Really?\Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out. response:	That's the generator building.
context: Really?\Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building. response:	Those are the residence building and the warehouses.
context: Hey, my hand's totally fine!\Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses. response:	That's the Lakeside Hotel.
context: Cold!\I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel. response:	Lakeside?
context: I'll give you a quick tour before the stuff arrives and things get crazy.\So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside? response:	It's what we call the lodging house for the summer team.
context: So this is Syowa Station?\That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team. response:	Normally, the members who aren't staying for the winter would live there.
context: That thing that looks like a stack of cubes is the control building.\If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there. response:	But because there hasn't been maintenance at the other building for three years,
context: If this were a house, it would be like the living room where everyone hangs out.\That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years, response:	and seeing as you're girls...
context: That's the generator building.\Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls... response:	You get your own rooms!
context: Those are the residence building and the warehouses.\That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms! response:	We get to use all this?
context: That's the Lakeside Hotel.\Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms!\We get to use all this? response:	The air is very dry, so be prepared for lots of static.
context: Lakeside?\It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static. response:	But the floors are heated, and if you open the blinds...
context: It's what we call the lodging house for the summer team.\Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds... response:	At last, I don't have to worry about the things Kimari-san rambles in her sleep.
context: Normally, the members who aren't staying for the winter would live there.\But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep. response:	Do I really talk that much?
context: But because there hasn't been maintenance at the other building for three years,\and seeing as you're girls...\You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much? response:	Yes, you do!
context: and seeing as you're girls...\You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do! response:	And you do it with your eyes open...
context: You get your own rooms!\We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do!\And you do it with your eyes open... response:	Emergency.
context: We get to use all this?\The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do!\And you do it with your eyes open...\Emergency. response:	What is it?
context: The air is very dry, so be prepared for lots of static.\But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do!\And you do it with your eyes open...\Emergency.\What is it? response:	The jar genie won't come out of the toilet.
context: But the floors are heated, and if you open the blinds...\At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do!\And you do it with your eyes open...\Emergency.\What is it?\The jar genie won't come out of the toilet. response:	He probably won't go through the ticket gate.
context: At last, I don't have to worry about the things Kimari-san rambles in her sleep.\Do I really talk that much?\Yes, you do!\And you do it with your eyes open...\Emergency.\What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate. response:	Like that.
context: Do I really talk that much?\Yes, you do!\And you do it with your eyes open...\Emergency.\What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that. response:	What's the jar genie?
context: Yes, you do!\And you do it with your eyes open...\Emergency.\What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that.\What's the jar genie? response:	How should I know?!
context: And you do it with your eyes open...\Emergency.\What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that.\What's the jar genie?\How should I know?! response:	Well, let's move on to the control building...
context: Emergency.\What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that.\What's the jar genie?\How should I know?!\Well, let's move on to the control building... response:	Or that was my plan, but I bet the stuff is about to start arriving.
context: What is it?\The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that.\What's the jar genie?\How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving. response:	Let's go back to the heliport.
context: The jar genie won't come out of the toilet.\He probably won't go through the ticket gate.\Like that.\What's the jar genie?\How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport. response:	Okay!
context: He probably won't go through the ticket gate.\Like that.\What's the jar genie?\How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay! response:	I'll have to replace this...
context: Like that.\What's the jar genie?\How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay!\I'll have to replace this... response:	Ow.
context: What's the jar genie?\How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay!\I'll have to replace this...\Ow. response:	Time for some cleaning up!
context: How should I know?!\Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay!\I'll have to replace this...\Ow.\Time for some cleaning up! response:	Okay, let's take a break until the next one arrives!
context: Well, let's move on to the control building...\Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay!\I'll have to replace this...\Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives! response:	You okay?
context: Or that was my plan, but I bet the stuff is about to start arriving.\Let's go back to the heliport.\Okay!\I'll have to replace this...\Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay? response:	Yes.
context: Let's go back to the heliport.\Okay!\I'll have to replace this...\Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay?\Yes. response:	I worked part-time at a moving company.
context: Okay!\I'll have to replace this...\Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay?\Yes.\I worked part-time at a moving company. response:	Okay, then rest for ten minutes and then help me with the loading over there.
context: I'll have to replace this...\Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay?\Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there. response:	Oh? I got an email...
context: Ow.\Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay?\Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email... response:	It might have arrived when we were in the base earlier.
context: Time for some cleaning up!\Okay, let's take a break until the next one arrives!\You okay?\Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier. response:	We get a cell phone signal near the control building.
context: Okay, let's take a break until the next one arrives!\You okay?\Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building. response:	Shiraishi Tamiko
context: You okay?\Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko response:	Wow, so we can use our smartphones, even in Antarctica?
context: Yes.\I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica? response:	Penguins!
context: I worked part-time at a moving company.\Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins! response:	Keep your voice down!
context: Okay, then rest for ten minutes and then help me with the loading over there.\Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down! response:	Yuzu! The camera!
context: Oh? I got an email...\It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down!\Yuzu! The camera! response:	R-Right!
context: It might have arrived when we were in the base earlier.\We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down!\Yuzu! The camera!\R-Right! response:	Just stay within five meters, okay?
context: We get a cell phone signal near the control building.\Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down!\Yuzu! The camera!\R-Right!\Just stay within five meters, okay? response:	Got it!
context: Shiraishi Tamiko\Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down!\Yuzu! The camera!\R-Right!\Just stay within five meters, okay?\Got it! response:	Pen...guin...
context: Wow, so we can use our smartphones, even in Antarctica?\Penguins!\Keep your voice down!\Yuzu! The camera!\R-Right!\Just stay within five meters, okay?\Got it!\Pen...guin... response:	Hold it!
context: Penguins!\Keep your voice down!\Yuzu! The camera!\R-Right!\Just stay within five meters, okay?\Got it!\Pen...guin...\Hold it! response:	Okay, I'm filming! Yuzu, grab the mike and do a report!
context: Keep your voice down!\Yuzu! The camera!\R-Right!\Just stay within five meters, okay?\Got it!\Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report! response:	Hinata-chan, emergency!
context: Yuzu! The camera!\R-Right!\Just stay within five meters, okay?\Got it!\Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency! response:	What?
context: R-Right!\Just stay within five meters, okay?\Got it!\Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What? response:	It's coming toward us!
context: Just stay within five meters, okay?\Got it!\Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What?\It's coming toward us! response:	It's coming... coming...
context: Got it!\Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What?\It's coming toward us!\It's coming... coming... response:	Wait, wait, wait! Stay within five meters!
context: Pen...guin...\Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What?\It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters! response:	Wait, wait!
context: Hold it!\Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What?\It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait! response:	No!
context: Okay, I'm filming! Yuzu, grab the mike and do a report!\Hinata-chan, emergency!\What?\It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait!\No! response:	Never a dull moment, huh?
context: Hinata-chan, emergency!\What?\It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait!\No!\Never a dull moment, huh? response:	Something wrong?
context: What?\It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait!\No!\Never a dull moment, huh?\Something wrong? response:	Oh, no...
context: It's coming toward us!\It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait!\No!\Never a dull moment, huh?\Something wrong?\Oh, no... response:	Is it really okay to drop dirty snow in there?
context: It's coming... coming...\Wait, wait, wait! Stay within five meters!\Wait, wait!\No!\Never a dull moment, huh?\Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there? response:	They said it would get filtered, so it's fine.
context: Wait, wait, wait! Stay within five meters!\Wait, wait!\No!\Never a dull moment, huh?\Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine. response:	Don't take that off. You'll get sunburn.
context: Wait, wait!\No!\Never a dull moment, huh?\Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn. response:	But it's hard to breathe!
context: No!\Never a dull moment, huh?\Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe! response:	But it's just been one job after another, huh?
context: Never a dull moment, huh?\Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh? response:	No one's been here for three years, so we'll probably be this busy for a while.
context: Something wrong?\Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while. response:	I see...
context: Oh, no...\Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see... response:	You don't like it?
context: Is it really okay to drop dirty snow in there?\They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it? response:	Keeping busy is the best way to speed the clock's hands!
context: They said it would get filtered, so it's fine.\Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands! response:	Another made-up saying?
context: Don't take that off. You'll get sunburn.\But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying? response:	I thought that one up when I was working at the convenience store.
context: But it's hard to breathe!\But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store. response:	I think I prefer to keep busy.
context: But it's just been one job after another, huh?\No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy. response:	I'm exhausted!
context: No one's been here for three years, so we'll probably be this busy for a while.\I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted! response:	I agree.
context: I see...\You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted!\I agree. response:	I think I like keeping busy, too.
context: You don't like it?\Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted!\I agree.\I think I like keeping busy, too. response:	What?
context: Keeping busy is the best way to speed the clock's hands!\Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted!\I agree.\I think I like keeping busy, too.\What? response:	Well... we've been traveling together for so long, haven't we?
context: Another made-up saying?\I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted!\I agree.\I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we? response:	Yeah! We have!
context: I thought that one up when I was working at the convenience store.\I think I prefer to keep busy.\I'm exhausted!\I agree.\I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have! response:	We talked about a lot of things and had fun together, didn't we?
context: I think I prefer to keep busy.\I'm exhausted!\I agree.\I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we? response:	What's with you right now?
context: I'm exhausted!\I agree.\I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now? response:	A drama?
context: I agree.\I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama? response:	I had an audition before we set out.
context: I think I like keeping busy, too.\What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama?\I had an audition before we set out. response:	It's a morning drama. I'll be playing the best friend of the protagonist.
context: What?\Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist. response:	No way! And you got the part?
context: Well... we've been traveling together for so long, haven't we?\Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part? response:	Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone
context: Yeah! We have!\We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part?\Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone response:	That's amazing!
context: We talked about a lot of things and had fun together, didn't we?\What's with you right now?\A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part?\Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone\That's amazing! response:	It is great!
context: What's with you right now?\A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part?\Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone\That's amazing!\It is great! response:	But when the drama starts shooting, I'll have a lot less time.
context: A drama?\I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part?\Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone\That's amazing!\It is great!\But when the drama starts shooting, I'll have a lot less time. response:	We won't be able to hang out together like this anymore!
context: I had an audition before we set out.\It's a morning drama. I'll be playing the best friend of the protagonist.\No way! And you got the part?\Shiraishi Tamiko It's decided! Well done! You passed the audition for the morning drama! Congratulations! Great job! Love, Mom Sent from myPhone\That's amazing!\It is great!\But when the drama starts shooting, I'll have a lot less time.\We won't be able to hang out together like this anymore! response:	You don't like that?
