context: Miss Kobayashi! Kanna! Breakfast is ready! response:	This miso soup is good.
context: 1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds.\Me, too!\Pursue love...\Miss Kobayashi. response:	Tohru.
context: being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds.\Me, too!\Pursue love...\Miss Kobayashi.\Tohru. response:	Now for tonight's news.
context: I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds.\Me, too!\Pursue love...\Miss Kobayashi.\Tohru.\Now for tonight's news. response:	Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.
context: Hmm, so they pursue love with sounds.\Just like birds.\Me, too!\Pursue love...\Miss Kobayashi.\Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku. response:	Jigokumeguri System Engineering (Inc.)
context: Just like birds.\Me, too!\Pursue love...\Miss Kobayashi.\Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.) response:	Takinokuchi Office
context: Me, too!\Pursue love...\Miss Kobayashi.\Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office response:	Kobayashi-san.
context: Pursue love...\Miss Kobayashi.\Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san. response:	Sorry, but could you help me out here?
context: Miss Kobayashi.\Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here? response:	Sure.
context: Tohru.\Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here?\Sure. response:	Whoa, you've taken on an awful lot again.
context: Now for tonight's news.\Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again. response:	I want to see Miss Kobayashi working at least once.
context: Early this morning, there was a fire in Tatsumi-cho, Nishi-ku.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once. response:	One of my 48 maid skills: perception blocking.
context: Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking. response:	Now I can enter without anyone noticing.
context: Takinokuchi Office\Kobayashi-san.\Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing. response:	*It's actually magic
context: Kobayashi-san.\Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic response:	There she is, there she is.
context: Sorry, but could you help me out here?\Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is. response:	Well, thank you for your time.
context: Sure.\Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is.\Well, thank you for your time. response:	Goodbye.
context: Whoa, you've taken on an awful lot again.\I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is.\Well, thank you for your time.\Goodbye. response:	What's wrong, Kobayashi-san?
context: I want to see Miss Kobayashi working at least once.\One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is.\Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san? response:	Takiya?!
context: One of my 48 maid skills: perception blocking.\Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is.\Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san?\Takiya?! response:	Well, remember Yamashita-kun's project?
context: Now I can enter without anyone noticing.\*It's actually magic\There she is, there she is.\Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project? response:	There was a mistake in the product, and he's in trouble if it's not fixed today.
context: *It's actually magic\There she is, there she is.\Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today. response:	Yamashita-kun Out Sick
context: There she is, there she is.\Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick response:	Ah.
context: Well, thank you for your time.\Goodbye.\What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah. response:	Sorry.
context: Goodbye.\What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah.\Sorry. response:	Sorry.
context: What's wrong, Kobayashi-san?\Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah.\Sorry.\Sorry. response:	So for now, I'll work on that.
context: Takiya?!\Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah.\Sorry.\Sorry.\So for now, I'll work on that. response:	It means I won't be able to help you, Takiya-kun, but is that okay?
context: Well, remember Yamashita-kun's project?\There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah.\Sorry.\Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay? response:	It's fine, it's fine.
context: There was a mistake in the product, and he's in trouble if it's not fixed today.\Yamashita-kun Out Sick\Ah.\Sorry.\Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine. response:	Makes sense anyway.
context: Yamashita-kun Out Sick\Ah.\Sorry.\Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway. response:	Especially given the circumstances.
context: Ah.\Sorry.\Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances. response:	But...
context: Sorry.\Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances.\But... response:	Let's go drinking again.
context: Sorry.\So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances.\But...\Let's go drinking again. response:	Sure.
context: So for now, I'll work on that.\It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances.\But...\Let's go drinking again.\Sure. response:	Hey, can you help me here?
context: It means I won't be able to help you, Takiya-kun, but is that okay?\It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances.\But...\Let's go drinking again.\Sure.\Hey, can you help me here? response:	I'll be right there. Wait a moment.
context: It's fine, it's fine.\Makes sense anyway.\Especially given the circumstances.\But...\Let's go drinking again.\Sure.\Hey, can you help me here?\I'll be right there. Wait a moment. response:	This schedule's impossible.
context: Makes sense anyway.\Especially given the circumstances.\But...\Let's go drinking again.\Sure.\Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible. response:	Can't we adjust it somehow?
context: Especially given the circumstances.\But...\Let's go drinking again.\Sure.\Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow? response:	We'll have to reevaluate this.
context: But...\Let's go drinking again.\Sure.\Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this. response:	Humans may gather together, help each other, and accomplish many things,
context: Let's go drinking again.\Sure.\Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things, response:	Let's check it one more time.
context: Sure.\Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time. response:	but their civilization could be easily destroyed by dragons.
context: Hey, can you help me here?\I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons. response:	So I think dragons are better.
context: I'll be right there. Wait a moment.\This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better. response:	Kobayashi!
context: This schedule's impossible.\Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi! response:	How's that project coming?!
context: Can't we adjust it somehow?\We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi!\How's that project coming?! response:	Oh, not done yet.
context: We'll have to reevaluate this.\Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi!\How's that project coming?!\Oh, not done yet. response:	What are you doing?! You're useless!
context: Humans may gather together, help each other, and accomplish many things,\Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi!\How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless! response:	What did I tell you?
context: Let's check it one more time.\but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi!\How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless!\What did I tell you? response:	I told you get it done right away, didn't I?
context: but their civilization could be easily destroyed by dragons.\So I think dragons are better.\Kobayashi!\How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I? response:	Who's this guy?
context: So I think dragons are better.\Kobayashi!\How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I?\Who's this guy? response:	When I say right away, I mean right away!
context: Kobayashi!\How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away! response:	Chief's pushing his work onto Kobayashi-san again...
context: How's that project coming?!\Oh, not done yet.\What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again... response:	Are you incapable of prioritizing?!
context: Oh, not done yet.\What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?! response:	You need to work to earn your paycheck!
context: What are you doing?! You're useless!\What did I tell you?\I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck! response:	The chief's project isn't even that vital.
context: What did I tell you?\I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital. response:	Listen!
context: I told you get it done right away, didn't I?\Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen! response:	Quit slacking off and get it finished quickly!
context: Who's this guy?\When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly! response:	Understood.
context: When I say right away, I mean right away!\Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly!\Understood. response:	Hmph! Christ!
context: Chief's pushing his work onto Kobayashi-san again...\Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ! response:	Stop it!
context: Are you incapable of prioritizing?!\You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ!\Stop it! response:	Serves him right.
context: You need to work to earn your paycheck!\The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ!\Stop it!\Serves him right. response:	That should help Miss Kobayashi
context: The chief's project isn't even that vital.\Listen!\Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ!\Stop it!\Serves him right.\That should help Miss Kobayashi response:	Huh?
context: Listen!\Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ!\Stop it!\Serves him right.\That should help Miss Kobayashi\Huh? response:	I thought I was blocking perception?
context: Quit slacking off and get it finished quickly!\Understood.\Hmph! Christ!\Stop it!\Serves him right.\That should help Miss Kobayashi\Huh?\I thought I was blocking perception? response:	N-No one's found out, right?
context: Understood.\Hmph! Christ!\Stop it!\Serves him right.\That should help Miss Kobayashi\Huh?\I thought I was blocking perception?\N-No one's found out, right? response:	Miss Kobayashi sure works hard.
context: Hmph! Christ!\Stop it!\Serves him right.\That should help Miss Kobayashi\Huh?\I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard. response:	And so many people rely on her, too.
context: Stop it!\Serves him right.\That should help Miss Kobayashi\Huh?\I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too. response:	Miss Kobayashi's so cool!
context: Serves him right.\That should help Miss Kobayashi\Huh?\I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool! response:	Kobayashi!
context: That should help Miss Kobayashi\Huh?\I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi! response:	How's that project going?!
context: Huh?\I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi!\How's that project going?! response:	I haven't received a report on it yet!
context: I thought I was blocking perception?\N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi!\How's that project going?!\I haven't received a report on it yet! response:	This guy again?!
context: N-No one's found out, right?\Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi!\How's that project going?!\I haven't received a report on it yet!\This guy again?! response:	Oh, sorry. I had a lot of things to do.
context: Miss Kobayashi sure works hard.\And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi!\How's that project going?!\I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do. response:	Follow my orders first!
context: And so many people rely on her, too.\Miss Kobayashi's so cool!\Kobayashi!\How's that project going?!\I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first! response:	Yamashita-kun's work is higher on the priority list.
context: Miss Kobayashi's so cool!\Kobayashi!\How's that project going?!\I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list. response:	Don't talk back to me!
context: Kobayashi!\How's that project going?!\I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me! response:	Anyway!
context: How's that project going?!\I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway! response:	Show more motivation!
context: I haven't received a report on it yet!\This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway!\Show more motivation! response:	Sorry.
context: This guy again?!\Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway!\Show more motivation!\Sorry. response:	Christ!
context: Oh, sorry. I had a lot of things to do.\Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway!\Show more motivation!\Sorry.\Christ! response:	You're useless!
context: Follow my orders first!\Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway!\Show more motivation!\Sorry.\Christ!\You're useless! response:	What?
context: Yamashita-kun's work is higher on the priority list.\Don't talk back to me!\Anyway!\Show more motivation!\Sorry.\Christ!\You're useless!\What? response:	Wh-Who is it?!
context: Don't talk back to me!\Anyway!\Show more motivation!\Sorry.\Christ!\You're useless!\What?\Wh-Who is it?! response:	Chief's having bad luck today, huh?
context: Anyway!\Show more motivation!\Sorry.\Christ!\You're useless!\What?\Wh-Who is it?!\Chief's having bad luck today, huh? response:	Thanks for your work.
context: Show more motivation!\Sorry.\Christ!\You're useless!\What?\Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work. response:	Jigokumeguri System Engineering (Inc.)
context: Sorry.\Christ!\You're useless!\What?\Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work.\Jigokumeguri System Engineering (Inc.) response:	Takinokuchi Office
context: Christ!\You're useless!\What?\Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office response:	I'll be leaving now.
context: You're useless!\What?\Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\I'll be leaving now. response:	Thanks for your work.
context: What?\Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\I'll be leaving now.\Thanks for your work. response:	Now, I should leave before Miss Kobayashi does...
context: Wh-Who is it?!\Chief's having bad luck today, huh?\Thanks for your work.\Jigokumeguri System Engineering (Inc.)\Takinokuchi Office\I'll be leaving now.\Thanks for your work.\Now, I should leave before Miss Kobayashi does... response:	Tohru.
