context: Jeez... response:	So these are the Discipline Rooms I've heard so much about...
context: You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life. response:	All right, then let me confirm one last thing.
context: So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing. response:	You haven't let anyone touch my sister, have you?
context: Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you? response:	Of course not.
context: Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not. response:	I always keep my word.
context: SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word. response:	Well, it is a drag, being locked up in here forever.
context: That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever. response:	If it's a job you're offering, I'll gladly take it, Dirk Eberweine.
context: If that's your take on it, it must really be powerful.\Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine. response:	Took you long enough to accept, Irene Urzaiz.
context: Anybody would think so if they saw it in real life.\All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz. response:	Thank God.
context: All right, then let me confirm one last thing.\You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God. response:	All right, then, how about a snack, for starters?
context: You haven't let anyone touch my sister, have you?\Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters? response:	The Phoenix Festa
context: Of course not.\I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa response:	The opening ceremony will now begin.
context: I always keep my word.\Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin. response:	What a huge turnout!
context: Well, it is a drag, being locked up in here forever.\If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout! response:	Good morning, everyone.
context: If it's a job you're offering, I'll gladly take it, Dirk Eberweine.\Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone. response:	I'm Madiath Mesa, the chairman of the Festa Steering Committee.
context: Took you long enough to accept, Irene Urzaiz.\Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee. response:	That guy's the chairman?
context: Thank God.\All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman? response:	I'm pleased to have the chance to see your gallant faces again this year.
context: All right, then, how about a snack, for starters?\The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year. response:	He seems awfully young.
context: The Phoenix Festa\The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young. response:	He's a Seidoukan alumnus, you know.
context: The opening ceremony will now begin.\What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know. response:	And those of you who've just arrived in Asterisk this year,
context: What a huge turnout!\Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year, response:	As a student here, he won the Phoenix Festa. That's how good he was.
context: Good morning, everyone.\I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was. response:	I must say, Pleasure to meet you!
context: I'm Madiath Mesa, the chairman of the Festa Steering Committee.\That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you! response:	If he's a Seidoukan alumnus, then he's a Galaxy executive, right?
context: That guy's the chairman?\I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right? response:	And those of you in the audience.
context: I'm pleased to have the chance to see your gallant faces again this year.\He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience. response:	The greatest amusement in the world,
context: He seems awfully young.\He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world, response:	In name only, yes.
context: He's a Seidoukan alumnus, you know.\And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world,\In name only, yes. response:	and the stage that inspires unparalleled excitement and emotion...
context: And those of you who've just arrived in Asterisk this year,\As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion... response:	When he won the Phoenix Festa,
context: As a student here, he won the Phoenix Festa. That's how good he was.\I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa, response:	And the ultimate entertainment that will move your soul...
context: I must say, Pleasure to meet you!\If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul... response:	they say he asked to join the Steering Committee after graduating.
context: If he's a Seidoukan alumnus, then he's a Galaxy executive, right?\And those of you in the audience.\The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating. response:	I don't want to dull your interest by going on and on up here.
context: And those of you in the audience.\The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here. response:	He's a pretty tough guy, that one.
context: The greatest amusement in the world,\In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one. response:	I'm now going to inform you about some important changes to the regulations.
context: In name only, yes.\and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations. response:	Was it just my imagination?
context: and the stage that inspires unparalleled excitement and emotion...\When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination? response:	Until now, we've never imposed any restrictions on your Luxes,
context: When he won the Phoenix Festa,\And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes, response:	but we've started to experience some issues.
context: And the ultimate entertainment that will move your soul...\they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues. response:	Specifically, how to deal with autonomous machines as weapons?
context: they say he asked to join the Steering Committee after graduating.\I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons? response:	Restricting the number of Luxes would be out of the question.
context: I don't want to dull your interest by going on and on up here.\He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question. response:	Forbidding the use of autonomous weapons
context: He's a pretty tough guy, that one.\I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons response:	would surely bring on the decline of these tournaments.
context: I'm now going to inform you about some important changes to the regulations.\Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments. response:	So, for this festa only, we've decided to allow alternates to enter.
context: Was it just my imagination?\Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter. response:	Intelligent as you all are,
context: Until now, we've never imposed any restrictions on your Luxes,\but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are, response:	this is not to give an advantage to any one academy,
context: but we've started to experience some issues.\Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy, response:	but to ensure equality in the near future, I'm sure you'll understand.
context: Specifically, how to deal with autonomous machines as weapons?\Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand. response:	And those of you who love these Festas, and cheer on the contestants,
context: Restricting the number of Luxes would be out of the question.\Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants, response:	I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!
context: Forbidding the use of autonomous weapons\would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa! response:	Students entered in today's Phoenix Festa,
context: would surely bring on the decline of these tournaments.\So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa, response:	please report to your respective stages on time.
context: So, for this festa only, we've decided to allow alternates to enter.\Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time. response:	Uh, this is our venue, so we don't need to go anywhere, right?
context: Intelligent as you all are,\this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right? response:	Right. We have quite a lot of time before our match,
context: this is not to give an advantage to any one academy,\but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match, response:	so it might be a good idea to have a light lunch.
context: but to ensure equality in the near future, I'm sure you'll understand.\And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch. response:	Then let's do that.
context: And those of you who love these Festas, and cheer on the contestants,\I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that. response:	Hey, where's Saya and Kirin?
context: I'd like you to know that this will surely lead to an even more evolved, new kind of Festa!\Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin? response:	Lester!
context: Students entered in today's Phoenix Festa,\please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin?\Lester! response:	What do you want?
context: please report to your respective stages on time.\Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin?\Lester!\What do you want? response:	I was wondering if you wanted to join us for lunch.
context: Uh, this is our venue, so we don't need to go anywhere, right?\Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin?\Lester!\What do you want?\I was wondering if you wanted to join us for lunch. response:	You too, of course, Randy.
context: Right. We have quite a lot of time before our match,\so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin?\Lester!\What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy. response:	Lunch?
context: so it might be a good idea to have a light lunch.\Then let's do that.\Hey, where's Saya and Kirin?\Lester!\What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch? response:	Listen, Amagiri... How many times do I have to tell you?!
context: Then let's do that.\Hey, where's Saya and Kirin?\Lester!\What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?! response:	I have no intention of becoming your friend!
context: Hey, where's Saya and Kirin?\Lester!\What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend! response:	Well, that's not what I meant.
context: Lester!\What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant. response:	But hey... I still haven't thanked you for lending me your Lux the other day.
context: What do you want?\I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day. response:	Who needs thanks?!
context: I was wondering if you wanted to join us for lunch.\You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?! response:	I have just one thing to say to you.
context: You too, of course, Randy.\Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you. response:	You two are the team that I want to take on the most!
context: Lunch?\Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most! response:	Don't even think about losing before I can get to you!
context: Listen, Amagiri... How many times do I have to tell you?!\I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you! response:	Now there's another troublemaker.
context: I have no intention of becoming your friend!\Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker. response:	Yeah.
context: Well, that's not what I meant.\But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah. response:	Found you, Ayato.
context: But hey... I still haven't thanked you for lending me your Lux the other day.\Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah.\Found you, Ayato. response:	Is that you, Saya? Don't give me a heart attack!
context: Who needs thanks?!\I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack! response:	You left yourself wide open.
context: I have just one thing to say to you.\You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open. response:	H-Hey, you!
context: You two are the team that I want to take on the most!\Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you! response:	Where've you been?
context: Don't even think about losing before I can get to you!\Now there's another troublemaker.\Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you!\Where've you been? response:	S-Sorry about that.
context: Now there's another troublemaker.\Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you!\Where've you been?\S-Sorry about that. response:	We went to get these.
context: Yeah.\Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you!\Where've you been?\S-Sorry about that.\We went to get these. response:	What's that?
context: Found you, Ayato.\Is that you, Saya? Don't give me a heart attack!\You left yourself wide open.\H-Hey, you!\Where've you been?\S-Sorry about that.\We went to get these.\What's that? response:	Just listen and be surprised.
