context: Boy? response:	This can't be...
context: so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost, response:	but the technique only works under certain conditions.
context: In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions. response:	Conditions?
context: you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions? response:	Only members of the Witch's Cult,
context: Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult, response:	and only a limited number of those,
context: It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult,\and only a limited number of those, response:	are thought capable of it.
context: It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it. response:	And those would be the fingers?
context: In an old book, I saw a research account of a similar subject.\It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it.\And those would be the fingers? response:	Most likely, they are the user's spare bodies.
context: It's a magic that has been lost,\but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies. response:	It's quite a tasteless arrangement.
context: but the technique only works under certain conditions.\Conditions?\Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement. response:	I suppose one might call it worthy of a Sin Archbishop.
context: Conditions?\Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop. response:	So if the Sin Archbishop's confidants,
context: Only members of the Witch's Cult,\and only a limited number of those,\are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants, response:	the fingers, were wiped out...
context: and only a limited number of those,\are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out... response:	If that happened,
context: are thought capable of it.\And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened, response:	his soul would have nowhere to go.
context: And those would be the fingers?\Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened,\his soul would have nowhere to go. response:	And that would be the end of him.
context: Most likely, they are the user's spare bodies.\It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened,\his soul would have nowhere to go.\And that would be the end of him. response:	We should first eliminate the fingers in the forest,
context: It's quite a tasteless arrangement.\I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened,\his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest, response:	and then face Sloth directly.
context: I suppose one might call it worthy of a Sin Archbishop.\So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened,\his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly. response:	That is my conclusion.
context: So if the Sin Archbishop's confidants,\the fingers, were wiped out...\If that happened,\his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion. response:	Guys, I need to say one more thing...
context: the fingers, were wiped out...\If that happened,\his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing... response:	Sorry, but I don't think it's only the fingers.
context: If that happened,\his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers. response:	I think he may be able to possess me, too...
context: his soul would have nowhere to go.\And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too... response:	What do you think I should do?
context: And that would be the end of him.\We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do? response:	Huh?
context: We should first eliminate the fingers in the forest,\and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do?\Huh? response:	Filthy woman!
context: and then face Sloth directly.\That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do?\Huh?\Filthy woman! response:	Then, will you also apologize for being born?
context: That is my conclusion.\Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do?\Huh?\Filthy woman!\Then, will you also apologize for being born? response:	You silver-haired half-elf.
context: Guys, I need to say one more thing...\Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do?\Huh?\Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf. response:	Margrave Mathers endorses a half-devil? Utter foolishness!
context: Sorry, but I don't think it's only the fingers.\I think he may be able to possess me, too...\What do you think I should do?\Huh?\Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness! response:	This is a joke!
context: I think he may be able to possess me, too...\What do you think I should do?\Huh?\Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke! response:	Then, will you also apologize for being born?
context: What do you think I should do?\Huh?\Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born? response:	You know, I had hopes for you.
context: Huh?\Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you. response:	Filthy woman!
context: Filthy woman!\Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman! response:	I thought maybe you...
context: Then, will you also apologize for being born?\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman!\I thought maybe you... response:	That only you wouldn't give me special treatment.
context: You silver-haired half-elf.\Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment. response:	I can't do that.
context: Margrave Mathers endorses a half-devil? Utter foolishness!\This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that. response:	I can't look at you the way I look at others.
context: This is a joke!\Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others. response:	It's impossible.
context: Then, will you also apologize for being born?\You know, I had hopes for you.\Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others.\It's impossible. response:	I have no connection to the witch...
context: You know, I had hopes for you.\Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch... response:	You silver-haired half-elf.
context: Filthy woman!\I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch...\You silver-haired half-elf. response:	Margrave Mathers endorses a half-devil?
context: I thought maybe you...\That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil? response:	Lia...
context: That only you wouldn't give me special treatment.\I can't do that.\I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia... response:	Your forehead is all wrinkled.
context: I can't do that.\I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled. response:	Good morning, Puck.
context: I can't look at you the way I look at others.\It's impossible.\I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled.\Good morning, Puck. response:	You're early today.
context: It's impossible.\I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled.\Good morning, Puck.\You're early today. response:	Morning, Lia.
context: I have no connection to the witch...\You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled.\Good morning, Puck.\You're early today.\Morning, Lia. response:	I thought I'd try going to sleep and waking up earlier.
context: You silver-haired half-elf.\Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled.\Good morning, Puck.\You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier. response:	That's a lie.
context: Margrave Mathers endorses a half-devil?\Lia...\Your forehead is all wrinkled.\Good morning, Puck.\You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie. response:	The truth is that I was worried about you.
context: Lia...\Your forehead is all wrinkled.\Good morning, Puck.\You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you. response:	You've had it rough lately.
context: Your forehead is all wrinkled.\Good morning, Puck.\You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you.\You've had it rough lately. response:	Especially yesterday...
context: Good morning, Puck.\You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday... response:	It was nothing I didn't know already.
context: You're early today.\Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already. response:	Even if you know you'll fall,
context: Morning, Lia.\I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall, response:	when it happens, you still hurt and bleed.
context: I thought I'd try going to sleep and waking up earlier.\That's a lie.\The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed. response:	What do you think I should do, Puck?
context: That's a lie.\The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck? response:	No, not just me...
context: The truth is that I was worried about you.\You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me... response:	How can I be better to everyone, and have them be better to me?
context: You've had it rough lately.\Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me? response:	I think you should do what you want.
context: Especially yesterday...\It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want. response:	I'll be on your side, no matter what you do.
context: It was nothing I didn't know already.\Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do. response:	And no matter what,
context: Even if you know you'll fall,\when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what, response:	you can't abandon that village, right?
context: when it happens, you still hurt and bleed.\What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right? response:	Early this morning, Ram headed out there again.
context: What do you think I should do, Puck?\No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again. response:	Maybe we should wait to hear from her.
context: No, not just me...\How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her. response:	I'm going to check on Betty.
context: How can I be better to everyone, and have them be better to me?\I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty. response:	Oh... Okay.
context: I think you should do what you want.\I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay. response:	Tell her hello for me.
context: I'll be on your side, no matter what you do.\And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay.\Tell her hello for me. response:	Ram?
context: And no matter what,\you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay.\Tell her hello for me.\Ram? response:	Emilia-sama, you have a visitor.
context: you can't abandon that village, right?\Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay.\Tell her hello for me.\Ram?\Emilia-sama, you have a visitor. response:	You are...
context: Early this morning, Ram headed out there again.\Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay.\Tell her hello for me.\Ram?\Emilia-sama, you have a visitor.\You are... response:	from Crusch-sama's household, aren't you?
context: Maybe we should wait to hear from her.\I'm going to check on Betty.\Oh... Okay.\Tell her hello for me.\Ram?\Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you? response:	I am Wilhelm Trias.
context: I'm going to check on Betty.\Oh... Okay.\Tell her hello for me.\Ram?\Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias. response:	I have come on my master's behalf.
context: Oh... Okay.\Tell her hello for me.\Ram?\Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf. response:	On Crusch-sama's behalf?
context: Tell her hello for me.\Ram?\Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf? response:	I received a blank letter from her yesterday...
context: Ram?\Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday... response:	I see, so it was true.
context: Emilia-sama, you have a visitor.\You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true. response:	While this shames me to say,
context: You are...\from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say, response:	the letter contradicted the message my master wished to send.
context: from Crusch-sama's household, aren't you?\I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send. response:	Oh... It was a mistake, then?
context: I am Wilhelm Trias.\I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then? response:	Yes, Emilia-sama and Ram-dono...
context: I have come on my master's behalf.\On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono... response:	We would like to evacuate those remaining
context: On Crusch-sama's behalf?\I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining response:	in the mansion, along with the villagers.
context: I received a blank letter from her yesterday...\I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers. response:	That is Crusch-sama's will.
context: I see, so it was true.\While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will. response:	What?
context: While this shames me to say,\the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will.\What? response:	There's a ring of criminals near the forest?
context: the letter contradicted the message my master wished to send.\Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will.\What?\There's a ring of criminals near the forest? response:	Yes.
context: Oh... It was a mistake, then?\Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will.\What?\There's a ring of criminals near the forest?\Yes. response:	The punitive force this messenger brought
context: Yes, Emilia-sama and Ram-dono...\We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will.\What?\There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought response:	already prepares to fight the enemy.
context: We would like to evacuate those remaining\in the mansion, along with the villagers.\That is Crusch-sama's will.\What?\There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought\already prepares to fight the enemy. response:	But why would Crusch-sama do so much to help this domain?
context: in the mansion, along with the villagers.\That is Crusch-sama's will.\What?\There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain? response:	The margrave sent my master a proposal
context: That is Crusch-sama's will.\What?\There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal response:	for an alliance with respect to the royal selection.
context: What?\There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection. response:	The condition is a share of the mining rights in Elior Forest.
context: There's a ring of criminals near the forest?\Yes.\The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest. response:	Do you understand?
context: Yes.\The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand? response:	So that's what this is about.
context: The punitive force this messenger brought\already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about. response:	But evacuating all the villagers to the capital will be difficult.
context: already prepares to fight the enemy.\But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult. response:	Half of them will go to the capital.
context: But why would Crusch-sama do so much to help this domain?\The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital. response:	I will lead the other half to safety in the Sanctuary.
context: The margrave sent my master a proposal\for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary. response:	Roswaal-sama is heading there now.
context: for an alliance with respect to the royal selection.\The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now. response:	O-Oh, I see...
context: The condition is a share of the mining rights in Elior Forest.\Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see... response:	Then, discussion on the matter is already over.
context: Do you understand?\So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over. response:	But isn't there something strange about this?
context: So that's what this is about.\But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over.\But isn't there something strange about this? response:	It all seems too well-timed
context: But evacuating all the villagers to the capital will be difficult.\Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over.\But isn't there something strange about this?\It all seems too well-timed response:	Pardon me.
context: Half of them will go to the capital.\I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over.\But isn't there something strange about this?\It all seems too well-timed\Pardon me. response:	The group hiding in the forest has been observed moving strangely.
context: I will lead the other half to safety in the Sanctuary.\Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over.\But isn't there something strange about this?\It all seems too well-timed\Pardon me.\The group hiding in the forest has been observed moving strangely. response:	We haven't a moment to waste!
context: Roswaal-sama is heading there now.\O-Oh, I see...\Then, discussion on the matter is already over.\But isn't there something strange about this?\It all seems too well-timed\Pardon me.\The group hiding in the forest has been observed moving strangely.\We haven't a moment to waste! response:	Once they make their move, the entire region will be a sea of blood!
