context: Ragna-mail connector, purge. response:	Deploy pressure barriers.
context: She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone. response:	Fine.
context: If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine. response:	We can form an alliance.
context: We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance. response:	But only once Ange is back.
context: Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance.\But only once Ange is back. response:	Oh? Ange isn't back?
context: An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back? response:	Dear, oh dear, where has my wife gone?
context: It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone? response:	Officer?
context: I imagine your situation is much the same.\It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer? response:	No, that's...
context: It's true that we can't do anything against their Ragna-mails alone.\Fine.\We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer?\No, that's... response:	Embryo.
context: Fine.\We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer?\No, that's...\Embryo. response:	Embryo, you say?
context: We can form an alliance.\But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer?\No, that's...\Embryo.\Embryo, you say? response:	Vulcan!
context: But only once Ange is back.\Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer?\No, that's...\Embryo.\Embryo, you say?\Vulcan! response:	Have you lost it?!
context: Oh? Ange isn't back?\Dear, oh dear, where has my wife gone?\Officer?\No, that's...\Embryo.\Embryo, you say?\Vulcan!\Have you lost it?! response:	She's only being manipulated.
context: Dear, oh dear, where has my wife gone?\Officer?\No, that's...\Embryo.\Embryo, you say?\Vulcan!\Have you lost it?!\She's only being manipulated. response:	What?
context: Officer?\No, that's...\Embryo.\Embryo, you say?\Vulcan!\Have you lost it?!\She's only being manipulated.\What? response:	Chasing after a woman who left you?
context: No, that's...\Embryo.\Embryo, you say?\Vulcan!\Have you lost it?!\She's only being manipulated.\What?\Chasing after a woman who left you? response:	That's pathetic, Sir Tuner.
context: Embryo.\Embryo, you say?\Vulcan!\Have you lost it?!\She's only being manipulated.\What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner. response:	The princess of the DRAGONs?
context: Embryo, you say?\Vulcan!\Have you lost it?!\She's only being manipulated.\What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs? response:	There's no rush.
context: Vulcan!\Have you lost it?!\She's only being manipulated.\What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush. response:	Ange and I will be seeing you soon enough...
context: Have you lost it?!\She's only being manipulated.\What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough... response:	To have your head.
context: She's only being manipulated.\What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough...\To have your head. response:	Oh?
context: What?\Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough...\To have your head.\Oh? response:	Officer!
context: Chasing after a woman who left you?\That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough...\To have your head.\Oh?\Officer! response:	Commander.
context: That's pathetic, Sir Tuner.\The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough...\To have your head.\Oh?\Officer!\Commander. response:	It seems Embryo is desperate to find Ange.
context: The princess of the DRAGONs?\There's no rush.\Ange and I will be seeing you soon enough...\To have your head.\Oh?\Officer!\Commander.\It seems Embryo is desperate to find Ange. response:	Can you avoid his notice and rescue her?
context: There's no rush.\Ange and I will be seeing you soon enough...\To have your head.\Oh?\Officer!\Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her? response:	Make no mistake, Ange will return.
context: Ange and I will be seeing you soon enough...\To have your head.\Oh?\Officer!\Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return. response:	H-How do you know that?
context: To have your head.\Oh?\Officer!\Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that? response:	Because she's my friend.
context: Oh?\Officer!\Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend. response:	Dear, oh dear. What a barbaric woman.
context: Officer!\Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman. response:	Embryo-san.
context: Commander.\It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san. response:	What is it, Ersha?
context: It seems Embryo is desperate to find Ange.\Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha? response:	The preschool children...
context: Can you avoid his notice and rescue her?\Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha?\The preschool children... response:	Please, bring them back to life again.
context: Make no mistake, Ange will return.\H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha?\The preschool children...\Please, bring them back to life again. response:	I can't do that.
context: H-How do you know that?\Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha?\The preschool children...\Please, bring them back to life again.\I can't do that. response:	The new world is for my new humanity.
context: Because she's my friend.\Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha?\The preschool children...\Please, bring them back to life again.\I can't do that.\The new world is for my new humanity. response:	We can't bring those girls there.
context: Dear, oh dear. What a barbaric woman.\Embryo-san.\What is it, Ersha?\The preschool children...\Please, bring them back to life again.\I can't do that.\The new world is for my new humanity.\We can't bring those girls there. response:	But...
context: Embryo-san.\What is it, Ersha?\The preschool children...\Please, bring them back to life again.\I can't do that.\The new world is for my new humanity.\We can't bring those girls there.\But... response:	I will have you be a mother to the new humanity of my new world.
context: What is it, Ersha?\The preschool children...\Please, bring them back to life again.\I can't do that.\The new world is for my new humanity.\We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world. response:	You understand, don't you, Ersha?
context: The preschool children...\Please, bring them back to life again.\I can't do that.\The new world is for my new humanity.\We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha? response:	No.
context: Please, bring them back to life again.\I can't do that.\The new world is for my new humanity.\We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No. response:	No!
context: I can't do that.\The new world is for my new humanity.\We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No.\No! response:	Those children!
context: The new world is for my new humanity.\We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No.\No!\Those children! response:	Those children are my everything!
context: We can't bring those girls there.\But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No.\No!\Those children!\Those children are my everything! response:	I don't care what happens to me.
context: But...\I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No.\No!\Those children!\Those children are my everything!\I don't care what happens to me. response:	Please!
context: I will have you be a mother to the new humanity of my new world.\You understand, don't you, Ersha?\No.\No!\Those children!\Those children are my everything!\I don't care what happens to me.\Please! response:	I thought you were a more intelligent woman.
context: You understand, don't you, Ersha?\No.\No!\Those children!\Those children are my everything!\I don't care what happens to me.\Please!\I thought you were a more intelligent woman. response:	Do not trouble me further.
context: No.\No!\Those children!\Those children are my everything!\I don't care what happens to me.\Please!\I thought you were a more intelligent woman.\Do not trouble me further. response:	I'm busy.
context: No!\Those children!\Those children are my everything!\I don't care what happens to me.\Please!\I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy. response:	Are we really going to wait for Ange?
context: Those children!\Those children are my everything!\I don't care what happens to me.\Please!\I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy.\Are we really going to wait for Ange? response:	The world's in peril.
context: Those children are my everything!\I don't care what happens to me.\Please!\I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy.\Are we really going to wait for Ange?\The world's in peril. response:	What are we going to do?
context: I don't care what happens to me.\Please!\I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy.\Are we really going to wait for Ange?\The world's in peril.\What are we going to do? response:	I'm thinking about it.
context: Please!\I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy.\Are we really going to wait for Ange?\The world's in peril.\What are we going to do?\I'm thinking about it. response:	You're only thinking about Ange.
context: I thought you were a more intelligent woman.\Do not trouble me further.\I'm busy.\Are we really going to wait for Ange?\The world's in peril.\What are we going to do?\I'm thinking about it.\You're only thinking about Ange. response:	What can we do without Ange and the Villkiss?
context: Do not trouble me further.\I'm busy.\Are we really going to wait for Ange?\The world's in peril.\What are we going to do?\I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss? response:	Chris took us down by herself.
context: I'm busy.\Are we really going to wait for Ange?\The world's in peril.\What are we going to do?\I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself. response:	I'm going with the DRAGONs.
context: Are we really going to wait for Ange?\The world's in peril.\What are we going to do?\I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs. response:	I'll do anything, if it means killing Chris.
context: The world's in peril.\What are we going to do?\I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris. response:	We have to do it.
context: What are we going to do?\I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it. response:	We have to do it.
context: I'm thinking about it.\You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it.\We have to do it. response:	For Marika.
context: You're only thinking about Ange.\What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it.\We have to do it.\For Marika. response:	Rosalie...
context: What can we do without Ange and the Villkiss?\Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it.\We have to do it.\For Marika.\Rosalie... response:	How?
context: Chris took us down by herself.\I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it.\We have to do it.\For Marika.\Rosalie...\How? response:	How did it end up this way?
context: I'm going with the DRAGONs.\I'll do anything, if it means killing Chris.\We have to do it.\We have to do it.\For Marika.\Rosalie...\How?\How did it end up this way? response:	Tell me, Hilda.
context: I'll do anything, if it means killing Chris.\We have to do it.\We have to do it.\For Marika.\Rosalie...\How?\How did it end up this way?\Tell me, Hilda. response:	I'm too stupid to understand.
context: We have to do it.\We have to do it.\For Marika.\Rosalie...\How?\How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand. response:	I thought I'd always be friends with Chris.
context: We have to do it.\For Marika.\Rosalie...\How?\How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris. response:	I heard it was Chris that felled the Villkiss.
context: For Marika.\Rosalie...\How?\How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss. response:	What?
context: Rosalie...\How?\How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What? response:	She shot down the Villkiss and murdered a new recruit.
context: How?\How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit. response:	Embryo's men are exemplary.
context: How did it end up this way?\Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary. response:	The soldiers and the commander alike.
context: Tell me, Hilda.\I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike. response:	What are you trying to say?
context: I'm too stupid to understand.\I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say? response:	Well, if we'd been nicer to Salia,
context: I thought I'd always be friends with Chris.\I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia, response:	she might have never become an enemy.
context: I heard it was Chris that felled the Villkiss.\What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy. response:	It was all a lie.
context: What?\She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie. response:	A peaceful world, a fair life...
context: She shot down the Villkiss and murdered a new recruit.\Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life... response:	I'm sorry, everyone.
context: Embryo's men are exemplary.\The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone. response:	Just as it was that day...
context: The soldiers and the commander alike.\What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day... response:	When I went home, you were always there.
context: What are you trying to say?\Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there. response:	When I got home, Momoka, you were...
context: Well, if we'd been nicer to Salia,\she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were... response:	Yet...
context: she might have never become an enemy.\It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were...\Yet... response:	I'll avenge you, Alektra!
context: It was all a lie.\A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra! response:	Ange will surely come here.
context: A peaceful world, a fair life...\I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra!\Ange will surely come here. response:	I'm hoping you do, my Salia, he says.
context: I'm sorry, everyone.\Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says. response:	You liar.
context: Just as it was that day...\When I went home, you were always there.\When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar. response:	But Ange, if you're gone, and if he understands that I'm stronger,
context: When I went home, you were always there.\When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger, response:	Embryo-sama will accept me.
context: When I got home, Momoka, you were...\Yet...\I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me. response:	He'll accept my value.
context: Yet...\I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me.\He'll accept my value. response:	If I can achieve that much,
context: I'll avenge you, Alektra!\Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me.\He'll accept my value.\If I can achieve that much, response:	I don't need anything else.
context: Ange will surely come here.\I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me.\He'll accept my value.\If I can achieve that much,\I don't need anything else. response:	The DRAGONs' voices interfere with Mana and drive humans mad.
context: I'm hoping you do, my Salia, he says.\You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me.\He'll accept my value.\If I can achieve that much,\I don't need anything else.\The DRAGONs' voices interfere with Mana and drive humans mad. response:	That's why only the Norma could fight them, because they have no Mana.
context: You liar.\But Ange, if you're gone, and if he understands that I'm stronger,\Embryo-sama will accept me.\He'll accept my value.\If I can achieve that much,\I don't need anything else.\The DRAGONs' voices interfere with Mana and drive humans mad.\That's why only the Norma could fight them, because they have no Mana. response:	I was never told about that!
