context: It's a bit late to ask, but how are you feeling? response:	I'm fine.
context: I'm just glad it worked.\Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that, response:	we'll find Shinji and the Holy Grail, and shut it down.
context: Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down. response:	Once that's done, all that'll be left is for you to destroy the Grail.
context: Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail. response:	Look, about that...
context: Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that... response:	Shirou,
context: then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou, response:	there is something I must tell you first.
context: When you see it, storm the temple through the front entrance,\and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou,\there is something I must tell you first. response:	Saber?
context: and keep his attention on you.\While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou,\there is something I must tell you first.\Saber? response:	I shall only be able to employ my holy sword once.
context: While you're doing that,\we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou,\there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once. response:	She doesn't have enough mana.
context: we'll find Shinji and the Holy Grail, and shut it down.\Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou,\there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana. response:	The instant she uses her sword, she'll vanish from this world.
context: Once that's done, all that'll be left is for you to destroy the Grail.\Look, about that...\Shirou,\there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world. response:	What? Why?
context: Look, about that...\Shirou,\there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why? response:	Isn't that obvious?
context: Shirou,\there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious? response:	I'm supplying mana to two people.
context: there is something I must tell you first.\Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious?\I'm supplying mana to two people. response:	Hang on... You expect Saber to keep him busy
context: Saber?\I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy response:	with her trump card locked away?
context: I shall only be able to employ my holy sword once.\She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away? response:	Shirou...
context: She doesn't have enough mana.\The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou... response:	This is my decision.
context: The instant she uses her sword, she'll vanish from this world.\What? Why?\Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou...\This is my decision. response:	There's no other choice.
context: What? Why?\Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou...\This is my decision.\There's no other choice. response:	This is the only way to be sure.
context: Isn't that obvious?\I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou...\This is my decision.\There's no other choice.\This is the only way to be sure. response:	Saber is my Servant.
context: I'm supplying mana to two people.\Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou...\This is my decision.\There's no other choice.\This is the only way to be sure.\Saber is my Servant. response:	Do you think I'd let her sacrifice herself for no reason?
context: Hang on... You expect Saber to keep him busy\with her trump card locked away?\Shirou...\This is my decision.\There's no other choice.\This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason? response:	What the hell is that?
context: with her trump card locked away?\Shirou...\This is my decision.\There's no other choice.\This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that? response:	The mana is taking physical form.
context: Shirou...\This is my decision.\There's no other choice.\This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form. response:	The air... It feels just like it did ten years ago.
context: This is my decision.\There's no other choice.\This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago. response:	Which means that that is the Holy Grail.
context: There's no other choice.\This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail. response:	The vessel must have been too small.
context: This is the only way to be sure.\Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small. response:	What's inside is starting to break the vessel and leak out.
context: Saber is my Servant.\Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out. response:	Break the vessel?
context: Do you think I'd let her sacrifice herself for no reason?\What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel? response:	By which I mean breaking Shinji.
context: What the hell is that?\The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji. response:	He ought to be somewhere in there, linked to it as its core.
context: The mana is taking physical form.\The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core. response:	Could that be him up there?
context: The air... It feels just like it did ten years ago.\Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there? response:	I see something that looks like a person at the top.
context: Which means that that is the Holy Grail.\The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top. response:	This time, it seems the Holy Grail is using a human body to power itself.
context: The vessel must have been too small.\What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself. response:	But if this continues, the vessel will be shattered because it's incompatible.
context: What's inside is starting to break the vessel and leak out.\Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible. response:	If that happens, there won't be a Holy Grail anymore.
context: Break the vessel?\By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore. response:	There'll just be that strange muck, oozing out of the hole opened by the Grail.
context: By which I mean breaking Shinji.\He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail. response:	Then we have to pull Shinji out of there fast!
context: He ought to be somewhere in there, linked to it as its core.\Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast! response:	Wait! You're just walking up to it unprepared?
context: Could that be him up there?\I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared? response:	That muck is curses incarnated!
context: I see something that looks like a person at the top.\This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated! response:	We can't know if we don't try!
context: This time, it seems the Holy Grail is using a human body to power itself.\But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try! response:	We have to hurry!
context: But if this continues, the vessel will be shattered because it's incompatible.\If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try!\We have to hurry! response:	Saber's already fighting that guy.
context: If that happens, there won't be a Holy Grail anymore.\There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy. response:	We don't have time for indecision.
context: There'll just be that strange muck, oozing out of the hole opened by the Grail.\Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision. response:	What a surprise this is.
context: Then we have to pull Shinji out of there fast!\Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is. response:	To think I should look upon your misshapen faces a third time,
context: Wait! You're just walking up to it unprepared?\That muck is curses incarnated!\We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time, response:	mongrels.
context: That muck is curses incarnated!\We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels. response:	Gilgamesh!
context: We can't know if we don't try!\We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh! response:	No way! If you're here, who is Saber fighting?!
context: We have to hurry!\Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?! response:	I have been waiting.
context: Saber's already fighting that guy.\We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting. response:	I am glad that you arrived in time, Saber.
context: We don't have time for indecision.\What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber. response:	Assassin?
context: What a surprise this is.\To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber.\Assassin? response:	Impossible.
context: To think I should look upon your misshapen faces a third time,\mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber.\Assassin?\Impossible. response:	With Caster gone,
context: mongrels.\Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber.\Assassin?\Impossible.\With Caster gone, response:	you should not still be here!
context: Gilgamesh!\No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber.\Assassin?\Impossible.\With Caster gone,\you should not still be here! response:	I am a unique case, you see.
context: No way! If you're here, who is Saber fighting?!\I have been waiting.\I am glad that you arrived in time, Saber.\Assassin?\Impossible.\With Caster gone,\you should not still be here!\I am a unique case, you see. response:	I am a false Servant, summoned here,
context: I have been waiting.\I am glad that you arrived in time, Saber.\Assassin?\Impossible.\With Caster gone,\you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here, response:	with this location as my anchor.
context: I am glad that you arrived in time, Saber.\Assassin?\Impossible.\With Caster gone,\you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor. response:	As a result, I am a gatekeeper that may only appear at this main gate.
context: Assassin?\Impossible.\With Caster gone,\you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate. response:	Of course,
context: Impossible.\With Caster gone,\you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course, response:	with that vixen gone,
context: With Caster gone,\you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone, response:	I shan't survive the night.
context: you should not still be here!\I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone,\I shan't survive the night. response:	That I have managed to last this long is naught but good fortune.
context: I am a unique case, you see.\I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune. response:	It appears that both you and Saber
context: I am a false Servant, summoned here,\with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber response:	have been forsaken by fate.
context: with this location as my anchor.\As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate. response:	Were you unaware that a Servant who has yet to vanish is still at the main gate?
context: As a result, I am a gatekeeper that may only appear at this main gate.\Of course,\with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate? response:	Assassin...
context: Of course,\with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin... response:	No way... He's still here?
context: with that vixen gone,\I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here? response:	Now, then... Simply killing you would be dull.
context: I shan't survive the night.\That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull. response:	So I shall grant you a brief reprieve.
context: That I have managed to last this long is naught but good fortune.\It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve. response:	A reprieve?
context: It appears that both you and Saber\have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve? response:	I would feel sorry for Shinji if none but I were there at the end.
context: have been forsaken by fate.\Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end. response:	Bearing witness to how this ends will give even your lives meaning.
context: Were you unaware that a Servant who has yet to vanish is still at the main gate?\Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning. response:	Then you're really planning to commit genocide against the human race?
context: Assassin...\No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race? response:	To dare question me so, you must be willing to die...
context: No way... He's still here?\Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die... response:	This world has become far too kind to humans.
context: Now, then... Simply killing you would be dull.\So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans. response:	And therein lies your answer, little girl.
context: So I shall grant you a brief reprieve.\A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl. response:	This era, in which the rabble have bred to excess,
context: A reprieve?\I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess, response:	is far too cruel.
context: I would feel sorry for Shinji if none but I were there at the end.\Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel. response:	What?
context: Bearing witness to how this ends will give even your lives meaning.\Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel.\What? response:	In the past, in my world, none were extraneous.
context: Then you're really planning to commit genocide against the human race?\To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel.\What?\In the past, in my world, none were extraneous. response:	Even if one were a slave, one had purpose.
context: To dare question me so, you must be willing to die...\This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel.\What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose. response:	No matter whom one was, one's life had significance.
context: This world has become far too kind to humans.\And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel.\What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance. response:	But what of this era's world?
context: And therein lies your answer, little girl.\This era, in which the rabble have bred to excess,\is far too cruel.\What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world? response:	There are more people than there are purpose and significance.
context: This era, in which the rabble have bred to excess,\is far too cruel.\What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance. response:	Surely you, yourselves, also believe
context: is far too cruel.\What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe response:	that you have allowed your numbers to grow too great.
context: What?\In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great. response:	So I propose to personally cull the herd of mongrels.
context: In the past, in my world, none were extraneous.\Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels. response:	The culling ten years ago took fewer than five hundred.
context: Even if one were a slave, one had purpose.\No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred. response:	But this time, disaster will rain down upon the entire world.
context: No matter whom one was, one's life had significance.\But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world. response:	After their numbers have been thinned,
context: But what of this era's world?\There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned, response:	one can but guess how many will remain.
context: There are more people than there are purpose and significance.\Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain. response:	Is that not exciting?
context: Surely you, yourselves, also believe\that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting? response:	Only a sicko like you would get his kicks from that!
context: that you have allowed your numbers to grow too great.\So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that! response:	I was a fool to expect a straight answer.
context: So I propose to personally cull the herd of mongrels.\The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer. response:	I'll put an end to your Holy Grail right now!
context: The culling ten years ago took fewer than five hundred.\But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now! response:	Tohsaka?
context: But this time, disaster will rain down upon the entire world.\After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka? response:	I'll pull Shinji out.
context: After their numbers have been thinned,\one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out. response:	Whatever else he is, he's still Sakura's brother.
context: one can but guess how many will remain.\Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother. response:	Besides,
context: Is that not exciting?\Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides, response:	isn't it your credo to save anyone if it's possible to save them?
context: Only a sicko like you would get his kicks from that!\I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them? response:	You mean to walk through those curses?
context: I was a fool to expect a straight answer.\I'll put an end to your Holy Grail right now!\Tohsaka?\I'll pull Shinji out.\Whatever else he is, he's still Sakura's brother.\Besides,\isn't it your credo to save anyone if it's possible to save them?\You mean to walk through those curses? response:	Do you think a lowly human could walk through that?
