context: So for this problem response:	What? I still don't get it.
context: What do I like about you?\Your face, I guess.\What?\So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point. response:	You're cute, Ryoko-chan.
context: Your face, I guess.\What?\So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan. response:	Dammit, shut up!
context: What?\So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up! response:	Then what if you found someone cuter than me? Would you go for her?
context: So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her? response:	It's possible.
context: You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible. response:	Die!
context: You don't care about what's on the inside at all?\Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die! response:	Don't get upset.
context: Well, you're cute.\Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die!\Don't get upset. response:	You've got plenty of things going for you.
context: Again, not the point.\You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die!\Don't get upset.\You've got plenty of things going for you. response:	Like your boobs
context: You're cute, Ryoko-chan.\Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die!\Don't get upset.\You've got plenty of things going for you.\Like your boobs response:	Face, boobs... That's all you care about!
context: Dammit, shut up!\Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die!\Don't get upset.\You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about! response:	You don't care about who I am, do you?!
context: Then what if you found someone cuter than me? Would you go for her?\It's possible.\Die!\Don't get upset.\You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?! response:	I never said that, did I?
context: It's possible.\Die!\Don't get upset.\You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I? response:	I think I do care about what's on the inside.
context: Die!\Don't get upset.\You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside. response:	What's so good about me, then?
context: Don't get upset.\You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then? response:	Nothing.
context: You've got plenty of things going for you.\Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then?\Nothing. response:	Nothing?
context: Like your boobs\Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then?\Nothing.\Nothing? response:	Not at all?
context: Face, boobs... That's all you care about!\You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then?\Nothing.\Nothing?\Not at all? response:	Nope.
context: You don't care about who I am, do you?!\I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then?\Nothing.\Nothing?\Not at all?\Nope. response:	You said it yourself.
context: I never said that, did I?\I think I do care about what's on the inside.\What's so good about me, then?\Nothing.\Nothing?\Not at all?\Nope.\You said it yourself. response:	You're short-tempered and crass.
context: I think I do care about what's on the inside.\What's so good about me, then?\Nothing.\Nothing?\Not at all?\Nope.\You said it yourself.\You're short-tempered and crass. response:	Well, sorry.
context: What's so good about me, then?\Nothing.\Nothing?\Not at all?\Nope.\You said it yourself.\You're short-tempered and crass.\Well, sorry. response:	Guess I'm not...
context: Nothing.\Nothing?\Not at all?\Nope.\You said it yourself.\You're short-tempered and crass.\Well, sorry.\Guess I'm not... response:	And you're a pain in the ass when you sulk like that.
context: Nothing?\Not at all?\Nope.\You said it yourself.\You're short-tempered and crass.\Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that. response:	Then why don't we break up already?!
context: Not at all?\Nope.\You said it yourself.\You're short-tempered and crass.\Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?! response:	There you go again.
context: Nope.\You said it yourself.\You're short-tempered and crass.\Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again. response:	Sure, you've got a lot of problems, but...
context: You said it yourself.\You're short-tempered and crass.\Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but... response:	Shut up!
context: You're short-tempered and crass.\Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but...\Shut up! response:	I don't want to hear it!
context: Well, sorry.\Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it! response:	But I still like you.
context: Guess I'm not...\And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it!\But I still like you. response:	Y-You just like my boobs or some shit, right?
context: And you're a pain in the ass when you sulk like that.\Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right? response:	I like your personality, too.
context: Then why don't we break up already?!\There you go again.\Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too. response:	Your short temper, your crassness...
context: There you go again.\Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness... response:	I'm obsessed with you.
context: Sure, you've got a lot of problems, but...\Shut up!\I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you. response:	If you're happy, you can show it, you know.
context: Shut up!\I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know. response:	Shut up, jeez!
context: I don't want to hear it!\But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez! response:	It's true, though.
context: But I still like you.\Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though. response:	You're so cute, you make me want to bully you.
context: Y-You just like my boobs or some shit, right?\I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you. response:	Then tell me you like me again.
context: I like your personality, too.\Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again. response:	You don't want me to tell you I love you?
context: Your short temper, your crassness...\I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you? response:	Fine, tell me you love me.
context: I'm obsessed with you.\If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me. response:	Tell me, please.
context: If you're happy, you can show it, you know.\Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please. response:	Tell me, please.
context: Shut up, jeez!\It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please.\Tell me, please. response:	Call me Ma-kun.
context: It's true, though.\You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please.\Tell me, please.\Call me Ma-kun. response:	Just hurry up and say it.
context: You're so cute, you make me want to bully you.\Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please.\Tell me, please.\Call me Ma-kun.\Just hurry up and say it. response:	Ryoko, I love you.
context: Then tell me you like me again.\You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please.\Tell me, please.\Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you. response:	Things got good with my boyfriend the other day.
context: You don't want me to tell you I love you?\Fine, tell me you love me.\Tell me, please.\Tell me, please.\Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day. response:	But we ended up not doing anything.
context: Fine, tell me you love me.\Tell me, please.\Tell me, please.\Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything. response:	Even dramas get special effects these days.
context: Tell me, please.\Tell me, please.\Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days. response:	Neither of us has been able to make a move since then.
context: Tell me, please.\Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then. response:	It's like we've been avoiding that kind of stuff.
context: Call me Ma-kun.\Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff. response:	I wonder why.
context: Just hurry up and say it.\Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why. response:	X-File
context: Ryoko, I love you.\Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why.\X-File response:	I wonder if he's embarrassed that he got cockblocked.
context: Things got good with my boyfriend the other day.\But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked. response:	It didn't bother me, though.
context: But we ended up not doing anything.\Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though. response:	I wouldn't mind him being a bit more aggressive.
context: Even dramas get special effects these days.\Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive. response:	Then again, I'd feel weird about bringing it up.
context: Neither of us has been able to make a move since then.\It's like we've been avoiding that kind of stuff.\I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up. response:	So have you seen it, Kana?
context: It's like we've been avoiding that kind of stuff.\I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana? response:	Huh?
context: I wonder why.\X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh? response:	What were we talking about again?
context: X-File\I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh?\What were we talking about again? response:	The drama.
context: I wonder if he's embarrassed that he got cockblocked.\It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh?\What were we talking about again?\The drama. response:	We said we'd get our comedy ideas from dramas because bang was getting old, remember?
context: It didn't bother me, though.\I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh?\What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember? response:	Oh... Yeah...
context: I wouldn't mind him being a bit more aggressive.\Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh?\What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah... response:	So let's try me as the detective and you as the suspect.
context: Then again, I'd feel weird about bringing it up.\So have you seen it, Kana?\Huh?\What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect. response:	Wait, I've never seen that show.
context: So have you seen it, Kana?\Huh?\What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show. response:	It's fine.
context: Huh?\What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine. response:	I'll just go with the flow.
context: What were we talking about again?\The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine.\I'll just go with the flow. response:	Just follow my lead.
context: The drama.\We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine.\I'll just go with the flow.\Just follow my lead. response:	Honestly, I don't care about comedy ideas right now.
context: We said we'd get our comedy ideas from dramas because bang was getting old, remember?\Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine.\I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now. response:	FBI! Hands behind your head!
context: Oh... Yeah...\So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine.\I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head! response:	W-Wait.
context: So let's try me as the detective and you as the suspect.\Wait, I've never seen that show.\It's fine.\I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait. response:	Close your eyes.
context: Wait, I've never seen that show.\It's fine.\I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait.\Close your eyes. response:	Don't resist arrest.
context: It's fine.\I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait.\Close your eyes.\Don't resist arrest. response:	Fool! You've let your guard down!
context: I'll just go with the flow.\Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait.\Close your eyes.\Don't resist arrest.\Fool! You've let your guard down! response:	D-Despicable.
context: Just follow my lead.\Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait.\Close your eyes.\Don't resist arrest.\Fool! You've let your guard down!\D-Despicable. response:	You too, mister.
context: Honestly, I don't care about comedy ideas right now.\FBI! Hands behind your head!\W-Wait.\Close your eyes.\Don't resist arrest.\Fool! You've let your guard down!\D-Despicable.\You too, mister. response:	Wait, we've broken character.
context: FBI! Hands behind your head!\W-Wait.\Close your eyes.\Don't resist arrest.\Fool! You've let your guard down!\D-Despicable.\You too, mister.\Wait, we've broken character. response:	Oh, yeah.
context: W-Wait.\Close your eyes.\Don't resist arrest.\Fool! You've let your guard down!\D-Despicable.\You too, mister.\Wait, we've broken character.\Oh, yeah. response:	Did he try to kiss me just now?
context: Close your eyes.\Don't resist arrest.\Fool! You've let your guard down!\D-Despicable.\You too, mister.\Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now? response:	Glance.
context: Don't resist arrest.\Fool! You've let your guard down!\D-Despicable.\You too, mister.\Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now?\Glance. response:	Don't tell me he's gonna do it via skit.
context: Fool! You've let your guard down!\D-Despicable.\You too, mister.\Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit. response:	No, no, no, you can't be serious.
context: D-Despicable.\You too, mister.\Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious. response:	All right, I'll be an alien next!
context: You too, mister.\Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next! response:	You can't be serious!
context: Wait, we've broken character.\Oh, yeah.\Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious! response:	And you're the FBI agent this time.
context: Oh, yeah.\Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time. response:	U-Uh, all right, I'll try.
context: Did he try to kiss me just now?\Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try. response:	A-Assuming...
context: Glance.\Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming... response:	Assuming he was trying to kiss me, this set up can only mean...
context: Don't tell me he's gonna do it via skit.\No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean... response:	You can't be serious! Are you for real?!
context: No, no, no, you can't be serious.\All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?! response:	Stay back!
context: All right, I'll be an alien next!\You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back! response:	Stay back, or I'll shoot!
context: You can't be serious!\And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot! response:	Seriously?!
context: And you're the FBI agent this time.\U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot!\Seriously?! response:	Something like that.
context: U-Uh, all right, I'll try.\A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot!\Seriously?!\Something like that. response:	Er... I don't know.
context: A-Assuming...\Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot!\Seriously?!\Something like that.\Er... I don't know. response:	This bit doesn't have a punch line.
context: Assuming he was trying to kiss me, this set up can only mean...\You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot!\Seriously?!\Something like that.\Er... I don't know.\This bit doesn't have a punch line. response:	We need to come up with something.
context: You can't be serious! Are you for real?!\Stay back!\Stay back, or I'll shoot!\Seriously?!\Something like that.\Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something. response:	Hey...
context: Stay back!\Stay back, or I'll shoot!\Seriously?!\Something like that.\Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something.\Hey... response:	Let's just go home.
context: Stay back, or I'll shoot!\Seriously?!\Something like that.\Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something.\Hey...\Let's just go home. response:	Yeah.
context: Seriously?!\Something like that.\Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something.\Hey...\Let's just go home.\Yeah. response:	The End
context: Something like that.\Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something.\Hey...\Let's just go home.\Yeah.\The End response:	I heard you like movies, so if you're up for it...
context: Er... I don't know.\This bit doesn't have a punch line.\We need to come up with something.\Hey...\Let's just go home.\Yeah.\The End\I heard you like movies, so if you're up for it... response:	I-I don't mind, but...
context: This bit doesn't have a punch line.\We need to come up with something.\Hey...\Let's just go home.\Yeah.\The End\I heard you like movies, so if you're up for it...\I-I don't mind, but... response:	Okay, see you tomorrow at the theater!
context: We need to come up with something.\Hey...\Let's just go home.\Yeah.\The End\I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater! response:	Yamane-dono!
context: Hey...\Let's just go home.\Yeah.\The End\I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono! response:	How did the exam go?
context: Let's just go home.\Yeah.\The End\I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go? response:	We Don't Need Girls
context: Yeah.\The End\I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go?\We Don't Need Girls response:	Motoyama-kun!
context: The End\I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go?\We Don't Need Girls\Motoyama-kun! response:	What? Nothing.
context: I heard you like movies, so if you're up for it...\I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go?\We Don't Need Girls\Motoyama-kun!\What? Nothing. response:	Let me guess, you were thinking about tomorrow.
context: I-I don't mind, but...\Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go?\We Don't Need Girls\Motoyama-kun!\What? Nothing.\Let me guess, you were thinking about tomorrow. response:	Tomorrow?!
context: Okay, see you tomorrow at the theater!\Yamane-dono!\How did the exam go?\We Don't Need Girls\Motoyama-kun!\What? Nothing.\Let me guess, you were thinking about tomorrow.\Tomorrow?! response:	Dunno what you're talking about...
context: Yamane-dono!\How did the exam go?\We Don't Need Girls\Motoyama-kun!\What? Nothing.\Let me guess, you were thinking about tomorrow.\Tomorrow?!\Dunno what you're talking about... response:	We have plans to see a movie tomorrow, remember?
context: How did the exam go?\We Don't Need Girls\Motoyama-kun!\What? Nothing.\Let me guess, you were thinking about tomorrow.\Tomorrow?!\Dunno what you're talking about...\We have plans to see a movie tomorrow, remember? response:	I've been so excited about it, I couldn't focus on the test.
