context: We humans are miserable creatures. response:	We reject what we fear.
context: I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind. response:	Wait for me, Nameless!
context: If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless! response:	They brought the virus here!
context: So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here! response:	Set them on fire!
context: That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here!\Set them on fire! response:	Die! Die!
context: It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here!\Set them on fire!\Die! Die! response:	Stop immediately!
context: But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here!\Set them on fire!\Die! Die!\Stop immediately! response:	Ayame-sama!
context: Either way, you have to hurry.\It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here!\Set them on fire!\Die! Die!\Stop immediately!\Ayame-sama! response:	Thank goodness you're okay!
context: It's only a matter of time before it takes your mind.\Wait for me, Nameless!\They brought the virus here!\Set them on fire!\Die! Die!\Stop immediately!\Ayame-sama!\Thank goodness you're okay! response:	They are not the Corpses.
context: Wait for me, Nameless!\They brought the virus here!\Set them on fire!\Die! Die!\Stop immediately!\Ayame-sama!\Thank goodness you're okay!\They are not the Corpses. response:	Like we could believe that!
context: They brought the virus here!\Set them on fire!\Die! Die!\Stop immediately!\Ayame-sama!\Thank goodness you're okay!\They are not the Corpses.\Like we could believe that! response:	It's your duty to maintain order!
context: Set them on fire!\Die! Die!\Stop immediately!\Ayame-sama!\Thank goodness you're okay!\They are not the Corpses.\Like we could believe that!\It's your duty to maintain order! response:	No.
context: Die! Die!\Stop immediately!\Ayame-sama!\Thank goodness you're okay!\They are not the Corpses.\Like we could believe that!\It's your duty to maintain order!\No. response:	Order exists to protect the people.
context: Stop immediately!\Ayame-sama!\Thank goodness you're okay!\They are not the Corpses.\Like we could believe that!\It's your duty to maintain order!\No.\Order exists to protect the people. response:	We must not aim our guns at the wrong people.
context: Ayame-sama!\Thank goodness you're okay!\They are not the Corpses.\Like we could believe that!\It's your duty to maintain order!\No.\Order exists to protect the people.\We must not aim our guns at the wrong people. response:	What we should eliminate...
context: Thank goodness you're okay!\They are not the Corpses.\Like we could believe that!\It's your duty to maintain order!\No.\Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate... response:	We are going to escape from Diamond Citadel.
context: They are not the Corpses.\Like we could believe that!\It's your duty to maintain order!\No.\Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel. response:	Please join us.
context: Like we could believe that!\It's your duty to maintain order!\No.\Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us. response:	Why are you alive?
context: It's your duty to maintain order!\No.\Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us.\Why are you alive? response:	You tilled so many...
context: No.\Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us.\Why are you alive?\You tilled so many... response:	You can die too!
context: Order exists to protect the people.\We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us.\Why are you alive?\You tilled so many...\You can die too! response:	Yes.
context: We must not aim our guns at the wrong people.\What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us.\Why are you alive?\You tilled so many...\You can die too!\Yes. response:	We believe she'll make it to the castle tower in roughly 30 minutes.
context: What we should eliminate...\We are going to escape from Diamond Citadel.\Please join us.\Why are you alive?\You tilled so many...\You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes. response:	I got it.
context: We are going to escape from Diamond Citadel.\Please join us.\Why are you alive?\You tilled so many...\You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it. response:	We'll meet on platform 13 to evacuate.
context: Please join us.\Why are you alive?\You tilled so many...\You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate. response:	Understood.
context: Why are you alive?\You tilled so many...\You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate.\Understood. response:	It... can't be...
context: You tilled so many...\You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate.\Understood.\It... can't be... response:	What should I...
context: You can die too!\Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate.\Understood.\It... can't be...\What should I... response:	Young Master.
context: Yes.\We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate.\Understood.\It... can't be...\What should I...\Young Master. response:	Corpseless!
context: We believe she'll make it to the castle tower in roughly 30 minutes.\I got it.\We'll meet on platform 13 to evacuate.\Understood.\It... can't be...\What should I...\Young Master.\Corpseless! response:	Don't let him near the castle tower!
context: I got it.\We'll meet on platform 13 to evacuate.\Understood.\It... can't be...\What should I...\Young Master.\Corpseless!\Don't let him near the castle tower! response:	Get out of my way!
context: We'll meet on platform 13 to evacuate.\Understood.\It... can't be...\What should I...\Young Master.\Corpseless!\Don't let him near the castle tower!\Get out of my way! response:	I'm only here for Nameless and Biba!
context: Understood.\It... can't be...\What should I...\Young Master.\Corpseless!\Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba! response:	Sahari-sama!
context: It... can't be...\What should I...\Young Master.\Corpseless!\Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama! response:	He may have the body of a Corpses...
context: What should I...\Young Master.\Corpseless!\Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses... response:	Sahari-sama!
context: Young Master.\Corpseless!\Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses...\Sahari-sama! response:	Stop the stray Corpseless!
context: Corpseless!\Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless! response:	In that case, it's only a matter of crushing him...
context: Don't let him near the castle tower!\Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him... response:	I will not allow you to interfere with our plans!
context: Get out of my way!\I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans! response:	This is where you die!
context: I'm only here for Nameless and Biba!\Sahari-sama!\He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die! response:	Ikoma!
context: Sahari-sama!\He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die!\Ikoma! response:	Ikoma.
context: He may have the body of a Corpses...\Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die!\Ikoma!\Ikoma. response:	Don't worry...
context: Sahari-sama!\Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die!\Ikoma!\Ikoma.\Don't worry... response:	How dare you...
context: Stop the stray Corpseless!\In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die!\Ikoma!\Ikoma.\Don't worry...\How dare you... response:	You killed too many!
context: In that case, it's only a matter of crushing him...\I will not allow you to interfere with our plans!\This is where you die!\Ikoma!\Ikoma.\Don't worry...\How dare you...\You killed too many! response:	After all that damage...
context: I will not allow you to interfere with our plans!\This is where you die!\Ikoma!\Ikoma.\Don't worry...\How dare you...\You killed too many!\After all that damage... response:	Ikoma...
context: This is where you die!\Ikoma!\Ikoma.\Don't worry...\How dare you...\You killed too many!\After all that damage...\Ikoma... response:	Young Master.
context: Ikoma!\Ikoma.\Don't worry...\How dare you...\You killed too many!\After all that damage...\Ikoma...\Young Master. response:	The Corpses are spreading faster than we had anticipated.
context: Ikoma.\Don't worry...\How dare you...\You killed too many!\After all that damage...\Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated. response:	Please take this if the worst should happen.
context: Don't worry...\How dare you...\You killed too many!\After all that damage...\Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen. response:	Is he the next one you want me to kill, commander?
context: How dare you...\You killed too many!\After all that damage...\Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander? response:	No, you save our people.
context: You killed too many!\After all that damage...\Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people. response:	Once this is all over...
context: After all that damage...\Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over... response:	What about you?
context: Ikoma...\Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over...\What about you? response:	I must go...
context: Young Master.\The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over...\What about you?\I must go... response:	A dying man...
context: The Corpses are spreading faster than we had anticipated.\Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over...\What about you?\I must go...\A dying man... response:	Kurusu!
context: Please take this if the worst should happen.\Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over...\What about you?\I must go...\A dying man...\Kurusu! response:	Kurusu!
context: Is he the next one you want me to kill, commander?\No, you save our people.\Once this is all over...\What about you?\I must go...\A dying man...\Kurusu!\Kurusu! response:	I'm fine!
context: No, you save our people.\Once this is all over...\What about you?\I must go...\A dying man...\Kurusu!\Kurusu!\I'm fine! response:	Go, Corpseless!
context: Once this is all over...\What about you?\I must go...\A dying man...\Kurusu!\Kurusu!\I'm fine!\Go, Corpseless! response:	Nameless...
context: What about you?\I must go...\A dying man...\Kurusu!\Kurusu!\I'm fine!\Go, Corpseless!\Nameless... response:	I have to be strong in order to live.
context: I must go...\A dying man...\Kurusu!\Kurusu!\I'm fine!\Go, Corpseless!\Nameless...\I have to be strong in order to live. response:	The weak part of me can never return.
context: A dying man...\Kurusu!\Kurusu!\I'm fine!\Go, Corpseless!\Nameless...\I have to be strong in order to live.\The weak part of me can never return. response:	Not anywhere...
context: Kurusu!\Kurusu!\I'm fine!\Go, Corpseless!\Nameless...\I have to be strong in order to live.\The weak part of me can never return.\Not anywhere... response:	Isn't that right...
context: Kurusu!\I'm fine!\Go, Corpseless!\Nameless...\I have to be strong in order to live.\The weak part of me can never return.\Not anywhere...\Isn't that right... response:	Nameless...
context: I'm fine!\Go, Corpseless!\Nameless...\I have to be strong in order to live.\The weak part of me can never return.\Not anywhere...\Isn't that right...\Nameless... response:	I'm coming... to save you!
context: Go, Corpseless!\Nameless...\I have to be strong in order to live.\The weak part of me can never return.\Not anywhere...\Isn't that right...\Nameless...\I'm coming... to save you! response:	Nameless!
context: Nameless...\I have to be strong in order to live.\The weak part of me can never return.\Not anywhere...\Isn't that right...\Nameless...\I'm coming... to save you!\Nameless! response:	Ikoma?
context: I have to be strong in order to live.\The weak part of me can never return.\Not anywhere...\Isn't that right...\Nameless...\I'm coming... to save you!\Nameless!\Ikoma? response:	I'm going to turn you back now!
context: The weak part of me can never return.\Not anywhere...\Isn't that right...\Nameless...\I'm coming... to save you!\Nameless!\Ikoma?\I'm going to turn you back now! response:	Biba!
context: Not anywhere...\Isn't that right...\Nameless...\I'm coming... to save you!\Nameless!\Ikoma?\I'm going to turn you back now!\Biba! response:	I've been waiting...
context: Isn't that right...\Nameless...\I'm coming... to save you!\Nameless!\Ikoma?\I'm going to turn you back now!\Biba!\I've been waiting... response:	And I am here...
context: Nameless...\I'm coming... to save you!\Nameless!\Ikoma?\I'm going to turn you back now!\Biba!\I've been waiting...\And I am here... response:	Get out of my way.
context: I'm coming... to save you!\Nameless!\Ikoma?\I'm going to turn you back now!\Biba!\I've been waiting...\And I am here...\Get out of my way. response:	Biba!
context: Nameless!\Ikoma?\I'm going to turn you back now!\Biba!\I've been waiting...\And I am here...\Get out of my way.\Biba! response:	Judging from your appearance... you must have used the black blood.
context: Ikoma?\I'm going to turn you back now!\Biba!\I've been waiting...\And I am here...\Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood. response:	What is it you seek that you would sacrifice so much?
context: I'm going to turn you back now!\Biba!\I've been waiting...\And I am here...\Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much? response:	That's all!
context: Biba!\I've been waiting...\And I am here...\Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all! response:	Ikoma...
context: I've been waiting...\And I am here...\Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all!\Ikoma... response:	Biba...
context: And I am here...\Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all!\Ikoma...\Biba... response:	Biba...
context: Get out of my way.\Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all!\Ikoma...\Biba...\Biba... response:	Kill you.
context: Biba!\Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all!\Ikoma...\Biba...\Biba...\Kill you. response:	So you have found...
context: Judging from your appearance... you must have used the black blood.\What is it you seek that you would sacrifice so much?\That's all!\Ikoma...\Biba...\Biba...\Kill you.\So you have found... response:	Nameless!
context: What is it you seek that you would sacrifice so much?\That's all!\Ikoma...\Biba...\Biba...\Kill you.\So you have found...\Nameless! response:	Are you there?!
context: That's all!\Ikoma...\Biba...\Biba...\Kill you.\So you have found...\Nameless!\Are you there?! response:	Live...
context: Ikoma...\Biba...\Biba...\Kill you.\So you have found...\Nameless!\Are you there?!\Live... response:	Stop, brother!
context: Biba...\Biba...\Kill you.\So you have found...\Nameless!\Are you there?!\Live...\Stop, brother! response:	What are you doing?
context: Biba...\Kill you.\So you have found...\Nameless!\Are you there?!\Live...\Stop, brother!\What are you doing? response:	Get up, Ikoma.
context: Kill you.\So you have found...\Nameless!\Are you there?!\Live...\Stop, brother!\What are you doing?\Get up, Ikoma. response:	As you can see, I am still standing!
context: So you have found...\Nameless!\Are you there?!\Live...\Stop, brother!\What are you doing?\Get up, Ikoma.\As you can see, I am still standing! response:	Fight...
context: Nameless!\Are you there?!\Live...\Stop, brother!\What are you doing?\Get up, Ikoma.\As you can see, I am still standing!\Fight... response:	Nameless...
context: Are you there?!\Live...\Stop, brother!\What are you doing?\Get up, Ikoma.\As you can see, I am still standing!\Fight...\Nameless... response:	I told you to stop.
context: Live...\Stop, brother!\What are you doing?\Get up, Ikoma.\As you can see, I am still standing!\Fight...\Nameless...\I told you to stop. response:	I wish you would listen to me sometimes... brother.
context: Stop, brother!\What are you doing?\Get up, Ikoma.\As you can see, I am still standing!\Fight...\Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother. response:	We are going to live even though we're weak.
context: What are you doing?\Get up, Ikoma.\As you can see, I am still standing!\Fight...\Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak. response:	We're going to make rice paddies together...
context: Get up, Ikoma.\As you can see, I am still standing!\Fight...\Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together... response:	So... I'm sorry...
context: As you can see, I am still standing!\Fight...\Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry... response:	I see...
context: Fight...\Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry...\I see... response:	No.
context: Nameless...\I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry...\I see...\No. response:	I'm... Hozumi.
context: I told you to stop.\I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry...\I see...\No.\I'm... Hozumi. response:	It's going to be okay!
context: I wish you would listen to me sometimes... brother.\We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry...\I see...\No.\I'm... Hozumi.\It's going to be okay! response:	There's enough room for everyone!
context: We are going to live even though we're weak.\We're going to make rice paddies together...\So... I'm sorry...\I see...\No.\I'm... Hozumi.\It's going to be okay!\There's enough room for everyone! response:	Don't panic!
context: We're going to make rice paddies together...\So... I'm sorry...\I see...\No.\I'm... Hozumi.\It's going to be okay!\There's enough room for everyone!\Don't panic! response:	We should be able to go there following line six.
context: So... I'm sorry...\I see...\No.\I'm... Hozumi.\It's going to be okay!\There's enough room for everyone!\Don't panic!\We should be able to go there following line six. response:	There's no guarantee that the railway is intact.
context: I see...\No.\I'm... Hozumi.\It's going to be okay!\There's enough room for everyone!\Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact. response:	But there has to be a path.
context: No.\I'm... Hozumi.\It's going to be okay!\There's enough room for everyone!\Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path. response:	Biba would have left a railway for his escape.
context: I'm... Hozumi.\It's going to be okay!\There's enough room for everyone!\Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape. response:	Would you like me to tell you?
context: It's going to be okay!\There's enough room for everyone!\Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you? response:	You're...!
context: There's enough room for everyone!\Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you?\You're...! response:	Let's make a deal.
context: Don't panic!\We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you?\You're...!\Let's make a deal. response:	In exchange for telling you the escape route...
context: We should be able to go there following line six.\There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you?\You're...!\Let's make a deal.\In exchange for telling you the escape route... response:	You must be joking!
context: There's no guarantee that the railway is intact.\But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you?\You're...!\Let's make a deal.\In exchange for telling you the escape route...\You must be joking! response:	Like we would ever accept that!
context: But there has to be a path.\Biba would have left a railway for his escape.\Would you like me to tell you?\You're...!\Let's make a deal.\In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that! response:	Let us cooperate.
context: Biba would have left a railway for his escape.\Would you like me to tell you?\You're...!\Let's make a deal.\In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that!\Let us cooperate. response:	Ayame-sama!
context: Would you like me to tell you?\You're...!\Let's make a deal.\In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that!\Let us cooperate.\Ayame-sama! response:	They are suffering as well.
context: You're...!\Let's make a deal.\In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that!\Let us cooperate.\Ayame-sama!\They are suffering as well. response:	Or else they would be using force to have us comply.
context: Let's make a deal.\In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that!\Let us cooperate.\Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply. response:	Thanks, princess.
context: In exchange for telling you the escape route...\You must be joking!\Like we would ever accept that!\Let us cooperate.\Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess. response:	I'll tell you something good for that.
context: You must be joking!\Like we would ever accept that!\Let us cooperate.\Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that. response:	The stray Corpseless and your loyal dog are both here.
context: Like we would ever accept that!\Let us cooperate.\Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here. response:	Nameless. You have turned back.
context: Let us cooperate.\Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back. response:	Ikoma!
context: Ayame-sama!\They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma! response:	What are you?!
context: They are suffering as well.\Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma!\What are you?! response:	Ikoma!
context: Or else they would be using force to have us comply.\Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma!\What are you?!\Ikoma! response:	Kurusu, he's going to be okay, isn't he?
context: Thanks, princess.\I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma!\What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he? response:	I was able to turn back, so Ikoma should too!
context: I'll tell you something good for that.\The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma!\What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too! response:	Tell me, Ikoma.
context: The stray Corpseless and your loyal dog are both here.\Nameless. You have turned back.\Ikoma!\What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma. response:	What should I do?
context: Nameless. You have turned back.\Ikoma!\What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do? response:	I'll cut down a million Corpses if you ask me to.
context: Ikoma!\What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to. response:	Nameless -chan, can you hear me?
context: What are you?!\Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me? response:	Kajika?
context: Ikoma!\Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika? response:	Kurusu, Ikoma can you hear me?
context: Kurusu, he's going to be okay, isn't he?\I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me? response:	I'm talking to you from the Iron Fortress.
context: I was able to turn back, so Ikoma should too!\Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress. response:	Signal is good.
context: Tell me, Ikoma.\What should I do?\I'll cut down a million Corpses if you ask me to.\Nameless -chan, can you hear me?\Kajika?\Kurusu, Ikoma can you hear me?\I'm talking to you from the Iron Fortress.\Signal is good. response:	Come meet us on platform 13.
