context: Wow, who's that? response:	His face is so pretty.
context: Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou. response:	I look forward to my time here.
context: And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here. response:	Oh my gosh! He's so hot!
context: Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot! response:	He's like a model!
context: Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model! response:	What a cute little face!
context: Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model!\What a cute little face! response:	Just pick an open seat.
context: Come on in, Tsugumi-san.\Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model!\What a cute little face!\Just pick an open seat. response:	Okay.
context: Okay.\Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model!\What a cute little face!\Just pick an open seat.\Okay. response:	Huh? Did he just snicker at me?
context: Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.\I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model!\What a cute little face!\Just pick an open seat.\Okay.\Huh? Did he just snicker at me? response:	Tsugumi?
context: I look forward to my time here.\Oh my gosh! He's so hot!\He's like a model!\What a cute little face!\Just pick an open seat.\Okay.\Huh? Did he just snicker at me?\Tsugumi? response:	Mistress!
context: Oh my gosh! He's so hot!\He's like a model!\What a cute little face!\Just pick an open seat.\Okay.\Huh? Did he just snicker at me?\Tsugumi?\Mistress! response:	It's been so long, Mistress!
context: He's like a model!\What a cute little face!\Just pick an open seat.\Okay.\Huh? Did he just snicker at me?\Tsugumi?\Mistress!\It's been so long, Mistress! response:	H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!
context: What a cute little face!\Just pick an open seat.\Okay.\Huh? Did he just snicker at me?\Tsugumi?\Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching! response:	Oh, Mistress! I've waited so long for this moment.
context: Just pick an open seat.\Okay.\Huh? Did he just snicker at me?\Tsugumi?\Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment. response:	Episode 7: Rival
context: Okay.\Huh? Did he just snicker at me?\Tsugumi?\Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival response:	Episode 7: Rival
context: Huh? Did he just snicker at me?\Tsugumi?\Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival response:	Episode 7: Rival
context: Tsugumi?\Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival\Episode 7: Rival response:	I apologize for my abrupt appearance.
context: Mistress!\It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance. response:	Claude-sama has ordered that I guard you while broadening my own knowledge.
context: It's been so long, Mistress!\H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge. response:	Fair enough, but...
context: H-Hey wait! What are you doing?! Are you crazy? Everybody's watching!\Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but... response:	That aside, what's with your uniform?
context: Oh, Mistress! I've waited so long for this moment.\Episode 7: Rival\Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform? response:	Oh, this?
context: Episode 7: Rival\Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform?\Oh, this? response:	As much as I tried, I was unable to acquire a uniform for this school. This was all I had.
context: Episode 7: Rival\Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had. response:	Honestly though, I wonder why he's dressed like that?
context: Episode 7: Rival\I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that? response:	Didn't you hear him? He couldn't get the right uniform.
context: I apologize for my abrupt appearance.\Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform. response:	Oh, that's not what I meant.
context: Claude-sama has ordered that I guard you while broadening my own knowledge.\Fair enough, but...\That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant. response:	Oh, I see! So that's how it is!
context: Fair enough, but...\That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is! response:	Well, of course he couldn't! Oh well!
context: That aside, what's with your uniform?\Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well! response:	What's with you? You're creeping me out.
context: Oh, this?\As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out. response:	By the way...
context: As much as I tried, I was unable to acquire a uniform for this school. This was all I had.\Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way... response:	I've heard that you picked up quite a handsome boyfriend for yourself.
context: Honestly though, I wonder why he's dressed like that?\Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself. response:	I must request that you introduce me to him, if you would.
context: Didn't you hear him? He couldn't get the right uniform.\Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would. response:	Uh, right, yeah. H-Hey, you over here!
context: Oh, that's not what I meant.\Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here! response:	This guy! He's my new boyfriend!
context: Oh, I see! So that's how it is!\Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend! response:	Uh, nice to meet you.
context: Well, of course he couldn't! Oh well!\What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you. response:	I've heard so much about you!
context: What's with you? You're creeping me out.\By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you! response:	But to see you in person now, I can be certain that you truly are as reliable as they say.
context: By the way...\I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say. response:	It's clear now that the Bee Hive gang is in good hands.
context: I've heard that you picked up quite a handsome boyfriend for yourself.\I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands. response:	Thanks.
context: I must request that you introduce me to him, if you would.\Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks. response:	What's this? I imagined a gangster like him would be nothing but bad news.
context: Uh, right, yeah. H-Hey, you over here!\This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news. response:	But he seems to be a pretty friendly guy.
context: This guy! He's my new boyfriend!\Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy. response:	Excuse me.
context: Uh, nice to meet you.\I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me. response:	Allow me introduce myself more personally.
context: I've heard so much about you!\But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally. response:	I'm Tsugumi Seishirou.
context: But to see you in person now, I can be certain that you truly are as reliable as they say.\It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou. response:	Since Mistress and I are so close in age,
context: It's clear now that the Bee Hive gang is in good hands.\Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age, response:	we often played with each other as children, essentially growing up together.
context: Thanks.\What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together. response:	Lately though, we haven't had any opportunity to see each other.
context: What's this? I imagined a gangster like him would be nothing but bad news.\But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other. response:	Thus, I've been worrying about her quite frequently.
context: But he seems to be a pretty friendly guy.\Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently. response:	What? This gorilla woman?
context: Excuse me.\Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman? response:	Gorilla?
context: Allow me introduce myself more personally.\I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla? response:	No, no. He's just joking around!
context: I'm Tsugumi Seishirou.\Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla?\No, no. He's just joking around! response:	Wait a minute, she told me she's never had any friends or boyfriends,
context: Since Mistress and I are so close in age,\we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends, response:	but there's one right here.
context: we often played with each other as children, essentially growing up together.\Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here. response:	He counts, right?
context: Lately though, we haven't had any opportunity to see each other.\Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right? response:	Okay, open wide and say, Ah!
context: Thus, I've been worrying about her quite frequently.\What? This gorilla woman?\Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right?\Okay, open wide and say, Ah! response:	That's enough! I told you, you don't need to feed me!
context: What? This gorilla woman?\Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me! response:	Oh, there's no harm in it, Mistress!
context: Gorilla?\No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress! response:	I remember when we used to eat like this all the time.
context: No, no. He's just joking around!\Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time. response:	But we were just kids back then!
context: Wait a minute, she told me she's never had any friends or boyfriends,\but there's one right here.\He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then! response:	What am I watching?
context: but there's one right here.\He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching? response:	You can't keep acting like this, Tsugumi!
context: He counts, right?\Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi! response:	How long are you going to keep it up?!
context: Okay, open wide and say, Ah!\That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?! response:	Here! It's your favorite, Assam tea!
context: That's enough! I told you, you don't need to feed me!\Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea! response:	Huh? Oh, thank you.
context: Oh, there's no harm in it, Mistress!\I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you. response:	Hey, enough already!
context: I remember when we used to eat like this all the time.\But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already! response:	Mistress, you've grown up to be more magnificent than ever before.
context: But we were just kids back then!\What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before. response:	What's with this guy?
context: What am I watching?\You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy? response:	Oh hey, doing all right there, Ichijou-kun?
context: You can't keep acting like this, Tsugumi!\How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun? response:	That's a nice-looking rival you've got over there.
context: How long are you going to keep it up?!\Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there. response:	Ugh, you need to cut it out!
context: Here! It's your favorite, Assam tea!\Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out! response:	Stop being so clingy!
context: Huh? Oh, thank you.\Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy! response:	What? Don't you think that's a bit harsh, Mistress?
context: Hey, enough already!\Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress? response:	And to think there was a time when we would even bathe together!
context: Mistress, you've grown up to be more magnificent than ever before.\What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together! response:	Okay, that's it! I'm going to the bathroom for a minute!
context: What's with this guy?\Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute! response:	Don't you dare follow me!
context: Oh hey, doing all right there, Ichijou-kun?\That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me! response:	Take your time.
context: That's a nice-looking rival you've got over there.\Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time. response:	Ichijou-san.
context: Ugh, you need to cut it out!\Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time.\Ichijou-san. response:	Would you mind if we spoke in private for a moment?
context: Stop being so clingy!\What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment? response:	Why do we have to talk on the roof?
context: What? Don't you think that's a bit harsh, Mistress?\And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof? response:	Well, there is one thing that I would like you to clear up for me.
context: And to think there was a time when we would even bathe together!\Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me. response:	It concerns our Mistress. Do you truly love her with all your heart?
context: Okay, that's it! I'm going to the bathroom for a minute!\Don't you dare follow me!\Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart? response:	Damn straight I do!
context: Don't you dare follow me!\Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do! response:	That was close! I almost denied it.
context: Take your time.\Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it. response:	Is that so?
context: Ichijou-san.\Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it.\Is that so? response:	How much do you love her?
context: Would you mind if we spoke in private for a moment?\Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it.\Is that so?\How much do you love her? response:	Well, I love her more than words can describe, of course!
context: Why do we have to talk on the roof?\Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it.\Is that so?\How much do you love her?\Well, I love her more than words can describe, of course! response:	Is that true?
context: Well, there is one thing that I would like you to clear up for me.\It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it.\Is that so?\How much do you love her?\Well, I love her more than words can describe, of course!\Is that true? response:	Yeah, you bet!
context: It concerns our Mistress. Do you truly love her with all your heart?\Damn straight I do!\That was close! I almost denied it.\Is that so?\How much do you love her?\Well, I love her more than words can describe, of course!\Is that true?\Yeah, you bet! response:	Would you go so far as to give your life for my Mistress?
context: Damn straight I do!\That was close! I almost denied it.\Is that so?\How much do you love her?\Well, I love her more than words can describe, of course!\Is that true?\Yeah, you bet!\Would you go so far as to give your life for my Mistress? response:	Of course! I'd give my life in a heartbeat!
