context: Though my true power has been unleashed, response:	you are still able to keep up.
context: What do you think you're doing?\This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?!\I give up!\We're under attack again!\Return fire!\The guns are jacked! response:	Seriously?! We're dead meat!
context: This area's got some nice rubble.\Hurry up and get out of my way.\She's using her psychic power?!\I give up!\We're under attack again!\Return fire!\The guns are jacked!\Seriously?! We're dead meat! response:	This planet's too tough!
context: Hurry up and get out of my way.\She's using her psychic power?!\I give up!\We're under attack again!\Return fire!\The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough! response:	Lord Boros!
context: She's using her psychic power?!\I give up!\We're under attack again!\Return fire!\The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough!\Lord Boros! response:	I wanna go home
context: I give up!\We're under attack again!\Return fire!\The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough!\Lord Boros!\I wanna go home response:	Such incredible power.
context: We're under attack again!\Return fire!\The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough!\Lord Boros!\I wanna go home\Such incredible power. response:	Tornado may actually bring it down on her own.
context: Return fire!\The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough!\Lord Boros!\I wanna go home\Such incredible power.\Tornado may actually bring it down on her own. response:	I have errands to run.
context: The guns are jacked!\Seriously?! We're dead meat!\This planet's too tough!\Lord Boros!\I wanna go home\Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run. response:	I will head out now.
context: Seriously?! We're dead meat!\This planet's too tough!\Lord Boros!\I wanna go home\Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run.\I will head out now. response:	Things appear under control.
context: This planet's too tough!\Lord Boros!\I wanna go home\Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run.\I will head out now.\Things appear under control. response:	Sure, go ahead.
context: Lord Boros!\I wanna go home\Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run.\I will head out now.\Things appear under control.\Sure, go ahead. response:	Some heroes have already left.
context: I wanna go home\Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run.\I will head out now.\Things appear under control.\Sure, go ahead.\Some heroes have already left. response:	Before I go, Genos, have you got a second?
context: Such incredible power.\Tornado may actually bring it down on her own.\I have errands to run.\I will head out now.\Things appear under control.\Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second? response:	There's something I wish to tell you.
context: Tornado may actually bring it down on her own.\I have errands to run.\I will head out now.\Things appear under control.\Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you. response:	Drive Knight, Class S, rank 9.
context: I have errands to run.\I will head out now.\Things appear under control.\Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9. response:	This is a first
context: I will head out now.\Things appear under control.\Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first response:	Listen. Metal Knight is your enemy.
context: Things appear under control.\Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy. response:	Be careful.
context: Sure, go ahead.\Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy.\Be careful. response:	What do you mean?
context: Some heroes have already left.\Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy.\Be careful.\What do you mean? response:	You will know soon enough.
context: Before I go, Genos, have you got a second?\There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy.\Be careful.\What do you mean?\You will know soon enough. response:	But for now, stay away from him.
context: There's something I wish to tell you.\Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy.\Be careful.\What do you mean?\You will know soon enough.\But for now, stay away from him. response:	Bastard.
context: Drive Knight, Class S, rank 9.\This is a first\Listen. Metal Knight is your enemy.\Be careful.\What do you mean?\You will know soon enough.\But for now, stay away from him.\Bastard. response:	You sure make things interesting.
context: This is a first\Listen. Metal Knight is your enemy.\Be careful.\What do you mean?\You will know soon enough.\But for now, stay away from him.\Bastard.\You sure make things interesting. response:	I'm beginning to taste victory.
context: Listen. Metal Knight is your enemy.\Be careful.\What do you mean?\You will know soon enough.\But for now, stay away from him.\Bastard.\You sure make things interesting.\I'm beginning to taste victory. response:	The stiffness in my shoulders is gone.
context: Be careful.\What do you mean?\You will know soon enough.\But for now, stay away from him.\Bastard.\You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone. response:	But I suppose I'm a little rusty.
context: What do you mean?\You will know soon enough.\But for now, stay away from him.\Bastard.\You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty. response:	You live?
context: You will know soon enough.\But for now, stay away from him.\Bastard.\You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live? response:	Hey. Forget something?
context: But for now, stay away from him.\Bastard.\You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live?\Hey. Forget something? response:	ATOMIC SLASH
context: Bastard.\You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live?\Hey. Forget something?\ATOMIC SLASH response:	Atomic Slash! ATOMIC SLASH
context: You sure make things interesting.\I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live?\Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH response:	Insolence...
context: I'm beginning to taste victory.\The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live?\Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence... response:	Such complete insolence!
context: The stiffness in my shoulders is gone.\But I suppose I'm a little rusty.\You live?\Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence! response:	You move your heart-thing around your body to hide its location.
context: But I suppose I'm a little rusty.\You live?\Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location. response:	But your regeneration always begins with your head
context: You live?\Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head response:	and in the center lies
context: Hey. Forget something?\ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies response:	your heart.
context: ATOMIC SLASH\Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies\your heart. response:	After seeing it so much, even a monkey'd figure it out.
context: Atomic Slash! ATOMIC SLASH\Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out. response:	See? Checkmate.
context: Insolence...\Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate. response:	Nooo!
context: Such complete insolence!\You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo! response:	Silverfang!
context: You move your heart-thing around your body to hide its location.\But your regeneration always begins with your head\and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo!\Silverfang! response:	All I needed was one more swing.
context: But your regeneration always begins with your head\and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo!\Silverfang!\All I needed was one more swing. response:	Keep your hands to yourself, Silverfang.
context: and in the center lies\your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo!\Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang. response:	Goodness, I really do need to do more full-body workouts.
context: your heart.\After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo!\Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts. response:	We got all the heads.
context: After seeing it so much, even a monkey'd figure it out.\See? Checkmate.\Nooo!\Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads. response:	That meansvictory is ours!
context: See? Checkmate.\Nooo!\Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours! response:	Yah, but there's still that big-ass ship up there.
context: Nooo!\Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there. response:	All right, this is the last of the reported survivors.
context: Silverfang!\All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors. response:	Let's move!
context: All I needed was one more swing.\Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move! response:	Right.
context: Keep your hands to yourself, Silverfang.\Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move!\Right. response:	Mumen!
context: Goodness, I really do need to do more full-body workouts.\We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move!\Right.\Mumen! response:	Quit your staring and come on!
context: We got all the heads.\That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move!\Right.\Mumen!\Quit your staring and come on! response:	Yeah, okay.
context: That meansvictory is ours!\Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move!\Right.\Mumen!\Quit your staring and come on!\Yeah, okay. response:	Nice moves.
context: Yah, but there's still that big-ass ship up there.\All right, this is the last of the reported survivors.\Let's move!\Right.\Mumen!\Quit your staring and come on!\Yeah, okay.\Nice moves. response:	As I thought, you are strong.
context: All right, this is the last of the reported survivors.\Let's move!\Right.\Mumen!\Quit your staring and come on!\Yeah, okay.\Nice moves.\As I thought, you are strong. response:	Of all the myriad beings I have fought, only you
context: Let's move!\Right.\Mumen!\Quit your staring and come on!\Yeah, okay.\Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you response:	survived this long!
context: Right.\Mumen!\Quit your staring and come on!\Yeah, okay.\Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long! response:	Now to release the destructive energy held within me!
context: Mumen!\Quit your staring and come on!\Yeah, okay.\Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me! response:	Any normal creature hit by it would find even their bones vaporized!
context: Quit your staring and come on!\Yeah, okay.\Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized! response:	Behind you!
context: Yeah, okay.\Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you! response:	You were a worthy opponent,
context: Nice moves.\As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent, response:	but the outcome of this battle is clear.
context: As I thought, you are strong.\Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent,\but the outcome of this battle is clear. response:	My species won the struggle to survive
context: Of all the myriad beings I have fought, only you\survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive response:	amidst the harsh environment of our home world.
context: survived this long!\Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world. response:	We possess the ultimate in regenerative abilities.
context: Now to release the destructive energy held within me!\Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities. response:	I, in particular, have self-healing power,
context: Any normal creature hit by it would find even their bones vaporized!\Behind you!\You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power, response:	physical prowess and latent energy beyond your conception.
context: Behind you!\You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception. response:	A deep wound that would be fatal for you
context: You were a worthy opponent,\but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you response:	heals itself on me in mere moments.
context: but the outcome of this battle is clear.\My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments. response:	By focusing all my energy on my destroyed arm,
context: My species won the struggle to survive\amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm, response:	I can explosively speed up the healing process.
context: amidst the harsh environment of our home world.\We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process. response:	Good as new.
context: We possess the ultimate in regenerative abilities.\I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new. response:	You, on the other hand, will only get injured more,
context: I, in particular, have self-healing power,\physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more, response:	all while your stamina gradually decreases
context: physical prowess and latent energy beyond your conception.\A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases response:	Shut up.
context: A deep wound that would be fatal for you\heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up. response:	Blah, blah, blah. Are you done?
context: heals itself on me in mere moments.\By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done? response:	With this?
context: By focusing all my energy on my destroyed arm,\I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done?\With this? response:	Not yet!
context: I can explosively speed up the healing process.\Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done?\With this?\Not yet! response:	Meteoric Burst!
context: Good as new.\You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done?\With this?\Not yet!\Meteoric Burst! response:	The energy shunted from my body transforms into a propelling force,
context: You, on the other hand, will only get injured more,\all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done?\With this?\Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force, response:	elevating speed and power to a level beyond the limitations
context: all while your stamina gradually decreases\Shut up.\Blah, blah, blah. Are you done?\With this?\Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations response:	of living flesh!
context: Shut up.\Blah, blah, blah. Are you done?\With this?\Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh! response:	Doing this places enormous stress on my body,
context: Blah, blah, blah. Are you done?\With this?\Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body, response:	similar to anaerobic exercise.
context: With this?\Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise. response:	As a result, it shortens my life.
context: Not yet!\Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life. response:	Therefore,
context: Meteoric Burst!\The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life.\Therefore, response:	it should only be used as a trump card for settling fights quickly.
context: The energy shunted from my body transforms into a propelling force,\elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly. response:	It's listing!
context: elevating speed and power to a level beyond the limitations\of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing! response:	You're doing it!
context: of living flesh!\Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it! response:	Awesome, Tornado!
context: Doing this places enormous stress on my body,\similar to anaerobic exercise.\As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it!\Awesome, Tornado! response:	Oh.
context: similar to anaerobic exercise.\As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it!\Awesome, Tornado!\Oh. response:	I made it.
context: As a result, it shortens my life.\Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it!\Awesome, Tornado!\Oh.\I made it. response:	This man
context: Therefore,\it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it!\Awesome, Tornado!\Oh.\I made it.\This man response:	makes me want to go all out!
context: it should only be used as a trump card for settling fights quickly.\It's listing!\You're doing it!\Awesome, Tornado!\Oh.\I made it.\This man\makes me want to go all out! response:	That's the way, Saitama.
context: It's listing!\You're doing it!\Awesome, Tornado!\Oh.\I made it.\This man\makes me want to go all out!\That's the way, Saitama. response:	You are indeed worth defeating!
context: You're doing it!\Awesome, Tornado!\Oh.\I made it.\This man\makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating! response:	Consecutive Normal Punches.
context: Awesome, Tornado!\Oh.\I made it.\This man\makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches. response:	I will defeat you!
context: Oh.\I made it.\This man\makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you! response:	All my energy will be released,
context: I made it.\This man\makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you!\All my energy will be released, response:	blasting you and this planet to Hell!
context: This man\makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you!\All my energy will be released,\blasting you and this planet to Hell! response:	Collapsing Star, Roaring Cannon!
context: makes me want to go all out!\That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you!\All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon! response:	In that case, I'm using my final move too.
context: That's the way, Saitama.\You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you!\All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too. response:	Killer Move: Serious Series
context: You are indeed worth defeating!\Consecutive Normal Punches.\I will defeat you!\All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series response:	Serious Punch.
context: Consecutive Normal Punches.\I will defeat you!\All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch. response:	Did Ilose?
context: I will defeat you!\All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch.\Did Ilose? response:	You're still conscious?
context: All my energy will be released,\blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch.\Did Ilose?\You're still conscious? response:	You really are strong.
context: blasting you and this planet to Hell!\Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch.\Did Ilose?\You're still conscious?\You really are strong. response:	The prophecy held true.
context: Collapsing Star, Roaring Cannon!\In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch.\Did Ilose?\You're still conscious?\You really are strong.\The prophecy held true. response:	The battle washard-fought.
context: In that case, I'm using my final move too.\Killer Move: Serious Series\Serious Punch.\Did Ilose?\You're still conscious?\You really are strong.\The prophecy held true.\The battle washard-fought. response:	Yeah. It sure was.
context: Killer Move: Serious Series\Serious Punch.\Did Ilose?\You're still conscious?\You really are strong.\The prophecy held true.\The battle washard-fought.\Yeah. It sure was. response:	You lie.
context: Serious Punch.\Did Ilose?\You're still conscious?\You really are strong.\The prophecy held true.\The battle washard-fought.\Yeah. It sure was.\You lie. response:	You had strength to spare.
context: Did Ilose?\You're still conscious?\You really are strong.\The prophecy held true.\The battle washard-fought.\Yeah. It sure was.\You lie.\You had strength to spare. response:	I never stood a chance.
context: You're still conscious?\You really are strong.\The prophecy held true.\The battle washard-fought.\Yeah. It sure was.\You lie.\You had strength to spare.\I never stood a chance. response:	It wasn't even a battle.
context: You really are strong.\The prophecy held true.\The battle washard-fought.\Yeah. It sure was.\You lie.\You had strength to spare.\I never stood a chance.\It wasn't even a battle. response:	So much for prophecies.
context: The prophecy held true.\The battle washard-fought.\Yeah. It sure was.\You lie.\You had strength to spare.\I never stood a chance.\It wasn't even a battle.\So much for prophecies. response:	You were too strong
context: The battle washard-fought.\Yeah. It sure was.\You lie.\You had strength to spare.\I never stood a chance.\It wasn't even a battle.\So much for prophecies.\You were too strong response:	Saitama
context: Yeah. It sure was.\You lie.\You had strength to spare.\I never stood a chance.\It wasn't even a battle.\So much for prophecies.\You were too strong\Saitama response:	THE STRONGEST HERO
context: You lie.\You had strength to spare.\I never stood a chance.\It wasn't even a battle.\So much for prophecies.\You were too strong\Saitama\THE STRONGEST HERO response:	It's crashing?
context: You had strength to spare.\I never stood a chance.\It wasn't even a battle.\So much for prophecies.\You were too strong\Saitama\THE STRONGEST HERO\It's crashing? response:	Is this Master's doing?
context: I never stood a chance.\It wasn't even a battle.\So much for prophecies.\You were too strong\Saitama\THE STRONGEST HERO\It's crashing?\Is this Master's doing? response:	We're done! The power sphere's been broken!
context: It wasn't even a battle.\So much for prophecies.\You were too strong\Saitama\THE STRONGEST HERO\It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken! response:	We're going down!
context: So much for prophecies.\You were too strong\Saitama\THE STRONGEST HERO\It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken!\We're going down! response:	Lord Boros went wild!
context: You were too strong\Saitama\THE STRONGEST HERO\It's crashing?\Is this Master's doing?\We're done! The power sphere's been broken!\We're going down!\Lord Boros went wild! response:	Get out, get out!
