context: OP response:	OP
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
context: and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent response:	that you still sit alone, sighing?
context: What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing? response:	The Second Act
context: those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\The Second Act response:	The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,
context: The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion, response:	but the Sakai family were all killed.
context: hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed. response:	Just who did he save, in the end?
context: as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end? response:	Whose side is he on?
context: Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on? response:	With a face like that,
context: Are you so despondent\that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on?\With a face like that, response:	it will be a wonder if you ever marry.
context: that you still sit alone, sighing?\The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on?\With a face like that,\it will be a wonder if you ever marry. response:	Thats none of your business!
context: The Second Act\The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on?\With a face like that,\it will be a wonder if you ever marry.\Thats none of your business! response:	Not that youd tell me the truth, but let me ask anyway.
context: The Medicine Seller did indeed exorcise the Ghost Cat from the Sakai mansion,\but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on?\With a face like that,\it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway. response:	You didnt change the compasss heading, did you, Mr. Medicine Seller?
context: but the Sakai family were all killed.\Just who did he save, in the end?\Whose side is he on?\With a face like that,\it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller? response:	I wonder.
context: Just who did he save, in the end?\Whose side is he on?\With a face like that,\it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder. response:	Even if I did not tamper with the compass,
context: Whose side is he on?\With a face like that,\it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass, response:	the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.
context: With a face like that,\it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea. response:	By whom?
context: it will be a wonder if you ever marry.\Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom? response:	Is that sword alive?
context: Thats none of your business!\Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive? response:	I wonder.
context: Not that youd tell me the truth, but let me ask anyway.\You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive?\I wonder. response:	You know, Mr. Medicine Seller, I understand that youre a powerful man,
context: You didnt change the compasss heading, did you, Mr. Medicine Seller?\I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man, response:	but dont you think that aloof attitude of yours is a little over the top?
context: I wonder.\Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top? response:	That kind of thing does nothing to impress us girls!
context: Even if I did not tamper with the compass,\the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls! response:	Right, right.
context: the fact remains that I have been taken to the Dragons Triangle, the Ayakashis Sea.\By whom?\Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right. response:	You said before that Ayakashi and Mononoke are different, right?
context: By whom?\Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right? response:	Arent they pretty much the same, though?
context: Is that sword alive?\I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though? response:	As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.
context: I wonder.\You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them. response:	Just as there are men and beasts and birds in this world,
context: You know, Mr. Medicine Seller, I understand that youre a powerful man,\but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world, response:	there are many types of Ayakashi, which exist outside of our plane.
context: but dont you think that aloof attitude of yours is a little over the top?\That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane. response:	Are Ayakashi the ghosts of dead people?
context: That kind of thing does nothing to impress us girls!\Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people? response:	In some cases.
context: Right, right.\You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases. response:	The ghost ship we fought off was.
context: You said before that Ayakashi and Mononoke are different, right?\Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was. response:	However, since tools and objects have souls as well, their variations are multifarious indeed.
context: Arent they pretty much the same, though?\As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed. response:	No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.
context: As you said, the Ayakashi are similar to Gods in that there are countless numbers of them.\Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding. response:	Then, what about Mononoke?
context: Just as there are men and beasts and birds in this world,\there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke? response:	Do you know what the ke” in Mononoke refers to?
context: there are many types of Ayakashi, which exist outside of our plane.\Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to? response:	If I knew, would I be asking?
context: Are Ayakashi the ghosts of dead people?\In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking? response:	It means disease.”
context: In some cases.\The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.” response:	And the mono” refers to their godly nature.
context: The ghost ship we fought off was.\However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature. response:	Then, Mononoke haunt people like a disease?
context: However, since tools and objects have souls as well, their variations are multifarious indeed.\No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease? response:	Vengeance, sadness, fear.
context: No matter how they came to be, though, an Ayakashis reason for being is beyond human understanding.\Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear. response:	What would happen if an Ayakashi were to unite with a strong human emotion?
context: Then, what about Mononoke?\Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion? response:	It would become incredibly powerful, unhindered by attempts to seal it.
context: Do you know what the ke” in Mononoke refers to?\If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it. response:	But your Sword of Exorcism could still kill it?
context: If I knew, would I be asking?\It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it? response:	But without the Mononokes
context: It means disease.”\And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes response:	Form, Truth and Regret, you cannot draw it.
context: And the mono” refers to their godly nature.\Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it. response:	What do you mean by truth” and regret”?
context: Then, Mononoke haunt people like a disease?\Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”? response:	Truth is the state of the object.
context: Vengeance, sadness, fear.\What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object. response:	Regret is the state of the soul.
context: What would happen if an Ayakashi were to unite with a strong human emotion?\It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul. response:	I see, the state of things, is it
context: It would become incredibly powerful, unhindered by attempts to seal it.\But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it response:	So, are there Mononoke here, as well as Ayakashi?
context: But your Sword of Exorcism could still kill it?\But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi? response:	Egad, those monks are positively useless!
context: But without the Mononokes\Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless! response:	Be it Ayakashi or Mononoke, I will vanquish this one.
context: Form, Truth and Regret, you cannot draw it.\What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one. response:	Come with us, please!
context: What do you mean by truth” and regret”?\Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please! response:	I will be right there.
context: Truth is the state of the object.\Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there. response:	Still
context: Regret is the state of the soul.\I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there.\Still response:	This could be problematic.
context: I see, the state of things, is it\So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there.\Still\This could be problematic. response:	So many Onibi!
context: So, are there Mononoke here, as well as Ayakashi?\Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there.\Still\This could be problematic.\So many Onibi! response:	Its nice to have some light, but its still awfully creepy.
context: Egad, those monks are positively useless!\Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there.\Still\This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy. response:	Theres something coming from the bow!
context: Be it Ayakashi or Mononoke, I will vanquish this one.\Come with us, please!\I will be right there.\Still\This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow! response:	Thats an Ayakashi!
context: Come with us, please!\I will be right there.\Still\This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi! response:	It looks like I should be able to cut it.
context: I will be right there.\Still\This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it. response:	Ah, its an Ayakashi! Its flying!
context: Still\This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying! response:	Thats an Umizatou.
context: This could be problematic.\So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou. response:	You wont be able to kill it with a sword.
context: So many Onibi!\Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword. response:	Then what shall we do?
context: Its nice to have some light, but its still awfully creepy.\Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do? response:	It will ask a question.
context: Theres something coming from the bow!\Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question. response:	It will ask if it is frightening.
context: Thats an Ayakashi!\It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question.\It will ask if it is frightening. response:	You must not answer that it is.
context: It looks like I should be able to cut it.\Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question.\It will ask if it is frightening.\You must not answer that it is. response:	Tell it that it is not frightening.
context: Ah, its an Ayakashi! Its flying!\Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question.\It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening. response:	Then will it leave?
context: Thats an Umizatou.\You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question.\It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening.\Then will it leave? response:	Oh, um, wait
context: You wont be able to kill it with a sword.\Then what shall we do?\It will ask a question.\It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening.\Then will it leave?\Oh, um, wait response:	Oh, thats right!
context: Then what shall we do?\It will ask a question.\It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening.\Then will it leave?\Oh, um, wait\Oh, thats right! response:	I dont know what lies at the end of this journey.”
context: It will ask a question.\It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening.\Then will it leave?\Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.” response:	Tell it that is what you fear most.
context: It will ask if it is frightening.\You must not answer that it is.\Tell it that it is not frightening.\Then will it leave?\Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most. response:	Denizens of this ship, answer me this!
context: You must not answer that it is.\Tell it that it is not frightening.\Then will it leave?\Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this! response:	Here it comes.
context: Tell it that it is not frightening.\Then will it leave?\Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes. response:	I will question you one by one.
context: Then will it leave?\Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes.\I will question you one by one. response:	Refuse to answer, and you will be forced to wander the sea as the living dead!
context: Oh, um, wait\Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead! response:	Then, ask away!
context: Oh, thats right!\I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away! response:	Ready?
context: I dont know what lies at the end of this journey.”\Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready? response:	YYes.
context: Tell it that is what you fear most.\Denizens of this ship, answer me this!\Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready?\YYes. response:	What is it that you fear?
context: Denizens of this ship, answer me this!\Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready?\YYes.\What is it that you fear? response:	ThThat I dddont know what lies at the eend of
context: Here it comes.\I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready?\YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of response:	What do you truly fear?
context: I will question you one by one.\Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready?\YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of\What do you truly fear? response:	Really, its that Ill lose all my mmmoney, and Ill become a penniless beggar!
context: Refuse to answer, and you will be forced to wander the sea as the living dead!\Then, ask away!\Ready?\YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of\What do you truly fear?\Really, its that Ill lose all my mmmoney, and Ill become a penniless beggar! response:	WWait
context: Then, ask away!\Ready?\YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of\What do you truly fear?\Really, its that Ill lose all my mmmoney, and Ill become a penniless beggar!\WWait response:	Oh no, my precious goldfish!
context: Ready?\YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of\What do you truly fear?\Really, its that Ill lose all my mmmoney, and Ill become a penniless beggar!\WWait\Oh no, my precious goldfish! response:	I built an aquarium in the ship to carry them all this way!
context: YYes.\What is it that you fear?\ThThat I dddont know what lies at the eend of\What do you truly fear?\Really, its that Ill lose all my mmmoney, and Ill become a penniless beggar!\WWait\Oh no, my precious goldfish!\I built an aquarium in the ship to carry them all this way! response:	What do you fear most?
