context: Ow... response:	Hold still.
context: I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice. response:	This workshop is designed to make the system more modern and efficient.
context: Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient. response:	I'll make one to show you.
context: As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you. response:	It works best when the raw materials are pure.
context: Come.\I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure. response:	How's that? What should take a month to create, I completed in an instant.
context: I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant. response:	Ah, you don't need to worry about the raw materials.
context: Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials. response:	I won't procure them in Fuyuki.
context: My family uses a magic system that generates mana via exchange.\Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki. response:	I bought these from other
context: Well, it's a primitive curse that relies on human sacrifice.\This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other response:	This is too inefficient.
context: This workshop is designed to make the system more modern and efficient.\I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other\This is too inefficient. response:	Using all these lives to create such a tiny crystal is the act of a third-rate mage.
context: I'll make one to show you.\It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage. response:	What... What did you do?
context: It works best when the raw materials are pure.\How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do? response:	How could you create mana from an empty kiln?
context: How's that? What should take a month to create, I completed in an instant.\Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln? response:	Empty?
context: Ah, you don't need to worry about the raw materials.\I won't procure them in Fuyuki.\I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln?\Empty? response:	Oh... So this appears empty to the eyes of you modern mages?
context: I won't procure them in Fuyuki.\I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages? response:	Your mana-generating technique must be one step...
context: I bought these from other\This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step... response:	No, one dimension removed from mine.
context: This is too inefficient.\Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine. response:	B-But what about the incantation?
context: Using all these lives to create such a tiny crystal is the act of a third-rate mage.\What... What did you do?\How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation? response:	I devoted all I had to designing this workshop for the purpose of omitting the incantation process.
context: What... What did you do?\How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process. response:	The transmutation incantation is supposed to take three days and nights!
context: How could you create mana from an empty kiln?\Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights! response:	I have no need for incantations.
context: Empty?\Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations. response:	To me, magic is simply something to command.
context: Oh... So this appears empty to the eyes of you modern mages?\Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command. response:	Forgive me for speaking out of turn, but I ask that you close this workshop.
context: Your mana-generating technique must be one step...\No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop. response:	Throwing away lives is unwise.
context: No, one dimension removed from mine.\B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise. response:	As a mage, I cannot abide a workshop that generates such a loss.
context: B-But what about the incantation?\I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss. response:	Ah, it would appear that I have failed to grasp what a Servant is.
context: I devoted all I had to designing this workshop for the purpose of omitting the incantation process.\The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is. response:	By my Command Seal, I order you...
context: The transmutation incantation is supposed to take three days and nights!\I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you... response:	Do not use your Noble Phantasm on me.
context: I have no need for incantations.\To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you...\Do not use your Noble Phantasm on me. response:	I wouldn't want a treacherous witch to stab me in the back!
context: To me, magic is simply something to command.\Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you...\Do not use your Noble Phantasm on me.\I wouldn't want a treacherous witch to stab me in the back! response:	Witch?
context: Forgive me for speaking out of turn, but I ask that you close this workshop.\Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you...\Do not use your Noble Phantasm on me.\I wouldn't want a treacherous witch to stab me in the back!\Witch? response:	He called me a witch?
context: Throwing away lives is unwise.\As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you...\Do not use your Noble Phantasm on me.\I wouldn't want a treacherous witch to stab me in the back!\Witch?\He called me a witch? response:	Everyone I meet calls me a witch...
context: As a mage, I cannot abide a workshop that generates such a loss.\Ah, it would appear that I have failed to grasp what a Servant is.\By my Command Seal, I order you...\Do not use your Noble Phantasm on me.\I wouldn't want a treacherous witch to stab me in the back!\Witch?\He called me a witch?\Everyone I meet calls me a witch... response:	Caster is too much for you, then?
