context: Oh damn, they're doing it! response:	Looks like I fell asleep again.
context: I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it,\Hey, Riki! response:	We've got a game this Saturday!
context: Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it,\Hey, Riki!\We've got a game this Saturday! response:	Game?
context: What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it,\Hey, Riki!\We've got a game this Saturday!\Game? response:	The Little Busters's first game!
context: and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it,\Hey, Riki!\We've got a game this Saturday!\Game?\The Little Busters's first game! response:	What?!
context: There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it,\Hey, Riki!\We've got a game this Saturday!\Game?\The Little Busters's first game!\What?! response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: then clear all the tasks I give you.\If you wish to know it,\Hey, Riki!\We've got a game this Saturday!\Game?\The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: If you wish to know it,\Hey, Riki!\We've got a game this Saturday!\Game?\The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Hey, Riki!\We've got a game this Saturday!\Game?\The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: We've got a game this Saturday!\Game?\The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	futari ja samishii kara wa ni natte te wo tsunaida
context: Game?\The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: The Little Busters's first game!\What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	futari ja samishii kara wa ni natte te wo tsunaida
context: What?!\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	kitto sore ga ikusen no chikara ni mo nari
context: It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	kitto sore ga ikusen no chikara ni mo nari
context: It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	donna yume mo tateru ki ga surunda
context: But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	donna yume mo tateru ki ga surunda
context: But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	takaku tobe takaku sora he
context: I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku tobe takaku sora he
context: I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	Kyousuke, what's this about a game?
context: Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game? response:	Since our foundation, we, the Little Busters,
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters, response:	have shared in our youths and developed marvelous teamwork.
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork. response:	With that in mind, I have set our first game!
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game! response:	Hooray!
context: Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray! response:	Wafu!
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray!\Wafu! response:	Yay!
context: Even in the face of the oncoming grief\Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray!\Wafu!\Yay! response:	What team are we playing against?
context: Kyousuke, what's this about a game?\Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray!\Wafu!\Yay!\What team are we playing against? response:	A team worthy of our abilities.
context: Since our foundation, we, the Little Busters,\have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray!\Wafu!\Yay!\What team are we playing against?\A team worthy of our abilities. response:	An all-star team.
context: have shared in our youths and developed marvelous teamwork.\With that in mind, I have set our first game!\Hooray!\Wafu!\Yay!\What team are we playing against?\A team worthy of our abilities.\An all-star team. response:	Huh?
context: With that in mind, I have set our first game!\Hooray!\Wafu!\Yay!\What team are we playing against?\A team worthy of our abilities.\An all-star team.\Huh? response:	An all-star team?
context: Hooray!\Wafu!\Yay!\What team are we playing against?\A team worthy of our abilities.\An all-star team.\Huh?\An all-star team? response:	A team consisting entirely of the captains of various sports teams at this school.
context: Wafu!\Yay!\What team are we playing against?\A team worthy of our abilities.\An all-star team.\Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school. response:	Soccer Team
context: Yay!\What team are we playing against?\A team worthy of our abilities.\An all-star team.\Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team response:	The soccer team,
context: What team are we playing against?\A team worthy of our abilities.\An all-star team.\Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team, response:	the volleyball team,
context: A team worthy of our abilities.\An all-star team.\Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team,\the volleyball team, response:	Volleyball Team
context: An all-star team.\Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team,\the volleyball team,\Volleyball Team response:	the basketball team,
context: Huh?\An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team,\the volleyball team,\Volleyball Team\the basketball team, response:	Basketball Team
context: An all-star team?\A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team,\the volleyball team,\Volleyball Team\the basketball team,\Basketball Team response:	the tennis team,
context: A team consisting entirely of the captains of various sports teams at this school.\Soccer Team\The soccer team,\the volleyball team,\Volleyball Team\the basketball team,\Basketball Team\the tennis team, response:	Tennis Team
context: Soccer Team\The soccer team,\the volleyball team,\Volleyball Team\the basketball team,\Basketball Team\the tennis team,\Tennis Team response:	the track team,
context: The soccer team,\the volleyball team,\Volleyball Team\the basketball team,\Basketball Team\the tennis team,\Tennis Team\the track team, response:	Track Team
context: the volleyball team,\Volleyball Team\the basketball team,\Basketball Team\the tennis team,\Tennis Team\the track team,\Track Team response:	the gymnastics team,
context: Volleyball Team\the basketball team,\Basketball Team\the tennis team,\Tennis Team\the track team,\Track Team\the gymnastics team, response:	Gymnastics Team
context: the basketball team,\Basketball Team\the tennis team,\Tennis Team\the track team,\Track Team\the gymnastics team,\Gymnastics Team response:	and the swim team captains.
context: Basketball Team\the tennis team,\Tennis Team\the track team,\Track Team\the gymnastics team,\Gymnastics Team\and the swim team captains. response:	Swimming Team
context: the tennis team,\Tennis Team\the track team,\Track Team\the gymnastics team,\Gymnastics Team\and the swim team captains.\Swimming Team response:	Then there's the former captain of the baseball team
context: Tennis Team\the track team,\Track Team\the gymnastics team,\Gymnastics Team\and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team response:	Baseball Team
context: the track team,\Track Team\the gymnastics team,\Gymnastics Team\and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team\Baseball Team response:	and the captain of the judo team.
context: Track Team\the gymnastics team,\Gymnastics Team\and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team. response:	Judo Team
context: the gymnastics team,\Gymnastics Team\and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team.\Judo Team response:	These nine!
context: Gymnastics Team\and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team.\Judo Team\These nine! response:	That's crazy!
context: and the swim team captains.\Swimming Team\Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team.\Judo Team\These nine!\That's crazy! response:	They're way too good!
context: Swimming Team\Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team.\Judo Team\These nine!\That's crazy!\They're way too good! response:	Though I have to give you credit for assembling a team of such amazing people.
context: Then there's the former captain of the baseball team\Baseball Team\and the captain of the judo team.\Judo Team\These nine!\That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people. response:	It's safe to assume that they are well-endowed in athletic ability.
context: Baseball Team\and the captain of the judo team.\Judo Team\These nine!\That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability. response:	Why not? It sounds interesting.
context: and the captain of the judo team.\Judo Team\These nine!\That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting. response:	No
context: Judo Team\These nine!\That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No response:	Right?
context: These nine!\That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No\Right? response:	See? She understands.
context: That's crazy!\They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No\Right?\See? She understands. response:	There's no way we can win!
context: They're way too good!\Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No\Right?\See? She understands.\There's no way we can win! response:	It'll be fun.
context: Though I have to give you credit for assembling a team of such amazing people.\It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No\Right?\See? She understands.\There's no way we can win!\It'll be fun. response:	No no no...
context: It's safe to assume that they are well-endowed in athletic ability.\Why not? It sounds interesting.\No\Right?\See? She understands.\There's no way we can win!\It'll be fun.\No no no... response:	That's right. Listen to Kurugaya.
context: Why not? It sounds interesting.\No\Right?\See? She understands.\There's no way we can win!\It'll be fun.\No no no...\That's right. Listen to Kurugaya. response:	No, wait!
context: No\Right?\See? She understands.\There's no way we can win!\It'll be fun.\No no no...\That's right. Listen to Kurugaya.\No, wait! response:	Not everyone thinks like you two!
context: Right?\See? She understands.\There's no way we can win!\It'll be fun.\No no no...\That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two! response:	Riki, can't you say anything but no?
context: See? She understands.\There's no way we can win!\It'll be fun.\No no no...\That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no? response:	No no no...
context: There's no way we can win!\It'll be fun.\No no no...\That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no... response:	Wait, aren't you forgetting something?
context: It'll be fun.\No no no...\That's right. Listen to Kurugaya.\No, wait!\Not everyone thinks like you two!\Riki, can't you say anything but no?\No no no...\Wait, aren't you forgetting something? response:	We only have eight people on our team.
