context: Interviews with Monster Girls response:	Succubus-san Is a Real Adult
context: Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei... response:	Good morning.
context: O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning. response:	Good morning!
context: You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning.\Good morning! response:	Morning, Sensei!
context: Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning.\Good morning!\Morning, Sensei! response:	Hey, morning.
context: Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning.\Good morning!\Morning, Sensei!\Hey, morning. response:	With more energy!
context: I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning.\Good morning!\Morning, Sensei!\Hey, morning.\With more energy! response:	Good morning!
context: Actually, it's because I arrived so early, I had nothing to do.\Oh, Satou-sensei...\Good morning.\Good morning!\Morning, Sensei!\Hey, morning.\With more energy!\Good morning! response:	You pass!
context: Oh, Satou-sensei...\Good morning.\Good morning!\Morning, Sensei!\Hey, morning.\With more energy!\Good morning!\You pass! response:	It's still morning, and you're so hyper.
context: Good morning.\Good morning!\Morning, Sensei!\Hey, morning.\With more energy!\Good morning!\You pass!\It's still morning, and you're so hyper. response:	Yeah, I guess.
context: Good morning!\Morning, Sensei!\Hey, morning.\With more energy!\Good morning!\You pass!\It's still morning, and you're so hyper.\Yeah, I guess. response:	By the way, thanks, Sensei.
context: Morning, Sensei!\Hey, morning.\With more energy!\Good morning!\You pass!\It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei. response:	Hmm?
context: Hey, morning.\With more energy!\Good morning!\You pass!\It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei.\Hmm? response:	For getting approval for Macchi's backpack!
context: With more energy!\Good morning!\You pass!\It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack! response:	Nah, I'm the one who should thank you.
context: Good morning!\You pass!\It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you. response:	I should have thought of it first.
context: You pass!\It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first. response:	I didn't mean to say that so forcefully.
context: It's still morning, and you're so hyper.\Yeah, I guess.\By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully. response:	But I can't carelessly come into contact with a man.
context: Yeah, I guess.\By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man. response:	Because I'm a succubus.
context: By the way, thanks, Sensei.\Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus. response:	Satou-sensei...
context: Hmm?\For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei... response:	Yes?
context: For getting approval for Macchi's backpack!\Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei...\Yes? response:	I'm having trouble with this problem.
context: Nah, I'm the one who should thank you.\I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei...\Yes?\I'm having trouble with this problem. response:	Ah, for this, you use the formula I taught you today. See?
context: I should have thought of it first.\I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei...\Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See? response:	Oh, I get it!
context: I didn't mean to say that so forcefully.\But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei...\Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it! response:	Thank you.
context: But I can't carelessly come into contact with a man.\Because I'm a succubus.\Satou-sensei...\Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you. response:	You need to know the sin and cos values, and also how to find them...
context: Because I'm a succubus.\Satou-sensei...\Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them... response:	What's wrong?
context: Satou-sensei...\Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong? response:	You're so pretty, Sensei.
context: Yes?\I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei. response:	You should dress up more.
context: I'm having trouble with this problem.\Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei.\You should dress up more. response:	I don't need to do things like that.
context: Ah, for this, you use the formula I taught you today. See?\Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that. response:	I see.
context: Oh, I get it!\Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that.\I see. response:	If you have any more trouble, just ask me.
context: Thank you.\You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that.\I see.\If you have any more trouble, just ask me. response:	I will. Thank you.
context: You need to know the sin and cos values, and also how to find them...\What's wrong?\You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that.\I see.\If you have any more trouble, just ask me.\I will. Thank you. response:	I can't dress up because...
context: What's wrong?\You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that.\I see.\If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because... response:	It'd have an aphrodisiac effect!
context: You're so pretty, Sensei.\You should dress up more.\I don't need to do things like that.\I see.\If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect! response:	Aphrodisiac effects mesmerize others, sexually arousing them.
context: You should dress up more.\I don't need to do things like that.\I see.\If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them. response:	Succubi are demis with the capacity to cause aphrodisiac effects on men.
context: I don't need to do things like that.\I see.\If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men. response:	However, succubi have self-control.
context: I see.\If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control. response:	By dressing and carrying ourselves so as to avoid evoking sexual thoughts,
context: If you have any more trouble, just ask me.\I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts, response:	and keeping a good head on our shoulders at all times...
context: I will. Thank you.\I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times... response:	Just try and say that again!
context: I can't dress up because...\It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again! response:	What's wrong, Satake?
context: It'd have an aphrodisiac effect!\Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake? response:	For a second, I felt like I bumped into someone really sexy...
context: Aphrodisiac effects mesmerize others, sexually arousing them.\Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy... response:	What overly specific feeling is that?
context: Succubi are demis with the capacity to cause aphrodisiac effects on men.\However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that? response:	But... If I remember right, Satou-sensei is a succubus!
context: However, succubi have self-control.\By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus! response:	Huh?
context: By dressing and carrying ourselves so as to avoid evoking sexual thoughts,\and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh? response:	And if anything does happen,
context: and keeping a good head on our shoulders at all times...\Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen, response:	this is the extent of it.
context: Just try and say that again!\What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen,\this is the extent of it. response:	Still...
context: What's wrong, Satake?\For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen,\this is the extent of it.\Still... response:	To avoid the dangerous rush hours,
context: For a second, I felt like I bumped into someone really sexy...\What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen,\this is the extent of it.\Still...\To avoid the dangerous rush hours, response:	I take the day's first and last trains.
context: What overly specific feeling is that?\But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen,\this is the extent of it.\Still...\To avoid the dangerous rush hours,\I take the day's first and last trains. response:	It's rough to wake early and get home late every day.
context: But... If I remember right, Satou-sensei is a succubus!\Huh?\And if anything does happen,\this is the extent of it.\Still...\To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day. response:	I'm getting pretty tired...
context: Huh?\And if anything does happen,\this is the extent of it.\Still...\To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired... response:	N-No, have to be careful.
context: And if anything does happen,\this is the extent of it.\Still...\To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful. response:	What the heck's wrong with you?
context: this is the extent of it.\Still...\To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you? response:	I just had a super sexy dream!
context: Still...\To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream! response:	Huh? What the heck? I don't get you.
context: To avoid the dangerous rush hours,\I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you. response:	Asleep, when I can't control myself, I give others obscene dreams.
context: I take the day's first and last trains.\It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams. response:	That's why succubi are also called dream demons.
context: It's rough to wake early and get home late every day.\I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons. response:	Shoot...
context: I'm getting pretty tired...\N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot... response:	For that reason,
context: N-No, have to be careful.\What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot...\For that reason, response:	I can't live in an apartment building or a complex housing many people.
context: What the heck's wrong with you?\I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people. response:	I'm home...
context: I just had a super sexy dream!\Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home... response:	I was prepared for this,
context: Huh? What the heck? I don't get you.\Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this, response:	but it really is hard for a succubus to live a decent life in normal society.
context: Asleep, when I can't control myself, I give others obscene dreams.\That's why succubi are also called dream demons.\Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society. response:	If I married and had a family, could I have a more relaxed life?
context: That's why succubi are also called dream demons.\Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life? response:	Marriage.
context: Shoot...\For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage. response:	Very funny.
context: For that reason,\I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny. response:	I've never even had a real relationship, at my age.
context: I can't live in an apartment building or a complex housing many people.\I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny.\I've never even had a real relationship, at my age. response:	Marriage isn't going to happen.
context: I'm home...\I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen. response:	As a succubus, it probably wouldn't be hard
context: I was prepared for this,\but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard response:	for me to build what society would call a romantic relationship.
context: but it really is hard for a succubus to live a decent life in normal society.\If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship. response:	If I walked outside in flashy clothes,
context: If I married and had a family, could I have a more relaxed life?\Marriage.\Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes, response:	the opposite sex would notice and flock to me.
context: Marriage.\Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me. response:	But I don't think that's true romance,
context: Very funny.\I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance, response:	and I think their interest would be fake.
context: I've never even had a real relationship, at my age.\Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake. response:	But when I fall in love with a man,
context: Marriage isn't going to happen.\As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man, response:	is that feeling any different from what men feel toward me?
context: As a succubus, it probably wouldn't be hard\for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me? response:	If it really isn't different at all...
context: for me to build what society would call a romantic relationship.\If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all... response:	That's so good!
context: If I walked outside in flashy clothes,\the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good! response:	The only time I can stretch my wings is when I'm at home!
context: the opposite sex would notice and flock to me.\But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home! response:	Okay! Let's pop open another!
context: But I don't think that's true romance,\and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another! response:	Yahoo!
context: and I think their interest would be fake.\But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo! response:	Today's horoscope for Libra is favorable.
context: But when I fall in love with a man,\is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable. response:	Guess I got carried away and drank too much.
context: is that feeling any different from what men feel toward me?\If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much. response:	No, no! I can't doze off at school
context: If it really isn't different at all...\That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school response:	Are you all right, Satou-sensei?
context: That's so good!\The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei? response:	Takahashi-sensei
context: The only time I can stretch my wings is when I'm at home!\Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei?\Takahashi-sensei response:	Th-Thank you! I-I'm sorry! Um, I mean...
context: Okay! Let's pop open another!\Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei?\Takahashi-sensei\Th-Thank you! I-I'm sorry! Um, I mean... response:	You seem pretty tired.
context: Yahoo!\Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei?\Takahashi-sensei\Th-Thank you! I-I'm sorry! Um, I mean...\You seem pretty tired. response:	Your students are important, but take care of yourself, too.
context: Today's horoscope for Libra is favorable.\Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei?\Takahashi-sensei\Th-Thank you! I-I'm sorry! Um, I mean...\You seem pretty tired.\Your students are important, but take care of yourself, too. response:	R-Right. Thank you...
context: Guess I got carried away and drank too much.\No, no! I can't doze off at school\Are you all right, Satou-sensei?\Takahashi-sensei\Th-Thank you! I-I'm sorry! Um, I mean...\You seem pretty tired.\Your students are important, but take care of yourself, too.\R-Right. Thank you... response:	We just touched, right?
