context: I made contact with him last night, but he ran away. response:	Don't underestimate Bugbear.
context: If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander... response:	Late last night, was there an earthquake?
context: The Magus incident...\Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake? response:	I haven't received any information about one.
context: Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one. response:	A strange vibration shook the arena last night,
context: What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night, response:	just as the lights went out.
context: I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out. response:	Does that mean it was this designer child's singularity?
context: Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity? response:	According to our investigation,
context: Are you really okay, Haruhiko-san?\Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation, response:	that arena has a number of illegally collected boys.
context: Hey, Vice Commander...\Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys. response:	How powerful is a Planetary Gear's singularity?
context: Late last night, was there an earthquake?\I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity? response:	You know, you have a singularity, too.
context: I haven't received any information about one.\A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too. response:	Before your first launch,
context: A strange vibration shook the arena last night,\just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch, response:	weren't you able to sense how terrifying the Kiltgang are?
context: just as the lights went out.\Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are? response:	I think that's a type of singularity.
context: Does that mean it was this designer child's singularity?\According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity. response:	That's the Livlaster's power.
context: According to our investigation,\that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power. response:	Why do you call your Livlaster DC, Teppei?
context: that arena has a number of illegally collected boys.\How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei? response:	It isn't short for designer child, right?
context: How powerful is a Planetary Gear's singularity?\You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right? response:	DC stands for Dream Catcher.
context: You know, you have a singularity, too.\Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher. response:	Dream Catcher?
context: Before your first launch,\weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher? response:	Like the talisman that keeps nightmares away?
context: weren't you able to sense how terrifying the Kiltgang are?\I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away? response:	Thanks to it, I've stopped having bad dreams.
context: I think that's a type of singularity.\That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams. response:	Do you still have bad dreams?
context: That's the Livlaster's power.\Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams? response:	Yes, every night...
context: Why do you call your Livlaster DC, Teppei?\It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night... response:	But I have nightmares when I'm awake, as well.
context: It isn't short for designer child, right?\DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well. response:	Having Haruhiko as my fiance is one of them.
context: DC stands for Dream Catcher.\Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them. response:	It was your father's decision.
context: Dream Catcher?\Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision. response:	My father sees people only as tools.
context: Like the talisman that keeps nightmares away?\Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools. response:	To me, the biggest nightmare is the fact
context: Thanks to it, I've stopped having bad dreams.\Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact response:	that my father is buying and selling children!
context: Do you still have bad dreams?\Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children! response:	I'm sorry...
context: Yes, every night...\But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry... response:	I don't have any right to say this, do I?
context: But I have nightmares when I'm awake, as well.\Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I? response:	Because I am
context: Having Haruhiko as my fiance is one of them.\It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I?\Because I am response:	the one who bought you.
context: It was your father's decision.\My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I?\Because I am\the one who bought you. response:	I did the same thing as my father.
context: My father sees people only as tools.\To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I?\Because I am\the one who bought you.\I did the same thing as my father. response:	I'm grateful to you, Miss.
context: To me, the biggest nightmare is the fact\that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I?\Because I am\the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss. response:	You gave me a place to belong.
context: that my father is buying and selling children!\I'm sorry...\I don't have any right to say this, do I?\Because I am\the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong. response:	Baku...
context: I'm sorry...\I don't have any right to say this, do I?\Because I am\the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong.\Baku... response:	This city is where you belong.
context: I don't have any right to say this, do I?\Because I am\the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong.\Baku...\This city is where you belong. response:	Baku, please.
context: Because I am\the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong.\Baku...\This city is where you belong.\Baku, please. response:	Will you show me that trick again?
context: the one who bought you.\I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong.\Baku...\This city is where you belong.\Baku, please.\Will you show me that trick again? response:	This was my only picture of my mother...
context: I did the same thing as my father.\I'm grateful to you, Miss.\You gave me a place to belong.\Baku...\This city is where you belong.\Baku, please.\Will you show me that trick again?\This was my only picture of my mother... response:	My father found it, and tore it up.
context: I'm grateful to you, Miss.\You gave me a place to belong.\Baku...\This city is where you belong.\Baku, please.\Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up. response:	Baku?
context: You gave me a place to belong.\Baku...\This city is where you belong.\Baku, please.\Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up.\Baku? response:	Here.
context: Baku...\This city is where you belong.\Baku, please.\Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up.\Baku?\Here. response:	What did you do?
context: This city is where you belong.\Baku, please.\Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up.\Baku?\Here.\What did you do? response:	A magic trick.
context: Baku, please.\Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up.\Baku?\Here.\What did you do?\A magic trick. response:	Please... You can do it, right?
context: Will you show me that trick again?\This was my only picture of my mother...\My father found it, and tore it up.\Baku?\Here.\What did you do?\A magic trick.\Please... You can do it, right? response:	Hey, would you be able to use that trick
context: This was my only picture of my mother...\My father found it, and tore it up.\Baku?\Here.\What did you do?\A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick response:	to restore the ace of hearts alone?
context: My father found it, and tore it up.\Baku?\Here.\What did you do?\A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone? response:	Unfortunately, I don't have that level of control.
context: Baku?\Here.\What did you do?\A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control. response:	Hey, that isn't really a magic trick at all, is it?
context: Here.\What did you do?\A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it? response:	My Town
context: What did you do?\A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town response:	Well done, Teppei!
context: A magic trick.\Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei! response:	Hitting a stationary target is nothing to brag about.
context: Please... You can do it, right?\Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about. response:	But...
context: Hey, would you be able to use that trick\to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But... response:	It seems even that's difficult for the captain.
context: to restore the ace of hearts alone?\Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain. response:	Sorry.
context: Unfortunately, I don't have that level of control.\Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain.\Sorry. response:	I've never practiced shooting.
context: Hey, that isn't really a magic trick at all, is it?\My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting. response:	You're doing pretty well in real fights, then.
context: My Town\Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then. response:	Hey, Captain...
context: Well done, Teppei!\Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain... response:	Would you try it with the Livlaster next?
context: Hitting a stationary target is nothing to brag about.\But...\It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next? response:	It's strange, no matter how often I see it.
context: But...\It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it. response:	The Science Chief says it isn't that you're firing the Livlaster,
context: It seems even that's difficult for the captain.\Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster, response:	but that it's using you to fire itself.
context: Sorry.\I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself. response:	How does it feel to shoot it?
context: I've never practiced shooting.\You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it? response:	It doesn't feel like the Livlaster is controlling me or anything.
context: You're doing pretty well in real fights, then.\Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything. response:	Right?
context: Hey, Captain...\Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right? response:	Yeah.
context: Would you try it with the Livlaster next?\It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah. response:	It feels more...
context: It's strange, no matter how often I see it.\The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah.\It feels more... response:	Natural, I guess.
context: The Science Chief says it isn't that you're firing the Livlaster,\but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah.\It feels more...\Natural, I guess. response:	Natural?
context: but that it's using you to fire itself.\How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah.\It feels more...\Natural, I guess.\Natural? response:	Well, you don't look at your right hand and think, This is my right hand, do you?
context: How does it feel to shoot it?\It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah.\It feels more...\Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you? response:	Your right hand's a part of you, so it's natural for it to be there.
context: It doesn't feel like the Livlaster is controlling me or anything.\Right?\Yeah.\It feels more...\Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there. response:	It isn't like it's me and the Livlaster.
context: Right?\Yeah.\It feels more...\Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster. response:	It's like both of us comprise me.
context: Yeah.\It feels more...\Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me. response:	When I fire the Livlaster,
context: It feels more...\Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster, response:	it feels more like throwing a boomerang
context: Natural, I guess.\Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang response:	than shooting a handgun.
context: Natural?\Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun. response:	That certainly is a singularity.
context: Well, you don't look at your right hand and think, This is my right hand, do you?\Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity. response:	Yes, this is Rita.
context: Your right hand's a part of you, so it's natural for it to be there.\It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita. response:	Yes. Yes...
context: It isn't like it's me and the Livlaster.\It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita.\Yes. Yes... response:	Got it.
context: It's like both of us comprise me.\When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita.\Yes. Yes...\Got it. response:	That was Akari.
context: When I fire the Livlaster,\it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita.\Yes. Yes...\Got it.\That was Akari. response:	Hana had another premonition.
context: it feels more like throwing a boomerang\than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita.\Yes. Yes...\Got it.\That was Akari.\Hana had another premonition. response:	Tonight, a Machine Goodfellow will activate.
context: than shooting a handgun.\That certainly is a singularity.\Yes, this is Rita.\Yes. Yes...\Got it.\That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate. response:	That arena seems like the first place to look.
context: That certainly is a singularity.\Yes, this is Rita.\Yes. Yes...\Got it.\That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look. response:	Yeah.
context: Yes, this is Rita.\Yes. Yes...\Got it.\That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah. response:	Isn't the Nebula Engine at Haneda, aboard the Regenbogen?
context: Yes. Yes...\Got it.\That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen? response:	For strategic reasons, we're preparing it to be sent here.
context: Got it.\That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here. response:	Right now, we'll have to rely on the captain.
context: That was Akari.\Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain. response:	Roger.
context: Hana had another premonition.\Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger. response:	C'mon, let's go one-on-one again...
context: Tonight, a Machine Goodfellow will activate.\That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again... response:	Hey, that's against the rules!
context: That arena seems like the first place to look.\Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules! response:	Oh... H-Hello, Kariya-san!
context: Yeah.\Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san! response:	Business seems to be booming.
context: Isn't the Nebula Engine at Haneda, aboard the Regenbogen?\For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming. response:	Yes, thanks to Baku.
context: For strategic reasons, we're preparing it to be sent here.\Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku. response:	He's our cash cow.
context: Right now, we'll have to rely on the captain.\Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow. response:	I see.
context: Roger.\C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow.\I see. response:	Tonight, have him earn as much as you can.
context: C'mon, let's go one-on-one again...\Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow.\I see.\Tonight, have him earn as much as you can. response:	Huh?
context: Hey, that's against the rules!\Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow.\I see.\Tonight, have him earn as much as you can.\Huh? response:	This will be our last time seeing him in the ring.
context: Oh... H-Hello, Kariya-san!\Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow.\I see.\Tonight, have him earn as much as you can.\Huh?\This will be our last time seeing him in the ring. response:	Starting tomorrow, have someone replace him.
context: Business seems to be booming.\Yes, thanks to Baku.\He's our cash cow.\I see.\Tonight, have him earn as much as you can.\Huh?\This will be our last time seeing him in the ring.\Starting tomorrow, have someone replace him. response:	Does... that mean...
context: Yes, thanks to Baku.\He's our cash cow.\I see.\Tonight, have him earn as much as you can.\Huh?\This will be our last time seeing him in the ring.\Starting tomorrow, have someone replace him.\Does... that mean... response:	Roger!
context: He's our cash cow.\I see.\Tonight, have him earn as much as you can.\Huh?\This will be our last time seeing him in the ring.\Starting tomorrow, have someone replace him.\Does... that mean...\Roger! response:	Of course! I'll do as you say!
context: I see.\Tonight, have him earn as much as you can.\Huh?\This will be our last time seeing him in the ring.\Starting tomorrow, have someone replace him.\Does... that mean...\Roger!\Of course! I'll do as you say! response:	Hey, Teppei...
