context: Frill-necked lizards, Mexican salamanders, and human-faced fish are all mad. response:	Mad, saying they're not toys.
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade. response:	I'm a Cancer. My blood type is O and my birthstone is the pearl.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl. response:	I'm clumsier than others and a bit of a crybaby. That's about it.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it. response:	One day, a strange black cat named Luna appeared
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared response:	and made me into a sailor warrior.
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior. response:	But she wants me to fight bad guys. That makes me really nervous.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay. response:	A Monster's Scent! Chanela Steals Love
context: I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love response:	I'm scared!
context: I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared! response:	Tuxedo Mask.
context: I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask. response:	Tuxedo Mask.
context: One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask.\Tuxedo Mask. response:	Usagi, I will always be near you.
context: and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you. response:	Tuxedo Mask.
context: But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask. response:	What's with all the racket so early in the morning?
context: Oh well, I guess everything will be okay.\A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning? response:	Why is there a cat here?
context: A Monster's Scent! Chanela Steals Love\I'm scared!\Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here? response:	Cat
context: I'm scared!\Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here?\Cat response:	Get away!
context: Tuxedo Mask.\Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here?\Cat\Get away! response:	Hey! Get away!
context: Tuxedo Mask.\Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here?\Cat\Get away!\Hey! Get away! response:	Hey!
context: Usagi, I will always be near you.\Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here?\Cat\Get away!\Hey! Get away!\Hey! response:	Take that cat out of my room now!
context: Tuxedo Mask.\What's with all the racket so early in the morning?\Why is there a cat here?\Cat\Get away!\Hey! Get away!\Hey!\Take that cat out of my room now! response:	Oh yeah, Shingo... You hate cats, don't you?
context: What's with all the racket so early in the morning?\Why is there a cat here?\Cat\Get away!\Hey! Get away!\Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you? response:	Here!
context: Why is there a cat here?\Cat\Get away!\Hey! Get away!\Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here! response:	Stop it!
context: Cat\Get away!\Hey! Get away!\Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it! response:	Here here.
context: Get away!\Hey! Get away!\Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it!\Here here. response:	Will you ever talk back to your smart and beautiful sister again?
context: Hey! Get away!\Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again? response:	Breakfast!
context: Hey!\Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast! response:	Yes!
context: Take that cat out of my room now!\Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes! response:	Saved.
context: Oh yeah, Shingo... You hate cats, don't you?\Here!\Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes!\Saved. response:	What were you guys yelling about so early in the morning?
context: Here!\Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes!\Saved.\What were you guys yelling about so early in the morning? response:	That cat is Usagi's friend, right?
context: Stop it!\Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes!\Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right? response:	Yep, her name is Luna.
context: Here here.\Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes!\Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna. response:	The shameless part is just like sis.
context: Will you ever talk back to your smart and beautiful sister again?\Breakfast!\Yes!\Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis. response:	The fact that she's sleeping with you sure makes it seem like she likes you.
context: Breakfast!\Yes!\Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you. response:	Stop joking. She came in without my permission.
context: Yes!\Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission. response:	I know, since we've all met. Why don't we keep Luna?
context: Saved.\What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna? response:	No way.
context: What were you guys yelling about so early in the morning?\That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way. response:	Yes way. Yes way. Yes way.
context: That cat is Usagi's friend, right?\Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way. response:	No way! No way! No way!
context: Yep, her name is Luna.\The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way.\No way! No way! No way! response:	Yes way! Yes way! Yes way!
context: The shameless part is just like sis.\The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way! response:	Definitely no way.
context: The fact that she's sleeping with you sure makes it seem like she likes you.\Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way. response:	It's just a cat. It should be okay.
context: Stop joking. She came in without my permission.\I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay. response:	Well, you two figure it out on your own, okay?
context: I know, since we've all met. Why don't we keep Luna?\No way.\Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay? response:	Oh, great.
context: No way.\Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great. response:	Why did you go to Shingo's room anyway?
context: Yes way. Yes way. Yes way.\No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway? response:	Well, actually I've been busy with work and... accidentally...
context: No way! No way! No way!\Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally... response:	Work? Were you chasing a mouse or something?
context: Yes way! Yes way! Yes way!\Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something? response:	No, I was looking for the Moon Princess.
context: Definitely no way.\It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess. response:	Moon pudding?
context: It's just a cat. It should be okay.\Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding? response:	Hey!
context: Well, you two figure it out on your own, okay?\Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding?\Hey! response:	Well anyway, try to get on Shingo's good side.
context: Oh, great.\Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side. response:	Bye! I'm off!
context: Why did you go to Shingo's room anyway?\Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off! response:	Good luck!
context: Well, actually I've been busy with work and... accidentally...\Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck! response:	Pet Shop Rope
context: Work? Were you chasing a mouse or something?\No, I was looking for the Moon Princess.\Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck!\Pet Shop Rope response:	How cute!
context: No, I was looking for the Moon Princess.\Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck!\Pet Shop Rope\How cute! response:	Oh, she licked my finger! How cute!
context: Moon pudding?\Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck!\Pet Shop Rope\How cute!\Oh, she licked my finger! How cute! response:	That's what I need to do.
context: Hey!\Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck!\Pet Shop Rope\How cute!\Oh, she licked my finger! How cute!\That's what I need to do. response:	Jadeite, do you have a new plan to steal energy?
context: Well anyway, try to get on Shingo's good side.\Bye! I'm off!\Good luck!\Pet Shop Rope\How cute!\Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy? response:	Yes, Queen Beryl.
context: Bye! I'm off!\Good luck!\Pet Shop Rope\How cute!\Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl. response:	The monster Iguana has set it up.
context: Good luck!\Pet Shop Rope\How cute!\Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up. response:	Humans have many desires.
context: Pet Shop Rope\How cute!\Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires. response:	Just a bit of catalyst can turn that desire
context: How cute!\Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire response:	into a very strong life energy.
context: Oh, she licked my finger! How cute!\That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy. response:	In other words, the energy flows freely.
context: That's what I need to do.\Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely. response:	And we just take that from them?
context: Jadeite, do you have a new plan to steal energy?\Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them? response:	It is all for our great ruler.
context: Yes, Queen Beryl.\The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler. response:	Proceed carefully.
context: The monster Iguana has set it up.\Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler.\Proceed carefully. response:	Yes!
context: Humans have many desires.\Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler.\Proceed carefully.\Yes! response:	Hmm. Shingo doesn't like cats?
context: Just a bit of catalyst can turn that desire\into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler.\Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats? response:	Yeah, when he was a baby, a cat bit the tip of his nose.
context: into a very strong life energy.\In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler.\Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose. response:	The fear from that still hasn't disappeared.
context: In other words, the energy flows freely.\And we just take that from them?\It is all for our great ruler.\Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared. response:	At least it was just a cat. I was bitten by an alligator.
context: And we just take that from them?\It is all for our great ruler.\Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator. response:	Why an alligator?
context: It is all for our great ruler.\Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator? response:	Oh, my mom probably left the latch open and set it next to me.
context: Proceed carefully.\Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me. response:	Alligator! Alligator!
context: Yes!\Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator! response:	A latch?
context: Hmm. Shingo doesn't like cats?\Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch? response:	Umino, you don't mean a handbag made of alligator skin, do you?
context: Yeah, when he was a baby, a cat bit the tip of his nose.\The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you? response:	They call it that too.
context: The fear from that still hasn't disappeared.\At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too. response:	Umino!
context: At least it was just a cat. I was bitten by an alligator.\Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino! response:	Bye!
context: Why an alligator?\Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino!\Bye! response:	See you tomorrow.
context: Oh, my mom probably left the latch open and set it next to me.\Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino!\Bye!\See you tomorrow. response:	Guess that didn't work.
context: Alligator! Alligator!\A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino!\Bye!\See you tomorrow.\Guess that didn't work. response:	Shingo...
context: A latch?\Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino!\Bye!\See you tomorrow.\Guess that didn't work.\Shingo... response:	The cat. What about the cat?!
context: Umino, you don't mean a handbag made of alligator skin, do you?\They call it that too.\Umino!\Bye!\See you tomorrow.\Guess that didn't work.\Shingo...\The cat. What about the cat?! response:	Shingo, you don't like cats?
context: They call it that too.\Umino!\Bye!\See you tomorrow.\Guess that didn't work.\Shingo...\The cat. What about the cat?!\Shingo, you don't like cats? response:	Mika.
context: Umino!\Bye!\See you tomorrow.\Guess that didn't work.\Shingo...\The cat. What about the cat?!\Shingo, you don't like cats?\Mika. response:	A different kind of pet would be okay.
context: Bye!\See you tomorrow.\Guess that didn't work.\Shingo...\The cat. What about the cat?!\Shingo, you don't like cats?\Mika.\A different kind of pet would be okay. response:	There's one that is perfect for you.
context: See you tomorrow.\Guess that didn't work.\Shingo...\The cat. What about the cat?!\Shingo, you don't like cats?\Mika.\A different kind of pet would be okay.\There's one that is perfect for you. response:	Huh?
context: Guess that didn't work.\Shingo...\The cat. What about the cat?!\Shingo, you don't like cats?\Mika.\A different kind of pet would be okay.\There's one that is perfect for you.\Huh? response:	There is a pretty neat store that just opened up. Let's go.
context: Shingo...\The cat. What about the cat?!\Shingo, you don't like cats?\Mika.\A different kind of pet would be okay.\There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go. response:	Oh, okay.
context: The cat. What about the cat?!\Shingo, you don't like cats?\Mika.\A different kind of pet would be okay.\There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay. response:	Pet Shop Perfume
context: Shingo, you don't like cats?\Mika.\A different kind of pet would be okay.\There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume response:	Doesn't it smell nice?
context: Mika.\A different kind of pet would be okay.\There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume\Doesn't it smell nice? response:	It's some perfume.
context: A different kind of pet would be okay.\There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume\Doesn't it smell nice?\It's some perfume. response:	This scent is coming from the pets here.
context: There's one that is perfect for you.\Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume\Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here. response:	What?
context: Huh?\There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume\Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here.\What? response:	Do you like the chanela?
context: There is a pretty neat store that just opened up. Let's go.\Oh, okay.\Pet Shop Perfume\Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here.\What?\Do you like the chanela? response:	Chanela?
context: Oh, okay.\Pet Shop Perfume\Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here.\What?\Do you like the chanela?\Chanela? response:	Yes, these chanela emit a perfume-like scent.
context: Pet Shop Perfume\Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here.\What?\Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent. response:	And each animal has a different scent.
context: Doesn't it smell nice?\It's some perfume.\This scent is coming from the pets here.\What?\Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent. response:	Wow!
context: It's some perfume.\This scent is coming from the pets here.\What?\Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow! response:	I'll buy this chanela.
context: This scent is coming from the pets here.\What?\Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow!\I'll buy this chanela. response:	I like this one. But it's expensive, right?
context: What?\Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow!\I'll buy this chanela.\I like this one. But it's expensive, right? response:	Just bring the money when you can.
context: Do you like the chanela?\Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow!\I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can. response:	Really?
context: Chanela?\Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow!\I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can.\Really? response:	That helps. Really?
context: Yes, these chanela emit a perfume-like scent.\And each animal has a different scent.\Wow!\I'll buy this chanela.\I like this one. But it's expensive, right?\Just bring the money when you can.\Really?\That helps. Really? response:	That helps.
