context: Pardon me... response:	What day is it today?
context: You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see...\Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right. response:	Sure...
context: I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see...\Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure... response:	All right, Tsumugu.
context: Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see...\Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu. response:	That should be enough for today.
context: Her birth mother was, yes.\I see...\Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu.\That should be enough for today. response:	Right.
context: I see...\Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu.\That should be enough for today.\Right. response:	Thanks, Kaname.
context: Does that mean something?\No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu.\That should be enough for today.\Right.\Thanks, Kaname. response:	You helped a lot.
context: No, I might just be overthinking things.\I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu.\That should be enough for today.\Right.\Thanks, Kaname.\You helped a lot. response:	I'm not sure if I was any help.
context: I'd like to talk to your daughter at another time if that's all right.\Sure...\All right, Tsumugu.\That should be enough for today.\Right.\Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help. response:	You helped plenty.
context: Sure...\All right, Tsumugu.\That should be enough for today.\Right.\Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help.\You helped plenty. response:	After Hikari-kun came back, you came back as well.
context: All right, Tsumugu.\That should be enough for today.\Right.\Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well. response:	The awakening of everyone else in Shioshishio may be drawing nearer.
context: That should be enough for today.\Right.\Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer. response:	Really? Does that mean we'll be able to get into Shishio?
context: Right.\Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio? response:	There isn't a sure way yet.
context: Thanks, Kaname.\You helped a lot.\I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet. response:	But I believe to solve the mystery
context: You helped a lot.\I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery response:	surrounding the various adverse weather phenomena in the past few years,
context: I'm not sure if I was any help.\You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years, response:	we'll need to go to Shioshishio.
context: You helped plenty.\After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio. response:	And to do that, we've gathered quite a bit of data.
context: After Hikari-kun came back, you came back as well.\The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data. response:	Please wait a little longer.
context: The awakening of everyone else in Shioshishio may be drawing nearer.\Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer. response:	We're counting on you.
context: Really? Does that mean we'll be able to get into Shishio?\There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you. response:	I want to know if everyone in the village...
context: There isn't a sure way yet.\But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you.\I want to know if everyone in the village... response:	my dad, and Manaka are all safe.
context: But I believe to solve the mystery\surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe. response:	It's best not to forcefully awaken the ones that are still asleep.
context: surrounding the various adverse weather phenomena in the past few years,\we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep. response:	There's still a lot that we don't know.
context: we'll need to go to Shioshishio.\And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know. response:	I know that.
context: And to do that, we've gathered quite a bit of data.\Please wait a little longer.\We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that. response:	Are you okay, Kaname-kun?
context: Please wait a little longer.\We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun? response:	Yes.
context: We're counting on you.\I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun?\Yes. response:	Or rather, none of this really feels real yet.
context: I want to know if everyone in the village...\my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet. response:	A lot's changed, so it must have been surprising.
context: my dad, and Manaka are all safe.\It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising. response:	Right...
context: It's best not to forcefully awaken the ones that are still asleep.\There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right... response:	But, there are things that haven't changed.
context: There's still a lot that we don't know.\I know that.\Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed. response:	Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board
context: I know that.\Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board response:	Good girl.
context: Are you okay, Kaname-kun?\Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl. response:	Precious Notebook
context: Yes.\Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook response:	Sayu, Miuna-chan's on the phone!
context: Or rather, none of this really feels real yet.\A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone! response:	Okay.
context: A lot's changed, so it must have been surprising.\Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay. response:	Sit wherever you'd like.
context: Right...\But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like. response:	Right.
context: But, there are things that haven't changed.\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like.\Right. response:	So you really are living here, Chisaki...
context: Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like.\Right.\So you really are living here, Chisaki... response:	I said that, didn't I?
context: Good girl.\Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like.\Right.\So you really are living here, Chisaki...\I said that, didn't I? response:	You guys came to the Fishery Cooperative together so I was surprised.
context: Precious Notebook\Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like.\Right.\So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised. response:	And I just assumed things.
context: Sayu, Miuna-chan's on the phone!\Okay.\Sit wherever you'd like.\Right.\So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things. response:	Idiot.
context: Okay.\Sit wherever you'd like.\Right.\So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot. response:	Come on, sit down.
context: Sit wherever you'd like.\Right.\So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot.\Come on, sit down. response:	Thanks.
context: Right.\So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot.\Come on, sit down.\Thanks. response:	You'll be sharing a room with Mihashi-sensei.
context: So you really are living here, Chisaki...\I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot.\Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei. response:	That's fine.
context: I said that, didn't I?\You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot.\Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine. response:	The tea will be ready in a sec.
context: You guys came to the Fishery Cooperative together so I was surprised.\And I just assumed things.\Idiot.\Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec. response:	Huh?
context: And I just assumed things.\Idiot.\Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec.\Huh? response:	Here.
context: Idiot.\Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec.\Huh?\Here. response:	My pajamas should work, right?
context: Come on, sit down.\Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec.\Huh?\Here.\My pajamas should work, right? response:	I've already laid them out.
context: Thanks.\You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec.\Huh?\Here.\My pajamas should work, right?\I've already laid them out. response:	Kaname, yours is the blue one.
context: You'll be sharing a room with Mihashi-sensei.\That's fine.\The tea will be ready in a sec.\Huh?\Here.\My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one. response:	Okay...
context: That's fine.\The tea will be ready in a sec.\Huh?\Here.\My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one.\Okay... response:	You okay?
context: The tea will be ready in a sec.\Huh?\Here.\My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one.\Okay...\You okay? response:	What do you mean?
context: Huh?\Here.\My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one.\Okay...\You okay?\What do you mean? response:	Well, Mihashi-sensei is here, too,
context: Here.\My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one.\Okay...\You okay?\What do you mean?\Well, Mihashi-sensei is here, too, response:	so I thought there might be a lot to do.
context: My pajamas should work, right?\I've already laid them out.\Kaname, yours is the blue one.\Okay...\You okay?\What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do. response:	I'm perfectly fine.
context: I've already laid them out.\Kaname, yours is the blue one.\Okay...\You okay?\What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine. response:	I see...
context: Kaname, yours is the blue one.\Okay...\You okay?\What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine.\I see... response:	Yesterday, another student from Shioshishio awakened.
context: Okay...\You okay?\What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened. response:	I know! It's Isaki-senpai, right?
context: You okay?\What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right? response:	He's good looking, isn't he?
context: What do you mean?\Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he? response:	And totally cool.
context: Well, Mihashi-sensei is here, too,\so I thought there might be a lot to do.\I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool. response:	Hold up!
context: so I thought there might be a lot to do.\I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool.\Hold up! response:	Didn't you guys say that I was cool wearing the happi coat?
context: I'm perfectly fine.\I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat? response:	Is Isaki-senpai joining this class, too?
context: I see...\Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too? response:	When's he coming?
context: Yesterday, another student from Shioshishio awakened.\I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming? response:	You're ignoring me? Hey!
context: I know! It's Isaki-senpai, right?\He's good looking, isn't he?\And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey! response:	Man...
context: He's good looking, isn't he?\And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey!\Man... response:	I decided I'd live the rest of my life alone.
context: And totally cool.\Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone. response:	And now even though he came back suddenly...
context: Hold up!\Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly... response:	I see...
context: Didn't you guys say that I was cool wearing the happi coat?\Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see... response:	But...
context: Is Isaki-senpai joining this class, too?\When's he coming?\You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see...\But... response:	Yeah... you're happy, right?
context: When's he coming?\You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see...\But...\Yeah... you're happy, right? response:	Back then, I was just looking at him from afar.
context: You're ignoring me? Hey!\Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see...\But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar. response:	Even though we were together, he felt so far away...
context: Man...\I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see...\But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away... response:	And the closer I got to him,
context: I decided I'd live the rest of my life alone.\And now even though he came back suddenly...\I see...\But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him, response:	the farther away he felt...
context: And now even though he came back suddenly...\I see...\But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt... response:	What?
context: I see...\But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt...\What? response:	Oh.
context: But...\Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt...\What?\Oh. response:	Well, I guess you were feeling the same thing I was.
context: Yeah... you're happy, right?\Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt...\What?\Oh.\Well, I guess you were feeling the same thing I was. response:	But now we may be able to get into that circle.
context: Back then, I was just looking at him from afar.\Even though we were together, he felt so far away...\And the closer I got to him,\the farther away he felt...\What?\Oh.\Well, I guess you were feeling the same thing I was.\But now we may be able to get into that circle. response:	Now...
