context: Well then, let's get started. response:	Hey hey, wait a second!
context: What does it mean?\No idea!\Looks like everyone's showing up...\What's wrong with this world?\What on earth happened?\More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food. response:	Wait... Matsushita 5th Dan?!
context: No idea!\Looks like everyone's showing up...\What's wrong with this world?\What on earth happened?\More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?! response:	Tasty candy!
context: Looks like everyone's showing up...\What's wrong with this world?\What on earth happened?\More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy! response:	That's some crazy weight loss...
context: What's wrong with this world?\What on earth happened?\More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss... response:	Are you alright?
context: What on earth happened?\More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss...\Are you alright? response:	Yeah, actually I've never felt better!
context: More like, what happened to you?\Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better! response:	I feel like I could do the 100 - man kumite right now!
context: Who are you?\I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now! response:	Isn't that karate?
context: I was training in the mountains for a while, but there wasn't much food.\Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate? response:	Well whatever, having you here helps us a lot.
context: Wait... Matsushita 5th Dan?!\Tasty candy!\That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot. response:	We have to deal with this many opponents, after all...
context: Tasty candy!\That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all... response:	Let's leave this place safely, everyone together.
context: That's some crazy weight loss...\Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together. response:	Yeah.
context: Are you alright?\Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah. response:	Goodbye wild heaven.
context: Yeah, actually I've never felt better!\I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven. response:	Alright!
context: I feel like I could do the 100 - man kumite right now!\Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven.\Alright! response:	Let's break through!
context: Isn't that karate?\Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven.\Alright!\Let's break through! response:	Why the Guild?
context: Well whatever, having you here helps us a lot.\We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven.\Alright!\Let's break through!\Why the Guild? response:	It is the perfect place to lie in hiding, but it's enemy ground.
context: We have to deal with this many opponents, after all...\Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven.\Alright!\Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground. response:	It's our base!
context: Let's leave this place safely, everyone together.\Yeah.\Goodbye wild heaven.\Alright!\Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base! response:	Of course they'd be here...
context: Yeah.\Goodbye wild heaven.\Alright!\Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here... response:	En masse too...
context: Goodbye wild heaven.\Alright!\Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here...\En masse too... response:	Damn, there's no end to them!
context: Alright!\Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here...\En masse too...\Damn, there's no end to them! response:	Otonashi - san, look below!
context: Let's break through!\Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here...\En masse too...\Damn, there's no end to them!\Otonashi - san, look below! response:	They keep multiplying...
context: Why the Guild?\It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here...\En masse too...\Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying... response:	Behind you!
context: It is the perfect place to lie in hiding, but it's enemy ground.\It's our base!\Of course they'd be here...\En masse too...\Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying...\Behind you! response:	100 men.
context: It's our base!\Of course they'd be here...\En masse too...\Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying...\Behind you!\100 men. response:	What?
context: Of course they'd be here...\En masse too...\Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying...\Behind you!\100 men.\What? response:	Assume your strength of force just grew by 100 men.
context: En masse too...\Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying...\Behind you!\100 men.\What?\Assume your strength of force just grew by 100 men. response:	Don't you understand?
context: Damn, there's no end to them!\Otonashi - san, look below!\They keep multiplying...\Behind you!\100 men.\What?\Assume your strength of force just grew by 100 men.\Don't you understand? response:	I'll take over from here.
context: Otonashi - san, look below!\They keep multiplying...\Behind you!\100 men.\What?\Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here. response:	Go!
context: They keep multiplying...\Behind you!\100 men.\What?\Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here.\Go! response:	Shiina...
context: Behind you!\100 men.\What?\Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here.\Go!\Shiina... response:	Okay, I'll leave it to you.
context: 100 men.\What?\Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here.\Go!\Shiina...\Okay, I'll leave it to you. response:	Come with me Hinata!
context: What?\Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here.\Go!\Shiina...\Okay, I'll leave it to you.\Come with me Hinata! response:	Where are you going?
context: Assume your strength of force just grew by 100 men.\Don't you understand?\I'll take over from here.\Go!\Shiina...\Okay, I'll leave it to you.\Come with me Hinata!\Where are you going? response:	Otonashi - san!
context: Don't you understand?\I'll take over from here.\Go!\Shiina...\Okay, I'll leave it to you.\Come with me Hinata!\Where are you going?\Otonashi - san! response:	- Contact Path B7
context: I'll take over from here.\Go!\Shiina...\Okay, I'll leave it to you.\Come with me Hinata!\Where are you going?\Otonashi - san!\- Contact Path B7 response:	There seem to be more here, so I guess this is the right way?
context: Go!\Shiina...\Okay, I'll leave it to you.\Come with me Hinata!\Where are you going?\Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way? response:	I'm running low...
context: Shiina...\Okay, I'll leave it to you.\Come with me Hinata!\Where are you going?\Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low... response:	I won't make it through all of that with just a handgun.
context: Okay, I'll leave it to you.\Come with me Hinata!\Where are you going?\Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun. response:	What should I do?
context: Come with me Hinata!\Where are you going?\Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun.\What should I do? response:	Yurippe.
context: Where are you going?\Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun.\What should I do?\Yurippe. response:	Chaa!
context: Otonashi - san!\- Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun.\What should I do?\Yurippe.\Chaa! response:	Everyone in Guild knows the situation now.
context: - Contact Path B7\There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun.\What should I do?\Yurippe.\Chaa!\Everyone in Guild knows the situation now. response:	They're all heading for ground level.
context: There seem to be more here, so I guess this is the right way?\I'm running low...\I won't make it through all of that with just a handgun.\What should I do?\Yurippe.\Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level. response:	I see.
context: I'm running low...\I won't make it through all of that with just a handgun.\What should I do?\Yurippe.\Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level.\I see. response:	Take this.
context: I won't make it through all of that with just a handgun.\What should I do?\Yurippe.\Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level.\I see.\Take this. response:	Thank you!
context: What should I do?\Yurippe.\Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level.\I see.\Take this.\Thank you! response:	So our fight ends here?
context: Yurippe.\Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level.\I see.\Take this.\Thank you!\So our fight ends here? response:	Yeah, it ends here.
context: Chaa!\Everyone in Guild knows the situation now.\They're all heading for ground level.\I see.\Take this.\Thank you!\So our fight ends here?\Yeah, it ends here. response:	I see.
context: Everyone in Guild knows the situation now.\They're all heading for ground level.\I see.\Take this.\Thank you!\So our fight ends here?\Yeah, it ends here.\I see. response:	In that case, Guild will disband too.
context: They're all heading for ground level.\I see.\Take this.\Thank you!\So our fight ends here?\Yeah, it ends here.\I see.\In that case, Guild will disband too. response:	We were only able to keep going because of you guys carrying on the fight.
context: I see.\Take this.\Thank you!\So our fight ends here?\Yeah, it ends here.\I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight. response:	Thanks for everything.
context: Take this.\Thank you!\So our fight ends here?\Yeah, it ends here.\I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything. response:	If it weren't for you, we wouldn't have been able to do anything.
context: Thank you!\So our fight ends here?\Yeah, it ends here.\I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything. response:	No, I'm just an old fool who happened to be around.
context: So our fight ends here?\Yeah, it ends here.\I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around. response:	Bye then.
context: Yeah, it ends here.\I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then. response:	Time to go.
context: I see.\In that case, Guild will disband too.\We were only able to keep going because of you guys carrying on the fight.\Thanks for everything.\If it weren't for you, we wouldn't have been able to do anything.\No, I'm just an old fool who happened to be around.\Bye then.\Time to go. response:	- Inside Large Dining Hall
