context: What a kill count, and on only her third mission. response:	Not bad, not bad.
context: So why?\The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all.\Mei.\Focus on your own duty. response:	Got it, Salia?
context: The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all.\Mei.\Focus on your own duty.\Got it, Salia? response:	Good girl.
context: If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all.\Mei.\Focus on your own duty.\Got it, Salia?\Good girl. response:	Things are going to get busy now, huh?
context: I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all.\Mei.\Focus on your own duty.\Got it, Salia?\Good girl.\Things are going to get busy now, huh? response:	Again, don't get cocky.
context: I'll stake my life on it.\That's our duty, after all.\Mei.\Focus on your own duty.\Got it, Salia?\Good girl.\Things are going to get busy now, huh?\Again, don't get cocky. response:	Especially towards the officer.
context: That's our duty, after all.\Mei.\Focus on your own duty.\Got it, Salia?\Good girl.\Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer. response:	Good girl, huh?
context: Mei.\Focus on your own duty.\Got it, Salia?\Good girl.\Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer.\Good girl, huh? response:	You're a sly woman, aren't you?
context: Focus on your own duty.\Got it, Salia?\Good girl.\Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you? response:	I'll use whatever I can.
context: Got it, Salia?\Good girl.\Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can. response:	Feelings, lives.
context: Good girl.\Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives. response:	I'm already in hell.
context: Things are going to get busy now, huh?\Again, don't get cocky.\Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives.\I'm already in hell. response:	A Loner's Revolt
context: Again, don't get cocky.\Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives.\I'm already in hell.\A Loner's Revolt response:	Destroyed three Scuna-class,
context: Especially towards the officer.\Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives.\I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class, response:	and an anchor driven into a Galleon-class.
context: Good girl, huh?\You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives.\I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class. response:	Subtracting ammo, fuel consumption, and armor wear,
context: You're a sly woman, aren't you?\I'll use whatever I can.\Feelings, lives.\I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear, response:	this week you earned 180,000 cash.
context: I'll use whatever I can.\Feelings, lives.\I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash. response:	That's it?
context: Feelings, lives.\I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it? response:	That's enough. I only earned a single digit.
context: I'm already in hell.\A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit. response:	And you, Hilda?
context: A Loner's Revolt\Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit.\And you, Hilda? response:	Five and a half million cash for the week.
context: Destroyed three Scuna-class,\and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week. response:	Good going, Ange.
context: and an anchor driven into a Galleon-class.\Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week.\Good going, Ange. response:	She really earned it.
context: Subtracting ammo, fuel consumption, and armor wear,\this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week.\Good going, Ange.\She really earned it. response:	Thank you for your deposit.
context: this week you earned 180,000 cash.\That's it?\That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week.\Good going, Ange.\She really earned it.\Thank you for your deposit. response:	What's wrong?
context: That's it?\That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week.\Good going, Ange.\She really earned it.\Thank you for your deposit.\What's wrong? response:	My.
context: That's enough. I only earned a single digit.\And you, Hilda?\Five and a half million cash for the week.\Good going, Ange.\She really earned it.\Thank you for your deposit.\What's wrong?\My. response:	Was it you guys again?
context: And you, Hilda?\Five and a half million cash for the week.\Good going, Ange.\She really earned it.\Thank you for your deposit.\What's wrong?\My.\Was it you guys again? response:	Gee, who knows.
context: Five and a half million cash for the week.\Good going, Ange.\She really earned it.\Thank you for your deposit.\What's wrong?\My.\Was it you guys again?\Gee, who knows. response:	Wh-What's your problem?
context: Good going, Ange.\She really earned it.\Thank you for your deposit.\What's wrong?\My.\Was it you guys again?\Gee, who knows.\Wh-What's your problem? response:	Rosalie.
context: She really earned it.\Thank you for your deposit.\What's wrong?\My.\Was it you guys again?\Gee, who knows.\Wh-What's your problem?\Rosalie. response:	Bitch.
context: Thank you for your deposit.\What's wrong?\My.\Was it you guys again?\Gee, who knows.\Wh-What's your problem?\Rosalie.\Bitch. response:	Damn.
context: What's wrong?\My.\Was it you guys again?\Gee, who knows.\Wh-What's your problem?\Rosalie.\Bitch.\Damn. response:	You worry too much, Dad.
context: My.\Was it you guys again?\Gee, who knows.\Wh-What's your problem?\Rosalie.\Bitch.\Damn.\You worry too much, Dad. response:	Don't worry, I've learned how to do my job,
context: Was it you guys again?\Gee, who knows.\Wh-What's your problem?\Rosalie.\Bitch.\Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job, response:	and I'm getting used to the Norma.
context: Gee, who knows.\Wh-What's your problem?\Rosalie.\Bitch.\Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma. response:	So long as I keep my eye on them,
context: Wh-What's your problem?\Rosalie.\Bitch.\Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them, response:	not a single Norma is going to step out of line.
context: Rosalie.\Bitch.\Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line. response:	S-Stop!
context: Bitch.\Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop! response:	You, why are you dressed like that?
context: Damn.\You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that? response:	It's my uniform.
context: You worry too much, Dad.\Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that?\It's my uniform. response:	I will not allow you to dress in a way that disturbs this base's order.
context: Don't worry, I've learned how to do my job,\and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order. response:	Fix it or buy a new one, immediately.
context: and I'm getting used to the Norma.\So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately. response:	That's an order.
context: So long as I keep my eye on them,\not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order. response:	Ah.
context: not a single Norma is going to step out of line.\S-Stop!\You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order.\Ah. response:	Understood, Officer.
context: S-Stop!\You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order.\Ah.\Understood, Officer. response:	Don't forget your salutes.
context: You, why are you dressed like that?\It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order.\Ah.\Understood, Officer.\Don't forget your salutes. response:	Really.
context: It's my uniform.\I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order.\Ah.\Understood, Officer.\Don't forget your salutes.\Really. response:	Are you not embarrassed to dress so shamelessly?
context: I will not allow you to dress in a way that disturbs this base's order.\Fix it or buy a new one, immediately.\That's an order.\Ah.\Understood, Officer.\Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly? response:	Are you embarrassed when a bug sees you naked?
context: Fix it or buy a new one, immediately.\That's an order.\Ah.\Understood, Officer.\Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked? response:	Excuse me.
context: That's an order.\Ah.\Understood, Officer.\Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me. response:	Did you hear that?
context: Ah.\Understood, Officer.\Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that? response:	She seriously pisses me off.
context: Understood, Officer.\Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that?\She seriously pisses me off. response:	What's her problem?
context: Don't forget your salutes.\Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that?\She seriously pisses me off.\What's her problem? response:	You're a Norma, too, you skank.
context: Really.\Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that?\She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank. response:	Ow!
context: Are you not embarrassed to dress so shamelessly?\Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that?\She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank.\Ow! response:	Are you going to buy a new one?
context: Are you embarrassed when a bug sees you naked?\Excuse me.\Did you hear that?\She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank.\Ow!\Are you going to buy a new one? response:	I don't have that kind of money.
context: Excuse me.\Did you hear that?\She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank.\Ow!\Are you going to buy a new one?\I don't have that kind of money. response:	I'll have to teach that whore properly.
context: Did you hear that?\She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank.\Ow!\Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly. response:	Yeah, until she cries and begs for forgiveness.
context: She seriously pisses me off.\What's her problem?\You're a Norma, too, you skank.\Ow!\Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness. response:	Right, Hilda?
context: What's her problem?\You're a Norma, too, you skank.\Ow!\Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda? response:	Yeah.
context: You're a Norma, too, you skank.\Ow!\Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah. response:	Let's give her space.
context: Ow!\Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah.\Let's give her space. response:	She's the most shocked about Zola-oneesama's death.
context: Are you going to buy a new one?\I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death. response:	We have to be the ones to avenge Onee-sama.
context: I don't have that kind of money.\I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama. response:	For Hilda, too.
context: I'll have to teach that whore properly.\Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too. response:	Ow.
context: Yeah, until she cries and begs for forgiveness.\Right, Hilda?\Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow. response:	Whoopsies.
context: Right, Hilda?\Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow.\Whoopsies. response:	You little
context: Yeah.\Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow.\Whoopsies.\You little response:	Rosalie!
context: Let's give her space.\She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow.\Whoopsies.\You little\Rosalie! response:	Wh-What was that for, you
context: She's the most shocked about Zola-oneesama's death.\We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow.\Whoopsies.\You little\Rosalie!\Wh-What was that for, you response:	Rosalie.
context: We have to be the ones to avenge Onee-sama.\For Hilda, too.\Ow.\Whoopsies.\You little\Rosalie!\Wh-What was that for, you\Rosalie. response:	Holy shit, that was bad.
context: For Hilda, too.\Ow.\Whoopsies.\You little\Rosalie!\Wh-What was that for, you\Rosalie.\Holy shit, that was bad. response:	That whore, I'm going to wreck her.
context: Ow.\Whoopsies.\You little\Rosalie!\Wh-What was that for, you\Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her. response:	Dammit, what am I going do about that wretched whoregoblin?
context: Whoopsies.\You little\Rosalie!\Wh-What was that for, you\Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin? response:	Sh-She wears that?
context: You little\Rosalie!\Wh-What was that for, you\Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that? response:	She's a total slut!
context: Rosalie!\Wh-What was that for, you\Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut! response:	Let's hang it in the hallways.
context: Wh-What was that for, you\Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut!\Let's hang it in the hallways. response:	I'll shame her to hell and back.
context: Rosalie.\Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back. response:	That was a good shower.
context: Holy shit, that was bad.\That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower. response:	This will be awesome.
context: That whore, I'm going to wreck her.\Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower.\This will be awesome. response:	Huh?
context: Dammit, what am I going do about that wretched whoregoblin?\Sh-She wears that?\She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower.\This will be awesome.\Huh? response:	Yeah, that ugly pig hoe's skanky bitch panties.
context: Sh-She wears that?\She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower.\This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties. response:	Let's expose her.
context: She's a total slut!\Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower.\This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her. response:	Yeah, nice, nice.
context: Let's hang it in the hallways.\I'll shame her to hell and back.\That was a good shower.\This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice. response:	Say it again.
context: I'll shame her to hell and back.\That was a good shower.\This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice.\Say it again. response:	Ugly pig hoe's skanky bitch panties...
context: That was a good shower.\This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties... response:	Hello, I'm the ugly pig hoe skank bitch.
context: This will be awesome.\Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch. response:	Ersha Lariat!
context: Huh?\Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat! response:	Ersha Special Magnum!
context: Yeah, that ugly pig hoe's skanky bitch panties.\Let's expose her.\Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum! response:	You should stay a little longer, dear.
context: Let's expose her.\Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear. response:	Air Ersha Wheel!
context: Yeah, nice, nice.\Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel! response:	They have a new one!
context: Say it again.\Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one! response:	Auntie, how much is this?
context: Ugly pig hoe's skanky bitch panties...\Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one!\Auntie, how much is this? response:	Call me Onee-san.
context: Hello, I'm the ugly pig hoe skank bitch.\Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one!\Auntie, how much is this?\Call me Onee-san. response:	Dammit.
context: Ersha Lariat!\Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one!\Auntie, how much is this?\Call me Onee-san.\Dammit. response:	The super chrome steel boomerang blade?
context: Ersha Special Magnum!\You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one!\Auntie, how much is this?\Call me Onee-san.\Dammit.\The super chrome steel boomerang blade? response:	Eighteen million cash.
context: You should stay a little longer, dear.\Air Ersha Wheel!\They have a new one!\Auntie, how much is this?\Call me Onee-san.\Dammit.\The super chrome steel boomerang blade?\Eighteen million cash. response:	Gladly!
context: Air Ersha Wheel!\They have a new one!\Auntie, how much is this?\Call me Onee-san.\Dammit.\The super chrome steel boomerang blade?\Eighteen million cash.\Gladly! response:	Thank you.
context: They have a new one!\Auntie, how much is this?\Call me Onee-san.\Dammit.\The super chrome steel boomerang blade?\Eighteen million cash.\Gladly!\Thank you. response:	Whoa, sexy.
context: Auntie, how much is this?\Call me Onee-san.\Dammit.\The super chrome steel boomerang blade?\Eighteen million cash.\Gladly!\Thank you.\Whoa, sexy. response:	Looks pretty cool.
context: Call me Onee-san.\Dammit.\The super chrome steel boomerang blade?\Eighteen million cash.\Gladly!\Thank you.\Whoa, sexy.\Looks pretty cool. response:	Do you have uniforms?
context: Dammit.\The super chrome steel boomerang blade?\Eighteen million cash.\Gladly!\Thank you.\Whoa, sexy.\Looks pretty cool.\Do you have uniforms? response:	Do I?
context: The super chrome steel boomerang blade?\Eighteen million cash.\Gladly!\Thank you.\Whoa, sexy.\Looks pretty cool.\Do you have uniforms?\Do I? response:	I've got everything from bras to railway guns here at the Jasmine Mall.
context: Eighteen million cash.\Gladly!\Thank you.\Whoa, sexy.\Looks pretty cool.\Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall. response:	How could she have ended up like that?
context: Gladly!\Thank you.\Whoa, sexy.\Looks pretty cool.\Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that? response:	Bye.
context: Thank you.\Whoa, sexy.\Looks pretty cool.\Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye. response:	You're going already?
context: Whoa, sexy.\Looks pretty cool.\Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye.\You're going already? response:	You should buy weapons and stuff, too.
context: Looks pretty cool.\Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye.\You're going already?\You should buy weapons and stuff, too. response:	You've made a ton, haven't you?
context: Do you have uniforms?\Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye.\You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you? response:	Hey, how about this one?
context: Do I?\I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye.\You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one? response:	I think it'd look awesome on your machine.
context: I've got everything from bras to railway guns here at the Jasmine Mall.\How could she have ended up like that?\Bye.\You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine. response:	A Para-mail is a Norma's casket.
context: How could she have ended up like that?\Bye.\You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket. response:	It's because you'll die there
context: Bye.\You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there response:	that you're allowed to customize it to your liking.
context: You're going already?\You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking. response:	Powerful weapons, thick armor, flashy decorations.
context: You should buy weapons and stuff, too.\You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations. response:	It's one of few freedoms given to Norma.
context: You've made a ton, haven't you?\Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma. response:	Pointless.
context: Hey, how about this one?\I think it'd look awesome on your machine.\A Para-mail is a Norma's casket.\It's because you'll die there\that you're allowed to customize it to your liking.\Powerful weapons, thick armor, flashy decorations.\It's one of few freedoms given to Norma.\Pointless. response:	You can't blame the others for targeting you,
