context: Goodbye. response:	We're going now.
context: Yeah.\What's all the racket?\M-Miss Valliere!\What?!\Good morning.\It's good to see you again.\You!\Looking for this? response:	Windy Icicle!
context: What's all the racket?\M-Miss Valliere!\What?!\Good morning.\It's good to see you again.\You!\Looking for this?\Windy Icicle! response:	Hardening magic...
context: M-Miss Valliere!\What?!\Good morning.\It's good to see you again.\You!\Looking for this?\Windy Icicle!\Hardening magic... response:	Fighting you is more fun than I expected!
context: What?!\Good morning.\It's good to see you again.\You!\Looking for this?\Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected! response:	Go!
context: Good morning.\It's good to see you again.\You!\Looking for this?\Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected!\Go! response:	Saito, help!
context: It's good to see you again.\You!\Looking for this?\Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected!\Go!\Saito, help! response:	Louise!
context: You!\Looking for this?\Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected!\Go!\Saito, help!\Louise! response:	You're so cute when you're struggling.
context: Looking for this?\Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected!\Go!\Saito, help!\Louise!\You're so cute when you're struggling. response:	No! Stop!
context: Windy Icicle!\Hardening magic...\Fighting you is more fun than I expected!\Go!\Saito, help!\Louise!\You're so cute when you're struggling.\No! Stop! response:	Are you okay, Louise?
context: Hardening magic...\Fighting you is more fun than I expected!\Go!\Saito, help!\Louise!\You're so cute when you're struggling.\No! Stop!\Are you okay, Louise? response:	Help me, Saito!
context: Fighting you is more fun than I expected!\Go!\Saito, help!\Louise!\You're so cute when you're struggling.\No! Stop!\Are you okay, Louise?\Help me, Saito! response:	She's strange! There's something not right with her!
context: Go!\Saito, help!\Louise!\You're so cute when you're struggling.\No! Stop!\Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her! response:	I think I'm going to make this girl into a doll.
context: Saito, help!\Louise!\You're so cute when you're struggling.\No! Stop!\Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll. response:	Is that okay?
context: Louise!\You're so cute when you're struggling.\No! Stop!\Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay? response:	Of course not!
context: You're so cute when you're struggling.\No! Stop!\Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay?\Of course not! response:	Come closer, and she loses her cute negligee.
context: No! Stop!\Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay?\Of course not!\Come closer, and she loses her cute negligee. response:	Y-You think you can threaten me with that?
context: Are you okay, Louise?\Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay?\Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that? response:	Stop!
context: Help me, Saito!\She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay?\Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop! response:	Why?
context: She's strange! There's something not right with her!\I think I'm going to make this girl into a doll.\Is that okay?\Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop!\Why? response:	I don't want anyone else to see!
context: I think I'm going to make this girl into a doll.\Is that okay?\Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop!\Why?\I don't want anyone else to see! response:	I feel the same way, but...
context: Is that okay?\Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop!\Why?\I don't want anyone else to see!\I feel the same way, but... response:	Well, I'm taking it off.
context: Of course not!\Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop!\Why?\I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off. response:	Stop it!
context: Come closer, and she loses her cute negligee.\Y-You think you can threaten me with that?\Stop!\Why?\I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off.\Stop it! response:	What the hell are you doing?!
context: Y-You think you can threaten me with that?\Stop!\Why?\I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off.\Stop it!\What the hell are you doing?! response:	Um, Siesta...
context: Stop!\Why?\I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off.\Stop it!\What the hell are you doing?!\Um, Siesta... response:	Miss Westwood!
context: Why?\I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off.\Stop it!\What the hell are you doing?!\Um, Siesta...\Miss Westwood! response:	You're safe!
context: I don't want anyone else to see!\I feel the same way, but...\Well, I'm taking it off.\Stop it!\What the hell are you doing?!\Um, Siesta...\Miss Westwood!\You're safe! response:	What's happening?
context: I feel the same way, but...\Well, I'm taking it off.\Stop it!\What the hell are you doing?!\Um, Siesta...\Miss Westwood!\You're safe!\What's happening? response:	I'm not sure. These strange people came out of nowhere.
context: Well, I'm taking it off.\Stop it!\What the hell are you doing?!\Um, Siesta...\Miss Westwood!\You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere. response:	What are they doing?
context: Stop it!\What the hell are you doing?!\Um, Siesta...\Miss Westwood!\You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing? response:	They're probably fighting because they're hungry.
context: What the hell are you doing?!\Um, Siesta...\Miss Westwood!\You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry. response:	That's barbarians for you. No better than beasts.
context: Um, Siesta...\Miss Westwood!\You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts. response:	Hey, isn't that her?
context: Miss Westwood!\You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her? response:	It's too dangerous!
context: You're safe!\What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous! response:	But I might be able to stop the fight
context: What's happening?\I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight response:	with my Mind Wipe spell.
context: I'm not sure. These strange people came out of nowhere.\What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell. response:	This is truly the working of a great consciousness.
context: What are they doing?\They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness. response:	That was too easy.
context: They're probably fighting because they're hungry.\That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy. response:	What's going on here, Jacques?
context: That's barbarians for you. No better than beasts.\Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques? response:	D-Damian...
context: Hey, isn't that her?\It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques?\D-Damian... response:	This is just...
context: It's too dangerous!\But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques?\D-Damian...\This is just... response:	How should I say it?
context: But I might be able to stop the fight\with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques?\D-Damian...\This is just...\How should I say it? response:	Doudou was saying he
context: with my Mind Wipe spell.\This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques?\D-Damian...\This is just...\How should I say it?\Doudou was saying he response:	wanted to fight that Sai-something guy again...
context: This is truly the working of a great consciousness.\That was too easy.\What's going on here, Jacques?\D-Damian...\This is just...\How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again... response:	And so I...
context: That was too easy.\What's going on here, Jacques?\D-Damian...\This is just...\How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again...\And so I... response:	So you tagged along to get some revenge, huh?
context: What's going on here, Jacques?\D-Damian...\This is just...\How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh? response:	Of course Jeanette is being Jeanette.
context: D-Damian...\This is just...\How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette. response:	But I don't believe in doing things that
context: This is just...\How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that response:	don't make me money.
context: How should I say it?\Doudou was saying he\wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money. response:	I'm going to end this right here.
context: Doudou was saying he\wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money.\I'm going to end this right here. response:	My older brother Damian?
context: wanted to fight that Sai-something guy again...\And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money.\I'm going to end this right here.\My older brother Damian? response:	This is...
context: And so I...\So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money.\I'm going to end this right here.\My older brother Damian?\This is... response:	Wh-Where did the water come from?!
context: So you tagged along to get some revenge, huh?\Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money.\I'm going to end this right here.\My older brother Damian?\This is...\Wh-Where did the water come from?! response:	It's alchemy.
context: Of course Jeanette is being Jeanette.\But I don't believe in doing things that\don't make me money.\I'm going to end this right here.\My older brother Damian?\This is...\Wh-Where did the water come from?!\It's alchemy. response:	It completely changes the properties of matter.
context: But I don't believe in doing things that\don't make me money.\I'm going to end this right here.\My older brother Damian?\This is...\Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter. response:	Damian...
context: don't make me money.\I'm going to end this right here.\My older brother Damian?\This is...\Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter.\Damian... response:	So you had to come.
context: I'm going to end this right here.\My older brother Damian?\This is...\Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter.\Damian...\So you had to come. response:	I've had enough of your games!
context: My older brother Damian?\This is...\Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter.\Damian...\So you had to come.\I've had enough of your games! response:	Oh, not bad.
context: This is...\Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter.\Damian...\So you had to come.\I've had enough of your games!\Oh, not bad. response:	That was Siesta!
context: Wh-Where did the water come from?!\It's alchemy.\It completely changes the properties of matter.\Damian...\So you had to come.\I've had enough of your games!\Oh, not bad.\That was Siesta! response:	Saito, go!
context: It's alchemy.\It completely changes the properties of matter.\Damian...\So you had to come.\I've had enough of your games!\Oh, not bad.\That was Siesta!\Saito, go! response:	Okay!
context: It completely changes the properties of matter.\Damian...\So you had to come.\I've had enough of your games!\Oh, not bad.\That was Siesta!\Saito, go!\Okay! response:	Elves?
context: Damian...\So you had to come.\I've had enough of your games!\Oh, not bad.\That was Siesta!\Saito, go!\Okay!\Elves? response:	Half-elf daughter, you will come with us.
context: So you had to come.\I've had enough of your games!\Oh, not bad.\That was Siesta!\Saito, go!\Okay!\Elves?\Half-elf daughter, you will come with us. response:	M-Me?
context: I've had enough of your games!\Oh, not bad.\That was Siesta!\Saito, go!\Okay!\Elves?\Half-elf daughter, you will come with us.\M-Me? response:	She does look like an elf.
context: Oh, not bad.\That was Siesta!\Saito, go!\Okay!\Elves?\Half-elf daughter, you will come with us.\M-Me?\She does look like an elf. response:	But those are too big for an elf.
context: That was Siesta!\Saito, go!\Okay!\Elves?\Half-elf daughter, you will come with us.\M-Me?\She does look like an elf.\But those are too big for an elf. response:	Stop!
context: Saito, go!\Okay!\Elves?\Half-elf daughter, you will come with us.\M-Me?\She does look like an elf.\But those are too big for an elf.\Stop! response:	I don't know whose magic this is, but I'm going to use it.
context: Okay!\Elves?\Half-elf daughter, you will come with us.\M-Me?\She does look like an elf.\But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it. response:	Precious water of life, grant them a peaceful sleep.
context: Elves?\Half-elf daughter, you will come with us.\M-Me?\She does look like an elf.\But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep. response:	Wh-What is this? I feel slee
context: Half-elf daughter, you will come with us.\M-Me?\She does look like an elf.\But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee response:	Hey, pal! Snap out of it!
context: M-Me?\She does look like an elf.\But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it! response:	Hey!
context: She does look like an elf.\But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey! response:	Let's take them with us.
context: But those are too big for an elf.\Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey!\Let's take them with us. response:	Yes.
context: Stop!\I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey!\Let's take them with us.\Yes. response:	I knew it.
context: I don't know whose magic this is, but I'm going to use it.\Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey!\Let's take them with us.\Yes.\I knew it. response:	He is the protector of the demon.
context: Precious water of life, grant them a peaceful sleep.\Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey!\Let's take them with us.\Yes.\I knew it.\He is the protector of the demon. response:	You know, the one who defeated our uncle.
context: Wh-What is this? I feel slee\Hey, pal! Snap out of it!\Hey!\Let's take them with us.\Yes.\I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle. response:	What?!
context: Hey, pal! Snap out of it!\Hey!\Let's take them with us.\Yes.\I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle.\What?! response:	I would have never expected to see elves here.
context: Hey!\Let's take them with us.\Yes.\I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here. response:	The world is spinning out of control indeed.
context: Let's take them with us.\Yes.\I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here.\The world is spinning out of control indeed. response:	No.
context: Yes.\I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here.\The world is spinning out of control indeed.\No. response:	I suppose I should say that the Void is changing the world.
context: I knew it.\He is the protector of the demon.\You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here.\The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world. response:	Th-This is really bad!
context: He is the protector of the demon.\You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here.\The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world.\Th-This is really bad! response:	Huh?
context: You know, the one who defeated our uncle.\What?!\I would have never expected to see elves here.\The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world.\Th-This is really bad!\Huh? response:	Where am I?
context: What?!\I would have never expected to see elves here.\The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world.\Th-This is really bad!\Huh?\Where am I? response:	Huh?
context: I would have never expected to see elves here.\The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world.\Th-This is really bad!\Huh?\Where am I?\Huh? response:	What is this?
context: The world is spinning out of control indeed.\No.\I suppose I should say that the Void is changing the world.\Th-This is really bad!\Huh?\Where am I?\Huh?\What is this? response:	Th-This is a happiness producer!
