context: Coming. response:	Morning, Chise!
context: No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her. response:	I'll be in my study.
context: You were abducted on Christmas, though.\Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study. response:	You can enjoy yourselves.
context: Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves. response:	Okay.
context: Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves.\Okay. response:	Ah, um...
context: I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves.\Okay.\Ah, um... response:	Want to come to my room?
context: But it's spacious and clean.\Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves.\Okay.\Ah, um...\Want to come to my room? response:	Really?
context: Y-Yeah.\I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves.\Okay.\Ah, um...\Want to come to my room?\Really? response:	I smell herbs.
context: I guess I shouldn't tell her there's all kinds of creatures on her.\I'll be in my study.\You can enjoy yourselves.\Okay.\Ah, um...\Want to come to my room?\Really?\I smell herbs. response:	When are you going back to London?
context: I'll be in my study.\You can enjoy yourselves.\Okay.\Ah, um...\Want to come to my room?\Really?\I smell herbs.\When are you going back to London? response:	Tonight.
context: You can enjoy yourselves.\Okay.\Ah, um...\Want to come to my room?\Really?\I smell herbs.\When are you going back to London?\Tonight. response:	I'll come hang out again next month,
context: Okay.\Ah, um...\Want to come to my room?\Really?\I smell herbs.\When are you going back to London?\Tonight.\I'll come hang out again next month, response:	so you come to my place, too.
context: Ah, um...\Want to come to my room?\Really?\I smell herbs.\When are you going back to London?\Tonight.\I'll come hang out again next month,\so you come to my place, too. response:	Okay.
context: Want to come to my room?\Really?\I smell herbs.\When are you going back to London?\Tonight.\I'll come hang out again next month,\so you come to my place, too.\Okay. response:	This is good.
context: Really?\I smell herbs.\When are you going back to London?\Tonight.\I'll come hang out again next month,\so you come to my place, too.\Okay.\This is good. response:	Do you want to take some with you?
context: I smell herbs.\When are you going back to London?\Tonight.\I'll come hang out again next month,\so you come to my place, too.\Okay.\This is good.\Do you want to take some with you? response:	Really? Thanks!
context: When are you going back to London?\Tonight.\I'll come hang out again next month,\so you come to my place, too.\Okay.\This is good.\Do you want to take some with you?\Really? Thanks! response:	In return for the snacks.
context: Tonight.\I'll come hang out again next month,\so you come to my place, too.\Okay.\This is good.\Do you want to take some with you?\Really? Thanks!\In return for the snacks. response:	A return for a return... It's gonna be Christmas every time we meet.
context: I'll come hang out again next month,\so you come to my place, too.\Okay.\This is good.\Do you want to take some with you?\Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet. response:	Say, Stella,
context: so you come to my place, too.\Okay.\This is good.\Do you want to take some with you?\Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella, response:	it's been a long time since I've made a friend.
context: Okay.\This is good.\Do you want to take some with you?\Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend. response:	I don't know what to do.
context: This is good.\Do you want to take some with you?\Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do. response:	It'd help if you could tell me.
context: Do you want to take some with you?\Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me. response:	Invite me to do whatever you want to do,
context: Really? Thanks!\In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do, response:	and just talk with me.
context: In return for the snacks.\A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me. response:	What if they don't like it, though?
context: A return for a return... It's gonna be Christmas every time we meet.\Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though? response:	You're obviously not the same person as your friend.
context: Say, Stella,\it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend. response:	You're obviously not gonna have all the same interests.
context: it's been a long time since I've made a friend.\I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests. response:	Words aren't for understanding each other.
context: I don't know what to do.\It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other. response:	They exist for the sake of talking to each other.
context: It'd help if you could tell me.\Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other. response:	Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.
context: Invite me to do whatever you want to do,\and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end. response:	You're so mature, Stella.
context: and just talk with me.\What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella. response:	Even though you're about my age.
context: What if they don't like it, though?\You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age. response:	I hope so.
context: You're obviously not the same person as your friend.\You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age.\I hope so. response:	Oh yeah, how old are you again?
context: You're obviously not gonna have all the same interests.\Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age.\I hope so.\Oh yeah, how old are you again? response:	I'm ten.
context: Words aren't for understanding each other.\They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age.\I hope so.\Oh yeah, how old are you again?\I'm ten. response:	Hm?
context: They exist for the sake of talking to each other.\Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age.\I hope so.\Oh yeah, how old are you again?\I'm ten.\Hm? response:	Ten.
context: Or so my Dad says, but honestly, a jerk is a jerk from beginning to end.\You're so mature, Stella.\Even though you're about my age.\I hope so.\Oh yeah, how old are you again?\I'm ten.\Hm?\Ten. response:	Ten...
context: You're so mature, Stella.\Even though you're about my age.\I hope so.\Oh yeah, how old are you again?\I'm ten.\Hm?\Ten.\Ten... response:	How about you?
context: Even though you're about my age.\I hope so.\Oh yeah, how old are you again?\I'm ten.\Hm?\Ten.\Ten...\How about you? response:	Almost sixteen.
context: I hope so.\Oh yeah, how old are you again?\I'm ten.\Hm?\Ten.\Ten...\How about you?\Almost sixteen. response:	I'd decided I would say what I mean to say, but it's pretty hard.
context: Oh yeah, how old are you again?\I'm ten.\Hm?\Ten.\Ten...\How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard. response:	Let's practice, then.
context: I'm ten.\Hm?\Ten.\Ten...\How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then. response:	Practice?
context: Hm?\Ten.\Ten...\How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice? response:	You can't be selfish, though.
context: Ten.\Ten...\How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice?\You can't be selfish, though. response:	Although you don't seem like you would be.
context: Ten...\How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice?\You can't be selfish, though.\Although you don't seem like you would be. response:	I'm really selfish.
context: How about you?\Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice?\You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish. response:	I'm hoping to come over to your place soon.
context: Almost sixteen.\I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice?\You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon. response:	That's not practice, though.
context: I'd decided I would say what I mean to say, but it's pretty hard.\Let's practice, then.\Practice?\You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though. response:	That's just a plan.
context: Let's practice, then.\Practice?\You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan. response:	Elias...
context: Practice?\You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan.\Elias... response:	Silky, did he leave a note?
context: You can't be selfish, though.\Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan.\Elias...\Silky, did he leave a note? response:	Where are you going?
context: Although you don't seem like you would be.\I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan.\Elias...\Silky, did he leave a note?\Where are you going? response:	Sorry, Ruth, can you walk Stella home?
context: I'm really selfish.\I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan.\Elias...\Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home? response:	Yeah, are you going after him?
context: I'm hoping to come over to your place soon.\That's not practice, though.\That's just a plan.\Elias...\Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him? response:	Yeah.
context: That's not practice, though.\That's just a plan.\Elias...\Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah. response:	You're both strangely dishonest.
context: That's just a plan.\Elias...\Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah.\You're both strangely dishonest. response:	Sorry, Stella. Let's hang out again sometime.
context: Elias...\Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime. response:	What's up with her?
context: Silky, did he leave a note?\Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her? response:	Say what she means to say...
context: Where are you going?\Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say... response:	She talks more with her arms and legs than with her mouth.
context: Sorry, Ruth, can you walk Stella home?\Yeah, are you going after him?\Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth. response:	It's no use. He keeps getting further.
context: Yeah, are you going after him?\Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further. response:	What's gotten into him?
context: Yeah.\You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him? response:	I'll take on the form I need to take to do what needs to be done.
context: You're both strangely dishonest.\Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done. response:	I can't keep up with the legs of a fox.
context: Sorry, Stella. Let's hang out again sometime.\What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox. response:	I'd be too big with the body of a bear.
context: What's up with her?\Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear. response:	I have to run faster.
context: Say what she means to say...\She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster. response:	I have to run further.
context: She talks more with her arms and legs than with her mouth.\It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster.\I have to run further. response:	I have to catch him.
context: It's no use. He keeps getting further.\What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster.\I have to run further.\I have to catch him. response:	This is my wish.
context: What's gotten into him?\I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster.\I have to run further.\I have to catch him.\This is my wish. response:	Hey, did you hear something?
context: I'll take on the form I need to take to do what needs to be done.\I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster.\I have to run further.\I have to catch him.\This is my wish.\Hey, did you hear something? response:	It sounded like a wolf.
context: I can't keep up with the legs of a fox.\I'd be too big with the body of a bear.\I have to run faster.\I have to run further.\I have to catch him.\This is my wish.\Hey, did you hear something?\It sounded like a wolf. response:	Probably a dog.
context: I'd be too big with the body of a bear.\I have to run faster.\I have to run further.\I have to catch him.\This is my wish.\Hey, did you hear something?\It sounded like a wolf.\Probably a dog. response:	Maybe it's looking for its pack or something.
context: I have to run faster.\I have to run further.\I have to catch him.\This is my wish.\Hey, did you hear something?\It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something. response:	I'm not outside?
context: I have to run further.\I have to catch him.\This is my wish.\Hey, did you hear something?\It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside? response:	You're a proper wolf this time.
context: I have to catch him.\This is my wish.\Hey, did you hear something?\It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time. response:	Um...
context: This is my wish.\Hey, did you hear something?\It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time.\Um... response:	I'm sorry if we were making too much noise.
context: Hey, did you hear something?\It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise. response:	I'll be more careful next time.
context: It sounded like a wolf.\Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise.\I'll be more careful next time. response:	Do you feel all right?
context: Probably a dog.\Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right? response:	Is there something that upset you?
context: Maybe it's looking for its pack or something.\I'm not outside?\You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right?\Is there something that upset you? response:	Elias?
context: I'm not outside?\You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right?\Is there something that upset you?\Elias? response:	Listening to your voices oddly made me want to leave home.
context: You're a proper wolf this time.\Um...\I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right?\Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home. response:	I wanted Stella to go away.
context: Um...\I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right?\Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away. response:	I thought I wanted to be alone,
context: I'm sorry if we were making too much noise.\I'll be more careful next time.\Do you feel all right?\Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone, response:	but as soon as I knew you were chasing me, I felt better.
context: I'll be more careful next time.\Do you feel all right?\Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better. response:	And yet, I couldn't stop running.
context: Do you feel all right?\Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running. response:	I don't get it.
context: Is there something that upset you?\Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it. response:	That's...
context: Elias?\Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it.\That's... response:	Why don't we go home and have tea?
context: Listening to your voices oddly made me want to leave home.\I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it.\That's...\Why don't we go home and have tea? response:	Elias must be more confused about himself than he realizes.
context: I wanted Stella to go away.\I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it.\That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes. response:	I thought he was leaving me.
context: I thought I wanted to be alone,\but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it.\That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me. response:	Elias might have been the same way.
context: but as soon as I knew you were chasing me, I felt better.\And yet, I couldn't stop running.\I don't get it.\That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way. response:	Can I allow myself the conceit of thinking that's how much he thinks of me?
context: And yet, I couldn't stop running.\I don't get it.\That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me? response:	You're in a good mood, Stella.
context: I don't get it.\That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella. response:	When are we going to Grandma's place next time?
context: That's...\Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time? response:	You're so impatient.
context: Why don't we go home and have tea?\Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient. response:	What's wrong?
context: Elias must be more confused about himself than he realizes.\I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient.\What's wrong? response:	Nothing.
context: I thought he was leaving me.\Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient.\What's wrong?\Nothing. response:	I'm home!
context: Elias might have been the same way.\Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient.\What's wrong?\Nothing.\I'm home! response:	Are they not home yet?
context: Can I allow myself the conceit of thinking that's how much he thinks of me?\You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient.\What's wrong?\Nothing.\I'm home!\Are they not home yet? response:	I'll take another look around.
context: You're in a good mood, Stella.\When are we going to Grandma's place next time?\You're so impatient.\What's wrong?\Nothing.\I'm home!\Are they not home yet?\I'll take another look around. response:	Our connection's being interrupted.
context: When are we going to Grandma's place next time?\You're so impatient.\What's wrong?\Nothing.\I'm home!\Are they not home yet?\I'll take another look around.\Our connection's being interrupted. response:	Chise, where are you?
context: You're so impatient.\What's wrong?\Nothing.\I'm home!\Are they not home yet?\I'll take another look around.\Our connection's being interrupted.\Chise, where are you? response:	This might be bad.
context: What's wrong?\Nothing.\I'm home!\Are they not home yet?\I'll take another look around.\Our connection's being interrupted.\Chise, where are you?\This might be bad. response:	Elias.
context: Nothing.\I'm home!\Are they not home yet?\I'll take another look around.\Our connection's being interrupted.\Chise, where are you?\This might be bad.\Elias. response:	Elias!
context: I'm home!\Are they not home yet?\I'll take another look around.\Our connection's being interrupted.\Chise, where are you?\This might be bad.\Elias.\Elias! response:	Ruth.
context: Are they not home yet?\I'll take another look around.\Our connection's being interrupted.\Chise, where are you?\This might be bad.\Elias.\Elias!\Ruth. response:	Ruth!
context: I'll take another look around.\Our connection's being interrupted.\Chise, where are you?\This might be bad.\Elias.\Elias!\Ruth.\Ruth! response:	He's going to eat me.
context: Our connection's being interrupted.\Chise, where are you?\This might be bad.\Elias.\Elias!\Ruth.\Ruth!\He's going to eat me. response:	He's going to consume me.
context: Chise, where are you?\This might be bad.\Elias.\Elias!\Ruth.\Ruth!\He's going to eat me.\He's going to consume me. response:	That's...
context: This might be bad.\Elias.\Elias!\Ruth.\Ruth!\He's going to eat me.\He's going to consume me.\That's... response:	That's not good.
context: Elias.\Elias!\Ruth.\Ruth!\He's going to eat me.\He's going to consume me.\That's...\That's not good. response:	I don't want that right now.
context: Elias!\Ruth.\Ruth!\He's going to eat me.\He's going to consume me.\That's...\That's not good.\I don't want that right now. response:	Fly!
context: Ruth.\Ruth!\He's going to eat me.\He's going to consume me.\That's...\That's not good.\I don't want that right now.\Fly! response:	Over there!
context: Ruth!\He's going to eat me.\He's going to consume me.\That's...\That's not good.\I don't want that right now.\Fly!\Over there! response:	Which shadow?
context: He's going to eat me.\He's going to consume me.\That's...\That's not good.\I don't want that right now.\Fly!\Over there!\Which shadow? response:	Chise!
context: He's going to consume me.\That's...\That's not good.\I don't want that right now.\Fly!\Over there!\Which shadow?\Chise! response:	Are you looking for your master?
context: That's...\That's not good.\I don't want that right now.\Fly!\Over there!\Which shadow?\Chise!\Are you looking for your master? response:	Is she...
context: That's not good.\I don't want that right now.\Fly!\Over there!\Which shadow?\Chise!\Are you looking for your master?\Is she... response:	You all made an offering of raindrop fruits and branches to Mother.
context: I don't want that right now.\Fly!\Over there!\Which shadow?\Chise!\Are you looking for your master?\Is she...\You all made an offering of raindrop fruits and branches to Mother. response:	In return, I'll lend you my flame.
context: Fly!\Over there!\Which shadow?\Chise!\Are you looking for your master?\Is she...\You all made an offering of raindrop fruits and branches to Mother.\In return, I'll lend you my flame. response:	Thank you.
context: Over there!\Which shadow?\Chise!\Are you looking for your master?\Is she...\You all made an offering of raindrop fruits and branches to Mother.\In return, I'll lend you my flame.\Thank you. response:	Next winter, when I become Mother,
context: Which shadow?\Chise!\Are you looking for your master?\Is she...\You all made an offering of raindrop fruits and branches to Mother.\In return, I'll lend you my flame.\Thank you.\Next winter, when I become Mother, response:	I hope you'll offer me raindrop fruits and branches again.
