context: Fujimiya Girls' High School response:	It's already been a month since school started.
context: M-Morn\Wh-What's with you?\Hey, wait for me!\Are they friends?\Y-Yeah...\Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes. response:	Make sure you all do your warm-ups.
context: Wh-What's with you?\Hey, wait for me!\Are they friends?\Y-Yeah...\Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups. response:	Right!
context: Hey, wait for me!\Are they friends?\Y-Yeah...\Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right! response:	Is something wrong?
context: Are they friends?\Y-Yeah...\Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right!\Is something wrong? response:	Um, I'm just curious...
context: Y-Yeah...\Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right!\Is something wrong?\Um, I'm just curious... response:	Why is there a child in the club room?
context: Scarecrow Heroine\Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right!\Is something wrong?\Um, I'm just curious...\Why is there a child in the club room? response:	Come to think of it, she's been coming here for a few days.
context: Theater Club\Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right!\Is something wrong?\Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days. response:	None of the other members have said anything...
context: Okay, we'll begin our full practice in five minutes.\Make sure you all do your warm-ups.\Right!\Is something wrong?\Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything... response:	Actually, it seems like they've been practicing a lot harder these past few days...
context: Make sure you all do your warm-ups.\Right!\Is something wrong?\Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days... response:	The landlady seems that way, too.
context: Right!\Is something wrong?\Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too. response:	Since she's standing next to the landlady, could she be...
context: Is something wrong?\Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be... response:	She's so well-developed!
context: Um, I'm just curious...\Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed! response:	She's not the landlady's daughter, is she?!
context: Why is there a child in the club room?\Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?! response:	How old would she have been when she had her?!
context: Come to think of it, she's been coming here for a few days.\None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?! response:	Hey, you two!
context: None of the other members have said anything...\Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two! response:	Eh?
context: Actually, it seems like they've been practicing a lot harder these past few days...\The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two!\Eh? response:	You really don't know who that is?
context: The landlady seems that way, too.\Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two!\Eh?\You really don't know who that is? response:	Yua-chan...
context: Since she's standing next to the landlady, could she be...\She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two!\Eh?\You really don't know who that is?\Yua-chan... response:	You know who that girl is?
context: She's so well-developed!\She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two!\Eh?\You really don't know who that is?\Yua-chan...\You know who that girl is? response:	She's Kuroyanagi Ruriko, a famous child actress!
context: She's not the landlady's daughter, is she?!\How old would she have been when she had her?!\Hey, you two!\Eh?\You really don't know who that is?\Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress! response:	You've never seen her on TV?
context: How old would she have been when she had her?!\Hey, you two!\Eh?\You really don't know who that is?\Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV? response:	N-No.
context: Hey, you two!\Eh?\You really don't know who that is?\Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No. response:	Now for our next story.
context: Eh?\You really don't know who that is?\Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No.\Now for our next story. response:	We only had three channels back home.
context: You really don't know who that is?\Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No.\Now for our next story.\We only had three channels back home. response:	Here I come!
context: Yua-chan...\You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No.\Now for our next story.\We only had three channels back home.\Here I come! response:	I guess you can't help that.
context: You know who that girl is?\She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No.\Now for our next story.\We only had three channels back home.\Here I come!\I guess you can't help that. response:	Kuroyanagi Ruriko is only nine,
context: She's Kuroyanagi Ruriko, a famous child actress!\You've never seen her on TV?\N-No.\Now for our next story.\We only had three channels back home.\Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine, response:	but her acting rivals that of any adult.
context: You've never seen her on TV?\N-No.\Now for our next story.\We only had three channels back home.\Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult. response:	She's a super celebrity said to come along only once every century!
context: N-No.\Now for our next story.\We only had three channels back home.\Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century! response:	The contrast between her cool personality and passionate acting is part of her charm!
context: Now for our next story.\We only had three channels back home.\Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm! response:	Ruri-chan, you're very cute.
context: We only had three channels back home.\Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute. response:	Want some candy?
context: Here I come!\I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy? response:	Eh?
context: I guess you can't help that.\Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy?\Eh? response:	Were you even listening to me?!
context: Kuroyanagi Ruriko is only nine,\but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy?\Eh?\Were you even listening to me?! response:	Sensei.
context: but her acting rivals that of any adult.\She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy?\Eh?\Were you even listening to me?!\Sensei. response:	(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation
context: She's a super celebrity said to come along only once every century!\The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy?\Eh?\Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation response:	I'm Kuroyanagi Ruriko.
context: The contrast between her cool personality and passionate acting is part of her charm!\Ruri-chan, you're very cute.\Want some candy?\Eh?\Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko. response:	I'm here as a special instructor to serve as this club's advisor.
context: Ruri-chan, you're very cute.\Want some candy?\Eh?\Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor. response:	I returned to Japan recently after completing my theater training.
context: Want some candy?\Eh?\Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training. response:	Does that mean she's the advisor we heard about?
context: Eh?\Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about? response:	Which means it's her fault the theater club was forced into hiatus, right?
context: Were you even listening to me?!\Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right? response:	Hey, Kuu-chan!
context: Sensei.\(Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan! response:	Hey! You can't
context: (Woman)Countess: Now, why don't we sing? To enjoy this night, this moment, the present. Isn't that what people do? -The countess looks around, giving Pino a menacing glare (Man)Pino: But there is no heart here. How are we supposed to sing without heart? How are we supposed to enjoy that? -Trio flinches slightly, but manages a word (Woman)Countess: But there is heart. -Delzoi, without losing heart (Man)Delzoi: But where? I can't see it at all. You say something that doesn't exist, exists, and something that does exist, actually doesn't. You're quite difficult, aren't you? -Countess, while giving a mysterious smile (Woman)Countess: Right now... Right now, there isn't. There's no way there could be. -Pino, interrupting (Man)Pino: Then why is singing... -Duchess, without any agitation\I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't response:	No, she is right.
context: I'm Kuroyanagi Ruriko.\I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't\No, she is right. response:	I cast aside my job as this theater club's advisor.
context: I'm here as a special instructor to serve as this club's advisor.\I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor. response:	At that time, I was beginning to lose my confidence and motivation
context: I returned to Japan recently after completing my theater training.\Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation response:	to teach and guide all of you as your advisor.
context: Does that mean she's the advisor we heard about?\Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor. response:	Wow...
context: Which means it's her fault the theater club was forced into hiatus, right?\Hey, Kuu-chan!\Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow... response:	Hard to believe she's nine years old.
context: Hey, Kuu-chan!\Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old. response:	So I went overseas to learn theater from square one.
context: Hey! You can't\No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one. response:	The Palais Garnier, La Scala, the Vienna State Opera...
context: No, she is right.\I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera... response:	I visited theaters in many countries, and met many people.
context: I cast aside my job as this theater club's advisor.\At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people. response:	In doing so,
context: At that time, I was beginning to lose my confidence and motivation\to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so, response:	I learned what is most important as both an actor and a teacher.
context: to teach and guide all of you as your advisor.\Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher. response:	Amazing!
context: Wow...\Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher.\Amazing! response:	And so, I returned to Japan.
context: Hard to believe she's nine years old.\So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan. response:	Now is the time to show the fruits of my training.
context: So I went overseas to learn theater from square one.\The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training. response:	Wh-Where?
context: The Palais Garnier, La Scala, the Vienna State Opera...\I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where? response:	On TV? In movies?
context: I visited theaters in many countries, and met many people.\In doing so,\I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies? response:	No.
context: In doing so,\I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies?\No. response:	In this theater club's performance at the upcoming culture festival.
context: I learned what is most important as both an actor and a teacher.\Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival. response:	After you went all the way to Europe to train?
context: Amazing!\And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train? response:	Yes. I went there to train as an advisor, and nothing more.
context: And so, I returned to Japan.\Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more. response:	The culture festival is in one month, right?
context: Now is the time to show the fruits of my training.\Wh-Where?\On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right? response:	That soon?!
context: Wh-Where?\On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?! response:	Aki-chan, let's eat lunch.
context: On TV? In movies?\No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch. response:	Sure.
context: No.\In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch.\Sure. response:	Oh, so the club's advisor is back?
context: In this theater club's performance at the upcoming culture festival.\After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back? response:	So it'll go back to being the theater club again?
context: After you went all the way to Europe to train?\Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again? response:	No...
context: Yes. I went there to train as an advisor, and nothing more.\The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No... response:	She said she had some things to think about,
context: The culture festival is in one month, right?\That soon?!\Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No...\She said she had some things to think about, response:	so she wants it to remain a society for the culture festival.
context: That soon?!\Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival. response:	I see...
context: Aki-chan, let's eat lunch.\Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see... response:	But the members must be really psyched up, right?
context: Sure.\Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right? response:	Yeah.
context: Oh, so the club's advisor is back?\So it'll go back to being the theater club again?\No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right?\Yeah. response:	I am, too.
context: So it'll go back to being the theater club again?\No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right?\Yeah.\I am, too. response:	I'd love to see Hina-chan and the Kuu-chan practicing!
context: No...\She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right?\Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing! response:	In the club room?
context: She said she had some things to think about,\so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right?\Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room? response:	Yeah! She practices in her room every day, right?
context: so she wants it to remain a society for the culture festival.\I see...\But the members must be really psyched up, right?\Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right? response:	Like her vocal practices with Kuu-chan.
context: I see...\But the members must be really psyched up, right?\Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right?\Like her vocal practices with Kuu-chan. response:	And stretches...
context: But the members must be really psyched up, right?\Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right?\Like her vocal practices with Kuu-chan.\And stretches... response:	I know she's working hard,
context: Yeah.\I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right?\Like her vocal practices with Kuu-chan.\And stretches...\I know she's working hard, response:	so I want to see the results of that firsthand.
context: I am, too.\I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right?\Like her vocal practices with Kuu-chan.\And stretches...\I know she's working hard,\so I want to see the results of that firsthand. response:	Well, okay...
context: I'd love to see Hina-chan and the Kuu-chan practicing!\In the club room?\Yeah! She practices in her room every day, right?\Like her vocal practices with Kuu-chan.\And stretches...\I know she's working hard,\so I want to see the results of that firsthand.\Well, okay... response:	Sh-She's not getting it at all.
