context: Last night, multiple witnesses observed a mysterious light response:	along the Pacific coast, between Shikoku and Kyuushuu.
context: but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah.\What about the others?\Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure. response:	Perhaps this planet exerts a strange influence over us...
context: Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah.\What about the others?\Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us... response:	Hey...
context: We need to get Siren-sama here soon.\Yeah.\What about the others?\Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey... response:	Can you use your singularity to locate Siren-sama?
context: Yeah.\What about the others?\Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama? response:	I can't.
context: What about the others?\Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama?\I can't. response:	I don't know.
context: Are they leaving everything to us?\I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama?\I can't.\I don't know. response:	True Self
context: I don't know...\Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama?\I can't.\I don't know.\True Self response:	The royal family of the Planetary Gears
context: Everyone has their own thoughts on the matter, I'm sure.\Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama?\I can't.\I don't know.\True Self\The royal family of the Planetary Gears response:	has the special ability to control Orgone energy.
context: Perhaps this planet exerts a strange influence over us...\Hey...\Can you use your singularity to locate Siren-sama?\I can't.\I don't know.\True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy. response:	Hana was created using elements found within the royal family,
context: Hey...\Can you use your singularity to locate Siren-sama?\I can't.\I don't know.\True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family, response:	so that she could fire the Livlaster.
context: Can you use your singularity to locate Siren-sama?\I can't.\I don't know.\True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster. response:	If Hana could fire the Livlaster she received,
context: I can't.\I don't know.\True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received, response:	she could've used the Blume as a weapon.
context: I don't know.\True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon. response:	What's important now is where Hana went.
context: True Self\The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went. response:	She's turned off her communicator, so we have to wait to hear from her.
context: The royal family of the Planetary Gears\has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her. response:	But
context: has the special ability to control Orgone energy.\Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But response:	Running around blindly won't help anything.
context: Hana was created using elements found within the royal family,\so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything. response:	We're worried, too.
context: so that she could fire the Livlaster.\If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything.\We're worried, too. response:	Sorry.
context: If Hana could fire the Livlaster she received,\she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything.\We're worried, too.\Sorry. response:	Where did you go, Hana?
context: she could've used the Blume as a weapon.\What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything.\We're worried, too.\Sorry.\Where did you go, Hana? response:	Pitz?
context: What's important now is where Hana went.\She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything.\We're worried, too.\Sorry.\Where did you go, Hana?\Pitz? response:	Oh, there's another one?
context: She's turned off her communicator, so we have to wait to hear from her.\But\Running around blindly won't help anything.\We're worried, too.\Sorry.\Where did you go, Hana?\Pitz?\Oh, there's another one? response:	You're right!
context: But\Running around blindly won't help anything.\We're worried, too.\Sorry.\Where did you go, Hana?\Pitz?\Oh, there's another one?\You're right! response:	They're so cute...
context: Running around blindly won't help anything.\We're worried, too.\Sorry.\Where did you go, Hana?\Pitz?\Oh, there's another one?\You're right!\They're so cute... response:	Oh, I remember you.
context: We're worried, too.\Sorry.\Where did you go, Hana?\Pitz?\Oh, there's another one?\You're right!\They're so cute...\Oh, I remember you. response:	Hello.
context: Sorry.\Where did you go, Hana?\Pitz?\Oh, there's another one?\You're right!\They're so cute...\Oh, I remember you.\Hello. response:	My... Hello, there.
context: Where did you go, Hana?\Pitz?\Oh, there's another one?\You're right!\They're so cute...\Oh, I remember you.\Hello.\My... Hello, there. response:	You're a painter?
context: Pitz?\Oh, there's another one?\You're right!\They're so cute...\Oh, I remember you.\Hello.\My... Hello, there.\You're a painter? response:	I'm a wandering traveler now.
context: Oh, there's another one?\You're right!\They're so cute...\Oh, I remember you.\Hello.\My... Hello, there.\You're a painter?\I'm a wandering traveler now. response:	I need money.
context: You're right!\They're so cute...\Oh, I remember you.\Hello.\My... Hello, there.\You're a painter?\I'm a wandering traveler now.\I need money. response:	Pictures of Trumpet sell surprisingly well.
context: They're so cute...\Oh, I remember you.\Hello.\My... Hello, there.\You're a painter?\I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well. response:	A wandering traveler?
context: Oh, I remember you.\Hello.\My... Hello, there.\You're a painter?\I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler? response:	Are you alone today?
context: Hello.\My... Hello, there.\You're a painter?\I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today? response:	There's someone I want to be with forever...
context: My... Hello, there.\You're a painter?\I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today?\There's someone I want to be with forever... response:	But I suddenly felt afraid to be with him, so I ran away.
context: You're a painter?\I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away. response:	I ran away, too.
context: I'm a wandering traveler now.\I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too. response:	When you get deeply involved with others, you learn that they're scary.
context: I need money.\Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary. response:	I love to feel the wind.
context: Pictures of Trumpet sell surprisingly well.\A wandering traveler?\Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind. response:	In this world, there are many wonderful things.
context: A wandering traveler?\Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things. response:	But relationships with people are scary.
context: Are you alone today?\There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary. response:	If you really try to get close to another, you'll get hurt.
context: There's someone I want to be with forever...\But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt. response:	No.
context: But I suddenly felt afraid to be with him, so I ran away.\I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No. response:	I can trust Daichi.
context: I ran away, too.\When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi. response:	His name is Daichi-san?
context: When you get deeply involved with others, you learn that they're scary.\I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi.\His name is Daichi-san? response:	Sir,
context: I love to feel the wind.\In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi.\His name is Daichi-san?\Sir, response:	I uploaded the data from Technology and Research Division 3
context: In this world, there are many wonderful things.\But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi.\His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3 response:	to your server, as you requested.
context: But relationships with people are scary.\If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi.\His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested. response:	Thank you.
context: If you really try to get close to another, you'll get hurt.\No.\I can trust Daichi.\His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you. response:	You don't have any plans tonight, do you, sir?
context: No.\I can trust Daichi.\His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir? response:	Would you like to have dinner, perhaps?
context: I can trust Daichi.\His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps? response:	Sorry.
context: His name is Daichi-san?\Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry. response:	Tonight, I'm busy with a private matter.
context: Sir,\I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter. response:	Could we do it some other time?
context: I uploaded the data from Technology and Research Division 3\to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time? response:	Very well.
context: to your server, as you requested.\Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well. response:	If you need anything, please call me.
context: Thank you.\You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well.\If you need anything, please call me. response:	Yes.
context: You don't have any plans tonight, do you, sir?\Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well.\If you need anything, please call me.\Yes. response:	What is this?
context: Would you like to have dinner, perhaps?\Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well.\If you need anything, please call me.\Yes.\What is this? response:	The Machine Goodfellows have been active during every Kiltgang attack.
context: Sorry.\Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well.\If you need anything, please call me.\Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack. response:	What is the relationship between the Orgone energy capsules and the Kiltgangs?
context: Tonight, I'm busy with a private matter.\Could we do it some other time?\Very well.\If you need anything, please call me.\Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs? response:	This is Kube, right?
context: Could we do it some other time?\Very well.\If you need anything, please call me.\Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right? response:	Kanda-san, yes?
context: Very well.\If you need anything, please call me.\Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes? response:	I've been set up.
context: If you need anything, please call me.\Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes?\I've been set up. response:	But not by you.
context: Yes.\What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you. response:	Be careful.
context: What is this?\The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful. response:	Who are they?
context: The Machine Goodfellows have been active during every Kiltgang attack.\What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\Who are they? response:	If they find us, there'll be trouble.
context: What is the relationship between the Orgone energy capsules and the Kiltgangs?\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\Who are they?\If they find us, there'll be trouble. response:	Are they bad?
context: This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\Who are they?\If they find us, there'll be trouble.\Are they bad? response:	Yes.
context: Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\Who are they?\If they find us, there'll be trouble.\Are they bad?\Yes. response:	Then, we have to run!
context: I've been set up.\But not by you.\Be careful.\Who are they?\If they find us, there'll be trouble.\Are they bad?\Yes.\Then, we have to run! response:	Yeah!
context: But not by you.\Be careful.\Who are they?\If they find us, there'll be trouble.\Are they bad?\Yes.\Then, we have to run!\Yeah! response:	A dead end...
context: Be careful.\Who are they?\If they find us, there'll be trouble.\Are they bad?\Yes.\Then, we have to run!\Yeah!\A dead end... response:	Take care of Pitz.
context: Who are they?\If they find us, there'll be trouble.\Are they bad?\Yes.\Then, we have to run!\Yeah!\A dead end...\Take care of Pitz. response:	Um...
context: If they find us, there'll be trouble.\Are they bad?\Yes.\Then, we have to run!\Yeah!\A dead end...\Take care of Pitz.\Um... response:	I can't get you involved in this.
context: Are they bad?\Yes.\Then, we have to run!\Yeah!\A dead end...\Take care of Pitz.\Um...\I can't get you involved in this. response:	Hide.
context: Yes.\Then, we have to run!\Yeah!\A dead end...\Take care of Pitz.\Um...\I can't get you involved in this.\Hide. response:	Well, hello.
context: Then, we have to run!\Yeah!\A dead end...\Take care of Pitz.\Um...\I can't get you involved in this.\Hide.\Well, hello. response:	You seem to be doing well.
context: Yeah!\A dead end...\Take care of Pitz.\Um...\I can't get you involved in this.\Hide.\Well, hello.\You seem to be doing well. response:	We're going through all this trouble because you ran away.
context: A dead end...\Take care of Pitz.\Um...\I can't get you involved in this.\Hide.\Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away. response:	You understand that, right?
context: Take care of Pitz.\Um...\I can't get you involved in this.\Hide.\Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right? response:	Right, Princess?
context: Um...\I can't get you involved in this.\Hide.\Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess? response:	What is this thing?
context: I can't get you involved in this.\Hide.\Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess?\What is this thing? response:	Pitz!
context: Hide.\Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess?\What is this thing?\Pitz! response:	Now!
context: Well, hello.\You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess?\What is this thing?\Pitz!\Now! response:	Blume!
context: You seem to be doing well.\We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess?\What is this thing?\Pitz!\Now!\Blume! response:	Why do I have more things to worry about every day?
context: We're going through all this trouble because you ran away.\You understand that, right?\Right, Princess?\What is this thing?\Pitz!\Now!\Blume!\Why do I have more things to worry about every day? response:	You're a cold man,
context: You understand that, right?\Right, Princess?\What is this thing?\Pitz!\Now!\Blume!\Why do I have more things to worry about every day?\You're a cold man, response:	refusing Hitomi-chan's offer like that.
context: Right, Princess?\What is this thing?\Pitz!\Now!\Blume!\Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that. response:	I would never turn her down.
context: What is this thing?\Pitz!\Now!\Blume!\Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down. response:	I?
context: Pitz!\Now!\Blume!\Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down.\I? response:	Who is this I you speak of, I wonder.
context: Now!\Blume!\Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down.\I?\Who is this I you speak of, I wonder. response:	I sense a degree of irritation in your voice.
context: Blume!\Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down.\I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice. response:	You're the one who told me
context: Why do I have more things to worry about every day?\You're a cold man,\refusing Hitomi-chan's offer like that.\I would never turn her down.\I?\Who is this I you speak of, I wonder.\I sense a degree of irritation in your voice.\You're the one who told me response:	to let Amara and Moco handle the Machine Goodfellow testing.
