context: Kiss Him, Not Me response:	Christmas in the Holy Land
context: Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway? response:	Apparently it's the country's largest doujinshi exhibition sale.
context: I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale. response:	Oh. You said you went during summer break, too, right?
context: Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right? response:	Yup.
context: Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup. response:	What the hell? If you went over summer, isn't that enough?
context: It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough? response:	Christmas Eve only comes once a year! A perfect end to the year!
context: Tell me about it! It somehow fell on the same day this year!\That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year! response:	I'm sorry, but my year isn't complete until I attend Comiket!
context: That's not what I mean!\I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket! response:	Shi
context: I mean, what is Comiket anyway?\Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi response:	Nana
context: Apparently it's the country's largest doujinshi exhibition sale.\Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana response:	Iga
context: Oh. You said you went during summer break, too, right?\Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana\Iga response:	S-She's made up her mind.
context: Yup.\What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana\Iga\S-She's made up her mind. response:	Oh, look. There's a history study group there, too.
context: What the hell? If you went over summer, isn't that enough?\Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana\Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too. response:	Sounds interesting.
context: Christmas Eve only comes once a year! A perfect end to the year!\I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana\Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting. response:	Oh, thanks.
context: I'm sorry, but my year isn't complete until I attend Comiket!\Shi\Nana\Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks. response:	Yes! It's super fun!
context: Shi\Nana\Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks.\Yes! It's super fun! response:	These days, there's more there than just manga and anime.
context: Nana\Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime. response:	It's spread to other genres, too! Like songwriting and foreign dramas!
context: Iga\S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas! response:	I want to see them all!
context: S-She's made up her mind.\Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all! response:	I know.
context: Oh, look. There's a history study group there, too.\Sounds interesting.\Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know. response:	How about we all go?
context: Sounds interesting.\Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know.\How about we all go? response:	That way, we can close out the year and have a party, all at once.
context: Oh, thanks.\Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know.\How about we all go?\That way, we can close out the year and have a party, all at once. response:	Th-There goes that airhead again!
context: Yes! It's super fun!\These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know.\How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again! response:	Oh, but Serinuma-san, were you already going with someone?
context: These days, there's more there than just manga and anime.\It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know.\How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone? response:	Oh, no.
context: It's spread to other genres, too! Like songwriting and foreign dramas!\I want to see them all!\I know.\How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no. response:	The friend I always go with has plans,
context: I want to see them all!\I know.\How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans, response:	so I'm going alone.
context: I know.\How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans,\so I'm going alone. response:	If you could all make it, I'd be overjoyed!
context: How about we all go?\That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed! response:	Overjoyed...
context: That way, we can close out the year and have a party, all at once.\Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed... response:	Overjoyed!
context: Th-There goes that airhead again!\Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed! response:	Overjoyed!
context: Oh, but Serinuma-san, were you already going with someone?\Oh, no.\The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed!\Overjoyed! response:	All right. We'll go to Comiket, and have a party on the way home!
context: Oh, no.\The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home! response:	Sound good?
context: The friend I always go with has plans,\so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good? response:	No objections here!
context: so I'm going alone.\If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here! response:	December 24th: Early Morning, Christmas Eve
context: If you could all make it, I'd be overjoyed!\Overjoyed...\Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve response:	Takami Station
context: Overjoyed...\Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station response:	Good morning, everyone!
context: Overjoyed!\Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone! response:	G-Good morning.
context: Overjoyed!\All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone!\G-Good morning. response:	Why are we meeting so early?
context: All right. We'll go to Comiket, and have a party on the way home!\Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone!\G-Good morning.\Why are we meeting so early? response:	If we don't go early, all the books will be gone.
context: Sound good?\No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone!\G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone. response:	So sleepy...
context: No objections here!\December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone!\G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy... response:	Guide to Comiket
context: December 24th: Early Morning, Christmas Eve\Takami Station\Good morning, everyone!\G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket response:	Okay! This guide has what you need to know, like proper etiquette and history.
context: Takami Station\Good morning, everyone!\G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history. response:	So make sure to read it on the train.
context: Good morning, everyone!\G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train. response:	Onward! To the holy land!
context: G-Good morning.\Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land! response:	We might be the first on board.
context: Why are we meeting so early?\If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board. response:	Let's hurry up and buy books so we can come back and party after.
context: If we don't go early, all the books will be gone.\So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after. response:	Kokusai-tenjijo Station
context: So sleepy...\Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station response:	Wha...
context: Guide to Comiket\Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha... response:	What's up with this crowd?!
context: Okay! This guide has what you need to know, like proper etiquette and history.\So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha...\What's up with this crowd?! response:	Are all these people going to Comiket?
context: So make sure to read it on the train.\Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha...\What's up with this crowd?!\Are all these people going to Comiket? response:	No way...
context: Onward! To the holy land!\We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha...\What's up with this crowd?!\Are all these people going to Comiket?\No way... response:	It's still only seven in the morning!
context: We might be the first on board.\Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha...\What's up with this crowd?!\Are all these people going to Comiket?\No way...\It's still only seven in the morning! response:	The train was packed,
context: Let's hurry up and buy books so we can come back and party after.\Kokusai-tenjijo Station\Wha...\What's up with this crowd?!\Are all these people going to Comiket?\No way...\It's still only seven in the morning!\The train was packed, response:	and the platform had so many people...
context: Kokusai-tenjijo Station\Wha...\What's up with this crowd?!\Are all these people going to Comiket?\No way...\It's still only seven in the morning!\The train was packed,\and the platform had so many people... response:	Here! Don't push! Don't force the doors open!
context: Wha...\What's up with this crowd?!\Are all these people going to Comiket?\No way...\It's still only seven in the morning!\The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open! response:	Don't throw away your hope!
context: What's up with this crowd?!\Are all these people going to Comiket?\No way...\It's still only seven in the morning!\The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope! response:	The staff workers are screaming like crazy.
context: Are all these people going to Comiket?\No way...\It's still only seven in the morning!\The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy. response:	What the heck is all this?!
context: No way...\It's still only seven in the morning!\The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?! response:	Mu
context: It's still only seven in the morning!\The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?!\Mu response:	Nana
context: The train was packed,\and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?!\Mu\Nana response:	Shi
context: and the platform had so many people...\Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?!\Mu\Nana\Shi response:	Iga
context: Here! Don't push! Don't force the doors open!\Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?!\Mu\Nana\Shi\Iga response:	I wonder if it's because it's Christmas Eve.
context: Don't throw away your hope!\The staff workers are screaming like crazy.\What the heck is all this?!\Mu\Nana\Shi\Iga\I wonder if it's because it's Christmas Eve. response:	I think there's fewer people this year than last...
context: The staff workers are screaming like crazy.\What the heck is all this?!\Mu\Nana\Shi\Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last... response:	Th-This is...
context: What the heck is all this?!\Mu\Nana\Shi\Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is... response:	C'mon! We don't wanna get separated.
context: Mu\Nana\Shi\Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated. response:	Those in general admittance, please come this way!
context: Nana\Shi\Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way! response:	We'll wait here until the doors open.
context: Shi\Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open. response:	At 10, wasn't it?
context: Iga\I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it? response:	And it's 7:30 right now, so...
context: I wonder if it's because it's Christmas Eve.\I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so... response:	T-Two and a half hours?!
context: I think there's fewer people this year than last...\Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?! response:	Oh, right! Here, take these!
context: Th-This is...\C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these! response:	Waiting out here will get cold, so feel free to use them.
context: C'mon! We don't wanna get separated.\Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them. response:	Thanks.
context: Those in general admittance, please come this way!\We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks. response:	We can wait.
context: We'll wait here until the doors open.\At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait. response:	Ba-dump
context: At 10, wasn't it?\And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait.\Ba-dump response:	Two and a half hours...
context: And it's 7:30 right now, so...\T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait.\Ba-dump\Two and a half hours... response:	But little did they know...
context: T-Two and a half hours?!\Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait.\Ba-dump\Two and a half hours...\But little did they know... response:	Plus One Hour
context: Oh, right! Here, take these!\Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait.\Ba-dump\Two and a half hours...\But little did they know...\Plus One Hour response:	After the doors opened,
context: Waiting out here will get cold, so feel free to use them.\Thanks.\We can wait.\Ba-dump\Two and a half hours...\But little did they know...\Plus One Hour\After the doors opened, response:	there'd be another hour before they could enter.
context: Thanks.\We can wait.\Ba-dump\Two and a half hours...\But little did they know...\Plus One Hour\After the doors opened,\there'd be another hour before they could enter. response:	Exhausted
context: We can wait.\Ba-dump\Two and a half hours...\But little did they know...\Plus One Hour\After the doors opened,\there'd be another hour before they could enter.\Exhausted response:	All right, then.
context: Ba-dump\Two and a half hours...\But little did they know...\Plus One Hour\After the doors opened,\there'd be another hour before they could enter.\Exhausted\All right, then. response:	As we discussed, let's split into three groups and finish this shopping list.
context: Two and a half hours...\But little did they know...\Plus One Hour\After the doors opened,\there'd be another hour before they could enter.\Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list. response:	What an incredibly thorough map!
context: But little did they know...\Plus One Hour\After the doors opened,\there'd be another hour before they could enter.\Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map! response:	Are you really all right with helping me shop?
context: Plus One Hour\After the doors opened,\there'd be another hour before they could enter.\Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop? response:	Well, we don't have anything we want for ourselves.
context: After the doors opened,\there'd be another hour before they could enter.\Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves. response:	We can get everything faster if we split up.
context: there'd be another hour before they could enter.\Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up. response:	Thanks. I really appreciate it!
context: Exhausted\All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it! response:	Everyone, thank you so much for helping me out, even though I'm acting so selfish.
context: All right, then.\As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish. response:	And also...
context: As we discussed, let's split into three groups and finish this shopping list.\What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also... response:	I'm sorry!
context: What an incredibly thorough map!\Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry! response:	Right. The stuff she wants is BL.
context: Are you really all right with helping me shop?\Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry!\Right. The stuff she wants is BL. response:	Two hot guys!
context: Well, we don't have anything we want for ourselves.\We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry!\Right. The stuff she wants is BL.\Two hot guys! response:	That, and I think these girls are picturing something funny.
context: We can get everything faster if we split up.\Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry!\Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny. response:	Are they a couple?
context: Thanks. I really appreciate it!\Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry!\Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple? response:	Um, can we have the new issue that went on sale today?
context: Everyone, thank you so much for helping me out, even though I'm acting so selfish.\And also...\I'm sorry!\Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today? response:	Sure!
context: And also...\I'm sorry!\Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today?\Sure! response:	Amazing!
context: I'm sorry!\Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today?\Sure!\Amazing! response:	He's perfectly mastered that this is just for someone else look!
context: Right. The stuff she wants is BL.\Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today?\Sure!\Amazing!\He's perfectly mastered that this is just for someone else look! response:	Listen, Nana. You lose if you let something like this get to you.
context: Two hot guys!\That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today?\Sure!\Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you. response:	Thank you very much!
context: That, and I think these girls are picturing something funny.\Are they a couple?\Um, can we have the new issue that went on sale today?\Sure!\Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much! response:	All right, Nana. Let's keep going like this.
context: Are they a couple?\Um, can we have the new issue that went on sale today?\Sure!\Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this. response:	Uh, yeah. The next one is...
context: Um, can we have the new issue that went on sale today?\Sure!\Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is... response:	Huh? It's the next next booth over.
context: Sure!\Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over. response:	Um, the newest issue, please.
context: Amazing!\He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please. response:	Yes, sir.
context: He's perfectly mastered that this is just for someone else look!\Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir. response:	The next one's right here, too.
context: Listen, Nana. You lose if you let something like this get to you.\Thank you very much!\All right, Nana. Let's keep going like this.\Uh, yeah. The next one is...\Huh? It's the next next booth over.\Um, the newest issue, please.\Yes, sir.\The next one's right here, too. response:	Please take a look.
