context: But this response:	Initiating docking procedures.
context: Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only response:	when there's some impossible problem they want us to take care of.
context: This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of. response:	Today's no exception.
context: Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception. response:	The threat level is Dragon, a worst-case scenario.
context: but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario. response:	35 minutes from now, a huge meteor will strike City Z.
context: Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z. response:	They are asking if nearby Class S heroes can do anything about it.
context: Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it. response:	A meteor?
context: Of course, some of the more cold-blooded ones simply don't bother.\After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor? response:	Apparently, it suddenly changed paths.
context: After all, we're called up only\when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths. response:	That means the end for us.
context: when there's some impossible problem they want us to take care of.\Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths.\That means the end for us. response:	The impact will wipe out City Z.
context: Today's no exception.\The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z. response:	I'm afraid there's nothing we can do this time.
context: The threat level is Dragon, a worst-case scenario.\35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time. response:	You too should think about evacuating with your loved ones.
context: 35 minutes from now, a huge meteor will strike City Z.\They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones. response:	Do the citizens know?
context: They are asking if nearby Class S heroes can do anything about it.\A meteor?\Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know? response:	I was told they would estimate the impact area
context: A meteor?\Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area response:	and issue evacuation orders 30 minutes before it hits.
context: Apparently, it suddenly changed paths.\That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits. response:	Attention! This is an announcement from the Hero Association.
context: That means the end for us.\The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association. response:	People are sure to panic.
context: The impact will wipe out City Z.\I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic. response:	And you, old fellow?
context: I'm afraid there's nothing we can do this time.\You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow? response:	Old fellow, is it?
context: You too should think about evacuating with your loved ones.\Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow?\Old fellow, is it? response:	Call me Bang.
context: Do the citizens know?\I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow?\Old fellow, is it?\Call me Bang. response:	You are not evacuating?
context: I was told they would estimate the impact area\and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow?\Old fellow, is it?\Call me Bang.\You are not evacuating? response:	My dojo has been in my family for generations.
context: and issue evacuation orders 30 minutes before it hits.\Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow?\Old fellow, is it?\Call me Bang.\You are not evacuating?\My dojo has been in my family for generations. response:	I cannot abandon it.
context: Attention! This is an announcement from the Hero Association.\People are sure to panic.\And you, old fellow?\Old fellow, is it?\Call me Bang.\You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it. response:	Fist of Flowing Water Crushing Rock.
context: People are sure to panic.\And you, old fellow?\Old fellow, is it?\Call me Bang.\You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock. response:	Heard of it?
context: And you, old fellow?\Old fellow, is it?\Call me Bang.\You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it? response:	He left
context: Old fellow, is it?\Call me Bang.\You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it?\He left response:	Emergency evacuation warning.
context: Call me Bang.\You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it?\He left\Emergency evacuation warning. response:	The threat level is Dragon.
context: You are not evacuating?\My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it?\He left\Emergency evacuation warning.\The threat level is Dragon. response:	Evacuate immediately.
context: My dojo has been in my family for generations.\I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it?\He left\Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately. response:	21 more minutes until meteor impact.
context: I cannot abandon it.\Fist of Flowing Water Crushing Rock.\Heard of it?\He left\Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact. response:	It's huge
context: Fist of Flowing Water Crushing Rock.\Heard of it?\He left\Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact.\It's huge response:	No way we can escape that.
context: Heard of it?\He left\Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact.\It's huge\No way we can escape that. response:	So many people have given up hope of survival.
context: He left\Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact.\It's huge\No way we can escape that.\So many people have given up hope of survival. response:	It is not just City Z that is in danger.
context: Emergency evacuation warning.\The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact.\It's huge\No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger. response:	The neighboring cities will also sustain damage.
context: The threat level is Dragon.\Evacuate immediately.\21 more minutes until meteor impact.\It's huge\No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage. response:	It is too late to evacuate.
context: Evacuate immediately.\21 more minutes until meteor impact.\It's huge\No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate. response:	I did not expect to be testing this prototype so soon!
context: 21 more minutes until meteor impact.\It's huge\No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon! response:	Let me see if an attack from my incineration cannon at full power
context: It's huge\No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power response:	will do the trick.
context: No way we can escape that.\So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick. response:	Master Saitama lives here too.
context: So many people have given up hope of survival.\It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too. response:	I cannot possibly evacuate without him.
context: It is not just City Z that is in danger.\The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him. response:	Is that?
context: The neighboring cities will also sustain damage.\It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that? response:	You are Bofoi, correct?
context: It is too late to evacuate.\I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct? response:	And you are the new boy, Genos.
context: I did not expect to be testing this prototype so soon!\Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct?\And you are the new boy, Genos. response:	Come to stop the meteor?
context: Let me see if an attack from my incineration cannon at full power\will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor? response:	Yes.
context: will do the trick.\Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor?\Yes. response:	Class S rank 7.
context: Master Saitama lives here too.\I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor?\Yes.\Class S rank 7. response:	A hero who uses intense firepower
context: I cannot possibly evacuate without him.\Is that?\You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor?\Yes.\Class S rank 7.\A hero who uses intense firepower response:	to obliterate his opponents along with everything in their vicinity.
context: Is that?\You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor?\Yes.\Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity. response:	Does he also live in City Z?
context: You are Bofoi, correct?\And you are the new boy, Genos.\Come to stop the meteor?\Yes.\Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z? response:	Or did he rush here, putting his life at risk?
context: And you are the new boy, Genos.\Come to stop the meteor?\Yes.\Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk? response:	Bofoi. I need your help.
context: Come to stop the meteor?\Yes.\Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help. response:	I refuse.
context: Yes.\Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse. response:	Why?
context: Class S rank 7.\A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse.\Why? response:	I only came to field test my new weapon.
context: A hero who uses intense firepower\to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse.\Why?\I only came to field test my new weapon. response:	The meteor is a perfect target.
context: to obliterate his opponents along with everything in their vicinity.\Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse.\Why?\I only came to field test my new weapon.\The meteor is a perfect target. response:	A test?
context: Does he also live in City Z?\Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse.\Why?\I only came to field test my new weapon.\The meteor is a perfect target.\A test? response:	If that meteor hits, you too will die.
context: Or did he rush here, putting his life at risk?\Bofoi. I need your help.\I refuse.\Why?\I only came to field test my new weapon.\The meteor is a perfect target.\A test?\If that meteor hits, you too will die. response:	I will not. What?
context: Bofoi. I need your help.\I refuse.\Why?\I only came to field test my new weapon.\The meteor is a perfect target.\A test?\If that meteor hits, you too will die.\I will not. What? response:	What you are talking to right now is a remotely-controlled drone.
context: I refuse.\Why?\I only came to field test my new weapon.\The meteor is a perfect target.\A test?\If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone. response:	Sorry to disappoint you, but my life's not at stake here.
context: Why?\I only came to field test my new weapon.\The meteor is a perfect target.\A test?\If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here. response:	Also, I am not Bofoi. I am Metal Knight.
context: I only came to field test my new weapon.\The meteor is a perfect target.\A test?\If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight. response:	Heroes call each other by their hero names, not real names.
context: The meteor is a perfect target.\A test?\If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names. response:	Everyone knows that.
context: A test?\If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that. response:	Looks like it's time to end our little chat.
context: If that meteor hits, you too will die.\I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat. response:	All right!
context: I will not. What?\What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat.\All right! response:	Firing missiles!
context: What you are talking to right now is a remotely-controlled drone.\Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat.\All right!\Firing missiles! response:	Metal Knight?
context: Sorry to disappoint you, but my life's not at stake here.\Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat.\All right!\Firing missiles!\Metal Knight? response:	I cannot fire with his missiles in the way.
context: Also, I am not Bofoi. I am Metal Knight.\Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat.\All right!\Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way. response:	Amazing.
context: Heroes call each other by their hero names, not real names.\Everyone knows that.\Looks like it's time to end our little chat.\All right!\Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way.\Amazing. response:	Such destructive power.
context: Everyone knows that.\Looks like it's time to end our little chat.\All right!\Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way.\Amazing.\Such destructive power. response:	This hero is dangerous.
context: Looks like it's time to end our little chat.\All right!\Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way.\Amazing.\Such destructive power.\This hero is dangerous. response:	I must be wary.
context: All right!\Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way.\Amazing.\Such destructive power.\This hero is dangerous.\I must be wary. response:	Not quite potent enough, eh?
context: Firing missiles!\Metal Knight?\I cannot fire with his missiles in the way.\Amazing.\Such destructive power.\This hero is dangerous.\I must be wary.\Not quite potent enough, eh? response:	33 seconds left until impact.
context: Metal Knight?\I cannot fire with his missiles in the way.\Amazing.\Such destructive power.\This hero is dangerous.\I must be wary.\Not quite potent enough, eh?\33 seconds left until impact. response:	To fire my incineration cannon at full power,
context: I cannot fire with his missiles in the way.\Amazing.\Such destructive power.\This hero is dangerous.\I must be wary.\Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power, response:	I need five seconds to charge it with my body's energy.
context: Amazing.\Such destructive power.\This hero is dangerous.\I must be wary.\Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy. response:	But the target is already close.
context: Such destructive power.\This hero is dangerous.\I must be wary.\Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close. response:	And if I do take it out, what then?
context: This hero is dangerous.\I must be wary.\Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then? response:	The meteor may break apart and still cause a disaster.
context: I must be wary.\Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster. response:	But even before that,
context: Not quite potent enough, eh?\33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that, response:	will my weapons be powerful enough to stop it?
context: 33 seconds left until impact.\To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it? response:	Even Metal Knight's countless missiles had no effect.
context: To fire my incineration cannon at full power,\I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect. response:	First off, be calm.
context: I need five seconds to charge it with my body's energy.\But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm. response:	I see you've lost composure.
context: But the target is already close.\And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure. response:	You are far too young to be worried about failure.
context: And if I do take it out, what then?\The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure. response:	When your back's up against the wall, just muddle through.
context: The meteor may break apart and still cause a disaster.\But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through. response:	The outcome won't change.
context: But even before that,\will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change. response:	So that's what is best.
context: will my weapons be powerful enough to stop it?\Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best. response:	Muddling through is best?
context: Even Metal Knight's countless missiles had no effect.\First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best.\Muddling through is best? response:	He is right.
context: First off, be calm.\I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best.\Muddling through is best?\He is right. response:	If the outcome will not change
context: I see you've lost composure.\You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best.\Muddling through is best?\He is right.\If the outcome will not change response:	then I how can I die without giving it my all?
context: You are far too young to be worried about failure.\When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best.\Muddling through is best?\He is right.\If the outcome will not change\then I how can I die without giving it my all? response:	Bang, get down!
context: When your back's up against the wall, just muddle through.\The outcome won't change.\So that's what is best.\Muddling through is best?\He is right.\If the outcome will not change\then I how can I die without giving it my all?\Bang, get down! response:	Oh.
context: The outcome won't change.\So that's what is best.\Muddling through is best?\He is right.\If the outcome will not change\then I how can I die without giving it my all?\Bang, get down!\Oh. response:	I will no longer think about failure or repercussions!
context: So that's what is best.\Muddling through is best?\He is right.\If the outcome will not change\then I how can I die without giving it my all?\Bang, get down!\Oh.\I will no longer think about failure or repercussions! response:	I will just pour everything I have
context: Muddling through is best?\He is right.\If the outcome will not change\then I how can I die without giving it my all?\Bang, get down!\Oh.\I will no longer think about failure or repercussions!\I will just pour everything I have response:	into one last shot!
