context: Sarah and Lola competed in a receptionist battle. response:	I wanted my receptionist, Lola, to win, so I went looking for rare items,
context: My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too?\No.\Then why do you look like a child?\Just because.\It just seemed like something you would like. response:	I-I'm not exactly... into little kids.
context: telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too?\No.\Then why do you look like a child?\Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids. response:	So what's this request you have for me?
context: I observed your powers, as well.\Can you read my memories, too?\No.\Then why do you look like a child?\Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me? response:	There's something sucking on me.
context: Can you read my memories, too?\No.\Then why do you look like a child?\Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me. response:	What?
context: No.\Then why do you look like a child?\Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me.\What? response:	There's something creepy sucking away at my whole body.
context: Then why do you look like a child?\Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me.\What?\There's something creepy sucking away at my whole body. response:	Bad!
context: Just because.\It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me.\What?\There's something creepy sucking away at my whole body.\Bad! response:	You're messing with me, aren't you?!
context: It just seemed like something you would like.\I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me.\What?\There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?! response:	My real body cannot move.
context: I-I'm not exactly... into little kids.\So what's this request you have for me?\There's something sucking on me.\What?\There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?!\My real body cannot move. response:	Some kind of monster is taking advantage of that
context: So what's this request you have for me?\There's something sucking on me.\What?\There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that response:	to ravish me day and night while sapping my mana.
context: There's something sucking on me.\What?\There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana. response:	Ravish?
context: What?\There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish? response:	If you defeat the monster and save me,
context: There's something creepy sucking away at my whole body.\Bad!\You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me, response:	I'll tell you where the two treasure chests are, and how to get to the eighth floor.
context: Bad!\You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor. response:	If I can get more rare treasures, I can help Lola win.
context: You're messing with me, aren't you?!\My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win. response:	But then again...
context: My real body cannot move.\Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again... response:	I'll need to know more about the monster before I agree to this.
context: Some kind of monster is taking advantage of that\to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this. response:	I'm a chicken, so...
context: to ravish me day and night while sapping my mana.\Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so... response:	Very well, Mr. Chicken.
context: Ravish?\If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken. response:	My name is Noir.
context: If you defeat the monster and save me,\I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir. response:	Then... Nory!
context: I'll tell you where the two treasure chests are, and how to get to the eighth floor.\If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir.\Then... Nory! response:	I'm a Dryade, so call me Dory!
context: If I can get more rare treasures, I can help Lola win.\But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory! response:	Okay.
context: But then again...\I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory!\Okay. response:	So that's your real body?
context: I'll need to know more about the monster before I agree to this.\I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory!\Okay.\So that's your real body? response:	The monster is near the trunk.
context: I'm a chicken, so...\Very well, Mr. Chicken.\My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory!\Okay.\So that's your real body?\The monster is near the trunk. response:	There are monsters called Bronze Bees on this level, but that one bee is gold.
context: Very well, Mr. Chicken.\My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory!\Okay.\So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold. response:	I'm sure it's some kind of mutation.
context: My name is Noir.\Then... Nory!\I'm a Dryade, so call me Dory!\Okay.\So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation. response:	It doesn't seem to have any friends nearby.
context: Then... Nory!\I'm a Dryade, so call me Dory!\Okay.\So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby. response:	Golden Bee Lv. 256
context: I'm a Dryade, so call me Dory!\Okay.\So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256 response:	Skills Skills Skills
context: Okay.\So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills response:	Nory?
context: So that's your real body?\The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills\Nory? response:	Sorry...
context: The monster is near the trunk.\There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills\Nory?\Sorry... response:	That thing will kill me the instant I attack it.
context: There are monsters called Bronze Bees on this level, but that one bee is gold.\I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills\Nory?\Sorry...\That thing will kill me the instant I attack it. response:	Its level is 256. That's four times mine.
context: I'm sure it's some kind of mutation.\It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills\Nory?\Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine. response:	I understand. It was rude of me to ask you that out of the blue.
context: It doesn't seem to have any friends nearby.\Golden Bee Lv. 256\Skills Skills Skills\Nory?\Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue. response:	Thank you for hearing me ou
context: Golden Bee Lv. 256\Skills Skills Skills\Nory?\Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou response:	Dory?!
context: Skills Skills Skills\Nory?\Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?! response:	It's sucking up her mana from her real body!
context: Nory?\Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body! response:	A-Are you okay?
context: Sorry...\That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body!\A-Are you okay? response:	Yes... I feel better now.
context: That thing will kill me the instant I attack it.\Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now. response:	I hate to admit it, but I can't defeat that bee right now.
context: Its level is 256. That's four times mine.\I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now. response:	I can't put my life on the line for someone I just met.
context: I understand. It was rude of me to ask you that out of the blue.\Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met. response:	Her real body is falling apart.
context: Thank you for hearing me ou\Dory?!\It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart. response:	If it stings her just one more time...
context: Dory?!\It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time... response:	Thank you for hearing me out.
context: It's sucking up her mana from her real body!\A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out. response:	T-To thank you...
context: A-Are you okay?\Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out.\T-To thank you... response:	I'll show you how to get to the eighth floor.
context: Yes... I feel better now.\I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor. response:	She must be in so much pain...
context: I hate to admit it, but I can't defeat that bee right now.\I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain... response:	She must be so scared...
context: I can't put my life on the line for someone I just met.\Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared... response:	And yet, she's smiling.
context: Her real body is falling apart.\If it stings her just one more time...\Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared...\And yet, she's smiling. response:	I'm a fool...
context: If it stings her just one more time...\Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared...\And yet, she's smiling.\I'm a fool... response:	N-Nory?
context: Thank you for hearing me out.\T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared...\And yet, she's smiling.\I'm a fool...\N-Nory? response:	I'm sorry for troubling you.
context: T-To thank you...\I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared...\And yet, she's smiling.\I'm a fool...\N-Nory?\I'm sorry for troubling you. response:	You don't have to worry about defeating the mon
context: I'll show you how to get to the eighth floor.\She must be in so much pain...\She must be so scared...\And yet, she's smiling.\I'm a fool...\N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon response:	No!
context: She must be in so much pain...\She must be so scared...\And yet, she's smiling.\I'm a fool...\N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon\No! response:	I can't leave you alone! Not when you're hurting so much!
context: She must be so scared...\And yet, she's smiling.\I'm a fool...\N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much! response:	Besides, you look so much like her...
context: And yet, she's smiling.\I'm a fool...\N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her... response:	Like my dear friend... when she was little.
context: I'm a fool...\N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little. response:	Nory...
context: N-Nory?\I'm sorry for troubling you.\You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little.\Nory... response:	That looks like it hurts. If I lick it, it'll heal faster.
context: I'm sorry for troubling you.\You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster. response:	Noir
context: You don't have to worry about defeating the mon\No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir response:	My LP is... going up?
context: No!\I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up? response:	I-If Master saw me in this situation...
context: I can't leave you alone! Not when you're hurting so much!\Besides, you look so much like her...\Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up?\I-If Master saw me in this situation... response:	Master?
context: Besides, you look so much like her...\Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up?\I-If Master saw me in this situation...\Master? response:	Wh-What's the matter?
context: Like my dear friend... when she was little.\Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up?\I-If Master saw me in this situation...\Master?\Wh-What's the matter? response:	I had a breakthrough. Could you wait a little while?
context: Nory...\That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up?\I-If Master saw me in this situation...\Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while? response:	And here it is!
context: That looks like it hurts. If I lick it, it'll heal faster.\Noir\My LP is... going up?\I-If Master saw me in this situation...\Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is! response:	The student relying on his master in his moment of need!
context: Noir\My LP is... going up?\I-If Master saw me in this situation...\Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need! response:	I've been waiting for this!
context: My LP is... going up?\I-If Master saw me in this situation...\Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need!\I've been waiting for this! response:	Th-That's great, I guess...
context: I-If Master saw me in this situation...\Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess... response:	So this bee monster... Golden Bee, was it?
context: Master?\Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it? response:	Yes. It seems like it's pretty powerful.
context: Wh-What's the matter?\I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful. response:	Honestly, I'd like you to just ignore this one.
context: I had a breakthrough. Could you wait a little while?\And here it is!\The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one. response:	What?
context: And here it is!\The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What? response:	It'd be extremely difficult for you to win this fight right now.
context: The student relying on his master in his moment of need!\I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now. response:	I really don't want you to die.
context: I've been waiting for this!\Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die. response:	But I don't have any choice.
context: Th-That's great, I guess...\So this bee monster... Golden Bee, was it?\Yes. It seems like it's pretty powerful.\Honestly, I'd like you to just ignore this one.\What?\It'd be extremely difficult for you to win this fight right now.\I really don't want you to die.\But I don't have any choice. response:	This isn't like you. What's going on?
