context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: What is this thing?\Behind me, too!\Somebody help me!\Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this? response:	Where are you from?
context: Behind me, too!\Somebody help me!\Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this?\Where are you from? response:	M-My name is Naive T Cell.
context: Somebody help me!\Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell. response:	I'm an underling with the T Cell battalion,
context: Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion, response:	a-and I'm on patrol.
context: Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol. response:	But there are tons of zombies here.
context: WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much!\By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here. response:	What kind of place is this exactly?
context: Thank you very much!\By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly? response:	NAIVE T CELL: An immature T Cell which has never encountered an antigen.
context: By the way, what were you doing in a place like this?\Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen. response:	Naive T Cell.
context: Where are you from?\M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell. response:	An immature T Cell which has never encountered an antigen.
context: M-My name is Naive T Cell.\I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen. response:	I mean, how'd you come through the wall?
context: I'm an underling with the T Cell battalion,\a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall? response:	It's called migration.
context: a-and I'm on patrol.\But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration. response:	MIGRATION To move freely through the system.
context: But there are tons of zombies here.\What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system. response:	These guys are just former common cells.
context: What kind of place is this exactly?\NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells. response:	The thing is,
context: NAIVE T CELL: An immature T Cell which has never encountered an antigen.\Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is, response:	it seems like they got infected.
context: Naive T Cell.\An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is,\it seems like they got infected. response:	EPISODE 3: INFLUENZA
context: An immature T Cell which has never encountered an antigen.\I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA response:	Influenza.
context: I mean, how'd you come through the wall?\It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza. response:	They've been infected by a virus.
context: It's called migration.\MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus. response:	A virus?
context: MIGRATION To move freely through the system.\These guys are just former common cells.\The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus.\A virus? response:	Right.
context: These guys are just former common cells.\The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus.\A virus?\Right. response:	An influenza virus.
context: The thing is,\it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus.\A virus?\Right.\An influenza virus. response:	INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.
context: it seems like they got infected.\EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus.\A virus?\Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping. response:	The influenza virus.
context: EPISODE 3: INFLUENZA\Influenza.\They've been infected by a virus.\A virus?\Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus. response:	A virus that can trigger influenza, an infectious disease.
context: Influenza.\They've been infected by a virus.\A virus?\Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease. response:	Falls into three main categories, A, B and C.
context: They've been infected by a virus.\A virus?\Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C. response:	Causes symptoms such as fevers over 100 degrees,
context: A virus?\Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees, response:	headaches, joint pain and muscle cramping.
context: Right.\An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping. response:	When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.
context: An influenza virus.\INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain. response:	See, they bind to the bodies of cells and then multiply.
context: INFLUENZA VIRUS: A virus that can trigger influenza, an infectious disease. Falls into three main categories, A, B and C. Causes symptoms such as fevers over 100 degrees, headaches, joint pain and muscle cramping.\The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply. response:	Our only hope is to kill them before their numbers swell any further!
context: The influenza virus.\A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further! response:	You're my backup!
context: A virus that can trigger influenza, an infectious disease.\Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup! response:	Huh?
context: Falls into three main categories, A, B and C.\Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh? response:	Hey!
context: Causes symptoms such as fevers over 100 degrees,\headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh?\Hey! response:	No way can I do that! I can't take on a virus!
context: headaches, joint pain and muscle cramping.\When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh?\Hey!\No way can I do that! I can't take on a virus! response:	H-Hey! Listen, you!
context: When an influenza strain that never infected humans mutates to the point that it does infect them, it is called a new influenza strain.\See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh?\Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you! response:	You're a T Cell soldier, aren't you?
context: See, they bind to the bodies of cells and then multiply.\Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh?\Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you? response:	I'll stay put right here so that I can at least avoid getting in your way!
context: Our only hope is to kill them before their numbers swell any further!\You're my backup!\Huh?\Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way! response:	Give a guy a hand, will you?
context: You're my backup!\Huh?\Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you? response:	Look, they're starting to gather because we're here!
context: Huh?\Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here! response:	Can't do it! Too scary!
context: Hey!\No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary! response:	My, my...
context: No way can I do that! I can't take on a virus!\H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my... response:	MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.
context: H-Hey! Listen, you!\You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria. response:	Is everything all right here?
context: You're a T Cell soldier, aren't you?\I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here? response:	I can see that the virus people have multiplied significantly.
context: I'll stay put right here so that I can at least avoid getting in your way!\Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly. response:	A hatchet?
context: Give a guy a hand, will you?\Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet? response:	Now then, time to get to work!
context: Look, they're starting to gather because we're here!\Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work! response:	W-Watch out!
context: Can't do it! Too scary!\My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work!\W-Watch out! response:	MACROPHAGE'S DEADLY FORCE: Significantly potent.
context: My, my...\MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent. response:	Rest assured.
context: MACROPHAGE A type of White Blood Cell. Captures and kills foreign substances such as bacteria, and finds antigens and immunity information. Also acts as a cleaner, tidying up dead cells and bacteria.\Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured. response:	Right.
context: Is everything all right here?\I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right. response:	Let's see, this is...
context: I can see that the virus people have multiplied significantly.\A hatchet?\Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right.\Let's see, this is... response:	A Type B virus.
context: A hatchet?\Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right.\Let's see, this is...\A Type B virus. response:	This is Macrophage.
context: Now then, time to get to work!\W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right.\Let's see, this is...\A Type B virus.\This is Macrophage. response:	It appears that a Type B influenza virus has invaded this body.
context: W-Watch out!\MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right.\Let's see, this is...\A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body. response:	Right!
context: MACROPHAGE'S DEADLY FORCE: Significantly potent.\Rest assured.\Right.\Let's see, this is...\A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right! response:	Understood! Please give it your all!
context: Rest assured.\Right.\Let's see, this is...\A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all! response:	Right! Goodbye!
context: Right.\Let's see, this is...\A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all!\Right! Goodbye! response:	Helper T Commander,
context: Let's see, this is...\A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all!\Right! Goodbye!\Helper T Commander, response:	that was Macrophage presenting antigen information.
context: A Type B virus.\This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all!\Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information. response:	Very well.
context: This is Macrophage.\It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all!\Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information.\Very well. response:	We've just received word that a Type B virus has invaded this body.
context: It appears that a Type B influenza virus has invaded this body.\Right!\Understood! Please give it your all!\Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body. response:	Yes, yes. Yes, that's correct.
context: Right!\Understood! Please give it your all!\Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct. response:	The Killer T Cells will start aggregating immediately!
context: Understood! Please give it your all!\Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately! response:	I've notified each organ through Dendritic Cell,
context: Right! Goodbye!\Helper T Commander,\that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell, response:	so the Killer T Cells will soon be here to assist you.
context: Helper T Commander,\that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you. response:	Hey, that's great news.
context: that was Macrophage presenting antigen information.\Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news. response:	The Killer T Cells?
context: Very well.\We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells? response:	U-Um, White Blood Cell, Macrophage,
context: We've just received word that a Type B virus has invaded this body.\Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage, response:	I'm sorry!
context: Yes, yes. Yes, that's correct.\The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry! response:	Could you please tell them
context: The Killer T Cells will start aggregating immediately!\I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them response:	I brought down just one of these zombies?
context: I've notified each organ through Dendritic Cell,\so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them\I brought down just one of these zombies? response:	Why do you want us to do that?
context: so the Killer T Cells will soon be here to assist you.\Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that? response:	B-Because if you don't, I...
context: Hey, that's great news.\The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I... response:	The senpais will...
context: The Killer T Cells?\U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I...\The senpais will... response:	Okay, dammit, is this the place? Where are those viruses at?
context: U-Um, White Blood Cell, Macrophage,\I'm sorry!\Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at? response:	KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.
context: I'm sorry!\Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like. response:	The Killer T Cells are here to wipe'em all out!
context: Could you please tell them\I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out! response:	Macrophage, thank you for your hard work!
context: I brought down just one of these zombies?\Why do you want us to do that?\B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work! response:	Thank you for your hard work!
context: Why do you want us to do that?\B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work! response:	And thank you, as well!
context: B-Because if you don't, I...\The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well! response:	Hey, so you're here, too.
context: The senpais will...\Okay, dammit, is this the place? Where are those viruses at?\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. They kill virus-infected cells, cancer cells and the like.\The Killer T Cells are here to wipe'em all out!\Macrophage, thank you for your hard work!\Thank you for your hard work!\And thank you, as well!\Hey, so you're here, too. response:	Yeah.
