context: The raid boss is in there, isn't it? response:	So it seems.
context: His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86.\He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou response:	And that AoE attack he just used on Soujirou's group...
context: Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86.\He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group... response:	Nazuna Nyanta Soujirou
context: the genius of summoning.\His level is 86.\He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou response:	Groups 2 through 4, get to the rear and heal the assault group.
context: His level is 86.\He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group. response:	Anchor Howl!
context: He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl! response:	So that's a Genius...
context: His level isn't that high...\But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius... response:	There are nine minutes and forty-seven seconds left!
context: But our levels are all over the place, and we've never worked together before.\Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left! response:	Gaia Wind Healing!
context: Soujirou Henrietta Korou\And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing! response:	All will fall asleep.
context: And that AoE attack he just used on Soujirou's group...\Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep. response:	Why?
context: Nazuna Nyanta Soujirou\Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep.\Why? response:	Why are you doing this?
context: Groups 2 through 4, get to the rear and heal the assault group.\Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep.\Why?\Why are you doing this? response:	All will fall asleep!
context: Anchor Howl!\So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep.\Why?\Why are you doing this?\All will fall asleep! response:	We can't talk about this?
context: So that's a Genius...\There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep.\Why?\Why are you doing this?\All will fall asleep!\We can't talk about this? response:	Fall asleep, adventurers!
context: There are nine minutes and forty-seven seconds left!\Gaia Wind Healing!\All will fall asleep.\Why?\Why are you doing this?\All will fall asleep!\We can't talk about this?\Fall asleep, adventurers! response:	He's just like Camaysar.
context: Gaia Wind Healing!\All will fall asleep.\Why?\Why are you doing this?\All will fall asleep!\We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar. response:	There's no way to talk to them...
context: All will fall asleep.\Why?\Why are you doing this?\All will fall asleep!\We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them... response:	We're talking past each other.
context: Why?\Why are you doing this?\All will fall asleep!\We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them...\We're talking past each other. response:	Shiro, I can't keep this up!
context: Why are you doing this?\All will fall asleep!\We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up! response:	What do we do, Shiro?!
context: All will fall asleep!\We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?! response:	Everyone attack.
context: We can't talk about this?\Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack. response:	All will fall asleep.
context: Fall asleep, adventurers!\He's just like Camaysar.\There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack.\All will fall asleep. response:	All will fall asleep! Fall asleep!
context: He's just like Camaysar.\There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep! response:	N-No...
context: There's no way to talk to them...\We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep!\N-No... response:	Why?
context: We're talking past each other.\Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep!\N-No...\Why? response:	All parties, hurry and get set up!
context: Shiro, I can't keep this up!\What do we do, Shiro?!\Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep!\N-No...\Why?\All parties, hurry and get set up! response:	The moon isn't up, but they're back.
context: What do we do, Shiro?!\Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep!\N-No...\Why?\All parties, hurry and get set up!\The moon isn't up, but they're back. response:	If you don't fall asleep, their dust will hit you with another status effect,
context: Everyone attack.\All will fall asleep.\All will fall asleep! Fall asleep!\N-No...\Why?\All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect, response:	so be careful!
context: All will fall asleep.\All will fall asleep! Fall asleep!\N-No...\Why?\All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful! response:	Shut up, Demi!
context: All will fall asleep! Fall asleep!\N-No...\Why?\All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi! response:	You need to...
context: N-No...\Why?\All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi!\You need to... response:	Finish this fast, Shiroe!
context: Why?\All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi!\You need to...\Finish this fast, Shiroe! response:	Those damned Odyssey Knights!
context: All parties, hurry and get set up!\The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi!\You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights! response:	The jerks are making our lives harder.
context: The moon isn't up, but they're back.\If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi!\You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder. response:	All will fall asleep.
context: If you don't fall asleep, their dust will hit you with another status effect,\so be careful!\Shut up, Demi!\You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep. response:	All will fall asleep!
context: so be careful!\Shut up, Demi!\You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep.\All will fall asleep! response:	Shiro!
context: Shut up, Demi!\You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep.\All will fall asleep!\Shiro! response:	Look!
context: You need to...\Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep.\All will fall asleep!\Shiro!\Look! response:	If we let this continue,
context: Finish this fast, Shiroe!\Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep.\All will fall asleep!\Shiro!\Look!\If we let this continue, response:	the antenna will shatter before we can do anything about it!
context: Those damned Odyssey Knights!\The jerks are making our lives harder.\All will fall asleep.\All will fall asleep!\Shiro!\Look!\If we let this continue,\the antenna will shatter before we can do anything about it! response:	Party 1, raise your DPS and maintain aggro.
context: The jerks are making our lives harder.\All will fall asleep.\All will fall asleep!\Shiro!\Look!\If we let this continue,\the antenna will shatter before we can do anything about it!\Party 1, raise your DPS and maintain aggro. response:	Get him away from the antenna and down into the hall below!
context: All will fall asleep.\All will fall asleep!\Shiro!\Look!\If we let this continue,\the antenna will shatter before we can do anything about it!\Party 1, raise your DPS and maintain aggro.\Get him away from the antenna and down into the hall below! response:	Parties 2 through 4, deal with the adds,
context: All will fall asleep!\Shiro!\Look!\If we let this continue,\the antenna will shatter before we can do anything about it!\Party 1, raise your DPS and maintain aggro.\Get him away from the antenna and down into the hall below!\Parties 2 through 4, deal with the adds, response:	and then meet up with us!
