context: Wind Scar! response:	I used the Tetsusaiga to break through Naraku's barrier
context: Where are you?! Where, Naraku?!\What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition!\So there you are! response:	You will die, weasel-demon!
context: What's this?\Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition!\So there you are!\You will die, weasel-demon! response:	Iron-Reaver, Soul-Stealer!
context: Uh-huh, I sensed it too.\The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition!\So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer! response:	An old woman?
context: The demonic aura's been getting stronger and stronger.\Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition!\So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman? response:	Don't be wandering about like this.
context: Ademon?!\Hey! Wait, Inuyasha!\Appear, apparition!\So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this. response:	Go on home and sleep.
context: Hey! Wait, Inuyasha!\Appear, apparition!\So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this.\Go on home and sleep. response:	Dog ears!
context: Appear, apparition!\So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this.\Go on home and sleep.\Dog ears! response:	Anotherdemon?!
context: So there you are!\You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this.\Go on home and sleep.\Dog ears!\Anotherdemon?! response:	Begone!
context: You will die, weasel-demon!\Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this.\Go on home and sleep.\Dog ears!\Anotherdemon?!\Begone! response:	What're you doing?!
context: Iron-Reaver, Soul-Stealer!\An old woman?\Don't be wandering about like this.\Go on home and sleep.\Dog ears!\Anotherdemon?!\Begone!\What're you doing?! response:	Is this how you repay a debt?!
context: An old woman?\Don't be wandering about like this.\Go on home and sleep.\Dog ears!\Anotherdemon?!\Begone!\What're you doing?!\Is this how you repay a debt?! response:	Stop it.
context: Don't be wandering about like this.\Go on home and sleep.\Dog ears!\Anotherdemon?!\Begone!\What're you doing?!\Is this how you repay a debt?!\Stop it. response:	Don't even try to stop me!
context: Go on home and sleep.\Dog ears!\Anotherdemon?!\Begone!\What're you doing?!\Is this how you repay a debt?!\Stop it.\Don't even try to stop me! response:	Monk, hold him still! Hold him still!
context: Dog ears!\Anotherdemon?!\Begone!\What're you doing?!\Is this how you repay a debt?!\Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still! response:	Demon dispersal!
context: Anotherdemon?!\Begone!\What're you doing?!\Is this how you repay a debt?!\Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal! response:	Demons are increasing?
context: Begone!\What're you doing?!\Is this how you repay a debt?!\Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing? response:	Thatexplains the demonic aura in the area.
context: What're you doing?!\Is this how you repay a debt?!\Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area. response:	Demonic aura?
context: Is this how you repay a debt?!\Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura? response:	We journey around the countryside slaying demons.
context: Stop it.\Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons. response:	So we're in the same business...
context: Don't even try to stop me!\Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business... response:	Anyway, due to this sudden increase in demons,
context: Monk, hold him still! Hold him still!\Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons, response:	I had to come out of retirement.
context: Demon dispersal!\Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement. response:	Just an old woman's whim!
context: Demons are increasing?\Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim! response:	Better you stay retired.
context: Thatexplains the demonic aura in the area.\Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim!\Better you stay retired. response:	Shall I teach you a lesson again, dog?!
context: Demonic aura?\We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?! response:	Now, now... Madam Exorcist.
context: We journey around the countryside slaying demons.\So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist. response:	Don't you know the reason forthe increase in demons?
context: So we're in the same business...\Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons? response:	Probably the curse.
context: Anyway, due to this sudden increase in demons,\I had to come out of retirement.\Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse. response:	Curse?
context: I had to come out of retirement.\Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse.\Curse? response:	Of the Demon's Head Castle.
context: Just an old woman's whim!\Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse.\Curse?\Of the Demon's Head Castle. response:	Demon's Head Castle?
context: Better you stay retired.\Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse.\Curse?\Of the Demon's Head Castle.\Demon's Head Castle? response:	It probably has a proper name.
context: Shall I teach you a lesson again, dog?!\Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse.\Curse?\Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name. response:	Buteveryone calls it Demon's Head Castle.
context: Now, now... Madam Exorcist.\Don't you know the reason forthe increase in demons?\Probably the curse.\Curse?\Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle. response:	It's said that the head of a demon vanquished by an ancestor
context: Don't you know the reason forthe increase in demons?\Probably the curse.\Curse?\Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor response:	was buried to ward off evil spirits,
context: Probably the curse.\Curse?\Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits, response:	and the castle was built overit.
context: Curse?\Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit. response:	Who'd believe stories that you tell?!
context: Of the Demon's Head Castle.\Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?! response:	But for some strange reason,
context: Demon's Head Castle?\It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason, response:	lately, the demon has been revived, tormenting people.
context: It probably has a proper name.\Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people. response:	And no amount of exorcism has worked.
context: Buteveryone calls it Demon's Head Castle.\It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked. response:	So...
context: It's said that the head of a demon vanquished by an ancestor\was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So... response:	Now then, follow me.
context: was buried to ward off evil spirits,\and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So...\Now then, follow me. response:	Where to?
context: and the castle was built overit.\Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So...\Now then, follow me.\Where to? response:	To Demon's Head Castle. Where else?
context: Who'd believe stories that you tell?!\But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So...\Now then, follow me.\Where to?\To Demon's Head Castle. Where else? response:	Didn't you say you travel around slaying demons?
context: But for some strange reason,\lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So...\Now then, follow me.\Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons? response:	What'll we do?
context: lately, the demon has been revived, tormenting people.\And no amount of exorcism has worked.\So...\Now then, follow me.\Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do? response:	We have no time forthis!
context: And no amount of exorcism has worked.\So...\Now then, follow me.\Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis! response:	But since we know the story...
context: So...\Now then, follow me.\Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis!\But since we know the story... response:	Finding Naraku is top priority!
context: Now then, follow me.\Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis!\But since we know the story...\Finding Naraku is top priority! response:	Isn't that so?!
context: Where to?\To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis!\But since we know the story...\Finding Naraku is top priority!\Isn't that so?! response:	Uh-huh...
context: To Demon's Head Castle. Where else?\Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis!\But since we know the story...\Finding Naraku is top priority!\Isn't that so?!\Uh-huh... response:	I understand the reward is great.
context: Didn't you say you travel around slaying demons?\What'll we do?\We have no time forthis!\But since we know the story...\Finding Naraku is top priority!\Isn't that so?!\Uh-huh...\I understand the reward is great. response:	Reward?
context: What'll we do?\We have no time forthis!\But since we know the story...\Finding Naraku is top priority!\Isn't that so?!\Uh-huh...\I understand the reward is great.\Reward? response:	Now, now... let us go.
context: We have no time forthis!\But since we know the story...\Finding Naraku is top priority!\Isn't that so?!\Uh-huh...\I understand the reward is great.\Reward?\Now, now... let us go. response:	We split the earnings evenly.
context: But since we know the story...\Finding Naraku is top priority!\Isn't that so?!\Uh-huh...\I understand the reward is great.\Reward?\Now, now... let us go.\We split the earnings evenly. response:	Hey!
context: Finding Naraku is top priority!\Isn't that so?!\Uh-huh...\I understand the reward is great.\Reward?\Now, now... let us go.\We split the earnings evenly.\Hey! response:	Why you...!
context: Isn't that so?!\Uh-huh...\I understand the reward is great.\Reward?\Now, now... let us go.\We split the earnings evenly.\Hey!\Why you...! response:	M-My lord!
context: Uh-huh...\I understand the reward is great.\Reward?\Now, now... let us go.\We split the earnings evenly.\Hey!\Why you...!\M-My lord! response:	Please forgive me!
context: I understand the reward is great.\Reward?\Now, now... let us go.\We split the earnings evenly.\Hey!\Why you...!\M-My lord!\Please forgive me! response:	I did not see anything! Nothing at all!
context: Reward?\Now, now... let us go.\We split the earnings evenly.\Hey!\Why you...!\M-My lord!\Please forgive me!\I did not see anything! Nothing at all! response:	My lord!
context: Now, now... let us go.\We split the earnings evenly.\Hey!\Why you...!\M-My lord!\Please forgive me!\I did not see anything! Nothing at all!\My lord! response:	In any case, our lord has been acting strange in recent days.
context: We split the earnings evenly.\Hey!\Why you...!\M-My lord!\Please forgive me!\I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days. response:	He locks himself up in his room and refuses to leave.
context: Hey!\Why you...!\M-My lord!\Please forgive me!\I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave. response:	Say, Inuyasha...
context: Why you...!\M-My lord!\Please forgive me!\I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha... response:	Isn't the castle sorta creepy?
context: M-My lord!\Please forgive me!\I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy? response:	Yeah, that field was nothing compared to this.
context: Please forgive me!\I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this. response:	So this must be the core of the demonic aura.
context: I did not see anything! Nothing at all!\My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura. response:	From the severed demon's head?
context: My lord!\In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head? response:	It has surrounded the entire castle.
context: In any case, our lord has been acting strange in recent days.\He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle. response:	What's the matter? Why the glum look?
context: He locks himself up in his room and refuses to leave.\Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look? response:	And what're you mumbling about?
context: Say, Inuyasha...\Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about? response:	They all sense the demonic aura and are uneasy.
context: Isn't the castle sorta creepy?\Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy. response:	Demonic aura? What's that?
context: Yeah, that field was nothing compared to this.\So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that? response:	Well... don't you feel or sense anything weird?
context: So this must be the core of the demonic aura.\From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird? response:	Like what?
context: From the severed demon's head?\It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what? response:	Like what, you say?!
context: It has surrounded the entire castle.\What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what?\Like what, you say?! response:	It's all in your imagination.
context: What's the matter? Why the glum look?\And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what?\Like what, you say?!\It's all in your imagination. response:	Or are you all feeling scared?
context: And what're you mumbling about?\They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what?\Like what, you say?!\It's all in your imagination.\Or are you all feeling scared? response:	Still young, yet so hopeless!
context: They all sense the demonic aura and are uneasy.\Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what?\Like what, you say?!\It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless! response:	I think this old woman is a fake!
context: Demonic aura? What's that?\Well... don't you feel or sense anything weird?\Like what?\Like what, you say?!\It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake! response:	Hmm... Even I sense the demonic aura.
context: Well... don't you feel or sense anything weird?\Like what?\Like what, you say?!\It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura. response:	That's!
context: Like what?\Like what, you say?!\It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's! response:	This is the seventh one.
context: Like what, you say?!\It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's!\This is the seventh one. response:	The lord slays every vassal ormaid that tries to approach his room.
context: It's all in your imagination.\Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room. response:	Do you think the lord's erratic behavioris caused by the demon curse?
context: Or are you all feeling scared?\Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse? response:	Most probably...
context: Still young, yet so hopeless!\I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably... response:	The demon appears afterdark.
context: I think this old woman is a fake!\Hmm... Even I sense the demonic aura.\That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark. response:	Until then, stay in here.
context: Hmm... Even I sense the demonic aura.\That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark.\Until then, stay in here. response:	One... two... three.
context: That's!\This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark.\Until then, stay in here.\One... two... three. response:	One... two... three!
context: This is the seventh one.\The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark.\Until then, stay in here.\One... two... three.\One... two... three! response:	Now listen up. You must be prepared.
context: The lord slays every vassal ormaid that tries to approach his room.\Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark.\Until then, stay in here.\One... two... three.\One... two... three!\Now listen up. You must be prepared. response:	You're so full of energy, old woman.
context: Do you think the lord's erratic behavioris caused by the demon curse?\Most probably...\The demon appears afterdark.\Until then, stay in here.\One... two... three.\One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman. response:	I'll say. She's amazing amidst this demonic aura.
context: Most probably...\The demon appears afterdark.\Until then, stay in here.\One... two... three.\One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura. response:	Even forthose as well-trained as us,
context: The demon appears afterdark.\Until then, stay in here.\One... two... three.\One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us, response:	the demonic aura in this castle is unsettling.
context: Until then, stay in here.\One... two... three.\One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us,\the demonic aura in this castle is unsettling. response:	Let's finish up this job and get out of here quickly.
context: One... two... three.\One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us,\the demonic aura in this castle is unsettling.\Let's finish up this job and get out of here quickly. response:	You're right.
context: One... two... three!\Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us,\the demonic aura in this castle is unsettling.\Let's finish up this job and get out of here quickly.\You're right. response:	You are the ones who've come to exterminate the demon?
context: Now listen up. You must be prepared.\You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us,\the demonic aura in this castle is unsettling.\Let's finish up this job and get out of here quickly.\You're right.\You are the ones who've come to exterminate the demon? response:	Please be careful.
context: You're so full of energy, old woman.\I'll say. She's amazing amidst this demonic aura.\Even forthose as well-trained as us,\the demonic aura in this castle is unsettling.\Let's finish up this job and get out of here quickly.\You're right.\You are the ones who've come to exterminate the demon?\Please be careful. response:	And please save my father without fail!
