context: Back then, I wasn't really able to love someone properly. response:	Yet, I couldn't help but want to be loved.
context: to someone who's heart's been shattered?\But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers? response:	Sure.
context: But I did it for Nana's sake.\If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure. response:	What are you doing sneaking around like that, Shoji?
context: If so, you could've chosen a better time.\But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji? response:	You definitely didn't disappear.
context: But there's meaning in talking to her about it now because of what happened.\What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear. response:	- I can see you just fine. - That's not possible...
context: What? Hey Nobo, where's Koichi Sato?\He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible... response:	- Drink with us. - Watch out!
context: He caught a cold, so he's off today.\Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out! response:	How naive of you.
context: Really? I guess, with the change in temperature lately.\Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you. response:	You deserve to experience being that character who gets hated
context: Could we have two beers?\Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated response:	and despised by viewers, but still needs to make appearances.
context: Sure.\What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances. response:	I shouldn't have come to Jackson's.
context: What are you doing sneaking around like that, Shoji?\You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's. response:	What about work? Do you have the day off?
context: You definitely didn't disappear.\- I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off? response:	No sir. If you must know,
context: - I can see you just fine. - That's not possible...\- Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know, response:	I have the evenings off during the Golden Week holidays.
context: - Drink with us. - Watch out!\How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays. response:	Just talk like you usually do.
context: How naive of you.\You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do. response:	I went to see Nana.
context: You deserve to experience being that character who gets hated\and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana. response:	She really hates you,
context: and despised by viewers, but still needs to make appearances.\I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana.\She really hates you, response:	so I suggest you don't try to fix things and just keep a low profile.
context: I shouldn't have come to Jackson's.\What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile. response:	What do you mean by fix things?
context: What about work? Do you have the day off?\No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things? response:	Well, because Shoji says
context: No sir. If you must know,\I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says response:	he hates breaking up like this and wants to talk things over with Nana.
context: I have the evenings off during the Golden Week holidays.\Just talk like you usually do.\I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana. response:	What does he want to talk to her about?
context: Just talk like you usually do.\I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about? response:	Some excuses, perhaps?
context: I went to see Nana.\She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps? response:	No, it's not like I wanna make excuses to her...
context: She really hates you,\so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her... response:	It's just, I think I should properly apologize to her.
context: so I suggest you don't try to fix things and just keep a low profile.\What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her. response:	Not a good idea! If you have no intention
context: What do you mean by fix things?\Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention response:	of getting back together with Nana, you should clearly end this relationship!
context: Well, because Shoji says\he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship! response:	You've gotta realize it's your attitude, trying to hold on to them both,
context: he hates breaking up like this and wants to talk things over with Nana.\What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both, response:	that hurt both Nana and Sachiko.
context: What does he want to talk to her about?\Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko. response:	You still haven't learned your lesson!
context: Some excuses, perhaps?\No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson! response:	I don't think you wanna apologize to Nana out of kindness.
context: No, it's not like I wanna make excuses to her...\It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness. response:	By apologizing, you just wanna feel better about yourself.
context: It's just, I think I should properly apologize to her.\Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself. response:	Kyosuke, you're being just as blunt, you know.
context: Not a good idea! If you have no intention\of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know. response:	Yeah? It's ok. My motto is to be kind to women, strict toward men.
context: of getting back together with Nana, you should clearly end this relationship!\You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men. response:	Nobo. I'll leave the money here.
context: You've gotta realize it's your attitude, trying to hold on to them both,\that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here. response:	You running away?
context: that hurt both Nana and Sachiko.\You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away? response:	No. You're absolutely right.
context: You still haven't learned your lesson!\I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away?\No. You're absolutely right. response:	So on that note, I'm gonna disappear.
context: I don't think you wanna apologize to Nana out of kindness.\By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear. response:	Where to?
context: By apologizing, you just wanna feel better about yourself.\Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to? response:	What are these flowers?
context: Kyosuke, you're being just as blunt, you know.\Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to?\What are these flowers? response:	Don't worry about it. Bye.
context: Yeah? It's ok. My motto is to be kind to women, strict toward men.\Nobo. I'll leave the money here.\You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to?\What are these flowers?\Don't worry about it. Bye. response:	Oh, Shoji!
context: Nobo. I'll leave the money here.\You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to?\What are these flowers?\Don't worry about it. Bye.\Oh, Shoji! response:	What?
context: You running away?\No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to?\What are these flowers?\Don't worry about it. Bye.\Oh, Shoji!\What? response:	Please, just let me leave.
context: No. You're absolutely right.\So on that note, I'm gonna disappear.\Where to?\What are these flowers?\Don't worry about it. Bye.\Oh, Shoji!\What?\Please, just let me leave. response:	That hat belongs to the store.
context: So on that note, I'm gonna disappear.\Where to?\What are these flowers?\Don't worry about it. Bye.\Oh, Shoji!\What?\Please, just let me leave.\That hat belongs to the store. response:	Thank you very much.
context: Where to?\What are these flowers?\Don't worry about it. Bye.\Oh, Shoji!\What?\Please, just let me leave.\That hat belongs to the store.\Thank you very much. response:	That was lame.
context: What are these flowers?\Don't worry about it. Bye.\Oh, Shoji!\What?\Please, just let me leave.\That hat belongs to the store.\Thank you very much.\That was lame. response:	Apparently, it's his girlfriend's birthday.
context: Don't worry about it. Bye.\Oh, Shoji!\What?\Please, just let me leave.\That hat belongs to the store.\Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday. response:	Sachiko's? Oh, so that's what the flowers were for.
context: Oh, Shoji!\What?\Please, just let me leave.\That hat belongs to the store.\Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for. response:	He was saying she's at work now, but it'll be her birthday at midnight
context: What?\Please, just let me leave.\That hat belongs to the store.\Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight response:	so he wanted to be the first to wish her a Happy Birthday.
context: Please, just let me leave.\That hat belongs to the store.\Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday. response:	That kid's got a kind heart.
context: That hat belongs to the store.\Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart. response:	Well, well. He's being all lovey-dovey where we can't see him.
context: Thank you very much.\That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him. response:	Good for him. That's how it should be, for Sachiko's sake.
context: That was lame.\Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake. response:	Oh, hello.
context: Apparently, it's his girlfriend's birthday.\Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello. response:	The main issue is with Nana. Especially with you lecturing her.
context: Sachiko's? Oh, so that's what the flowers were for.\He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her. response:	I just hope she's still alive.
context: He was saying she's at work now, but it'll be her birthday at midnight\so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive. response:	She'll be fine! Tomorrow's the day of her roommate's live concert.
context: so he wanted to be the first to wish her a Happy Birthday.\That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert. response:	She was really looking forward to that, so she'll be alive until then.
context: That kid's got a kind heart.\Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then. response:	Besides, I promised her that we'd drive her there in the evening.
context: Well, well. He's being all lovey-dovey where we can't see him.\Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening. response:	But she might die after that.
context: Good for him. That's how it should be, for Sachiko's sake.\Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that. response:	Farewell.
context: Oh, hello.\The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell. response:	Then that'll probably also mean the end of this series.
context: The main issue is with Nana. Especially with you lecturing her.\I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell.\Then that'll probably also mean the end of this series. response:	And I was so thrilled that I started crying!
context: I just hope she's still alive.\She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying! response:	It's the first row!
context: She'll be fine! Tomorrow's the day of her roommate's live concert.\She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row! response:	The first row at a Trapnest concert!
context: She was really looking forward to that, so she'll be alive until then.\Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert! response:	I get to see Takumi in person from that close!
context: Besides, I promised her that we'd drive her there in the evening.\But she might die after that.\Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close! response:	I feel so great I could just die!
context: But she might die after that.\Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die! response:	Farewell.
context: Farewell.\Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell. response:	But I can't do that. If I die, I won't see him.
context: Then that'll probably also mean the end of this series.\And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him. response:	So there's no way I can die until then.
context: And I was so thrilled that I started crying!\It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then. response:	- Thank goodness for that. - Thank goodness for that.
context: It's the first row!\The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that. response:	Hey, if by any chance Nana can't come along,
context: The first row at a Trapnest concert!\I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along, response:	you wanna come with me, Jun-chan?
context: I get to see Takumi in person from that close!\I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along,\you wanna come with me, Jun-chan? response:	Well... even in the front row, I'm not particularly a fan of Trapnest.
context: I feel so great I could just die!\Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along,\you wanna come with me, Jun-chan?\Well... even in the front row, I'm not particularly a fan of Trapnest. response:	Why not go? It's just a live concert.
context: Farewell.\But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along,\you wanna come with me, Jun-chan?\Well... even in the front row, I'm not particularly a fan of Trapnest.\Why not go? It's just a live concert. response:	That's no fun.
context: But I can't do that. If I die, I won't see him.\So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along,\you wanna come with me, Jun-chan?\Well... even in the front row, I'm not particularly a fan of Trapnest.\Why not go? It's just a live concert.\That's no fun. response:	That's exactly what Nana said. She says I'll come if I'm in the mood,
context: So there's no way I can die until then.\- Thank goodness for that. - Thank goodness for that.\Hey, if by any chance Nana can't come along,\you wanna come with me, Jun-chan?\Well... even in the front row, I'm not particularly a fan of Trapnest.\Why not go? It's just a live concert.\That's no fun.\That's exactly what Nana said. She says I'll come if I'm in the mood, response:	then learning that the concert hall's far away, says, that's such a drag.
