context: We're going to lose anyway. response:	Otani.
context: So we've got to attend summer school again this year?\And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well...\Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that. response:	Hot...
context: And here I thought I could have fun, now that I'm done with the basketball club.\I though you resigned so that you could concentrate on your studies?\Oh well...\Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot... response:	Why are you melting?!
context: I though you resigned so that you could concentrate on your studies?\Oh well...\Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?! response:	I can't take it...
context: Oh well...\Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?!\I can't take it... response:	Want to go somewhere cool?
context: Well,\I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?!\I can't take it...\Want to go somewhere cool? response:	Yes!
context: I guess it's not so bad.\Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?!\I can't take it...\Want to go somewhere cool?\Yes! response:	Yay! Paradise!
context: Nobu-chan, why didn't you plan study dates with Nakao-chi too?\I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?!\I can't take it...\Want to go somewhere cool?\Yes!\Yay! Paradise! response:	I'm revived!
context: I don't see why the one with red crosses all over her work should be asking me that.\Hot...\Why are you melting?!\I can't take it...\Want to go somewhere cool?\Yes!\Yay! Paradise!\I'm revived! response:	What would you like to order?
context: Hot...\Why are you melting?!\I can't take it...\Want to go somewhere cool?\Yes!\Yay! Paradise!\I'm revived!\What would you like to order? response:	Oh, yes, yes. My order...
context: Why are you melting?!\I can't take it...\Want to go somewhere cool?\Yes!\Yay! Paradise!\I'm revived!\What would you like to order?\Oh, yes, yes. My order... response:	Let's see...
context: I can't take it...\Want to go somewhere cool?\Yes!\Yay! Paradise!\I'm revived!\What would you like to order?\Oh, yes, yes. My order...\Let's see... response:	Oh! A new item on the menu?
context: Want to go somewhere cool?\Yes!\Yay! Paradise!\I'm revived!\What would you like to order?\Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu? response:	I'm gonna try it.
context: Yes!\Yay! Paradise!\I'm revived!\What would you like to order?\Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu?\I'm gonna try it. response:	One Polynesian Dancer!
context: Yay! Paradise!\I'm revived!\What would you like to order?\Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer! response:	Why are you copying me?
context: I'm revived!\What would you like to order?\Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer!\Why are you copying me? response:	You're the one who's copying me.
context: What would you like to order?\Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me. response:	I'll go with the drink bar.
context: Oh, yes, yes. My order...\Let's see...\Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar. response:	Me too.
context: Let's see...\Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar.\Me too. response:	Same here.
context: Oh! A new item on the menu?\I'm gonna try it.\One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar.\Me too.\Same here. response:	Me too.
context: I'm gonna try it.\One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar.\Me too.\Same here.\Me too. response:	Thank you. Please wait one moment.
context: One Polynesian Dancer!\Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar.\Me too.\Same here.\Me too.\Thank you. Please wait one moment. response:	Chiharu-chan, that's a cute ring.
context: Why are you copying me?\You're the one who's copying me.\I'll go with the drink bar.\Me too.\Same here.\Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring. response:	Uh, thank you.
context: You're the one who's copying me.\I'll go with the drink bar.\Me too.\Same here.\Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you. response:	When did you get that?
context: I'll go with the drink bar.\Me too.\Same here.\Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that? response:	Oh? Did Suzuki-kun give it to you?
context: Me too.\Same here.\Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you? response:	It was your birthday not long ago, wasn't it?
context: Same here.\Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it? response:	Ah. Well done.
context: Me too.\Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done. response:	Well done, Suzuki-chi.
context: Thank you. Please wait one moment.\Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi. response:	Uh... I guess.
context: Chiharu-chan, that's a cute ring.\Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess. response:	Oh, Nobu-chan, you got something for your birthday too, didn't you?
context: Uh, thank you.\When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you? response:	Yeah. A handbag!
context: When did you get that?\Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag! response:	Sorry it was only a cheap one.
context: Oh? Did Suzuki-kun give it to you?\It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one. response:	It's okay.
context: It was your birthday not long ago, wasn't it?\Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one.\It's okay. response:	It was given with love, after all.
context: Ah. Well done.\Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one.\It's okay.\It was given with love, after all. response:	I love you Nobu-chan.
context: Well done, Suzuki-chi.\Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one.\It's okay.\It was given with love, after all.\I love you Nobu-chan. response:	Me too! I love love love you.
context: Uh... I guess.\Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one.\It's okay.\It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you. response:	I love love love you.
context: Oh, Nobu-chan, you got something for your birthday too, didn't you?\Yeah. A handbag!\Sorry it was only a cheap one.\It's okay.\It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you.\I love love love you. response:	Everyone's happy, huh...
context: Yeah. A handbag!\Sorry it was only a cheap one.\It's okay.\It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you.\I love love love you.\Everyone's happy, huh... response:	Oh! That reminds me, it's almost Risa's birthday!
context: Sorry it was only a cheap one.\It's okay.\It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you.\I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday! response:	Smirk... Smirk... Smirk...
context: It's okay.\It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you.\I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk... response:	Hey! What's with this atmosphere?!
context: It was given with love, after all.\I love you Nobu-chan.\Me too! I love love love you.\I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?! response:	Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?
context: I love you Nobu-chan.\Me too! I love love love you.\I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you? response:	Yeah.
context: Me too! I love love love you.\I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah. response:	I mean, he just can't live without Koizumi-san, right?
context: I love love love you.\Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right? response:	No!
context: Everyone's happy, huh...\Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right?\No! response:	What was that, anyway? A proposal?
context: Oh! That reminds me, it's almost Risa's birthday!\Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal? response:	Wh-What the hell?! You guys were listening?!
context: Smirk... Smirk... Smirk...\Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?! response:	We heard it all.
context: Hey! What's with this atmosphere?!\Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all. response:	What?
context: Otani-chi, naturally you'll be giving Koizumi-san a present, won't you?\Yeah.\I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all.\What? response:	I didn't say I couldn't live without her!
context: Yeah.\I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all.\What?\I didn't say I couldn't live without her! response:	What's this about?
context: I mean, he just can't live without Koizumi-san, right?\No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all.\What?\I didn't say I couldn't live without her!\What's this about? response:	Shut up! It's none of your business!
context: No!\What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all.\What?\I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business! response:	Hey! What's going on?! This is getting on my nerves!
context: What was that, anyway? A proposal?\Wh-What the hell?! You guys were listening?!\We heard it all.\What?\I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves! response:	Shut up! Just be quiet!
context: Wh-What the hell?! You guys were listening?!\We heard it all.\What?\I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet! response:	For the customer who ordered the Polynesian Dancer...
context: We heard it all.\What?\I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer... response:	Oh, it's here! My Polynesian Dancer!
context: What?\I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer! response:	Mmm... Polynesia...
context: I didn't say I couldn't live without her!\What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia... response:	That's not the point.
context: What's this about?\Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point. response:	What the heck?
context: Shut up! It's none of your business!\Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point.\What the heck? response:	Koizumi!
context: Hey! What's going on?! This is getting on my nerves!\Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point.\What the heck?\Koizumi! response:	Hey.
context: Shut up! Just be quiet!\For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point.\What the heck?\Koizumi!\Hey. response:	Geez! I get it!
context: For the customer who ordered the Polynesian Dancer...\Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point.\What the heck?\Koizumi!\Hey.\Geez! I get it! response:	What do you want?
context: Oh, it's here! My Polynesian Dancer!\Mmm... Polynesia...\That's not the point.\What the heck?\Koizumi!\Hey.\Geez! I get it!\What do you want? response:	What do you want for your birthday?
context: Mmm... Polynesia...\That's not the point.\What the heck?\Koizumi!\Hey.\Geez! I get it!\What do you want?\What do you want for your birthday? response:	I don't want anything.
context: That's not the point.\What the heck?\Koizumi!\Hey.\Geez! I get it!\What do you want?\What do you want for your birthday?\I don't want anything. response:	Are you refusing my good intentions?
context: What the heck?\Koizumi!\Hey.\Geez! I get it!\What do you want?\What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions? response:	More importantly, what were you talking about yesterday?
context: Koizumi!\Hey.\Geez! I get it!\What do you want?\What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday? response:	Th-That was... Just forget about it.
context: Hey.\Geez! I get it!\What do you want?\What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it. response:	How can I?
context: Geez! I get it!\What do you want?\What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I? response:	No one is telling me anything, and everyone seems to find it hilarious.
context: What do you want?\What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious. response:	It's really irritating me!
context: What do you want for your birthday?\I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me! response:	Forget it, okay. Just tell me what you want.
context: I don't want anything.\Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want. response:	Nothing. I don't want anything.
context: Are you refusing my good intentions?\More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything. response:	Seriously?
context: More importantly, what were you talking about yesterday?\Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously? response:	Don't complain to me later if I don't give you anything.
context: Th-That was... Just forget about it.\How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything. response:	I told you I don't want anything!
context: How can I?\No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything! response:	Why do you always make things worse?!
context: No one is telling me anything, and everyone seems to find it hilarious.\It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?! response:	Well, I just unconsciously
context: It's really irritating me!\Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously response:	Idiot!
context: Forget it, okay. Just tell me what you want.\Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously\Idiot! response:	But...!
context: Nothing. I don't want anything.\Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously\Idiot!\But...! response:	But it's true!
context: Seriously?\Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously\Idiot!\But...!\But it's true! response:	I don't want a cute ring or a handbag.
context: Don't complain to me later if I don't give you anything.\I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously\Idiot!\But...!\But it's true!\I don't want a cute ring or a handbag. response:	The only thing I want is...
context: I told you I don't want anything!\Why do you always make things worse?!\Well, I just unconsciously\Idiot!\But...!\But it's true!\I don't want a cute ring or a handbag.\The only thing I want is... response:	Get away from me!
context: Why do you always make things worse?!\Well, I just unconsciously\Idiot!\But...!\But it's true!\I don't want a cute ring or a handbag.\The only thing I want is...\Get away from me! response:	I'm home.
