context: Galactic Imperial Calendar, Year 211 response:	This is the first time you've been here, isn't it, Highness?
context: Is that it?\Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial response:	satellites, this is the site of an old gravity reactor explosion.
context: Yes, that's Sakimori Academy.\Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion. response:	An area with a radius of 100 km was quarantined as a contaminated zone.
context: Where our empire began.\And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone. response:	Communications gear unusable. No spare air, either.
context: And a land of curses and blessings.\Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either. response:	The conclusion I'm led to is...
context: Inuzuka-senpai...\What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is... response:	What am I thinking?
context: What am... What am I gonna do?\I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking? response:	It's not like I have a reason to live.
context: I'm not picking up any radio signals. Tetraxion particle interference?\Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live. response:	This is Captain Cain of the Dorssian Lunar Orbital Forces,
context: Calculating our location based on the position of artificial\satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces, response:	tasked with the extermination of the Class 7 Special Hazard Organisms.
context: satellites, this is the site of an old gravity reactor explosion.\An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms. response:	We will now tow Module 77 to Dorssia Sphere 1.
context: An area with a radius of 100 km was quarantined as a contaminated zone.\Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1. response:	We finally got our hand on one of these things,
context: Communications gear unusable. No spare air, either.\The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things, response:	so why aren't we allowed to pilot it?
context: The conclusion I'm led to is...\What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it? response:	They say that no one but those students can pilot them.
context: What am I thinking?\It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them. response:	Come on, that's a lie.
context: It's not like I have a reason to live.\This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie. response:	I saw Captain Cain piloting one.
context: This is Captain Cain of the Dorssian Lunar Orbital Forces,\tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one. response:	Oh, you did?
context: tasked with the extermination of the Class 7 Special Hazard Organisms.\We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did? response:	So, this is a Valvrave. I've never seen one up close before.
context: We will now tow Module 77 to Dorssia Sphere 1.\We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before. response:	What do you say? Would you care to try piloting it?
context: We finally got our hand on one of these things,\so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it? response:	I do wish you would relax.
context: so why aren't we allowed to pilot it?\They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax. response:	As long as we are following Council policy
context: They say that no one but those students can pilot them.\Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy response:	of keeping the Magiuses a secret, we are friends.
context: Come on, that's a lie.\I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends. response:	Friends?
context: I saw Captain Cain piloting one.\Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends? response:	Yes. Friends.
context: Oh, you did?\So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends. response:	It is an enemy machine, but it is a thing of beauty.
context: So, this is a Valvrave. I've never seen one up close before.\What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty. response:	Quit screwing around, Sashinami!
context: What do you say? Would you care to try piloting it?\I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami! response:	As long as we have no proof that you're
context: I do wish you would relax.\As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're response:	human, I can't let you aboard this shuttle.
context: As long as we are following Council policy\of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle. response:	Don't give me that crap!
context: of keeping the Magiuses a secret, we are friends.\Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap! response:	What do you think Inuzuka-senpai was trying to prove when he protected you?!
context: Friends?\Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?! response:	And I'm grateful to him. But I can't accept your whole story yet.
context: Yes. Friends.\It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet. response:	You stubborn broad!
context: It is an enemy machine, but it is a thing of beauty.\Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad! response:	There are a lot of people that I have to keep safe!
context: Quit screwing around, Sashinami!\As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe! response:	You betrayed our trust. Do you have any idea how much Haruto
context: As long as we have no proof that you're\human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto response:	Come on, that's enough!
context: human, I can't let you aboard this shuttle.\Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough! response:	But she's
context: Don't give me that crap!\What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's response:	Sashinami made the call that she had to make as a leader, that's all.
context: What do you think Inuzuka-senpai was trying to prove when he protected you?!\And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all. response:	Yamada, did you have a better idea at the time?
context: And I'm grateful to him. But I can't accept your whole story yet.\You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time? response:	I didn't have any choice.
context: You stubborn broad!\There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice. response:	How can I trust someone who lied to me?
context: There are a lot of people that I have to keep safe!\You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me? response:	This one's no good, either?
context: You betrayed our trust. Do you have any idea how much Haruto\Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either? response:	If I can pick up a different satellite, maybe we can
context: Come on, that's enough!\But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can response:	You're wasting your time.
context: But she's\Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time. response:	30 minutes of air left, huh?
context: Sashinami made the call that she had to make as a leader, that's all.\Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh? response:	Saki Rukino. You were there too, weren't you?
context: Yamada, did you have a better idea at the time?\I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you? response:	The person who shot my eye out was...
context: I didn't have any choice.\How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was... response:	It's exactly as you imagine.
context: How can I trust someone who lied to me?\This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine. response:	The L-elf who shot out your eye was body-jacked at the time.
context: This one's no good, either?\If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time. response:	Just as I thought. L-elf, you...
context: If I can pick up a different satellite, maybe we can\You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you... response:	This country has changed.
context: You're wasting your time.\30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed. response:	The Dorssia Military Pact Federation...
context: 30 minutes of air left, huh?\Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation... response:	Initially, it was an organization dedicated to military mutual
context: Saki Rukino. You were there too, weren't you?\The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual response:	assistance meant to stand up to more developed countries.
context: The person who shot my eye out was...\It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries. response:	But now, it's a political power player that pursues interests
context: It's exactly as you imagine.\The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests response:	and power just as much as ARUS. No, even more so.
context: The L-elf who shot out your eye was body-jacked at the time.\Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so. response:	A former prince certainly has a higher perspective on such matters.
context: Just as I thought. L-elf, you...\This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters. response:	It is not because I am royalty that I am lamenting that fact.
context: This country has changed.\The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact. response:	It is because I am a Dorssian citizen.
context: The Dorssia Military Pact Federation...\Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen. response:	That, L-elf, is why I am gathering power with the intent of liberating Dorssia.
context: Initially, it was an organization dedicated to military mutual\assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia. response:	I know full well that it is a grandiose dream. Nevertheless...
context: assistance meant to stand up to more developed countries.\But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless... response:	No, it's not that, A-drei.
context: But now, it's a political power player that pursues interests\and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei. response:	I'm laughing because I plan to liberate it, too.
context: and power just as much as ARUS. No, even more so.\A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too. response:	I was the one who lost faith.
context: A former prince certainly has a higher perspective on such matters.\It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith. response:	L-elf. I found a signal flare!
context: It is not because I am royalty that I am lamenting that fact.\It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare! response:	You can repair it, can't you? We can use this to call for help.
context: It is because I am a Dorssian citizen.\That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help. response:	Impossible. Not without a piezoelectric fuse.
context: That, L-elf, is why I am gathering power with the intent of liberating Dorssia.\I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse. response:	You want to be rescued?
context: I know full well that it is a grandiose dream. Nevertheless...\No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued? response:	Why are you trying to survive?
context: No, it's not that, A-drei.\I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive? response:	Because all our schoolmates are in danger!
context: I'm laughing because I plan to liberate it, too.\I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger! response:	We have to get back there right away!
context: I was the one who lost faith.\L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away! response:	You're still spewing that nonsense?
context: L-elf. I found a signal flare!\You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense? response:	You've been abandoned.
context: You can repair it, can't you? We can use this to call for help.\Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned. response:	By even Shoko Sashinami.
context: Impossible. Not without a piezoelectric fuse.\You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami. response:	The only ones who eat humans are you and the other monsters!
context: You want to be rescued?\Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters! response:	Don't touch me, you liar!
context: Why are you trying to survive?\Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar! response:	All this time... You've been lying to me.
context: Because all our schoolmates are in danger!\We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me. response:	Y-You're wrong!
context: We have to get back there right away!\You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong! response:	It... it was because Shoko's the prime minister!
context: You're still spewing that nonsense?\You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister! response:	That's why she
context: You've been abandoned.\By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she response:	Learn when to give up!
context: By even Shoko Sashinami.\The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she\Learn when to give up! response:	Haruto Tokishima. There's no going back to the way things were.
context: The only ones who eat humans are you and the other monsters!\Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were. response:	You are a monster! An enemy of humanity!
context: Don't touch me, you liar!\All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity! response:	You're wrong!
context: All this time... You've been lying to me.\Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong! response:	You're the enemy of Shoko Sashinami!
context: Y-You're wrong!\It... it was because Shoko's the prime minister!\That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami! response:	You're wrong!
context: It... it was because Shoko's the prime minister!\That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong! response:	How am I wrong? Face reality!
context: That's why she\Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality! response:	You're the ones who created that reality!
context: Learn when to give up!\Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality! response:	This all happened because you attacked us!
context: Haruto Tokishima. There's no going back to the way things were.\You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality!\This all happened because you attacked us! response:	Don't try to shift the blame! Every choice was made by you!
context: You are a monster! An enemy of humanity!\You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality!\This all happened because you attacked us!\Don't try to shift the blame! Every choice was made by you! response:	Crap!
context: You're wrong!\You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality!\This all happened because you attacked us!\Don't try to shift the blame! Every choice was made by you!\Crap! response:	All I do is lose people that are precious to me!
context: You're the enemy of Shoko Sashinami!\You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality!\This all happened because you attacked us!\Don't try to shift the blame! Every choice was made by you!\Crap!\All I do is lose people that are precious to me! response:	Inuzuka-senpai, Marie, even Aina-chan!
context: You're wrong!\How am I wrong? Face reality!\You're the ones who created that reality!\This all happened because you attacked us!\Don't try to shift the blame! Every choice was made by you!\Crap!\All I do is lose people that are precious to me!\Inuzuka-senpai, Marie, even Aina-chan! response:	All because... All because of you!
