context: All right, homeroom's over! response:	Okay, guys, give it your all today!
context: The day they announced what class we'd be in, this one was so happy she was in tears.\Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri! response:	I knew it, you couldn't bear to be separated from me
context: Ruri!\You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me response:	Could you like, shut up for a second?
context: You really are a sweetheart, Onodera!\Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second? response:	If only they'd assigned you alone to another class,
context: Isn't it great that we even have the same seats?\What's so great about that?\Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class, response:	we'd have nothing to complain about.
context: What's so great about that?\Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about. response:	Seishiro, as usual, you're being perverse.
context: Really, Ruri!\Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse. response:	I wish that Kirisaki had been assigned to another class, too.
context: Oh, I get it!\Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too. response:	Why don't you go?
context: Because you're sitting near me, Ruri!\I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go? response:	The way I see it,
context: I knew it, you couldn't bear to be separated from me\Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it, response:	there are even more hot ladies in this class, so I'm satisfied!
context: Could you like, shut up for a second?\If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied! response:	Why, you...
context: If only they'd assigned you alone to another class,\we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you... response:	June 3, On Duty: Raku Ichijo, Ruri Miyamoto
context: we'd have nothing to complain about.\Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto response:	Hey, who's on duty today?
context: Seishiro, as usual, you're being perverse.\I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today? response:	There are some handouts leftover!
context: I wish that Kirisaki had been assigned to another class, too.\Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover! response:	Who was it today?
context: Why don't you go?\The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover!\Who was it today? response:	Totally forgot about it.
context: The way I see it,\there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover!\Who was it today?\Totally forgot about it. response:	Yeah.
context: there are even more hot ladies in this class, so I'm satisfied!\Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover!\Who was it today?\Totally forgot about it.\Yeah. response:	Anyway, isn't there anything you can do about that cohort of yours?
context: Why, you...\June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover!\Who was it today?\Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours? response:	He's altogether too lacking in scruples.
context: June 3, On Duty: Raku Ichijo, Ruri Miyamoto\Hey, who's on duty today?\There are some handouts leftover!\Who was it today?\Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples. response:	He's been like that as long as I can remember, so...
context: Hey, who's on duty today?\There are some handouts leftover!\Who was it today?\Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so... response:	It must be hard on you, too.
context: There are some handouts leftover!\Who was it today?\Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too. response:	Well, although whoever that moron's crushing on should be pitied as well.
context: Who was it today?\Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well. response:	Wait...
context: Totally forgot about it.\Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait... response:	Do you know who it is?
context: Yeah.\Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is? response:	Who that guy has a crush on?
context: Anyway, isn't there anything you can do about that cohort of yours?\He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is?\Who that guy has a crush on? response:	What are you talking about?
context: He's altogether too lacking in scruples.\He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is?\Who that guy has a crush on?\What are you talking about? response:	Support
context: He's been like that as long as I can remember, so...\It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is?\Who that guy has a crush on?\What are you talking about?\Support response:	Hey, it isn't fair for you to know who I like and not vice-versa.
context: It must be hard on you, too.\Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is?\Who that guy has a crush on?\What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa. response:	Hey, so who is it? This girl that you like?
context: Well, although whoever that moron's crushing on should be pitied as well.\Wait...\Do you know who it is?\Who that guy has a crush on?\What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like? response:	All right, time for a quiz!
context: Wait...\Do you know who it is?\Who that guy has a crush on?\What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz! response:	Who is the girl that I like?
context: Do you know who it is?\Who that guy has a crush on?\What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like? response:	Well, how should I know?
context: Who that guy has a crush on?\What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like?\Well, how should I know? response:	Wait. Could it be...?
context: What are you talking about?\Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like?\Well, how should I know?\Wait. Could it be...? response:	You said you got two Valentine's chocolates.
context: Support\Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like?\Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates. response:	Could it be one of them?
context: Hey, it isn't fair for you to know who I like and not vice-versa.\Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like?\Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them? response:	Bingo! Bingo! Right on the money!
context: Hey, so who is it? This girl that you like?\All right, time for a quiz!\Who is the girl that I like?\Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money! response:	For real? So I nailed it just like that?
context: All right, time for a quiz!\Who is the girl that I like?\Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that? response:	Yeah, but which is the right answer?
context: Who is the girl that I like?\Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer? response:	Well, I'd hate to give either one up.
context: Well, how should I know?\Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up. response:	One is a pure, cool beauty,
context: Wait. Could it be...?\You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty, response:	while the other is a perky, active beauty with dyed blond hair, so...
context: You said you got two Valentine's chocolates.\Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so... response:	Then is it Tanaka from Class D, the girl you sometimes talk to?
context: Could it be one of them?\Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to? response:	Bingo! Bingo! Right on the money!
context: Bingo! Bingo! Right on the money!\For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money! response:	Tanaka-cchi's a fine gal, too. So broad-minded and all...
context: For real? So I nailed it just like that?\Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all... response:	Jeez. You're not even gonna give me a straight answer.
context: Yeah, but which is the right answer?\Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer. response:	No, no, I'm dead serious, you know.
context: Well, I'd hate to give either one up.\One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know. response:	It's just that my love and respect for women is far too overpowering!
context: One is a pure, cool beauty,\while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering! response:	As a male high school student, that's something to be proud of!
context: while the other is a perky, active beauty with dyed blond hair, so...\Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of! response:	You keep getting clobbered because you go around spewing stuff like that.
context: Then is it Tanaka from Class D, the girl you sometimes talk to?\Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that. response:	Is there some reason why you can't tell me?
context: Bingo! Bingo! Right on the money!\Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me? response:	No, it's not like that, really.
context: Tanaka-cchi's a fine gal, too. So broad-minded and all...\Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really. response:	But just like you have your own way of conducting romance,
context: Jeez. You're not even gonna give me a straight answer.\No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance, response:	I, too, have my own way. That's all.
context: No, no, I'm dead serious, you know.\It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all. response:	I think you'll be fine carrying on like you always have.
context: It's just that my love and respect for women is far too overpowering!\As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have. response:	I mean, it's so entertaining for those of us observing.
context: As a male high school student, that's something to be proud of!\You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing. response:	Hey, you're making fun of me, aren't you?
context: You keep getting clobbered because you go around spewing stuff like that.\Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you? response:	And besides, in my case,
context: Is there some reason why you can't tell me?\No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case, response:	my target is an unattainable flower, way beyond my reach.
context: No, it's not like that, really.\But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach. response:	Whoops! Was that too big a hint?
context: But just like you have your own way of conducting romance,\I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint? response:	Well, never mind about me!
context: I, too, have my own way. That's all.\I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me! response:	Good luck to you in your endeavors!
context: I think you'll be fine carrying on like you always have.\I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors! response:	Hey, wait! Hey, we're not done talking yet!
context: I mean, it's so entertaining for those of us observing.\Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet! response:	Hello, Seishiro!
context: Hey, you're making fun of me, aren't you?\And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro! response:	Would you be so kind as to give me an American-style hug?
context: And besides, in my case,\my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug? response:	Seriously. Is he like that year-round?
context: my target is an unattainable flower, way beyond my reach.\Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round? response:	Hey, Tsugumi.
context: Whoops! Was that too big a hint?\Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi. response:	What's up?
context: Well, never mind about me!\Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up? response:	Unattainable flower, huh?
context: Good luck to you in your endeavors!\Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up?\Unattainable flower, huh? response:	Wh-What is it? Don't stare at me like that!
context: Hey, wait! Hey, we're not done talking yet!\Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that! response:	Listen, has anyone ever said you were like a flower?
context: Hello, Seishiro!\Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower? response:	What kind of drivel is that, all of a sudden?
context: Would you be so kind as to give me an American-style hug?\Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden? response:	Listen, what would you do if you fell in love with someone?
context: Seriously. Is he like that year-round?\Hey, Tsugumi.\What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone? response:	Hey... Hey, hold up! What the hell are you talking about?!
context: Hey, Tsugumi.\What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?! response:	For example, if he were someone unattainable...
context: What's up?\Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable... response:	Someone you could never hope would love you back, what would you do?
context: Unattainable flower, huh?\Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do? response:	Hey, my bad!
context: Wh-What is it? Don't stare at me like that!\Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad! response:	Come to think of it, you haven't experienced first love yet, right?
context: Listen, has anyone ever said you were like a flower?\What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right? response:	Sorry to ask such an awkward question.
context: What kind of drivel is that, all of a sudden?\Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question. response:	I'd probably hide it...
context: Listen, what would you do if you fell in love with someone?\Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it... response:	I'd never tell a soul how I felt, and never tell him either...
context: Hey... Hey, hold up! What the hell are you talking about?!\For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either... response:	and I would go on hiding it until the day that romance ended.
context: For example, if he were someone unattainable...\Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended. response:	W-Well, but I have no experience in any of that, so I have no idea!
context: Someone you could never hope would love you back, what would you do?\Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea! response:	Needless to say!
context: Hey, my bad!\Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say! response:	Hmm, is that right?
context: Come to think of it, you haven't experienced first love yet, right?\Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say!\Hmm, is that right? response:	But that sounded like the opinion of a grownup with tons of experience.
context: Sorry to ask such an awkward question.\I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say!\Hmm, is that right?\But that sounded like the opinion of a grownup with tons of experience. response:	You girls really are incredible. I think I underestimated you.
context: I'd probably hide it...\I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say!\Hmm, is that right?\But that sounded like the opinion of a grownup with tons of experience.\You girls really are incredible. I think I underestimated you. response:	Did you?
context: I'd never tell a soul how I felt, and never tell him either...\and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say!\Hmm, is that right?\But that sounded like the opinion of a grownup with tons of experience.\You girls really are incredible. I think I underestimated you.\Did you? response:	Well, not that it makes me happy to hear praise from you!
context: and I would go on hiding it until the day that romance ended.\W-Well, but I have no experience in any of that, so I have no idea!\Needless to say!\Hmm, is that right?\But that sounded like the opinion of a grownup with tons of experience.\You girls really are incredible. I think I underestimated you.\Did you?\Well, not that it makes me happy to hear praise from you! response:	But Tsugumi, if you really wanted to,
