context: Is Natsu okay? response:	There's nothing to worry about with him.
context: and just barely placed eighth, qualifying them for the actual Games.\The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot, response:	Natsu, representing Fairy Tail, finally got two points.
context: The Grand Magic Games began.\Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points. response:	Then the battle part began.
context: Between the competition part on the first day, Hidden, and the battle part,\Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began. response:	Super Paralysis Claw Mega Mega Jellyfish!
context: Natsu and his compatriots were shut out, gaining zero points.\Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish! response:	He disappeared!
context: Zero points? That makes it fun, don't ya think?\We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared! response:	Sand Rebellion!
context: We're gonna turn it around from this point on.\Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion! response:	You're strong.
context: Yeah! I'm fired up!\In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion!\You're strong. response:	You're tough, too.
context: In the competition of the second day, Chariot,\Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion!\You're strong.\You're tough, too. response:	Blacksnake's a cool name!
context: Natsu, representing Fairy Tail, finally got two points.\Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion!\You're strong.\You're tough, too.\Blacksnake's a cool name! response:	It's not my real name...
context: Then the battle part began.\Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion!\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name... response:	It's not your real name?!
context: Super Paralysis Claw Mega Mega Jellyfish!\He disappeared!\Sand Rebellion!\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?! response:	That ticks you off?
context: He disappeared!\Sand Rebellion!\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off? response:	You! If I win, you're tellin' me your real name!
context: Sand Rebellion!\You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name! response:	That's fine, but what if I win?
context: You're strong.\You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win? response:	I'll tell you a secret about myself!
context: You're tough, too.\Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself! response:	That sounds interesting.
context: Blacksnake's a cool name!\It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting. response:	Apparently, they've made a weird bet.
context: It's not my real name...\It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet. response:	I'm not interested in learning either one, though...
context: It's not your real name?!\That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though... response:	Cool!
context: That ticks you off?\You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool! response:	A bet?
context: You! If I win, you're tellin' me your real name!\That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet? response:	I like the sound of that...
context: That's fine, but what if I win?\I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that... response:	Why, you! C'mere! Fangface!
context: I'll tell you a secret about myself!\That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface! response:	Toby's down! And he's not getting back up!
context: That sounds interesting.\Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up! response:	The match is over!
context: Apparently, they've made a weird bet.\I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over! response:	The winner is Blacksnake of Raven Tail!
context: I'm not interested in learning either one, though...\Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail! response:	He's strong...
context: Cool!\A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail!\He's strong... response:	Yeah. And I don't think he was really trying hard.
context: A bet?\I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard. response:	Even without the dirty tricks, they've got strong people on their team.
context: I like the sound of that...\Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team. response:	This brings Raven Tail up to 36 points.
context: Why, you! C'mere! Fangface!\Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points. response:	And Lamia Scale has...
context: Toby's down! And he's not getting back up!\The match is over!\The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has... response:	Cool!
context: The match is over!\The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool! response:	So, what's your secret?
context: The winner is Blacksnake of Raven Tail!\He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool!\So, what's your secret? response:	My socks...
context: He's strong...\Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool!\So, what's your secret?\My socks... response:	I can't find one of them...
context: Yeah. And I don't think he was really trying hard.\Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool!\So, what's your secret?\My socks...\I can't find one of them... response:	Even though I've been searching for it for the past three months,
context: Even without the dirty tricks, they've got strong people on their team.\This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool!\So, what's your secret?\My socks...\I can't find one of them...\Even though I've been searching for it for the past three months, response:	I can't find it for some reason...
context: This brings Raven Tail up to 36 points.\And Lamia Scale has...\Cool!\So, what's your secret?\My socks...\I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason... response:	I couldn't bring myself to tell anyone...
context: And Lamia Scale has...\Cool!\So, what's your secret?\My socks...\I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone... response:	It was right here all this time?!
context: Cool!\So, what's your secret?\My socks...\I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?! response:	You're a nice guy.
context: So, what's your secret?\My socks...\I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy. response:	I found it at last!
context: My socks...\I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy.\I found it at last! response:	Yajima-san, what do you think...?
context: I can't find one of them...\Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy.\I found it at last!\Yajima-san, what do you think...? response:	No comment.
context: Even though I've been searching for it for the past three months,\I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy.\I found it at last!\Yajima-san, what do you think...?\No comment. response:	Cool! Cool!
context: I can't find it for some reason...\I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy.\I found it at last!\Yajima-san, what do you think...?\No comment.\Cool! Cool! response:	Good for you, dog-like guy!
context: I couldn't bring myself to tell anyone...\It was right here all this time?!\You're a nice guy.\I found it at last!\Yajima-san, what do you think...?\No comment.\Cool! Cool!\Good for you, dog-like guy! response:	Unbelievably, I'm a little touched by this!
context: It was right here all this time?!\You're a nice guy.\I found it at last!\Yajima-san, what do you think...?\No comment.\Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this! response:	Um...
context: You're a nice guy.\I found it at last!\Yajima-san, what do you think...?\No comment.\Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um... response:	Spin!
context: I found it at last!\Yajima-san, what do you think...?\No comment.\Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um...\Spin! response:	Oh, my!
context: Yajima-san, what do you think...?\No comment.\Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um...\Spin!\Oh, my! response:	The two congratulate each other on a good fight and shake hands...
context: No comment.\Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um...\Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands... response:	Or rather, they don't!
context: Cool! Cool!\Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um...\Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't! response:	That was cruel! Too cruel!
context: Good for you, dog-like guy!\Unbelievably, I'm a little touched by this!\Um...\Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel! response:	It's my nature to want to destroy something precious.
context: Unbelievably, I'm a little touched by this!\Um...\Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious. response:	You won't get away with this!
context: Um...\Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this! response:	I'll spin you!
context: Spin!\Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you! response:	Me again?!
context: Oh, my!\The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you!\Me again?! response:	What's his deal?!
context: The two congratulate each other on a good fight and shake hands...\Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you!\Me again?!\What's his deal?! response:	There's a man with a sick sense of humor!
context: Or rather, they don't!\That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you!\Me again?!\What's his deal?!\There's a man with a sick sense of humor! response:	That's the true nature of Raven Tail.
context: That was cruel! Too cruel!\It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you!\Me again?!\What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail. response:	Nasty...
context: It's my nature to want to destroy something precious.\You won't get away with this!\I'll spin you!\Me again?!\What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty... response:	I don't even know what Ivan's thinkin'...
context: You won't get away with this!\I'll spin you!\Me again?!\What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'... response:	I bet he was just being malicious, plain and simple!
context: I'll spin you!\Me again?!\What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple! response:	Okay, let's get back on track with today's second match!
context: Me again?!\What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match! response:	From Quatro Cerberus, Bacchus!
context: What's his deal?!\There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus! response:	Versus an opponent from Fairy Tail A...
context: There's a man with a sick sense of humor!\That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A... response:	Us?
context: That's the true nature of Raven Tail.\Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us? response:	What do we do if they announce Natsu?!
context: Nasty...\I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?! response:	I'll slap him awake.
context: I don't even know what Ivan's thinkin'...\I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?!\I'll slap him awake. response:	That Bacchus guy... He's on the same level as you, right, Erza?
context: I bet he was just being malicious, plain and simple!\Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza? response:	There he is!
context: Okay, let's get back on track with today's second match!\From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is! response:	I don't care who does it, but somebody avenge me!
context: From Quatro Cerberus, Bacchus!\Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me! response:	Calm down, Cana...
context: Versus an opponent from Fairy Tail A...\Us?\What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana... response:	If it's Gray-sama, he'll win with ease.
context: Us?\What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease. response:	You did set it up as I asked?
context: What do we do if they announce Natsu?!\I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked? response:	Yes, Your Highness.
context: I'll slap him awake.\That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness. response:	I can't wait! Bacchus versus Erza!
context: That Bacchus guy... He's on the same level as you, right, Erza?\There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza! response:	This is definitely going to be one great match!
context: There he is!\I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match! response:	D-Did you just say Erza?
context: I don't care who does it, but somebody avenge me!\Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza? response:	I-I paired him up against...
context: Calm down, Cana...\If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against... response:	Elfman!
context: If it's Gray-sama, he'll win with ease.\You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against...\Elfman! response:	What?!
context: You did set it up as I asked?\Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against...\Elfman!\What?! response:	Elfman?!
context: Yes, Your Highness.\I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against...\Elfman!\What?!\Elfman?! response:	Elf-nii-chan?!
context: I can't wait! Bacchus versus Erza!\This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against...\Elfman!\What?!\Elfman?!\Elf-nii-chan?! response:	It's over!
context: This is definitely going to be one great match!\D-Did you just say Erza?\I-I paired him up against...\Elfman!\What?!\Elfman?!\Elf-nii-chan?!\It's over! response:	That's a terrible thing to say!
context: D-Did you just say Erza?\I-I paired him up against...\Elfman!\What?!\Elfman?!\Elf-nii-chan?!\It's over!\That's a terrible thing to say! response:	Make us proud!
context: I-I paired him up against...\Elfman!\What?!\Elfman?!\Elf-nii-chan?!\It's over!\That's a terrible thing to say!\Make us proud! response:	The only thing we can do now is win!
context: Elfman!\What?!\Elfman?!\Elf-nii-chan?!\It's over!\That's a terrible thing to say!\Make us proud!\The only thing we can do now is win! response:	Y-Yeah...
context: What?!\Elfman?!\Elf-nii-chan?!\It's over!\That's a terrible thing to say!\Make us proud!\The only thing we can do now is win!\Y-Yeah... response:	Elfman vs. Bacchus!
context: Elfman?!\Elf-nii-chan?!\It's over!\That's a terrible thing to say!\Make us proud!\The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus! response:	I wanted to see Bacchus versus Erza!
context: Elf-nii-chan?!\It's over!\That's a terrible thing to say!\Make us proud!\The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza! response:	I apologize.
context: It's over!\That's a terrible thing to say!\Make us proud!\The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize. response:	Fairy Tale's, um... The one that transforms...
context: That's a terrible thing to say!\Make us proud!\The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms... response:	I can't remember the name. It starts with E...
context: Make us proud!\The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E... response:	I made a mistake...
context: The only thing we can do now is win!\Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake... response:	This won't be any kind of fight!
context: Y-Yeah...\Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight! response:	Clearly, Bacchus will annihilate him!
context: Elfman vs. Bacchus!\I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him! response:	P-Probably...
context: I wanted to see Bacchus versus Erza!\I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably... response:	Good luck, Fairy Tail!
context: I apologize.\Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail! response:	But if his opponent is Bacchus...
context: Fairy Tale's, um... The one that transforms...\I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail!\But if his opponent is Bacchus... response:	Hey, how about you and me make a bet like those last guys did?
context: I can't remember the name. It starts with E...\I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail!\But if his opponent is Bacchus...\Hey, how about you and me make a bet like those last guys did? response:	Both of your sisters are delightful dishes...
context: I made a mistake...\This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail!\But if his opponent is Bacchus...\Hey, how about you and me make a bet like those last guys did?\Both of your sisters are delightful dishes... response:	What do you wanna say?
context: This won't be any kind of fight!\Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail!\But if his opponent is Bacchus...\Hey, how about you and me make a bet like those last guys did?\Both of your sisters are delightful dishes...\What do you wanna say? response:	It's an old story.
context: Clearly, Bacchus will annihilate him!\P-Probably...\Good luck, Fairy Tail!\But if his opponent is Bacchus...\Hey, how about you and me make a bet like those last guys did?\Both of your sisters are delightful dishes...\What do you wanna say?\It's an old story. response:	If I win, they're mine.
