context: Aah... response:	Another peaceful day...
context: My Younger Sister is My Girlfriend (BOOM!)\Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex. response:	DAZZLE!
context: Or, YoungBOOM! for short.\Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE! response:	You stood in line for this?
context: Hold on, Sensei. Who is this person?\Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this? response:	It was a pre-order.
context: Sensei?!\Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this?\It was a pre-order. response:	Ooh! Is this girl the main heroine?
context: Uh, this is my friend, Kirie.\F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine? response:	YoungBOOM! has a famous voice actress for each
context: F-f-friend...?\This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each response:	of the younger sister roles, so there is no main.
context: This is Alex. He works with my brother.\It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main. response:	However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.
context: It's a pleasure. Please, call me Alex.\DAZZLE!\You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now. response:	So, naturally, she's become a favorite character.
context: DAZZLE!\You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character. response:	They've already started selling merchandise for this character online.
context: You stood in line for this?\It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online. response:	Ah! We've got some options!
context: It was a pre-order.\Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options! response:	Um... B, maybe?
context: Ooh! Is this girl the main heroine?\YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe? response:	Otherwise, people will think will that we're classmates.
context: YoungBOOM! has a famous voice actress for each\of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates. response:	Her voice is great, isn't it?
context: of the younger sister roles, so there is no main.\However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it? response:	Even better than on her last show.
context: However! This character, Hikari, is based on the famous actor Hikaru Kongo, who's really popular right now.\So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show. response:	She does a good job of not sounding too lovey-dovey, huh?
context: So, naturally, she's become a favorite character.\They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh? response:	What should I do? I can't keep up with what they're saying!
context: They've already started selling merchandise for this character online.\Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying! response:	Kirie?
context: Ah! We've got some options!\Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie? response:	Oh, no! I'm the only one who can't follow the conversation!
context: Um... B, maybe?\Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation! response:	I can't have the Master scolding me for it!
context: Otherwise, people will think will that we're classmates.\Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it! response:	Ah! There she is, in the hallway!
context: Her voice is great, isn't it?\Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway! response:	Hmm... this is a tough one, isn't it?
context: Even better than on her last show.\She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it? response:	Well, I guess we should go with C.
context: She does a good job of not sounding too lovey-dovey, huh?\What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C. response:	These types tend to be shy, so I doubt they'd enjoy being spoken to at school.
context: What should I do? I can't keep up with what they're saying!\Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school. response:	SHY?!
context: Kirie?\Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?! response:	Look, it's Motoba!
context: Oh, no! I'm the only one who can't follow the conversation!\I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba! response:	Ah! It is!
context: I can't have the Master scolding me for it!\Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba!\Ah! It is! response:	Her gaze is as sharp as ever, huh? Ah! It is!
context: Ah! There she is, in the hallway!\Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is! response:	Her gaze is as sharp as ever, huh?
context: Hmm... this is a tough one, isn't it?\Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh? response:	Motoba!
context: Well, I guess we should go with C.\These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba! response:	I think... A would be a good choice.
context: These types tend to be shy, so I doubt they'd enjoy being spoken to at school.\SHY?!\Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice. response:	A - Talk to her?
context: SHY?!\Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice.\A - Talk to her? response:	In my experience, that makes your Favorability Rating go down...
context: Look, it's Motoba!\Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down... response:	I-in any case, pretending you didn't see her is out of the question!
context: Ah! It is!\Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question! response:	So... shall we save the game and try both options?
context: Her gaze is as sharp as ever, huh? Ah! It is!\Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options? response:	Um... s-sure.
context: Her gaze is as sharp as ever, huh?\Motoba!\I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure. response:	Hey... c'mon, don't talk to me at school.
context: Motoba!\I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school. response:	Enough's enough. You can't just ignore me!
context: I think... A would be a good choice.\A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me! response:	Ka-poww!
context: A - Talk to her?\In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww! response:	I-I did it!
context: In my experience, that makes your Favorability Rating go down...\I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it! response:	Motoba!
context: I-in any case, pretending you didn't see her is out of the question!\So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it!\Motoba! response:	Thank you for always spending time with my younger sister.
context: So... shall we save the game and try both options?\Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it!\Motoba!\Thank you for always spending time with my younger sister. response:	Motoba... you want to go home together?
context: Um... s-sure.\Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it!\Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together? response:	Did you buy a new game?
context: Hey... c'mon, don't talk to me at school.\Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it!\Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game? response:	It's Chomp Chomp Watching!
context: Enough's enough. You can't just ignore me!\Ka-poww!\I-I did it!\Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching! response:	Oh, I've heard of that. They're always running commercials for it.
context: Ka-poww!\I-I did it!\Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it. response:	Chomp, chomp! Watching'em chomp and chomp!
context: I-I did it!\Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp! response:	Chomp, chomp! Chomp, chomp!
context: Motoba!\Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp! response:	I've gotta keep up with the new trends, so I've had my eye on this for a while now!
context: Thank you for always spending time with my younger sister.\Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now! response:	This game is for kids, so I can finish it by tomorrow!
context: Motoba... you want to go home together?\Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow! response:	Be sure to take breaks, though.
context: Did you buy a new game?\It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though. response:	I've already gotten the hang of this thing.
context: It's Chomp Chomp Watching!\Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing. response:	This sure does have a lot of side quests...
context: Oh, I've heard of that. They're always running commercials for it.\Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests... response:	I'm ho... Huh?!
context: Chomp, chomp! Watching'em chomp and chomp!\Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?! response:	Umaru, you're still playing that game?
context: Chomp, chomp! Chomp, chomp!\I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game? response:	Yeah. I can't find any of the super rare items...
context: I've gotta keep up with the new trends, so I've had my eye on this for a while now!\This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items... response:	Your eyes look straight-up DEAD! How long have you been playing that today?
context: This game is for kids, so I can finish it by tomorrow!\Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today? response:	Uh... about 10 hours.
context: Be sure to take breaks, though.\I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours. response:	Come to think of it, she had the same look when she played that social-network game for an entire day...
context: I've already gotten the hang of this thing.\This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day... response:	Once she gets into it, she just can't stop, huh?
context: This sure does have a lot of side quests...\I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh? response:	Well, she'll probably get tired of it soon.
context: I'm ho... Huh?!\Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon. response:	Woo-hoo! This week's JUMPU is awesome!
context: Umaru, you're still playing that game?\Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome! response:	Don't play games while you're eating! And you're using the touch pen to eat!
context: Yeah. I can't find any of the super rare items...\Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat! response:	Go to sleep!
context: Your eyes look straight-up DEAD! How long have you been playing that today?\Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep! response:	Get up!
context: Uh... about 10 hours.\Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up! response:	Get out already! GET OUT!
context: Come to think of it, she had the same look when she played that social-network game for an entire day...\Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up!\Get out already! GET OUT! response:	It looks like more and more people are playing this game way too much...
context: Once she gets into it, she just can't stop, huh?\Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much... response:	Good morning.
context: Well, she'll probably get tired of it soon.\Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning. response:	Alex! This isn't good at all! It's already 10:00!
context: Woo-hoo! This week's JUMPU is awesome!\Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00! response:	I'm sorry. I just couldn't find any super rare items...
context: Don't play games while you're eating! And you're using the touch pen to eat!\Go to sleep!\Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items... response:	Th-this game is bad news. I have to do something, and fast!
context: Go to sleep!\Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast! response:	A way to make someone... quit the game?
context: Get up!\Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game? response:	Yeah. One of our junior workers is playing it too much, and it's gotten me worried.
context: Get out already! GET OUT!\It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried. response:	The truth is, this is about Umaru...
context: It looks like more and more people are playing this game way too much...\Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru... response:	I don't really play games, so I don't know that much about them.
context: Good morning.\Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them. response:	I'm sorry, but I don't play them either.
context: Alex! This isn't good at all! It's already 10:00!\I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either. response:	Huh? Really?
context: I'm sorry. I just couldn't find any super rare items...\Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really? response:	Ah! Still, if there's something I really like...
context: Th-this game is bad news. I have to do something, and fast!\A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like... response:	I'm sure I won't be able to stop myself.
context: A way to make someone... quit the game?\Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like...\I'm sure I won't be able to stop myself. response:	I-I-I'm sorry!
context: Yeah. One of our junior workers is playing it too much, and it's gotten me worried.\The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like...\I'm sure I won't be able to stop myself.\I-I-I'm sorry! response:	This is no help at all, is it?
context: The truth is, this is about Umaru...\I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like...\I'm sure I won't be able to stop myself.\I-I-I'm sorry!\This is no help at all, is it? response:	That's not true.
context: I don't really play games, so I don't know that much about them.\I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like...\I'm sure I won't be able to stop myself.\I-I-I'm sorry!\This is no help at all, is it?\That's not true. response:	Thank you, Ebina.
context: I'm sorry, but I don't play them either.\Huh? Really?\Ah! Still, if there's something I really like...\I'm sure I won't be able to stop myself.\I-I-I'm sorry!\This is no help at all, is it?\That's not true.\Thank you, Ebina. response:	Umaru!
