context: All right, let's go. response:	We'll split up here.
context: Apparently he's an Awakened Child created by HQ.\What?\Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san? response:	Just stories.
context: What?\Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories. response:	I heard that it's so painful that people have even died.
context: Are you saying a normal kid survived that insane awakening experiment?\Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died. response:	After spending twenty years as a lackey in this organization,
context: Man...\I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization, response:	I've learned that HQ is bad news.
context: I want to be in an experiment at HQ, too.\Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news. response:	Er...
context: Don't even think about it. You'd die.\It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er... response:	What the hell do you think you guys are doing?
context: It does much worse things than just destroy your mind.\You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing? response:	Busted, huh? Should've known.
context: You know about HQ, Gen-san?\Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known. response:	What happened to your trainers?!
context: Just stories.\I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?! response:	Took them out.
context: I heard that it's so painful that people have even died.\After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?!\Took them out. response:	I can't believe they lost to some kids.
context: After spending twenty years as a lackey in this organization,\I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?!\Took them out.\I can't believe they lost to some kids. response:	We'll
context: I've learned that HQ is bad news.\Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?!\Took them out.\I can't believe they lost to some kids.\We'll response:	Don't even think about it!
context: Er...\What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?!\Took them out.\I can't believe they lost to some kids.\We'll\Don't even think about it! response:	Gen-san? Why?
context: What the hell do you think you guys are doing?\Busted, huh? Should've known.\What happened to your trainers?!\Took them out.\I can't believe they lost to some kids.\We'll\Don't even think about it!\Gen-san? Why? response:	Huh, that's unexpected. Are you sure?
context: Busted, huh? Should've known.\What happened to your trainers?!\Took them out.\I can't believe they lost to some kids.\We'll\Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure? response:	Yeah. Go.
context: What happened to your trainers?!\Took them out.\I can't believe they lost to some kids.\We'll\Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go. response:	Well, thanks.
context: Took them out.\I can't believe they lost to some kids.\We'll\Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks. response:	We won't get stabbed in the back, will we?
context: I can't believe they lost to some kids.\We'll\Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we? response:	Gen-san, why?!
context: We'll\Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?! response:	Shut up, you young'uns!
context: Don't even think about it!\Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns! response:	You don't know anything!
context: Gen-san? Why?\Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns!\You don't know anything! response:	A powerful esper and a normal human are like night and day.
context: Huh, that's unexpected. Are you sure?\Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day. response:	The difference in strength is astronomical.
context: Yeah. Go.\Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical. response:	It's not one versus ten, it's zero versus ten.
context: Well, thanks.\We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten. response:	There's no way you can win.
context: We won't get stabbed in the back, will we?\Gen-san, why?!\Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win. response:	Damn it... If only I'd awakened...
context: Gen-san, why?!\Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened... response:	Give it up.
context: Shut up, you young'uns!\You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened...\Give it up. response:	If you don't awaken the first time, there's no hope.
context: You don't know anything!\A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope. response:	Huh? Seriously?
context: A powerful esper and a normal human are like night and day.\The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously? response:	Are we going to be lackeys forever, then?
context: The difference in strength is astronomical.\It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then? response:	You're okay with that, Gen-san?!
context: It's not one versus ten, it's zero versus ten.\There's no way you can win.\Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?! response:	See? You really don't get it.
context: There's no way you can win.\Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it. response:	Claw will definitely reign over this world,
context: Damn it... If only I'd awakened...\Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world, response:	and even us lackeys will be rewarded.
context: Give it up.\If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded. response:	Right now, we just have to wait and endure...
context: If you don't awaken the first time, there's no hope.\Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure... response:	until the day of the revolution.
context: Huh? Seriously?\Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution. response:	Oh? Oh, oh, oh?
context: Are we going to be lackeys forever, then?\You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh? response:	Looks like I found a rather special door.
context: You're okay with that, Gen-san?!\See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door. response:	Maybe it's where they're keeping Ritsu and the others.
context: See? You really don't get it.\Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others. response:	I thought it was an intruder, but it's just security.
context: Claw will definitely reign over this world,\and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security. response:	What are you wandering around for?
context: and even us lackeys will be rewarded.\Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for? response:	Well, I just got a little lost.
context: Right now, we just have to wait and endure...\until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost. response:	I have a terrible sense of direction.
context: until the day of the revolution.\Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction. response:	Do your damn job.
context: Oh? Oh, oh, oh?\Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job. response:	Yeah, sorry.
context: Looks like I found a rather special door.\Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job.\Yeah, sorry. response:	I actually haven't been in this room yet.
context: Maybe it's where they're keeping Ritsu and the others.\I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet. response:	Maybe I'll just have a peek...
context: I thought it was an intruder, but it's just security.\What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek... response:	Stop.
context: What are you wandering around for?\Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop. response:	You're an impostor, aren't you?
context: Well, I just got a little lost.\I have a terrible sense of direction.\Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you? response:	I'm telling you to let me see the room,
context: I have a terrible sense of direction.\Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room, response:	small fries.
context: Do your damn job.\Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries. response:	He's one of the intruders! All of you, release your powers!
context: Yeah, sorry.\I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers! response:	Whoa. Individually, they're small fries,
context: I actually haven't been in this room yet.\Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries, response:	but they're not bad when they work together.
context: Maybe I'll just have a peek...\Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together. response:	A normal human wouldn't be able to get free.
context: Stop.\You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free. response:	You wanna keep this up until you pass out?
context: You're an impostor, aren't you?\I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out? response:	But in the end...
context: I'm telling you to let me see the room,\small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end... response:	you guys still reek of small fry!
context: small fries.\He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry! response:	So, let's see...
context: He's one of the intruders! All of you, release your powers!\Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry!\So, let's see... response:	just what's in this room...
context: Whoa. Individually, they're small fries,\but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry!\So, let's see...\just what's in this room... response:	Hey, explain.
context: but they're not bad when they work together.\A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry!\So, let's see...\just what's in this room...\Hey, explain. response:	Th-This is the awakening experiments room...
context: A normal human wouldn't be able to get free.\You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry!\So, let's see...\just what's in this room...\Hey, explain.\Th-This is the awakening experiments room... response:	These look like torture devices.
context: You wanna keep this up until you pass out?\But in the end...\you guys still reek of small fry!\So, let's see...\just what's in this room...\Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices. response:	Th-They said that experiencing pain is one way to be awakened...
context: But in the end...\you guys still reek of small fry!\So, let's see...\just what's in this room...\Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened... response:	Hmm... They're not too far off.
context: you guys still reek of small fry!\So, let's see...\just what's in this room...\Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off. response:	But, even after going through all that pain,
context: So, let's see...\just what's in this room...\Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain, response:	all you guys can do is momentarily paralyze someone as a group.
context: just what's in this room...\Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group. response:	The world really does favor the gifted.
context: Hey, explain.\Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted. response:	You guys have a better chance focusing on body building.
context: Th-This is the awakening experiments room...\These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building. response:	Oh?
context: These look like torture devices.\Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh? response:	It's not every day a ghost wanders in here.
context: Th-They said that experiencing pain is one way to be awakened...\Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here. response:	Why don't you become mine?
context: Hmm... They're not too far off.\But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here.\Why don't you become mine? response:	I'll take good care of you...
context: But, even after going through all that pain,\all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you... response:	Claw Upper Echelon: Matsuo
context: all you guys can do is momentarily paralyze someone as a group.\The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo response:	You want to own me?
context: The world really does favor the gifted.\You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me? response:	Someone dangerous just showed up...
context: You guys have a better chance focusing on body building.\Oh?\It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up... response:	Say what?
context: Oh?\It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up...\Say what? response:	You didn't find them in their cage?!
context: It's not every day a ghost wanders in here.\Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up...\Say what?\You didn't find them in their cage?! response:	Don't mess with me!
context: Why don't you become mine?\I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up...\Say what?\You didn't find them in their cage?!\Don't mess with me! response:	I told you to bring them here!
context: I'll take good care of you...\Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up...\Say what?\You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here! response:	Er, but you see...
context: Claw Upper Echelon: Matsuo\You want to own me?\Someone dangerous just showed up...\Say what?\You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here!\Er, but you see... response:	It appears they got out on their own.
context: You want to own me?\Someone dangerous just showed up...\Say what?\You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here!\Er, but you see...\It appears they got out on their own. response:	I'll kick yer ass if yer talking out of it!
context: Someone dangerous just showed up...\Say what?\You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here!\Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it! response:	I-I'm not lying.
context: Say what?\You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here!\Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying. response:	I see.
context: You didn't find them in their cage?!\Don't mess with me!\I told you to bring them here!\Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see. response:	Good grief.
context: Don't mess with me!\I told you to bring them here!\Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see.\Good grief. response:	I don't like imitating them,
context: I told you to bring them here!\Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see.\Good grief.\I don't like imitating them, response:	but it seems to work well on weaklings.
context: Er, but you see...\It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see.\Good grief.\I don't like imitating them,\but it seems to work well on weaklings. response:	You underestimated us.
context: It appears they got out on their own.\I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see.\Good grief.\I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us. response:	You're wide open! Ignite!
context: I'll kick yer ass if yer talking out of it!\I-I'm not lying.\I see.\Good grief.\I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite! response:	It lit!
context: I-I'm not lying.\I see.\Good grief.\I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite!\It lit! response:	With this flame, I'll defeat y
context: I see.\Good grief.\I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite!\It lit!\With this flame, I'll defeat y response:	I can't believe you thought you could fight me with that.
context: Good grief.\I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite!\It lit!\With this flame, I'll defeat y\I can't believe you thought you could fight me with that. response:	Man, everyone in Claw seems a bit
context: I don't like imitating them,\but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite!\It lit!\With this flame, I'll defeat y\I can't believe you thought you could fight me with that.\Man, everyone in Claw seems a bit response:	Did you get burned?
context: but it seems to work well on weaklings.\You underestimated us.\You're wide open! Ignite!\It lit!\With this flame, I'll defeat y\I can't believe you thought you could fight me with that.\Man, everyone in Claw seems a bit\Did you get burned? response:	This is true pyrokinesis,
context: You underestimated us.\You're wide open! Ignite!\It lit!\With this flame, I'll defeat y\I can't believe you thought you could fight me with that.\Man, everyone in Claw seems a bit\Did you get burned?\This is true pyrokinesis, response:	the ability to wield fire.
context: You're wide open! Ignite!\It lit!\With this flame, I'll defeat y\I can't believe you thought you could fight me with that.\Man, everyone in Claw seems a bit\Did you get burned?\This is true pyrokinesis,\the ability to wield fire. response:	Claw Upper Echelon: Miyagawa
