context: How do you like the pleasure of being enveloped by Junketsu? response:	I had no idea...
context: Kay... I think that's enough for today.\So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at response:	the same time ensuring the wearer
context: So you aren't entirely useless.\Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer response:	is not inadvertently enslaved, by minimizing the surface
context: Ryuko, take off that outfit and put me on.\No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface response:	area in direct contact.
context: No way. As if I'd stoop to looking that ridiculous ever again.\I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact. response:	That is the purpose of Life Fiber Synchronization.
context: I look ridiculous? Do you really mean that, Ryuko?\Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization. response:	You should call it a stroke of human genius.
context: Damn straight. What else would you call it but ridiculous\when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius. response:	Genius, my ass! All I see is fear.
context: when you can't tell if you're wearing anything?\To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear. response:	You want the power of clothing,
context: To access the Life Fibers' power, while at\the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing, response:	but you don't want your soul to be taken over.
context: the same time ensuring the wearer\is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over. response:	That getup is that half-assed mindset in a nutshell.
context: is not inadvertently enslaved, by minimizing the surface\area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell. response:	All it is is pathetic!
context: area in direct contact.\That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic! response:	That isn't true.
context: That is the purpose of Life Fiber Synchronization.\You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true. response:	When we were synchronized, you wore me and I was worn by you.
context: You should call it a stroke of human genius.\Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you. response:	As it stands now, you are only being worn by Junketsu.
context: Genius, my ass! All I see is fear.\You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu. response:	And what's wrong with that?
context: You want the power of clothing,\but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that? response:	Being worn by it feels so amazing I can't stand it!
context: but you don't want your soul to be taken over.\That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it! response:	Humanity was born to be worn by Life Fibers.
context: That getup is that half-assed mindset in a nutshell.\All it is is pathetic!\That isn't true.\When we were synchronized, you wore me and I was worn by you.\As it stands now, you are only being worn by Junketsu.\And what's wrong with that?\Being worn by it feels so amazing I can't stand it!\Humanity was born to be worn by Life Fibers. response:	Being worn by them is the ultimate bliss.
