context: Manatsu-kun will be staying in the hospital for a few more days. response:	I'm fine now.
context: I might turn into a different person.\Teppei?\Don't have so much faith in me.\Teppei!\Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block. response:	They are attempting to capture him.
context: Teppei?\Don't have so much faith in me.\Teppei!\Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him. response:	We want you to protect him.
context: Don't have so much faith in me.\Teppei!\Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him. response:	I've decided you are appropriate for this mission
context: Teppei!\Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission response:	due to your combat training.
context: Speed is of the essence.\Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training. response:	Who is he?
context: Registration code 10878F.\This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training.\Who is he? response:	He is a prisoner undergoing sentencing
context: This is one of the members selected to participate in the Kivotos Plan,\currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training.\Who is he?\He is a prisoner undergoing sentencing response:	for assault and attempted murder.
context: currently in cold sleep in the Tenkaidou's Ark block.\They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training.\Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder. response:	A prisoner is a Kivotos Plan member?
context: They are attempting to capture him.\We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training.\Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member? response:	Well...
context: We want you to protect him.\I've decided you are appropriate for this mission\due to your combat training.\Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well... response:	His genes appear to have been the reason for his selection.
context: I've decided you are appropriate for this mission\due to your combat training.\Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection. response:	His name is Eiji Arashi.
context: due to your combat training.\Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi. response:	Arashi?
context: Who is he?\He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi? response:	He's the one who gave you,
context: He is a prisoner undergoing sentencing\for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi?\He's the one who gave you, response:	a designer child, your genes.
context: for assault and attempted murder.\A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi?\He's the one who gave you,\a designer child, your genes. response:	You might say he's your father.
context: A prisoner is a Kivotos Plan member?\Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi?\He's the one who gave you,\a designer child, your genes.\You might say he's your father. response:	Is this mission being undertaken in conjunction with the Tenkaidou?
context: Well...\His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi?\He's the one who gave you,\a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou? response:	That should mean there's no need for me to go to space.
context: His genes appear to have been the reason for his selection.\His name is Eiji Arashi.\Arashi?\He's the one who gave you,\a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space. response:	I've decided not to give headquarters the information about you and the Kiltgang.
context: His name is Eiji Arashi.\Arashi?\He's the one who gave you,\a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang. response:	You understand what that means, right?
context: Arashi?\He's the one who gave you,\a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right? response:	In other words, it's a top secret mission, correct?
context: He's the one who gave you,\a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct? response:	Starry Sky's Picture Book
context: a designer child, your genes.\You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book response:	This is the Red Papillon.
context: You might say he's your father.\Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon. response:	I will reach the Tenkaidou in fifteen minutes.
context: Is this mission being undertaken in conjunction with the Tenkaidou?\That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes. response:	This is Tanegashima. Roger.
context: That should mean there's no need for me to go to space.\I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger. response:	Are you sure it's okay for Akari-chan to come along?
context: I've decided not to give headquarters the information about you and the Kiltgang.\You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along? response:	It's a dangerous mission.
context: You understand what that means, right?\In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission. response:	Getting permission to capture one of the Kivotos Plan sleepers would be difficult.
context: In other words, it's a top secret mission, correct?\Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult. response:	Especially with a commander
context: Starry Sky's Picture Book\This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander response:	who belongs to the Intercept Faction, which opposes the Ark Faction.
context: This is the Red Papillon.\I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction. response:	If they're going to resort to violent, illegal measures,
context: I will reach the Tenkaidou in fifteen minutes.\This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures, response:	we'll have to take the initiative and capture him.
context: This is Tanegashima. Roger.\Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him. response:	And for that, we need a reason to send Teppei to the Tenkaidou.
context: Are you sure it's okay for Akari-chan to come along?\It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou. response:	So you invented a reason about Akari-chan wanting to see her mother?
context: It's a dangerous mission.\Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother? response:	It's quite logical.
context: Getting permission to capture one of the Kivotos Plan sleepers would be difficult.\Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical. response:	I'm amazed she didn't get mad, being used for a mission like that.
context: Especially with a commander\who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that. response:	She thought it was funny.
context: who belongs to the Intercept Faction, which opposes the Ark Faction.\If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny. response:	Maybe she really did want to see her mother.
context: If they're going to resort to violent, illegal measures,\we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother. response:	Well, she's her daughter, after all.
context: we'll have to take the initiative and capture him.\And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all. response:	But aren't they going after Eiji Arashi
context: And for that, we need a reason to send Teppei to the Tenkaidou.\So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi response:	because after the last battle, they began to suspect
context: So you invented a reason about Akari-chan wanting to see her mother?\It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect response:	the relationship between Teppei and the Kiltgang?
context: It's quite logical.\I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang? response:	Teppei is quarantined at this base, so they can't touch him.
context: I'm amazed she didn't get mad, being used for a mission like that.\She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him. response:	That's why they're going after his gene donor, Eiji, right?
context: She thought it was funny.\Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right? response:	And we're sending Teppei straight into the middle of it.
context: Maybe she really did want to see her mother.\Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it. response:	And that isn't logical at all.
context: Well, she's her daughter, after all.\But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all. response:	But...
context: But aren't they going after Eiji Arashi\because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But... response:	You have a plan, right?
context: because after the last battle, they began to suspect\the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But...\You have a plan, right? response:	Well, at this point, we're all in this together.
context: the relationship between Teppei and the Kiltgang?\Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But...\You have a plan, right?\Well, at this point, we're all in this together. response:	I'm sorry.
context: Teppei is quarantined at this base, so they can't touch him.\That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But...\You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry. response:	Red Papillon is about to rendezvous with the Tenkaidou.
context: That's why they're going after his gene donor, Eiji, right?\And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But...\You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou. response:	Is something wrong?
context: And we're sending Teppei straight into the middle of it.\And that isn't logical at all.\But...\You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong? response:	No, it's nothing.
context: And that isn't logical at all.\But...\You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing. response:	I'm so glad you came!
context: But...\You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing.\I'm so glad you came! response:	How rich do you have to be to travel into orbit just to see your mom?
context: You have a plan, right?\Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom? response:	Well, Governor Yomatsuri hasn't been down to the surface in years...
context: Well, at this point, we're all in this together.\I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years... response:	They probably made an exception.
context: I'm sorry.\Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception. response:	You've really grown up.
context: Red Papillon is about to rendezvous with the Tenkaidou.\Is something wrong?\No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up. response:	Well, yeah.
context: Is something wrong?\No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up.\Well, yeah. response:	I was so happy that you said you wanted to see me.
context: No, it's nothing.\I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me. response:	Parents...
context: I'm so glad you came!\How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me.\Parents... response:	This seems kind of strange to me.
context: How rich do you have to be to travel into orbit just to see your mom?\Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me. response:	That young pilot is kind of cute.
context: Well, Governor Yomatsuri hasn't been down to the surface in years...\They probably made an exception.\You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me.\That young pilot is kind of cute. response:	Hey, now...
context: They probably made an exception.\You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now... response:	I hope we'll have some time to talk later.
context: You've really grown up.\Well, yeah.\I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later. response:	Hey, there was another shuttle at the dock.
context: Well, yeah.\I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock. response:	Where'd it come from?
context: I was so happy that you said you wanted to see me.\Parents...\This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from? response:	That's the regular supply shuttle.
context: Parents...\This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle. response:	Regular?
context: This seems kind of strange to me.\That young pilot is kind of cute.\Hey, now...\I hope we'll have some time to talk later.\Hey, there was another shuttle at the dock.\Where'd it come from?\That's the regular supply shuttle.\Regular? response:	There are twenty-five containers.
