context: Hm... response:	You could smell it from here?
context: What are you going to do, Haruhiro?\Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do?\Shihoru, I didn't know you were up, too.\You... like birds? response:	I guess... it's just become a habit of mine.
context: Me?\Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do?\Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine. response:	Hmm...
context: Me, huh...\We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do?\Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine.\Hmm... response:	Oh, Moguzo baked this new bread.
context: We're all meeting at Shelly's Tavern in the evening, right?\Yeah.\What should I do?\Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread. response:	It smelled good.
context: Yeah.\What should I do?\Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread.\It smelled good. response:	Even from here?
context: What should I do?\Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread.\It smelled good.\Even from here? response:	Yeah.
context: Shihoru, I didn't know you were up, too.\You... like birds?\I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread.\It smelled good.\Even from here?\Yeah. response:	I see.
context: You... like birds?\I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread.\It smelled good.\Even from here?\Yeah.\I see. response:	We all watched the sunset from here, huh.
context: I guess... it's just become a habit of mine.\Hmm...\Oh, Moguzo baked this new bread.\It smelled good.\Even from here?\Yeah.\I see.\We all watched the sunset from here, huh. response:	Yeah...
context: Hmm...\Oh, Moguzo baked this new bread.\It smelled good.\Even from here?\Yeah.\I see.\We all watched the sunset from here, huh.\Yeah... response:	Um...
context: Oh, Moguzo baked this new bread.\It smelled good.\Even from here?\Yeah.\I see.\We all watched the sunset from here, huh.\Yeah...\Um... response:	Haruhiro-kun.
context: It smelled good.\Even from here?\Yeah.\I see.\We all watched the sunset from here, huh.\Yeah...\Um...\Haruhiro-kun. response:	I look forward to continue working with you.
context: Even from here?\Yeah.\I see.\We all watched the sunset from here, huh.\Yeah...\Um...\Haruhiro-kun.\I look forward to continue working with you. response:	Huh, what?
context: Yeah.\I see.\We all watched the sunset from here, huh.\Yeah...\Um...\Haruhiro-kun.\I look forward to continue working with you.\Huh, what? response:	Same here.
context: I see.\We all watched the sunset from here, huh.\Yeah...\Um...\Haruhiro-kun.\I look forward to continue working with you.\Huh, what?\Same here. response:	Uh, what gives?
context: We all watched the sunset from here, huh.\Yeah...\Um...\Haruhiro-kun.\I look forward to continue working with you.\Huh, what?\Same here.\Uh, what gives? response:	I just felt like it.
context: Yeah...\Um...\Haruhiro-kun.\I look forward to continue working with you.\Huh, what?\Same here.\Uh, what gives?\I just felt like it. response:	Oh...
context: Um...\Haruhiro-kun.\I look forward to continue working with you.\Huh, what?\Same here.\Uh, what gives?\I just felt like it.\Oh... response:	The sunrise is beautiful from here, too.
context: Haruhiro-kun.\I look forward to continue working with you.\Huh, what?\Same here.\Uh, what gives?\I just felt like it.\Oh...\The sunrise is beautiful from here, too. response:	I see.
context: I look forward to continue working with you.\Huh, what?\Same here.\Uh, what gives?\I just felt like it.\Oh...\The sunrise is beautiful from here, too.\I see. response:	That's why you come here so much.
context: Huh, what?\Same here.\Uh, what gives?\I just felt like it.\Oh...\The sunrise is beautiful from here, too.\I see.\That's why you come here so much. response:	Yeah.
context: Same here.\Uh, what gives?\I just felt like it.\Oh...\The sunrise is beautiful from here, too.\I see.\That's why you come here so much.\Yeah. response:	Mm, Shihoru...
context: Uh, what gives?\I just felt like it.\Oh...\The sunrise is beautiful from here, too.\I see.\That's why you come here so much.\Yeah.\Mm, Shihoru... response:	I'm up, I'm awake... awake...
context: I just felt like it.\Oh...\The sunrise is beautiful from here, too.\I see.\That's why you come here so much.\Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake... response:	Oh.
context: Oh...\The sunrise is beautiful from here, too.\I see.\That's why you come here so much.\Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake...\Oh. response:	Haru?
context: The sunrise is beautiful from here, too.\I see.\That's why you come here so much.\Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake...\Oh.\Haru? response:	Come sit.
context: I see.\That's why you come here so much.\Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake...\Oh.\Haru?\Come sit. response:	I'm staying here.
context: That's why you come here so much.\Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake...\Oh.\Haru?\Come sit.\I'm staying here. response:	It's a lodging for women.
context: Yeah.\Mm, Shihoru...\I'm up, I'm awake... awake...\Oh.\Haru?\Come sit.\I'm staying here.\It's a lodging for women. response:	I've been here since I left the Volunteer Soldier lodging.
context: Mm, Shihoru...\I'm up, I'm awake... awake...\Oh.\Haru?\Come sit.\I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging. response:	Wait, so I shouldn't
context: I'm up, I'm awake... awake...\Oh.\Haru?\Come sit.\I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't response:	On the terrace is fine.
context: Oh.\Haru?\Come sit.\I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine. response:	If you plan to leave your lodging...
context: Haru?\Come sit.\I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging... response:	Yeah.
context: Come sit.\I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging...\Yeah. response:	They'd be happy to hear about here.
context: I'm staying here.\It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here. response:	Well, they're probably pretty used to our lodgings...
context: It's a lodging for women.\I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings... response:	I have a lot of memories... in those lodgings.
context: I've been here since I left the Volunteer Soldier lodging.\Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings. response:	When Merry stayed at those dingy lodgings, she was...
context: Wait, so I shouldn't\On the terrace is fine.\If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was... response:	What? In Damuro?
context: On the terrace is fine.\If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro? response:	Uh huh.
context: If you plan to leave your lodging...\Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh. response:	And it was super ferocious, yup.
context: Yeah.\They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh.\And it was super ferocious, yup. response:	There was a lin-gob or something there.
context: They'd be happy to hear about here.\Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there. response:	Uh, I only understood the ferocious part.
context: Well, they're probably pretty used to our lodgings...\I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part. response:	There were some newcomers, right?
context: I have a lot of memories... in those lodgings.\When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right? response:	Kie-roos.
context: When Merry stayed at those dingy lodgings, she was...\What? In Damuro?\Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos. response:	Kie-roos?
context: What? In Damuro?\Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos.\Kie-roos? response:	Oh, rookies.
context: Uh huh.\And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos.\Kie-roos?\Oh, rookies. response:	Were they Volunteer Soldier trainees?
context: And it was super ferocious, yup.\There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos.\Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees? response:	Yeah, those.
context: There was a lin-gob or something there.\Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos.\Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those. response:	Some kie-roo ty-par got into some trouble in Damuro.
context: Uh, I only understood the ferocious part.\There were some newcomers, right?\Kie-roos.\Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro. response:	It was bad, man.
context: There were some newcomers, right?\Kie-roos.\Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro.\It was bad, man. response:	I'm pretty sure the goblins we defeated were from the new city.
context: Kie-roos.\Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro.\It was bad, man.\I'm pretty sure the goblins we defeated were from the new city. response:	Their equipment and the way they moved was completely different.
context: Kie-roos?\Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro.\It was bad, man.\I'm pretty sure the goblins we defeated were from the new city.\Their equipment and the way they moved was completely different. response:	Since we defeated them
context: Oh, rookies.\Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro.\It was bad, man.\I'm pretty sure the goblins we defeated were from the new city.\Their equipment and the way they moved was completely different.\Since we defeated them response:	Yup, that's right.
context: Were they Volunteer Soldier trainees?\Yeah, those.\Some kie-roo ty-par got into some trouble in Damuro.\It was bad, man.\I'm pretty sure the goblins we defeated were from the new city.\Their equipment and the way they moved was completely different.\Since we defeated them\Yup, that's right. response:	Mad lin-gobs from the new city came and started angrily patrolling around.
