context: Five... response:	Four...
context: A limited amount of exposure to sunlight is beneficial.\Serotonin deficiency dulls the mind.\I never asked for your opinion.\More importantly, you are three minutes late, Himuro.\Two minutes, thirty-two seconds.\If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think? response:	More importantly, Yukimura-kun,
context: Serotonin deficiency dulls the mind.\I never asked for your opinion.\More importantly, you are three minutes late, Himuro.\Two minutes, thirty-two seconds.\If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun, response:	don't you need to hurry up and find a polynomial-time reduction?
context: I never asked for your opinion.\More importantly, you are three minutes late, Himuro.\Two minutes, thirty-two seconds.\If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction? response:	Your presentation is soon, isn't it?
context: More importantly, you are three minutes late, Himuro.\Two minutes, thirty-two seconds.\If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it? response:	I've already determined the objective.
context: Two minutes, thirty-two seconds.\If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective. response:	The practical application of the Hamilton path problem.
context: If you're specializing in science and engineering, you need to be precise about time.\Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem. response:	You're probably just going to copy Richard Karp's work. Right?
context: Save the backtalk for after you've made up the three minutes' work.\Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right? response:	I am using it as a reference, but my work is completely original.
context: Serves as the perfect handicap for me, don't you think?\More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original. response:	Do not presume that your assumptions are truth.
context: More importantly, Yukimura-kun,\don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth. response:	I'm looking forward to seeing what unsightly presentation you come up with.
context: don't you need to hurry up and find a polynomial-time reduction?\Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with. response:	I'll be sure to write it succinctly enough that even your brain can comprehend it.
context: Your presentation is soon, isn't it?\I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it. response:	Oh, by the way, Yukimura-kun.
context: I've already determined the objective.\The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun. response:	What is it, Himuro?
context: The practical application of the Hamilton path problem.\You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro? response:	I seem to be in love with you.
context: You're probably just going to copy Richard Karp's work. Right?\I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you. response:	Science Fell in Love, So I Tried to Prove It.
context: I am using it as a reference, but my work is completely original.\Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It. response:	National University: Saitama University
context: Do not presume that your assumptions are truth.\I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University response:	Liberal Arts College Students Enrolled: 816 Graduate Students: 96
context: I'm looking forward to seeing what unsightly presentation you come up with.\I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96 response:	Established 70 years ago Campus Footprint: 394,544 m2
context: I'll be sure to write it succinctly enough that even your brain can comprehend it.\Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2 response:	Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize
context: Oh, by the way, Yukimura-kun.\What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize response:	What?
context: What is it, Himuro?\I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What? response:	What did you just say?
context: I seem to be in love with you.\Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say? response:	Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal
context: Science Fell in Love, So I Tried to Prove It.\National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal response:	seem to be in love with you, Yukimura-kun.
context: National University: Saitama University\Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun. response:	The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa
context: Liberal Arts College Students Enrolled: 816 Graduate Students: 96\Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa response:	Proof 1 Science-types Fell in Love, So They Tried to Analyze It.
context: Established 70 years ago Campus Footprint: 394,544 m2\Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It. response:	have no experience with that which is called romance, however...
context: Saitama University 1st year graduate student Yukimura Shinya Height: 177 cm Weight: 63 kg Blood type: O Hobbies: Research, reading academic texts Favorite foods: Foods which allow efficient hhhhhhhhhhhhhhhhhhhhhhhhhintake of balanced nutrition Favorite phrase: Decisive and resolute Idol: John von Neumann Future goals: Nobel Prize\What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however... response:	Himuro...
context: What?\What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro... response:	You are intelligent, and I consider you a worthy rival.
context: What did you just say?\Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival. response:	I suppose that if pressed, I couldn't say that I have no affection for you.
context: Saitama University 1st year graduate student Himuro Ayame Height: 170 cm Weight:? Blood type: A Hobbies: Research, reading academic texts, hhhhhhhhhhhhhhharoma therapy Favorite foods: Strawberries, sweet foods in general Favorite phrase: Two become as one Idol: Emilie du Chatelet Future goals: Fields Medal\seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you. response:	However, I don't know if I am in love with you or not.
context: seem to be in love with you, Yukimura-kun.\The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not. response:	First...
context: The problem set forth here is defined as follows wherein the input of each node is associated with aaa aaa I went and said it aaa aaa\Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First... response:	How does one define love?
context: Proof 1 Science-types Fell in Love, So They Tried to Analyze It.\have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First...\How does one define love? response:	Himuro, upon what evidence did you determine that you love me?
context: have no experience with that which is called romance, however...\Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First...\How does one define love?\Himuro, upon what evidence did you determine that you love me? response:	You're right.
context: Himuro...\You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First...\How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right. response:	Making a determination without credible evidence
context: You are intelligent, and I consider you a worthy rival.\I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First...\How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence response:	would make me a failure as a student of science.
context: I suppose that if pressed, I couldn't say that I have no affection for you.\However, I don't know if I am in love with you or not.\First...\How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence\would make me a failure as a student of science. response:	Even when science-types fall in love,
context: However, I don't know if I am in love with you or not.\First...\How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love, response:	anything less than a precise definition is unsatisfactory.
context: First...\How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory. response:	Time I've wanted to smell you. hh2.2
context: How does one define love?\Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2 response:	Time I've wanted you to smell me. 3.0hh
context: Himuro, upon what evidence did you determine that you love me?\You're right.\Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh response:	Time I've found myself looking at you. hhhhhhhhhh8.3
context: You're right.\Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3 response:	Time I've had fun being with you. hhhhhhhhhhhhhh14.3
context: Making a determination without credible evidence\would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3 response:	Time I've been captivated by the sight of you thinking. hhhh17.2
context: would make me a failure as a student of science.\Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2 response:	Other 11
context: Even when science-types fall in love,\anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11 response:	Time my heart rate increased by being with you 24.2
context: anything less than a precise definition is unsatisfactory.\Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2 response:	Time you have appeared in dreams 19.8
context: Time I've wanted to smell you. hh2.2\Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8 response:	Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya
context: Time I've wanted you to smell me. 3.0hh\Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya response:	This is the evidence which led me to determine that I seem to be in love with you.
context: Time I've found myself looking at you. hhhhhhhhhh8.3\Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya\This is the evidence which led me to determine that I seem to be in love with you. response:	The numbers aren't concrete, so please consider these only rough estimates.
context: Time I've had fun being with you. hhhhhhhhhhhhhh14.3\Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya\This is the evidence which led me to determine that I seem to be in love with you.\The numbers aren't concrete, so please consider these only rough estimates. response:	Time my heart rate has increased by being with you...
context: Time I've been captivated by the sight of you thinking. hhhh17.2\Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya\This is the evidence which led me to determine that I seem to be in love with you.\The numbers aren't concrete, so please consider these only rough estimates.\Time my heart rate has increased by being with you... response:	I see.
context: Other 11\Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya\This is the evidence which led me to determine that I seem to be in love with you.\The numbers aren't concrete, so please consider these only rough estimates.\Time my heart rate has increased by being with you...\I see. response:	However, making a determination based on this evidence is no more than your personal opinion.
context: Time my heart rate increased by being with you 24.2\Time you have appeared in dreams 19.8\Fig. 1 - A pie chart showing percentages of the elements of evidence leading to the determination that Himuro Ayame loves Yukimura Shinya\This is the evidence which led me to determine that I seem to be in love with you.\The numbers aren't concrete, so please consider these only rough estimates.\Time my heart rate has increased by being with you...\I see.\However, making a determination based on this evidence is no more than your personal opinion. response:	True.
