context: Tomoe believes that humans are fleeting and frail, response:	and he fears getting involved with them.
context: But it seems he still has a long way to go.\What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk.\I see.\They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind. response:	I'm human,
context: What were you speaking about with Mikage, Nanami?\It wasn't anything important.\It was just a little bit of small talk.\I see.\They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human, response:	which means I'm gonna die a long time before Tomoe does.
context: It wasn't anything important.\It was just a little bit of small talk.\I see.\They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does. response:	I really do want him to love me.
context: It was just a little bit of small talk.\I see.\They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me. response:	But that seems so selfish now.
context: I see.\They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now. response:	Why did Mikage say
context: They live for a long time.\They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now.\Why did Mikage say response:	that he wants to allow Tomoe to choose me?
context: They live with the same love in their hearts for centuries.\To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me? response:	I wonder what's happening on this world
context: To fall in love with someone, to need them, is a highly risky proposition for spirit kind.\I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world response:	I wonder what's happening on this world
context: I'm human,\which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: which means I'm gonna die a long time before Tomoe does.\I really do want him to love me.\But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: I really do want him to love me.\But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: But that seems so selfish now.\Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Why did Mikage say\that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: that he wants to allow Tomoe to choose me?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	The God Meets a Little Crow
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\The God Meets a Little Crow response:	You look glum, Lady Nanami.
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\The God Meets a Little Crow\You look glum, Lady Nanami. response:	If you find it painful to part ways with me, you could extend your stay.
context: Hey, God,\I'm your god\I'm your god\I think\I think\The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay. response:	Not like you have anything better to do.
context: I'm your god\I'm your god\I think\I think\The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do. response:	Well, I still have school.
context: I'm your god\I think\I think\The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school. response:	Though it was only for seven days, you fulfilled your duties admirably.
context: I think\I think\The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably. response:	You can return with your head held high.
context: I think\The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high. response:	Thank you very much, Lord Ookuninushi.
context: The God Meets a Little Crow\You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi. response:	Ah, yes. I had promised to tell you of Mikage's whereabouts.
context: You look glum, Lady Nanami.\If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts. response:	But alas...
context: If you find it painful to part ways with me, you could extend your stay.\Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas... response:	The truth is, even I was unable to ascertain...
context: Not like you have anything better to do.\Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain... response:	It doesn't matter anymore.
context: Well, I still have school.\Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore. response:	It doesn't? So...
context: Though it was only for seven days, you fulfilled your duties admirably.\You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So... response:	You don't need to find him?
context: You can return with your head held high.\Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So...\You don't need to find him? response:	Until Tomoe completely ceases to need me, I have no intention of seeing him.
context: Thank you very much, Lord Ookuninushi.\Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him. response:	No.
context: Ah, yes. I had promised to tell you of Mikage's whereabouts.\But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No. response:	Oh, I got you something.
context: But alas...\The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something. response:	They're blot sheets made of Izumo paper.
context: The truth is, even I was unable to ascertain...\It doesn't matter anymore.\It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something.\They're blot sheets made of Izumo paper. response:	You had no time for sightseeing, right?
context: It doesn't matter anymore.\It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right? response:	Get your girl power up with these.
context: It doesn't? So...\You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these. response:	Actually, Tomoe and I went out for a while yesterday.
context: You don't need to find him?\Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday. response:	Oh, good. I'm sure you found Izumo to be a fine place.
context: Until Tomoe completely ceases to need me, I have no intention of seeing him.\No.\Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place. response:	Well, since I carried out my important duties myself,
context: No.\Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself, response:	I'll treat myself and the ladies to a long-deserved date in the other world!
context: Oh, I got you something.\They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world! response:	Lord Ookuninushi!
context: They're blot sheets made of Izumo paper.\You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi! response:	Ookuninushi has a pretty set type.
context: You had no time for sightseeing, right?\Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type. response:	You're terrible, Lord Ookuninushi!
context: Get your girl power up with these.\Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi! response:	You have me, yet you're going off to see women in the mundane world?!
context: Actually, Tomoe and I went out for a while yesterday.\Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?! response:	The girls he's going out with are human?
context: Oh, good. I'm sure you found Izumo to be a fine place.\Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human? response:	I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.
context: Well, since I carried out my important duties myself,\I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women. response:	I believe in equal love for all! I will not choose!
context: I'll treat myself and the ladies to a long-deserved date in the other world!\Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose! response:	Resolute
context: Lord Ookuninushi!\Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute response:	Resolute
context: Ookuninushi has a pretty set type.\You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute\Resolute response:	Resolute
context: You're terrible, Lord Ookuninushi!\You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute\Resolute\Resolute response:	Resolute
context: You have me, yet you're going off to see women in the mundane world?!\The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: The girls he's going out with are human?\I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: I, Ookuninushi, love gods, humans, and spirit kind alikeany and all who are deemed to be women.\I believe in equal love for all! I will not choose!\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: I believe in equal love for all! I will not choose!\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
context: Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute\Resolute response:	Resolute
