context: Dungeons are places such as abandoned structures, response:	fortresses, shrines, or caves.
context: And there's more to a battle than your level.\Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it.\Yeah!\I know I should understand... response:	Unfortunately, it's something she has to figure out for herself.
context: Do you remember the basics of party combat that I taught you?\Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it.\Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself. response:	Good luck.
context: Oh, yes... Just a second...\Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it.\Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck. response:	This is good!
context: Formation, operator, field monitor... And patrol teams, right?\If you remember that, you'll be all right.\You can do it.\Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good! response:	This is so good!
context: If you remember that, you'll be all right.\You can do it.\Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good!\This is so good! response:	The nobility eats pretty well.
context: You can do it.\Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good!\This is so good!\The nobility eats pretty well. response:	So, the cooking method has spread
context: Yeah!\I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good!\This is so good!\The nobility eats pretty well.\So, the cooking method has spread response:	among the People of the Land...
context: I know I should understand...\Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good!\This is so good!\The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land... response:	Doesn't that mean we're affecting this world?
context: Unfortunately, it's something she has to figure out for herself.\Good luck.\This is good!\This is so good!\The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world? response:	Yes.
context: Good luck.\This is good!\This is so good!\The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world?\Yes. response:	And for us to avoid being a destructive influence,
context: This is good!\This is so good!\The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence, response:	we need to know more about this world.
context: This is so good!\The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence,\we need to know more about this world. response:	Exactly.
context: The nobility eats pretty well.\So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly. response:	I think I understand what you've been saying.
context: So, the cooking method has spread\among the People of the Land...\Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly.\I think I understand what you've been saying. response:	By the way, Shiroe,
context: among the People of the Land...\Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly.\I think I understand what you've been saying.\By the way, Shiroe, response:	did you sleep well last night?
context: Doesn't that mean we're affecting this world?\Yes.\And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly.\I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night? response:	You had quite a workout!
context: Yes.\And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly.\I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night?\You had quite a workout! response:	Yes, thank you.
context: And for us to avoid being a destructive influence,\we need to know more about this world.\Exactly.\I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night?\You had quite a workout!\Yes, thank you. response:	One day, I'll get even with you.
context: we need to know more about this world.\Exactly.\I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night?\You had quite a workout!\Yes, thank you.\One day, I'll get even with you. response:	I didn't know you were the type to hold a grudge, my lord.
context: Exactly.\I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night?\You had quite a workout!\Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord. response:	How petty.
context: I think I understand what you've been saying.\By the way, Shiroe,\did you sleep well last night?\You had quite a workout!\Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty. response:	What about you, Akatsuki?
context: By the way, Shiroe,\did you sleep well last night?\You had quite a workout!\Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki? response:	You seem a little grouchy today.
context: did you sleep well last night?\You had quite a workout!\Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki?\You seem a little grouchy today. response:	Not at all.
context: You had quite a workout!\Yes, thank you.\One day, I'll get even with you.\I didn't know you were the type to hold a grudge, my lord.\How petty.\What about you, Akatsuki?\You seem a little grouchy today.\Not at all. response:	You are.
