context: As you are aware, response:	you have final exams starting next month.
context: Even if we get the vice principal's permission,\if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine. response:	Please teach me!
context: if you have to take supplementary classes, those will take priority.\Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine.\Please teach me! response:	Hinata, I didn't really want to bring this up,
context: Coach!\W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up, response:	but do I look like someone who got good grades?
context: W-Well, this isn't something you're gonna be able to avoid as a student.\But...\You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades? response:	Hinata, I'm sure you don't have to worry this much about it.
context: But...\You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it. response:	I've never had a double-digit score on any of my quizzes.
context: You need willpower! You need to believe you can do it!\Mind over matter?!\No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes. response:	Will I still be okay?
context: Mind over matter?!\No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay? response:	Huh?
context: No, that's fine.\Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh? response:	Huh?
context: Please teach me!\Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh?\Huh? response:	Hey! Stop it with the bodhisattva faces, you two!
context: Hinata, I didn't really want to bring this up,\but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two! response:	They can do it if they try. They can do it if they try...
context: but do I look like someone who got good grades?\Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try... response:	Sensei, pull yourself together!
context: Hinata, I'm sure you don't have to worry this much about it.\I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together! response:	Ah, the sound of anguish.
context: I've never had a double-digit score on any of my quizzes.\Will I still be okay?\Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish. response:	Get a hold of yourselves!
context: Will I still be okay?\Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves! response:	We still have time until exams start.
context: Huh?\Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start. response:	There's no way Karasuno could bring our best without these four idiots!
context: Huh?\Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots! response:	Not a chance!
context: Hey! Stop it with the bodhisattva faces, you two!\They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance! response:	I don't know if I'm flattered or insulted...
context: They can do it if they try. They can do it if they try...\Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted... response:	We're gonna do this...
context: Sensei, pull yourself together!\Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this... response:	We're all gonna go to Tokyo.
context: Ah, the sound of anguish.\Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo. response:	Haikyu!!
context: Get a hold of yourselves!\We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!! response:	Episode 2 Direct Sunlight
context: We still have time until exams start.\There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight response:	Listen up, you guys.
context: There's no way Karasuno could bring our best without these four idiots!\Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys. response:	The one thing that you're going to promise me right now...
context: Not a chance!\I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now... response:	We're Gonna Go to the Spring Tournament!
context: I don't know if I'm flattered or insulted...\We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament! response:	That's the first priority?
context: We're gonna do this...\We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority? response:	Staying up late through sheer willpower.
context: We're all gonna go to Tokyo.\Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower. response:	Screwing up in your classes and in club.
context: Haikyu!!\Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club. response:	It's all absolutely unreasonable!
context: Episode 2 Direct Sunlight\Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable! response:	Right...
context: Listen up, you guys.\The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right... response:	We're heading out.
context: The one thing that you're going to promise me right now...\We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right...\We're heading out. response:	R-Right. Good job.
context: We're Gonna Go to the Spring Tournament!\That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right...\We're heading out.\R-Right. Good job. response:	It'll be all right.
context: That's the first priority?\Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right...\We're heading out.\R-Right. Good job.\It'll be all right. response:	I mean, you guys passed your high school entrance exams.
context: Staying up late through sheer willpower.\Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right...\We're heading out.\R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams. response:	Suga-san!
context: Screwing up in your classes and in club.\It's all absolutely unreasonable!\Right...\We're heading out.\R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san! response:	If you fall asleep in class, you'd better be prepared for the consequences.
context: It's all absolutely unreasonable!\Right...\We're heading out.\R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences. response:	Kageyama.
context: Right...\We're heading out.\R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama. response:	What? No!
context: We're heading out.\R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No! response:	You have no right to be picky!
context: R-Right. Good job.\It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No!\You have no right to be picky! response:	We can't go to the away games if we fail!
context: It'll be all right.\I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No!\You have no right to be picky!\We can't go to the away games if we fail! response:	It's Nekoma!
context: I mean, you guys passed your high school entrance exams.\Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No!\You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma! response:	There's gonna be plenty of strong schools from Tokyo!
context: Suga-san!\If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No!\You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo! response:	You're okay with not being able to go?!
context: If you fall asleep in class, you'd better be prepared for the consequences.\Kageyama.\What? No!\You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?! response:	You told Ushiwaka that you'd become the best setter!
context: Kageyama.\What? No!\You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter! response:	I'm actually surprised that Kageyama's grades are bad.
context: What? No!\You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad. response:	He seems pretty smart.
context: You have no right to be picky!\We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart. response:	Hinata's grades don't surprise me at all, though.
context: We can't go to the away games if we fail!\It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though. response:	I'm sure all that's in his head is volleyball.
context: It's Nekoma!\There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball. response:	Tsukishima!
context: There's gonna be plenty of strong schools from Tokyo!\You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima! response:	Help us study...
context: You're okay with not being able to go?!\You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study... response:	Please.
context: You told Ushiwaka that you'd become the best setter!\I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study...\Please. response:	What? No.
context: I'm actually surprised that Kageyama's grades are bad.\He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study...\Please.\What? No. response:	Just, like, less than an hour each day!
context: He seems pretty smart.\Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study...\Please.\What? No.\Just, like, less than an hour each day! response:	Or tell us how to study...
context: Hinata's grades don't surprise me at all, though.\I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study...\Please.\What? No.\Just, like, less than an hour each day!\Or tell us how to study... response:	It wouldn't hurt to do that a couple minutes before or after club.
context: I'm sure all that's in his head is volleyball.\Tsukishima!\Help us study...\Please.\What? No.\Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club. response:	Hey, I don't think it's fair that you're having the shrimp
context: Tsukishima!\Help us study...\Please.\What? No.\Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp response:	ask for the both of you.
context: Help us study...\Please.\What? No.\Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you. response:	What do you have to say, big guy?
context: Please.\What? No.\Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy? response:	Kageyama, ask him!
context: What? No.\Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him! response:	Please teach us.
context: Just, like, less than an hour each day!\Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him!\Please teach us. response:	What?
context: Or tell us how to study...\It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him!\Please teach us.\What? response:	Please... teach us how to study.
context: It wouldn't hurt to do that a couple minutes before or after club.\Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him!\Please teach us.\What?\Please... teach us how to study. response:	I don't think I quite heard you.
context: Hey, I don't think it's fair that you're having the shrimp\ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him!\Please teach us.\What?\Please... teach us how to study.\I don't think I quite heard you. response:	Teach us how to study!
context: ask for the both of you.\What do you have to say, big guy?\Kageyama, ask him!\Please teach us.\What?\Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study! response:	Hey!
context: What do you have to say, big guy?\Kageyama, ask him!\Please teach us.\What?\Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study!\Hey! response:	Shut the hell up! You're disturbing the neighbors!
context: Kageyama, ask him!\Please teach us.\What?\Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors! response:	S-Sorry!
context: Please teach us.\What?\Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry! response:	Why am I getting yelled at?
context: What?\Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at? response:	Sorry.
context: Please... teach us how to study.\I don't think I quite heard you.\Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at?\Sorry. response:	No, thanks anyway.
context: I don't think I quite heard you.\Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at?\Sorry.\No, thanks anyway. response:	Shimizu-senpai!
context: Teach us how to study!\Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at?\Sorry.\No, thanks anyway.\Shimizu-senpai! response:	I found someone in another class that's not in a club yet.
context: Hey!\Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at?\Sorry.\No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet. response:	Thanks!
context: Shut the hell up! You're disturbing the neighbors!\S-Sorry!\Why am I getting yelled at?\Sorry.\No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks! response:	Yes, no!
context: S-Sorry!\Why am I getting yelled at?\Sorry.\No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks!\Yes, no! response:	Yes, no?
context: Why am I getting yelled at?\Sorry.\No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks!\Yes, no!\Yes, no? response:	She smiled!
context: Sorry.\No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks!\Yes, no!\Yes, no?\She smiled! response:	U-Um, doing a manager's job by yourself must be hard, right?
context: No, thanks anyway.\Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks!\Yes, no!\Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right? response:	I'll do whatever I can as a first-year to help.
context: Shimizu-senpai!\I found someone in another class that's not in a club yet.\Thanks!\Yes, no!\Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help. response:	We're Going to the Spring Tournament
context: I found someone in another class that's not in a club yet.\Thanks!\Yes, no!\Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament response:	We third-years are going to be gone after the next tournament.
context: Thanks!\Yes, no!\Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament. response:	Watching all of you grow stronger,
context: Yes, no!\Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger, response:	I thought again about what may happen next year and the year after that.
context: Yes, no?\She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that. response:	I have to make sure I do my job properly.
context: She smiled!\U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly. response:	I-I'll help.
context: U-Um, doing a manager's job by yourself must be hard, right?\I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help. response:	Thanks, but you should focus on studying.
context: I'll do whatever I can as a first-year to help.\We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying. response:	That and practice of course.
context: We're Going to the Spring Tournament\We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying.\That and practice of course. response:	Everyone's counting on the ultimate bait.
context: We third-years are going to be gone after the next tournament.\Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait. response:	Right!
context: Watching all of you grow stronger,\I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait.\Right! response:	All right, let's get the next one over with.
context: I thought again about what may happen next year and the year after that.\I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with. response:	Hinata, what's the first answer to question 6?
context: I have to make sure I do my job properly.\I-I'll help.\Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6? response:	For this, you do this...
context: I-I'll help.\Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6?\For this, you do this... response:	Question six: Please insert the correct word or phrase that goes in the parentheses
context: Thanks, but you should focus on studying.\That and practice of course.\Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6?\For this, you do this...\Question six: Please insert the correct word or phrase that goes in the parentheses response:	to correctly complete the idiom.
context: That and practice of course.\Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6?\For this, you do this...\Question six: Please insert the correct word or phrase that goes in the parentheses\to correctly complete the idiom. response:	This idiom expresses that even ruthless people can show compassion or even cry at times.
context: Everyone's counting on the ultimate bait.\Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6?\For this, you do this...\Question six: Please insert the correct word or phrase that goes in the parentheses\to correctly complete the idiom.\This idiom expresses that even ruthless people can show compassion or even cry at times. response:	Even ogres can be moved to...
context: Right!\All right, let's get the next one over with.\Hinata, what's the first answer to question 6?\For this, you do this...\Question six: Please insert the correct word or phrase that goes in the parentheses\to correctly complete the idiom.\This idiom expresses that even ruthless people can show compassion or even cry at times.\Even ogres can be moved to... response:	Ow, my eyes!
