context: I was being too selfish and couldn't realize how lost and confused you were. response:	I'm not lost or confused.
context: Since he hasn't given me an answer yet, it probably means he's thinking about it in his own way.\I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer? response:	Yeah.
context: I heard their English exam's really hard, so I'm kinda worried about how much I need to know...\Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah. response:	It's almost December! Will things really be all right?
context: Let's see.\Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right? response:	But I'm the one who told him it's okay to go...
context: Takahashi... if you actually get into J University, I'll respect you for the rest of my life.\Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go... response:	And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.
context: Don't you mean you'll have the privilege of respecting me?\Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that. response:	Yeah. It's only a year.
context: Christmas is doomsday...\Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year. response:	And it's not definite that Yano's going to transfer schools.
context: Huh? But isn't Yano moving on the 24th?\And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools. response:	Let's start with your weak point, those long reading passages.
context: And he still hasn't given you an answer?\Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages. response:	Yeah.
context: Yeah.\It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah. response:	Yano...
context: It's almost December! Will things really be all right?\But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah.\Yano... response:	Yeah?
context: But I'm the one who told him it's okay to go...\And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah.\Yano...\Yeah? response:	You didn't have to apply to the College of H...
context: And besides, even in the worst case scenario, we'll only be apart for a year and I'm prepared for that.\Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah.\Yano...\Yeah?\You didn't have to apply to the College of H... response:	I'm sorry. I saw your questionnaire.
context: Yeah. It's only a year.\And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah.\Yano...\Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire. response:	Trying to get into a public and national university at the same time...
context: And it's not definite that Yano's going to transfer schools.\Let's start with your weak point, those long reading passages.\Yeah.\Yano...\Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time... response:	You won't be able to keep up, and you'll fail both exams-
context: Let's start with your weak point, those long reading passages.\Yeah.\Yano...\Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams- response:	Don't worry about it.
context: Yeah.\Yano...\Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it. response:	Just think about yourself, Takahashi.
context: Yano...\Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi. response:	Let's both do as much we can right now.
context: Yeah?\You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now. response:	You don't have to worry about me.
context: You didn't have to apply to the College of H...\I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me. response:	You're not fair!
context: I'm sorry. I saw your questionnaire.\Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me.\You're not fair! response:	Yano, you're not fair!
context: Trying to get into a public and national university at the same time...\You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me.\You're not fair!\Yano, you're not fair! response:	What now?
context: You won't be able to keep up, and you'll fail both exams-\Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me.\You're not fair!\Yano, you're not fair!\What now? response:	He always... takes hold of me so tightly like this.
context: Don't worry about it.\Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me.\You're not fair!\Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this. response:	And it's so frustrating, but I'm going to throw myself into those collage exams!
context: Just think about yourself, Takahashi.\Let's both do as much we can right now.\You don't have to worry about me.\You're not fair!\Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams! response:	Bathroom break.
context: Let's both do as much we can right now.\You don't have to worry about me.\You're not fair!\Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break. response:	Okay.
context: You don't have to worry about me.\You're not fair!\Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay. response:	Takahashi.
context: You're not fair!\Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay.\Takahashi. response:	Don't slack off.
context: Yano, you're not fair!\What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay.\Takahashi.\Don't slack off. response:	I-I'm working on it.
context: What now?\He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay.\Takahashi.\Don't slack off.\I-I'm working on it. response:	Huh...?
context: He always... takes hold of me so tightly like this.\And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay.\Takahashi.\Don't slack off.\I-I'm working on it.\Huh...? response:	I wonder how long a year apart from someone really is...
context: And it's so frustrating, but I'm going to throw myself into those collage exams!\Bathroom break.\Okay.\Takahashi.\Don't slack off.\I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is... response:	It's really gotten cold all of sudden, huh?
context: Bathroom break.\Okay.\Takahashi.\Don't slack off.\I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh? response:	Really? It seems the same as usual to me...
context: Okay.\Takahashi.\Don't slack off.\I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me... response:	Maybe...
context: Takahashi.\Don't slack off.\I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe... response:	Yano, why is your hand always so warm?
context: Don't slack off.\I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm? response:	Because my heart is always so warm... huh?
context: I-I'm working on it.\Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh? response:	Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.
context: Huh...?\I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa. response:	You have things backwards.
context: I wonder how long a year apart from someone really is...\It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards. response:	Then, why is your hand so cold, Takahashi?
context: It's really gotten cold all of sudden, huh?\Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi? response:	Because I have a warm heart.
context: Really? It seems the same as usual to me...\Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart. response:	What's so funny?
context: Maybe...\Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny? response:	Hey... let me take you somewhere nice.
context: Yano, why is your hand always so warm?\Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice. response:	The other day, I found something that looks exactly like you.
context: Because my heart is always so warm... huh?\Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you. response:	It's probably just another thing like this, isn't it?
context: Note: There's a common superstition that people with cold hands have warm hearts, and vice versa.\You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it? response:	It's a puppy...
context: You have things backwards.\Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy... response:	I thought its eyes were kinda like yours, well-separated and all.
context: Then, why is your hand so cold, Takahashi?\Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all. response:	It's so cute...
context: Because I have a warm heart.\What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute... response:	Should I catch it for you?
context: What's so funny?\Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you? response:	That's all right. You'll just waste your money.
context: Hey... let me take you somewhere nice.\The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money. response:	I'd get it on the first try.
context: The other day, I found something that looks exactly like you.\It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try. response:	How boring.
context: It's probably just another thing like this, isn't it?\It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try.\How boring. response:	I promised...
context: It's a puppy...\I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try.\How boring.\I promised... response:	I swore to myself...
context: I thought its eyes were kinda like yours, well-separated and all.\It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try.\How boring.\I promised...\I swore to myself... response:	But right now... the warmth of Yano's hand is beginning to lead me astray.
context: It's so cute...\Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try.\How boring.\I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray. response:	This isn't like you.
context: Should I catch it for you?\That's all right. You'll just waste your money.\I'd get it on the first try.\How boring.\I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you. response:	Being all wishy-washy about the decision.
context: That's all right. You'll just waste your money.\I'd get it on the first try.\How boring.\I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision. response:	Though it's understandable.
context: I'd get it on the first try.\How boring.\I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable. response:	It's a lose-lose situation always leading to regret.
context: How boring.\I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable.\It's a lose-lose situation always leading to regret. response:	But in that case, isn't it the same whichever you pick?
context: I promised...\I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable.\It's a lose-lose situation always leading to regret.\But in that case, isn't it the same whichever you pick? response:	Hey.
context: I swore to myself...\But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable.\It's a lose-lose situation always leading to regret.\But in that case, isn't it the same whichever you pick?\Hey. response:	The more you tease Takahashi like this, the harder it's going to be on her.
context: But right now... the warmth of Yano's hand is beginning to lead me astray.\This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable.\It's a lose-lose situation always leading to regret.\But in that case, isn't it the same whichever you pick?\Hey.\The more you tease Takahashi like this, the harder it's going to be on her. response:	It may seem cruel, but if you're gonna go, just tell her.
context: This isn't like you.\Being all wishy-washy about the decision.\Though it's understandable.\It's a lose-lose situation always leading to regret.\But in that case, isn't it the same whichever you pick?\Hey.\The more you tease Takahashi like this, the harder it's going to be on her.\It may seem cruel, but if you're gonna go, just tell her. response:	She normally doesn't complain very much, you know?
