context: How beautiful. response:	This must be'
context: So, it must be what?\I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them.\Yeah. response:	The breeze feels nice, doesn't it Kero-chan?
context: I forgot.\You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan? response:	Summer is almost over.
context: You surprised me, so I forgot what it was.\Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over. response:	So, did you finish your summer vacation homework?
context: Hey, hey. Dreams are important.\Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework? response:	Eh!
context: Especially the dreams of those\with power have a high chance of being a premonition.\You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework?\Eh! response:	Today it is my turn to make dinner.
context: with power have a high chance of being a premonition.\You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner. response:	What should I make?
context: You have to remember them.\Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner.\What should I make? response:	I foresee hell on the last day
context: Yeah.\The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day response:	of summer vacation.
context: The breeze feels nice, doesn't it Kero-chan?\Summer is almost over.\So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day\of summer vacation. response:	OK, we have cabbage and flour, great.
context: Summer is almost over.\So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great. response:	Today I will make okonomiyaki!
context: So, did you finish your summer vacation homework?\Eh!\Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki! response:	Yay! Okonomiyaki!
context: Eh!\Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki! response:	Well, I'm going grocery shopping.
context: Today it is my turn to make dinner.\What should I make?\I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping. response:	If you're making okonomiyaki,
context: What should I make?\I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki, response:	I want modayaki!
context: I foresee hell on the last day\of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki! response:	Modayaki! Modayaki!
context: of summer vacation.\OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki! response:	Moda'
context: OK, we have cabbage and flour, great.\Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki!\Moda' response:	OK, the one with soba on top, right?
context: Today I will make okonomiyaki!\Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right? response:	Modayaki.
context: Yay! Okonomiyaki!\Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right?\Modayaki. response:	I bought the soba, and the sauce.
context: Well, I'm going grocery shopping.\If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce. response:	A festival?
context: If you're making okonomiyaki,\I want modayaki!\Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce.\A festival? response:	It ends today?
context: I want modayaki!\Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce.\A festival?\It ends today? response:	I'll invite Tomoyo-chan and check it out.
context: Modayaki! Modayaki!\Moda'\OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce.\A festival?\It ends today?\I'll invite Tomoyo-chan and check it out. response:	Maybe I'll take a side trip.
context: Moda'\OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce.\A festival?\It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip. response:	He isn't here after all.
context: OK, the one with soba on top, right?\Modayaki.\I bought the soba, and the sauce.\A festival?\It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all. response:	Too bad.
context: Modayaki.\I bought the soba, and the sauce.\A festival?\It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all.\Too bad. response:	Sakura-chan.
context: I bought the soba, and the sauce.\A festival?\It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all.\Too bad.\Sakura-chan. response:	Eh!
context: A festival?\It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all.\Too bad.\Sakura-chan.\Eh! response:	Over here.
context: It ends today?\I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all.\Too bad.\Sakura-chan.\Eh!\Over here. response:	Good afternoon.
context: I'll invite Tomoyo-chan and check it out.\Maybe I'll take a side trip.\He isn't here after all.\Too bad.\Sakura-chan.\Eh!\Over here.\Good afternoon. response:	Yukito-san!
context: Maybe I'll take a side trip.\He isn't here after all.\Too bad.\Sakura-chan.\Eh!\Over here.\Good afternoon.\Yukito-san! response:	On an errand?
context: He isn't here after all.\Too bad.\Sakura-chan.\Eh!\Over here.\Good afternoon.\Yukito-san!\On an errand? response:	Yes! But I am finished already.
context: Too bad.\Sakura-chan.\Eh!\Over here.\Good afternoon.\Yukito-san!\On an errand?\Yes! But I am finished already. response:	Would you like to have some tea?
context: Sakura-chan.\Eh!\Over here.\Good afternoon.\Yukito-san!\On an errand?\Yes! But I am finished already.\Would you like to have some tea? response:	May I?
context: Eh!\Over here.\Good afternoon.\Yukito-san!\On an errand?\Yes! But I am finished already.\Would you like to have some tea?\May I? response:	Yeah.
context: Over here.\Good afternoon.\Yukito-san!\On an errand?\Yes! But I am finished already.\Would you like to have some tea?\May I?\Yeah. response:	I just got some good snacks.
context: Good afternoon.\Yukito-san!\On an errand?\Yes! But I am finished already.\Would you like to have some tea?\May I?\Yeah.\I just got some good snacks. response:	Ah, wait a second,
context: Yukito-san!\On an errand?\Yes! But I am finished already.\Would you like to have some tea?\May I?\Yeah.\I just got some good snacks.\Ah, wait a second, response:	I'll go over there now.
context: On an errand?\Yes! But I am finished already.\Would you like to have some tea?\May I?\Yeah.\I just got some good snacks.\Ah, wait a second,\I'll go over there now. response:	I am glad I took a side trip.
context: Yes! But I am finished already.\Would you like to have some tea?\May I?\Yeah.\I just got some good snacks.\Ah, wait a second,\I'll go over there now.\I am glad I took a side trip. response:	Here.
context: Would you like to have some tea?\May I?\Yeah.\I just got some good snacks.\Ah, wait a second,\I'll go over there now.\I am glad I took a side trip.\Here. response:	I made it a little thin.
context: May I?\Yeah.\I just got some good snacks.\Ah, wait a second,\I'll go over there now.\I am glad I took a side trip.\Here.\I made it a little thin. response:	Touya told me that you like thin tea.
context: Yeah.\I just got some good snacks.\Ah, wait a second,\I'll go over there now.\I am glad I took a side trip.\Here.\I made it a little thin.\Touya told me that you like thin tea. response:	Thank you.
context: I just got some good snacks.\Ah, wait a second,\I'll go over there now.\I am glad I took a side trip.\Here.\I made it a little thin.\Touya told me that you like thin tea.\Thank you. response:	Umm, why were you on the roof?
context: Ah, wait a second,\I'll go over there now.\I am glad I took a side trip.\Here.\I made it a little thin.\Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof? response:	Because the weather was nice.
context: I'll go over there now.\I am glad I took a side trip.\Here.\I made it a little thin.\Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof?\Because the weather was nice. response:	Where is your family?
context: I am glad I took a side trip.\Here.\I made it a little thin.\Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof?\Because the weather was nice.\Where is your family? response:	On a trip.
context: Here.\I made it a little thin.\Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof?\Because the weather was nice.\Where is your family?\On a trip. response:	My grandpa and grandma get along really well
context: I made it a little thin.\Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof?\Because the weather was nice.\Where is your family?\On a trip.\My grandpa and grandma get along really well response:	And are on a summer trip.
context: Touya told me that you like thin tea.\Thank you.\Umm, why were you on the roof?\Because the weather was nice.\Where is your family?\On a trip.\My grandpa and grandma get along really well\And are on a summer trip. response:	Just the two of them.
context: Thank you.\Umm, why were you on the roof?\Because the weather was nice.\Where is your family?\On a trip.\My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them. response:	This time it is to Atami.
context: Umm, why were you on the roof?\Because the weather was nice.\Where is your family?\On a trip.\My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them.\This time it is to Atami. response:	I see.
context: Because the weather was nice.\Where is your family?\On a trip.\My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them.\This time it is to Atami.\I see. response:	So Yukito-san is alone.
context: Where is your family?\On a trip.\My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them.\This time it is to Atami.\I see.\So Yukito-san is alone. response:	I wonder if he is lonely.
context: On a trip.\My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them.\This time it is to Atami.\I see.\So Yukito-san is alone.\I wonder if he is lonely. response:	It's good.
context: My grandpa and grandma get along really well\And are on a summer trip.\Just the two of them.\This time it is to Atami.\I see.\So Yukito-san is alone.\I wonder if he is lonely.\It's good. response:	Yes.
context: And are on a summer trip.\Just the two of them.\This time it is to Atami.\I see.\So Yukito-san is alone.\I wonder if he is lonely.\It's good.\Yes. response:	Delicious.
context: Just the two of them.\This time it is to Atami.\I see.\So Yukito-san is alone.\I wonder if he is lonely.\It's good.\Yes.\Delicious. response:	Right?
context: This time it is to Atami.\I see.\So Yukito-san is alone.\I wonder if he is lonely.\It's good.\Yes.\Delicious.\Right? response:	It was a really cute dog,
context: I see.\So Yukito-san is alone.\I wonder if he is lonely.\It's good.\Yes.\Delicious.\Right?\It was a really cute dog, response:	this time they are going to let me give it a bath.
context: So Yukito-san is alone.\I wonder if he is lonely.\It's good.\Yes.\Delicious.\Right?\It was a really cute dog,\this time they are going to let me give it a bath. response:	It would be good if she doesn't hate the bath.
context: I wonder if he is lonely.\It's good.\Yes.\Delicious.\Right?\It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath. response:	It's this late already? I have to go home.
context: It's good.\Yes.\Delicious.\Right?\It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home. response:	Is it your turn to cook today?
context: Yes.\Delicious.\Right?\It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today? response:	Yes.
context: Delicious.\Right?\It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today?\Yes. response:	Shall I walk you home?
context: Right?\It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today?\Yes.\Shall I walk you home? response:	Eh!
context: It was a really cute dog,\this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today?\Yes.\Shall I walk you home?\Eh! response:	You pack looks pretty full and heavy.
context: this time they are going to let me give it a bath.\It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today?\Yes.\Shall I walk you home?\Eh!\You pack looks pretty full and heavy. response:	And I have something I have to give back to Touya.
context: It would be good if she doesn't hate the bath.\It's this late already? I have to go home.\Is it your turn to cook today?\Yes.\Shall I walk you home?\Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya. response:	I'll take you home.
context: It's this late already? I have to go home.\Is it your turn to cook today?\Yes.\Shall I walk you home?\Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home. response:	Is it OK?
context: Is it your turn to cook today?\Yes.\Shall I walk you home?\Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home.\Is it OK? response:	Yeah.
context: Yes.\Shall I walk you home?\Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home.\Is it OK?\Yeah. response:	Today really is a good day.
context: Shall I walk you home?\Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home.\Is it OK?\Yeah.\Today really is a good day. response:	You would eat it in a time like that.
context: Eh!\You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home.\Is it OK?\Yeah.\Today really is a good day.\You would eat it in a time like that. response:	That's right.
context: You pack looks pretty full and heavy.\And I have something I have to give back to Touya.\I'll take you home.\Is it OK?\Yeah.\Today really is a good day.\You would eat it in a time like that.\That's right. response:	So I ate the gelatin in the refrigerator.
context: And I have something I have to give back to Touya.\I'll take you home.\Is it OK?\Yeah.\Today really is a good day.\You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator. response:	But it was my brother's.
context: I'll take you home.\Is it OK?\Yeah.\Today really is a good day.\You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's. response:	So it was you who ate it after all.
context: Is it OK?\Yeah.\Today really is a good day.\You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all. response:	B' Big brother.
context: Yeah.\Today really is a good day.\You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all.\B' Big brother. response:	You really surprised me.
context: Today really is a good day.\You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all.\B' Big brother.\You really surprised me. response:	It was because you were walking without looking where you were going.
context: You would eat it in a time like that.\That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all.\B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going. response:	Umm, it'll be done in just a bit.
context: That's right.\So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all.\B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit. response:	But is it OK to stay here?
context: So I ate the gelatin in the refrigerator.\But it was my brother's.\So it was you who ate it after all.\B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here? response:	Stay and eat. You're home alone, aren't you?
context: But it was my brother's.\So it was you who ate it after all.\B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you? response:	Well then, I'll help out. Should I grate these?
context: So it was you who ate it after all.\B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these? response:	Yes.
context: B' Big brother.\You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes. response:	Oh yeah, did you know there's a festival?
context: You really surprised me.\It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival? response:	Yes, I thought I would invite Tomoyo-chan and go later.
context: It was because you were walking without looking where you were going.\Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later. response:	Just the two of you?
context: Umm, it'll be done in just a bit.\But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you? response:	Yeah.
context: But is it OK to stay here?\Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah. response:	Umm'
context: Stay and eat. You're home alone, aren't you?\Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah.\Umm' response:	I'm going too.
context: Well then, I'll help out. Should I grate these?\Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah.\Umm'\I'm going too. response:	Why?
context: Yes.\Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah.\Umm'\I'm going too.\Why? response:	Because I want to.
context: Oh yeah, did you know there's a festival?\Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah.\Umm'\I'm going too.\Why?\Because I want to. response:	Eh?
context: Yes, I thought I would invite Tomoyo-chan and go later.\Just the two of you?\Yeah.\Umm'\I'm going too.\Why?\Because I want to.\Eh? response:	May I come too?
context: Just the two of you?\Yeah.\Umm'\I'm going too.\Why?\Because I want to.\Eh?\May I come too? response:	Yes! Then I will go call Tomoyo's place and ask her.
context: Yeah.\Umm'\I'm going too.\Why?\Because I want to.\Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her. response:	You're worried because there are many people at the festival,
context: Umm'\I'm going too.\Why?\Because I want to.\Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival, response:	and it's dangerous to come home so late.
context: I'm going too.\Why?\Because I want to.\Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late. response:	What a kind big brother.
context: Why?\Because I want to.\Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother. response:	Shut up.
context: Because I want to.\Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother.\Shut up. response:	Tomoyo-chan said she could.
context: Eh?\May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother.\Shut up.\Tomoyo-chan said she could. response:	Well then, the four of us will go.
context: May I come too?\Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother.\Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go. response:	Yeah.
context: Yes! Then I will go call Tomoyo's place and ask her.\You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother.\Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah. response:	Do you know the place?
context: You're worried because there are many people at the festival,\and it's dangerous to come home so late.\What a kind big brother.\Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah.\Do you know the place? response:	Yes. It was the Tsukimine shrine, wasn't it?
context: and it's dangerous to come home so late.\What a kind big brother.\Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it? response:	Yes.
context: What a kind big brother.\Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes. response:	My hand slipped a bit.
context: Shut up.\Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit. response:	Eh?
context: Tomoyo-chan said she could.\Well then, the four of us will go.\Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit.\Eh? response:	This is how okonomiyaki has to be.
context: Well then, the four of us will go.\Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit.\Eh?\This is how okonomiyaki has to be. response:	Maybe I will wear this one. I wonder if this one is better?
context: Yeah.\Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit.\Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better? response:	Going out?
context: Do you know the place?\Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit.\Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out? response:	There is a festival.
context: Yes. It was the Tsukimine shrine, wasn't it?\Yes.\My hand slipped a bit.\Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival. response:	That is good.
context: Yes.\My hand slipped a bit.\Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival.\That is good. response:	A present. Be sure to buy one.
context: My hand slipped a bit.\Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival.\That is good.\A present. Be sure to buy one. response:	Yeah.
context: Eh?\This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival.\That is good.\A present. Be sure to buy one.\Yeah. response:	It looks very good.
context: This is how okonomiyaki has to be.\Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival.\That is good.\A present. Be sure to buy one.\Yeah.\It looks very good. response:	My dad made it for me last year.
context: Maybe I will wear this one. I wonder if this one is better?\Going out?\There is a festival.\That is good.\A present. Be sure to buy one.\Yeah.\It looks very good.\My dad made it for me last year. response:	Your father really can do anything.
context: Going out?\There is a festival.\That is good.\A present. Be sure to buy one.\Yeah.\It looks very good.\My dad made it for me last year.\Your father really can do anything. response:	I brought my video camera.
context: There is a festival.\That is good.\A present. Be sure to buy one.\Yeah.\It looks very good.\My dad made it for me last year.\Your father really can do anything.\I brought my video camera. response:	You must let me film you.
context: That is good.\A present. Be sure to buy one.\Yeah.\It looks very good.\My dad made it for me last year.\Your father really can do anything.\I brought my video camera.\You must let me film you. response:	Umm'
context: A present. Be sure to buy one.\Yeah.\It looks very good.\My dad made it for me last year.\Your father really can do anything.\I brought my video camera.\You must let me film you.\Umm' response:	Over here.
context: Yeah.\It looks very good.\My dad made it for me last year.\Your father really can do anything.\I brought my video camera.\You must let me film you.\Umm'\Over here. response:	Let's go.
context: It looks very good.\My dad made it for me last year.\Your father really can do anything.\I brought my video camera.\You must let me film you.\Umm'\Over here.\Let's go. response:	Do you want that red one?
context: My dad made it for me last year.\Your father really can do anything.\I brought my video camera.\You must let me film you.\Umm'\Over here.\Let's go.\Do you want that red one? response:	Yes.
context: Your father really can do anything.\I brought my video camera.\You must let me film you.\Umm'\Over here.\Let's go.\Do you want that red one?\Yes. response:	Mister.
context: I brought my video camera.\You must let me film you.\Umm'\Over here.\Let's go.\Do you want that red one?\Yes.\Mister. response:	Ah!
context: You must let me film you.\Umm'\Over here.\Let's go.\Do you want that red one?\Yes.\Mister.\Ah! response:	Here.
context: Umm'\Over here.\Let's go.\Do you want that red one?\Yes.\Mister.\Ah!\Here. response:	Thank you!
context: Over here.\Let's go.\Do you want that red one?\Yes.\Mister.\Ah!\Here.\Thank you! response:	How cute.
context: Let's go.\Do you want that red one?\Yes.\Mister.\Ah!\Here.\Thank you!\How cute. response:	Sakura-chan is cute too.
context: Do you want that red one?\Yes.\Mister.\Ah!\Here.\Thank you!\How cute.\Sakura-chan is cute too. response:	Do you want one too, Touya?
context: Yes.\Mister.\Ah!\Here.\Thank you!\How cute.\Sakura-chan is cute too.\Do you want one too, Touya? response:	What's wrong?
context: Mister.\Ah!\Here.\Thank you!\How cute.\Sakura-chan is cute too.\Do you want one too, Touya?\What's wrong? response:	Nothing.
context: Ah!\Here.\Thank you!\How cute.\Sakura-chan is cute too.\Do you want one too, Touya?\What's wrong?\Nothing. response:	What shall we do next?
