context: What should I do for training? response:	W- what should I do to train?
context: both physically and mentally.\Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert. response:	In other words,
context: Do not forget that you hold the key to earth's fate in your hand.\Believe in your own power.\And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words, response:	it's a world of death that's enough to make this place look like heaven.
context: Believe in your own power.\And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven. response:	Wait! Where is there any food? What about baths?
context: And learn some way to effectively draw out that power.\But I...\See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths? response:	What about a bed? What about books, and notebooks, and pencils, and...
context: But I...\See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and... response:	You think there's any of that arranged for you here, sonny boy?
context: See you later. Oh, right, right.\Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy? response:	Oh, no!
context: Don't think about trying to escape from here.\This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no! response:	That's horrible!
context: This place is surrounded by nothing but expansive hellish desert.\In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible! response:	If you have to blame something, then blame your own fate. The way I do.
context: In other words,\it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do. response:	Wait!
context: it's a world of death that's enough to make this place look like heaven.\Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait! response:	I'm scared! Don't leave me here!
context: Wait! Where is there any food? What about baths?\What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here! response:	Kami- sama look strange. Something wrong?
context: What about a bed? What about books, and notebooks, and pencils, and...\You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong? response:	Sure enough, there's something different about Piccolo from how he was before.
context: You think there's any of that arranged for you here, sonny boy?\Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before. response:	He's still unmistakably evil,
context: Oh, no!\That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil, response:	but I sense that the devious abrasiveness he had in the past is fading away.
context: That's horrible!\If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away. response:	Popo thinks so too. The old Daimao not make Son Goku's son strong.
context: If you have to blame something, then blame your own fate. The way I do.\Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong. response:	What made me clearly realize that there was something strange about Piccolo...
context: Wait!\I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo... response:	his spirit went right to the Other World.
context: I'm scared! Don't leave me here!\Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World. response:	Up until now, whenever anyone was killed by the Demon Clan,
context: Kami- sama look strange. Something wrong?\Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan, response:	their spirit had been unable to pass beyond,
context: Sure enough, there's something different about Piccolo from how he was before.\He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond, response:	and they drifted through the air, as they suffered.
context: He's still unmistakably evil,\but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered. response:	Did a guy named Raditz wash up here?
context: but I sense that the devious abrasiveness he had in the past is fading away.\Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here? response:	Yeah, he was here all right.
context: Popo thinks so too. The old Daimao not make Son Goku's son strong.\What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right. response:	And yet, since Raditz had gone to the Other World,
context: What made me clearly realize that there was something strange about Piccolo...\his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World, response:	Piccolo is clearly different from how he was before.
context: his spirit went right to the Other World.\Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before. response:	You mean Piccolo has good heart?
context: Up until now, whenever anyone was killed by the Demon Clan,\their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart? response:	Perhaps he realizes it too. My life- and thus Piccolo's life
context: their spirit had been unable to pass beyond,\and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life response:	-has only one more year left in it.
context: and they drifted through the air, as they suffered.\Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it. response:	One more year?
context: Did a guy named Raditz wash up here?\Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year? response:	Whether it's because Piccolo will be killed
context: Yeah, he was here all right.\And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed response:	by the Saiyans that are to arrive in another year,
context: And yet, since Raditz had gone to the Other World,\Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year, response:	or whether it's because that is when my lifetime will run out, I do not know.
context: Piccolo is clearly different from how he was before.\You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know. response:	Kami- sama...
context: You mean Piccolo has good heart?\Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama... response:	My death means death for Piccolo, and Piccolo's death means death for me.
context: Perhaps he realizes it too. My life- and thus Piccolo's life\-has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me. response:	Even being Kami,
context: -has only one more year left in it.\One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami, response:	it is not a pleasant thing to know the time when one's death will come.
context: One more year?\Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come. response:	He has to be sensing it too.
context: Whether it's because Piccolo will be killed\by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too. response:	Maybe he just wants to leave something of himself behind,
context: by the Saiyans that are to arrive in another year,\or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind, response:	even if it is to Son Goku's son.
context: or whether it's because that is when my lifetime will run out, I do not know.\Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son. response:	Then, possibility of using Dragon Balls...
context: Kami- sama...\My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls... response:	This next time will be the last one.
context: My death means death for Piccolo, and Piccolo's death means death for me.\Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one. response:	I'm scared!
context: Even being Kami,\it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared! response:	Ee-yow!
context: it is not a pleasant thing to know the time when one's death will come.\He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared!\Ee-yow! response:	Wait up!
context: He has to be sensing it too.\Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared!\Ee-yow!\Wait up! response:	You didn't have to go around my neck like that.
context: Maybe he just wants to leave something of himself behind,\even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared!\Ee-yow!\Wait up!\You didn't have to go around my neck like that. response:	I had no idea at all that Gohan was as strong as all that.
context: even if it is to Son Goku's son.\Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared!\Ee-yow!\Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that. response:	He is my son, after all...
context: Then, possibility of using Dragon Balls...\This next time will be the last one.\I'm scared!\Ee-yow!\Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all... response:	That's right! I don't have to run along the entire road at all, huh?
context: This next time will be the last one.\I'm scared!\Ee-yow!\Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh? response:	All right then!
context: I'm scared!\Ee-yow!\Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then! response:	At this rate, I'll get there in no time!
context: Ee-yow!\Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time! response:	That was close, that was close! That's hell there beneath the clouds.
context: Wait up!\You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds. response:	Son Goku has... unfortunately... been killed.
context: You didn't have to go around my neck like that.\I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed. response:	I wonder if the shock will be too much like that.
context: I had no idea at all that Gohan was as strong as all that.\He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that. response:	Um, I'm terribly sorry, but Goku will not be returning,
context: He is my son, after all...\That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning, response:	and has entered his eternal sleep.
context: That's right! I don't have to run along the entire road at all, huh?\All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep. response:	Then again, he is coming back to life, huh?
context: All right then!\At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh? response:	That's it! I'll do it cheerfully! Yeah!
context: At this rate, I'll get there in no time!\That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah! response:	Goku died, but he's coming back to life right away, so don't worry.
context: That was close, that was close! That's hell there beneath the clouds.\Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry. response:	Kuririn!
context: Son Goku has... unfortunately... been killed.\I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn! response:	G- g- good afternoon.
context: I wonder if the shock will be too much like that.\Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon. response:	What are you doing out here, mumbling to yourself?
context: Um, I'm terribly sorry, but Goku will not be returning,\and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself? response:	W- well, you see, um... as it happens...
context: and has entered his eternal sleep.\Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens... response:	Heya! It's been a while!
context: Then again, he is coming back to life, huh?\That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while! response:	G- good afternoon... That's nice of you...
context: That's it! I'll do it cheerfully! Yeah!\Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you... response:	Aren't you together with Goku- sa and the others?
context: Goku died, but he's coming back to life right away, so don't worry.\Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others? response:	Yeah, um, the truth is, Goku has d- d- ...
context: Kuririn!\G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ... response:	What?
context: G- g- good afternoon.\What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What? response:	What's that? So he is goin' to be late?
context: What are you doing out here, mumbling to yourself?\W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late? response:	Yeah, um, yes. The truth is, the late Goku will not be returning...
context: W- well, you see, um... as it happens...\Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning... response:	He said he's not comin' home?
context: Heya! It's been a while!\G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home? response:	Er, no, he'll be returning to us very soon...
context: G- good afternoon... That's nice of you...\Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon... response:	I don't get what it is you're sayin'!
context: Aren't you together with Goku- sa and the others?\Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'! response:	Now, now, it's no good to stand here talkin' like this!
context: Yeah, um, the truth is, Goku has d- d- ...\What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this! response:	Come on in the house! Come on, come on!
context: What?\What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on! response:	I can't wait to see my grandson's happy face!
context: What's that? So he is goin' to be late?\Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face! response:	I ain't even seen him in a over year now.
context: Yeah, um, yes. The truth is, the late Goku will not be returning...\He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now. response:	I bet he's gotten a lot bigger, huh?
context: He said he's not comin' home?\Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh? response:	l can't handle this. I can't tell them. Not that he won't be back for a year...
context: Er, no, he'll be returning to us very soon...\I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year... response:	Nobody's told me anythin', so I called the Kame House earlier,
context: I don't get what it is you're sayin'!\Now, now, it's no good to stand here talkin' like this!\Come on in the house! Come on, come on!\I can't wait to see my grandson's happy face!\I ain't even seen him in a over year now.\I bet he's gotten a lot bigger, huh?\l can't handle this. I can't tell them. Not that he won't be back for a year...\Nobody's told me anythin', so I called the Kame House earlier, response:	but nobody was there.
