context: Are you human or a Corpse?! response:	I'm neither!
context: I killed him!\Then you weren't hurt?\No.\The Corpse bit me.\Huh?\I got bit.\Huh?!\Oh, but it's fine. response:	I stopped the virus right at the neck.
context: Then you weren't hurt?\No.\The Corpse bit me.\Huh?\I got bit.\Huh?!\Oh, but it's fine.\I stopped the virus right at the neck. response:	It's exactly what we studied.
context: No.\The Corpse bit me.\Huh?\I got bit.\Huh?!\Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied. response:	We might be able to save people who have been bitten now.
context: The Corpse bit me.\Huh?\I got bit.\Huh?!\Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now. response:	Takumi, we did it!
context: Huh?\I got bit.\Huh?!\Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it! response:	What is going on outside?
context: I got bit.\Huh?!\Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside? response:	Have you seen my daughter?
context: Huh?!\Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside?\Have you seen my daughter? response:	Stop making the kids cry!
context: Oh, but it's fine.\I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside?\Have you seen my daughter?\Stop making the kids cry! response:	I want to go home!
context: I stopped the virus right at the neck.\It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside?\Have you seen my daughter?\Stop making the kids cry!\I want to go home! response:	Who's that?
context: It's exactly what we studied.\We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside?\Have you seen my daughter?\Stop making the kids cry!\I want to go home!\Who's that? response:	Where did she come from?
context: We might be able to save people who have been bitten now.\Takumi, we did it!\What is going on outside?\Have you seen my daughter?\Stop making the kids cry!\I want to go home!\Who's that?\Where did she come from? response:	I calculate about 8.7 kilometers to Iron Fortress.
context: Takumi, we did it!\What is going on outside?\Have you seen my daughter?\Stop making the kids cry!\I want to go home!\Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress. response:	I have about 30 minutes left.
context: What is going on outside?\Have you seen my daughter?\Stop making the kids cry!\I want to go home!\Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left. response:	Can I make it?
context: Have you seen my daughter?\Stop making the kids cry!\I want to go home!\Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it? response:	Momoya!
context: Stop making the kids cry!\I want to go home!\Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it?\Momoya! response:	Ayame-sama!
context: I want to go home!\Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it?\Momoya!\Ayame-sama! response:	Ayame-dono!
context: Who's that?\Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it?\Momoya!\Ayame-sama!\Ayame-dono! response:	How long are we going to wait here?!
context: Where did she come from?\I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it?\Momoya!\Ayame-sama!\Ayame-dono!\How long are we going to wait here?! response:	We have to head for the Iron Fortress soon, or we won't make it!
context: I calculate about 8.7 kilometers to Iron Fortress.\I have about 30 minutes left.\Can I make it?\Momoya!\Ayame-sama!\Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it! response:	But my father said to wait for his signal.
context: I have about 30 minutes left.\Can I make it?\Momoya!\Ayame-sama!\Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal. response:	There won't be a signal!
context: Can I make it?\Momoya!\Ayame-sama!\Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal! response:	As long as the lord is absent, we must obey Ayame-sama in his stead.
context: Momoya!\Ayame-sama!\Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead. response:	Why am I wasting my time with you children?
context: Ayame-sama!\Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children? response:	I won't wait any longer.
context: Ayame-dono!\How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer. response:	We're going off on our own.
context: How long are we going to wait here?!\We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own. response:	You're still arguing about this?
context: We have to head for the Iron Fortress soon, or we won't make it!\But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own.\You're still arguing about this? response:	We'd be waiting here till dawn.
context: But my father said to wait for his signal.\There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn. response:	Nameless -san?
context: There won't be a signal!\As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san? response:	What are you wearing?
context: As long as the lord is absent, we must obey Ayame-sama in his stead.\Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san?\What are you wearing? response:	Mind your business, child!
context: Why am I wasting my time with you children?\I won't wait any longer.\We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san?\What are you wearing?\Mind your business, child! response:	What...?
context: I won't wait any longer.\We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san?\What are you wearing?\Mind your business, child!\What...? response:	I'd appreciate it if you kept your hands to yourself.
context: We're going off on our own.\You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san?\What are you wearing?\Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself. response:	Is there anyone here who can run a Railfort?
context: You're still arguing about this?\We'd be waiting here till dawn.\Nameless -san?\What are you wearing?\Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort? response:	Right here.
context: We'd be waiting here till dawn.\Nameless -san?\What are you wearing?\Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here. response:	I'm just a trainee though.
context: Nameless -san?\What are you wearing?\Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though. response:	What's so hard about moving something along a rail?
context: What are you wearing?\Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though.\What's so hard about moving something along a rail? response:	I'll make a path, so just follow me.
context: Mind your business, child!\What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me. response:	Make a path?
context: What...?\I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path? response:	Nameless -san!
context: I'd appreciate it if you kept your hands to yourself.\Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path?\Nameless -san! response:	Pressure?
context: Is there anyone here who can run a Railfort?\Right here.\I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path?\Nameless -san!\Pressure? response:	Check.
context: Right here.\I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path?\Nameless -san!\Pressure?\Check. response:	Ammunition? Check.
context: I'm just a trainee though.\What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path?\Nameless -san!\Pressure?\Check.\Ammunition? Check. response:	Wind direction?
context: What's so hard about moving something along a rail?\I'll make a path, so just follow me.\Make a path?\Nameless -san!\Pressure?\Check.\Ammunition? Check.\Wind direction? response:	A little headwind.
context: I'll make a path, so just follow me.\Make a path?\Nameless -san!\Pressure?\Check.\Ammunition? Check.\Wind direction?\A little headwind. response:	Oh, well, as long as I keep it close range.
context: Make a path?\Nameless -san!\Pressure?\Check.\Ammunition? Check.\Wind direction?\A little headwind.\Oh, well, as long as I keep it close range. response:	Watch out!
context: Nameless -san!\Pressure?\Check.\Ammunition? Check.\Wind direction?\A little headwind.\Oh, well, as long as I keep it close range.\Watch out! response:	Let's try for 100 seconds, then.
context: Pressure?\Check.\Ammunition? Check.\Wind direction?\A little headwind.\Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then. response:	Purification!
context: Check.\Ammunition? Check.\Wind direction?\A little headwind.\Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then.\Purification! response:	She's opened a path!
context: Ammunition? Check.\Wind direction?\A little headwind.\Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then.\Purification!\She's opened a path! response:	Run to the Iron Fortress!
context: Wind direction?\A little headwind.\Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then.\Purification!\She's opened a path!\Run to the Iron Fortress! response:	We have to run! This place is done for!
context: A little headwind.\Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then.\Purification!\She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for! response:	We have to escape while we can!
context: Oh, well, as long as I keep it close range.\Watch out!\Let's try for 100 seconds, then.\Purification!\She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can! response:	Everyone, please wait!
context: Watch out!\Let's try for 100 seconds, then.\Purification!\She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait! response:	They're mad, totally mad.
context: Let's try for 100 seconds, then.\Purification!\She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait!\They're mad, totally mad. response:	I'm not done yet!
context: Purification!\She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait!\They're mad, totally mad.\I'm not done yet! response:	Hey, look.
context: She's opened a path!\Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait!\They're mad, totally mad.\I'm not done yet!\Hey, look. response:	The Corpses...
context: Run to the Iron Fortress!\We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait!\They're mad, totally mad.\I'm not done yet!\Hey, look.\The Corpses... response:	And you're the last one!
context: We have to run! This place is done for!\We have to escape while we can!\Everyone, please wait!\They're mad, totally mad.\I'm not done yet!\Hey, look.\The Corpses...\And you're the last one! response:	I guess I was wrong.
context: We have to escape while we can!\Everyone, please wait!\They're mad, totally mad.\I'm not done yet!\Hey, look.\The Corpses...\And you're the last one!\I guess I was wrong. response:	Can't forget grandpa!
context: Everyone, please wait!\They're mad, totally mad.\I'm not done yet!\Hey, look.\The Corpses...\And you're the last one!\I guess I was wrong.\Can't forget grandpa! response:	One hundred and 10 seconds.
context: They're mad, totally mad.\I'm not done yet!\Hey, look.\The Corpses...\And you're the last one!\I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds. response:	I went 10 seconds over.
context: I'm not done yet!\Hey, look.\The Corpses...\And you're the last one!\I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over. response:	Ayame-sama, we should go.
context: Hey, look.\The Corpses...\And you're the last one!\I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go. response:	Yeah...
context: The Corpses...\And you're the last one!\I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go.\Yeah... response:	If we can mass-produce these guns, we'll be able to fight the Corpses!
context: And you're the last one!\I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses! response:	Okay, I got it, Ikoma.
context: I guess I was wrong.\Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma. response:	First, we need to meet up with everyone else.
context: Can't forget grandpa!\One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else. response:	Don't push, I was here first!
context: One hundred and 10 seconds.\I went 10 seconds over.\Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first! response:	Let passengers on before the cargo!
context: I went 10 seconds over.\Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo! response:	Can't we get on yet?
context: Ayame-sama, we should go.\Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet? response:	Shut up and let me on!
context: Yeah...\If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on! response:	It's the Iron Fortress!
context: If we can mass-produce these guns, we'll be able to fight the Corpses!\Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress! response:	This is an inspection!
context: Okay, I got it, Ikoma.\First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress!\This is an inspection! response:	Take off your clothes!
context: First, we need to meet up with everyone else.\Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress!\This is an inspection!\Take off your clothes! response:	It's okay, we're humans!
context: Don't push, I was here first!\Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress!\This is an inspection!\Take off your clothes!\It's okay, we're humans! response:	Then show us that you don't have any bite marks.
context: Let passengers on before the cargo!\Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress!\This is an inspection!\Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks. response:	Damn it.
context: Can't we get on yet?\Shut up and let me on!\It's the Iron Fortress!\This is an inspection!\Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it. response:	Hold on.
context: Shut up and let me on!\It's the Iron Fortress!\This is an inspection!\Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it.\Hold on. response:	They won't believe you.
context: It's the Iron Fortress!\This is an inspection!\Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it.\Hold on.\They won't believe you. response:	I'll explain it to them.
context: This is an inspection!\Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it.\Hold on.\They won't believe you.\I'll explain it to them. response:	It won't work!
context: Take off your clothes!\It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it.\Hold on.\They won't believe you.\I'll explain it to them.\It won't work! response:	It's the Corpses!
context: It's okay, we're humans!\Then show us that you don't have any bite marks.\Damn it.\Hold on.\They won't believe you.\I'll explain it to them.\It won't work!\It's the Corpses! response:	The Corpses are here!
context: Then show us that you don't have any bite marks.\Damn it.\Hold on.\They won't believe you.\I'll explain it to them.\It won't work!\It's the Corpses!\The Corpses are here! response:	Hurry up and go!
context: Damn it.\Hold on.\They won't believe you.\I'll explain it to them.\It won't work!\It's the Corpses!\The Corpses are here!\Hurry up and go! response:	What are you doing, Ikoma?!
context: Hold on.\They won't believe you.\I'll explain it to them.\It won't work!\It's the Corpses!\The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?! response:	If they see me take out the Corpses, they'll have to accept me!
context: They won't believe you.\I'll explain it to them.\It won't work!\It's the Corpses!\The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me! response:	Don't be a fool!
context: I'll explain it to them.\It won't work!\It's the Corpses!\The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool! response:	This girl...
context: It won't work!\It's the Corpses!\The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl... response:	I know her.
context: It's the Corpses!\The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl...\I know her. response:	Hey, you.
context: The Corpses are here!\Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl...\I know her.\Hey, you. response:	Hey.
context: Hurry up and go!\What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl...\I know her.\Hey, you.\Hey. response:	You change your look?
context: What are you doing, Ikoma?!\If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl...\I know her.\Hey, you.\Hey.\You change your look? response:	You look different too.
context: If they see me take out the Corpses, they'll have to accept me!\Don't be a fool!\This girl...\I know her.\Hey, you.\Hey.\You change your look?\You look different too. response:	I mean... you're really strong.
context: Don't be a fool!\This girl...\I know her.\Hey, you.\Hey.\You change your look?\You look different too.\I mean... you're really strong. response:	I guess a little.
context: This girl...\I know her.\Hey, you.\Hey.\You change your look?\You look different too.\I mean... you're really strong.\I guess a little. response:	What?
context: I know her.\Hey, you.\Hey.\You change your look?\You look different too.\I mean... you're really strong.\I guess a little.\What? response:	You're not normal, are you?
context: Hey, you.\Hey.\You change your look?\You look different too.\I mean... you're really strong.\I guess a little.\What?\You're not normal, are you? response:	There aren't any Corpses!
context: Hey.\You change your look?\You look different too.\I mean... you're really strong.\I guess a little.\What?\You're not normal, are you?\There aren't any Corpses! response:	It's the Iron Fortress!
context: You change your look?\You look different too.\I mean... you're really strong.\I guess a little.\What?\You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress! response:	We're saved!
context: You look different too.\I mean... you're really strong.\I guess a little.\What?\You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress!\We're saved! response:	Hurry up!
context: I mean... you're really strong.\I guess a little.\What?\You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress!\We're saved!\Hurry up! response:	The passenger car is in the depot!
context: I guess a little.\What?\You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress!\We're saved!\Hurry up!\The passenger car is in the depot! response:	It won't leave until you're all on board!
context: What?\You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress!\We're saved!\Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board! response:	Please, no need to rush!
context: You're not normal, are you?\There aren't any Corpses!\It's the Iron Fortress!\We're saved!\Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush! response:	Did you lead everyone here?
context: There aren't any Corpses!\It's the Iron Fortress!\We're saved!\Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here? response:	No.
context: It's the Iron Fortress!\We're saved!\Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here?\No. response:	They just followed me on their own.
context: We're saved!\Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here?\No.\They just followed me on their own. response:	You're getting on too, aren't you?
context: Hurry up!\The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here?\No.\They just followed me on their own.\You're getting on too, aren't you? response:	Yeah.
context: The passenger car is in the depot!\It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here?\No.\They just followed me on their own.\You're getting on too, aren't you?\Yeah. response:	You!
context: It won't leave until you're all on board!\Please, no need to rush!\Did you lead everyone here?\No.\They just followed me on their own.\You're getting on too, aren't you?\Yeah.\You! response:	You're supposed to be in jail.
context: Please, no need to rush!\Did you lead everyone here?\No.\They just followed me on their own.\You're getting on too, aren't you?\Yeah.\You!\You're supposed to be in jail. response:	Yeah, you almost got me killed.
context: Did you lead everyone here?\No.\They just followed me on their own.\You're getting on too, aren't you?\Yeah.\You!\You're supposed to be in jail.\Yeah, you almost got me killed. response:	Maybe you're already dead.
context: No.\They just followed me on their own.\You're getting on too, aren't you?\Yeah.\You!\You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead. response:	That's why you were able to get out of your cell.
context: They just followed me on their own.\You're getting on too, aren't you?\Yeah.\You!\You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell. response:	You're wrong.
context: You're getting on too, aren't you?\Yeah.\You!\You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong. response:	He's not a Corpse.
context: Yeah.\You!\You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse. response:	What...?
context: You!\You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse.\What...? response:	I've been saying it this whole time.
context: You're supposed to be in jail.\Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse.\What...?\I've been saying it this whole time. response:	I'm not a Corpse!
context: Yeah, you almost got me killed.\Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse.\What...?\I've been saying it this whole time.\I'm not a Corpse! response:	He's not a Corpse.
context: Maybe you're already dead.\That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse.\What...?\I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse. response:	Why are we getting on at the very back?
context: That's why you were able to get out of your cell.\You're wrong.\He's not a Corpse.\What...?\I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse.\Why are we getting on at the very back? response:	I want to be near the boiler.
context: You're wrong.\He's not a Corpse.\What...?\I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse.\Why are we getting on at the very back?\I want to be near the boiler. response:	Once it's ready, the next step is ignition.
context: He's not a Corpse.\What...?\I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse.\Why are we getting on at the very back?\I want to be near the boiler.\Once it's ready, the next step is ignition. response:	Yes, sir.
context: What...?\I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse.\Why are we getting on at the very back?\I want to be near the boiler.\Once it's ready, the next step is ignition.\Yes, sir. response:	Ayame-sama, if you would please.
context: I've been saying it this whole time.\I'm not a Corpse!\He's not a Corpse.\Why are we getting on at the very back?\I want to be near the boiler.\Once it's ready, the next step is ignition.\Yes, sir.\Ayame-sama, if you would please. response:	Yes...
