context: Look, Kaoru-san! response:	It's...
context: What is that, avant-garde?\Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay... response:	What's wrong, Kaoru-kun?
context: Come on, Richie. Get your head on straight.\How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun? response:	I'm just going to get a little fresh air.
context: How we gonna have a session?\Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air. response:	Ri-chan...
context: Everyone, Yurika-san is here!\Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan... response:	Huh?
context: Ri-chan, didn't your dad tell you that outsiders aren't allowed down here?\Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan...\Huh? response:	It's Richie...
context: Yurika-san is our friend, so I'm sure Dad wouldn't mind.\Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan...\Huh?\It's Richie... response:	Sentaro's sister... Sachiko-chan, right?
context: Well, Yurika-san, enjoy.\O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan...\Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right? response:	Are you playing by yourself?
context: O-Okay...\What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan...\Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself? response:	Yeah. All my friends are off at cram school...
context: What's wrong, Kaoru-kun?\I'm just going to get a little fresh air.\Ri-chan...\Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school... response:	I see...
context: I'm just going to get a little fresh air.\Ri-chan...\Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see... response:	Then how about we play together?
context: Ri-chan...\Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see...\Then how about we play together? response:	Really?
context: Huh?\It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see...\Then how about we play together?\Really? response:	Huh?
context: It's Richie...\Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see...\Then how about we play together?\Really?\Huh? response:	It's not playing? That's strange...
context: Sentaro's sister... Sachiko-chan, right?\Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see...\Then how about we play together?\Really?\Huh?\It's not playing? That's strange... response:	That thing's a relic, so sometimes it gets ornery.
context: Are you playing by yourself?\Yeah. All my friends are off at cram school...\I see...\Then how about we play together?\Really?\Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery. response:	At a time like this, you have to work a little magic on it.
context: Yeah. All my friends are off at cram school...\I see...\Then how about we play together?\Really?\Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it. response:	Wow, Brother Jun. How'd that get it to work?
context: I see...\Then how about we play together?\Really?\Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work? response:	Beats me.
context: Then how about we play together?\Really?\Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me. response:	Hello, is this the Children's Telephone Counseling Office?
context: Really?\Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office? response:	Oh, that's right.
context: Huh?\It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right. response:	See, there's this boy, Hashiguchi-kun, who's always mean to me.
context: It's not playing? That's strange...\That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me. response:	He hides my slippers, pulls my hair...
context: That thing's a relic, so sometimes it gets ornery.\At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair... response:	What do you think I should do?
context: At a time like this, you have to work a little magic on it.\Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do? response:	Hmm... Let's see...
context: Wow, Brother Jun. How'd that get it to work?\Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see... response:	You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.
context: Beats me.\Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan. response:	My guess is he wants to be friends with you,
context: Hello, is this the Children's Telephone Counseling Office?\Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you, response:	but doesn't know how to express his feelings,
context: Oh, that's right.\See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings, response:	so he acts out like that without really thinking about it.
context: See, there's this boy, Hashiguchi-kun, who's always mean to me.\He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it. response:	He does not!
context: He hides my slippers, pulls my hair...\What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not! response:	Recently, I made the girl that I really like cry, too.
context: What do you think I should do?\Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too. response:	I want to apologize to her...
context: Hmm... Let's see...\You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her... response:	I don't forgive you.
context: You know, maybe that Hashiguchi-kun actually likes you, Sachiko-chan.\My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you. response:	That was my first time.
context: My guess is he wants to be friends with you,\but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you.\That was my first time. response:	It's no good. I can't stay mad at you...
context: but doesn't know how to express his feelings,\so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you... response:	Kaoru-san...
context: so he acts out like that without really thinking about it.\He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san... response:	There's something I have to tell you...
context: He does not!\Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you... response:	Coincidentally, I've been going to the shop for a while.
context: Recently, I made the girl that I really like cry, too.\I want to apologize to her...\I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while. response:	I had no idea it was your family's...
context: I want to apologize to her...\I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's... response:	Shirayuri
context: I don't forgive you.\That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri response:	The coincidences keep on coming...
context: That was my first time.\It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri\The coincidences keep on coming... response:	Even the name is similar...
context: It's no good. I can't stay mad at you...\Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri\The coincidences keep on coming...\Even the name is similar... response:	Actually, there's someone that I like...
context: Kaoru-san...\There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri\The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like... response:	Right now... he's the only one I can think of...
context: There's something I have to tell you...\Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri\The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of... response:	I'm flattered by the way you feel about me, Kaoru-san...
context: Coincidentally, I've been going to the shop for a while.\I had no idea it was your family's...\Shirayuri\The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san... response:	I'm flattered, but...
context: I had no idea it was your family's...\Shirayuri\The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but... response:	I understand.
context: Shirayuri\The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand. response:	Sentaro...
context: The coincidences keep on coming...\Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand.\Sentaro... response:	H-Hi... What's wrong?
context: Even the name is similar...\Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand.\Sentaro...\H-Hi... What's wrong? response:	You seem kinda troubled...
context: Actually, there's someone that I like...\Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand.\Sentaro...\H-Hi... What's wrong?\You seem kinda troubled... response:	Here, eat this an' cheer up.
context: Right now... he's the only one I can think of...\I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand.\Sentaro...\H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up. response:	Sentaro... What should I do?
context: I'm flattered by the way you feel about me, Kaoru-san...\I'm flattered, but...\I understand.\Sentaro...\H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do? response:	I said something terrible to Kaoru-san...
context: I'm flattered, but...\I understand.\Sentaro...\H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san... response:	Kaoru-san might not come back here again...
context: I understand.\Sentaro...\H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again... response:	Thank you.
context: Sentaro...\H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you. response:	Sachiko...
context: H-Hi... What's wrong?\You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you.\Sachiko... response:	Do you...
context: You seem kinda troubled...\Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you.\Sachiko...\Do you... response:	I'm sleepy!
context: Here, eat this an' cheer up.\Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you.\Sachiko...\Do you...\I'm sleepy! response:	I'm hungry!
context: Sentaro... What should I do?\I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you.\Sachiko...\Do you...\I'm sleepy!\I'm hungry! response:	N-Never mind!
context: I said something terrible to Kaoru-san...\Kaoru-san might not come back here again...\Thank you.\Sachiko...\Do you...\I'm sleepy!\I'm hungry!\N-Never mind! response:	School starts again today...?
context: Kaoru-san might not come back here again...\Thank you.\Sachiko...\Do you...\I'm sleepy!\I'm hungry!\N-Never mind!\School starts again today...? response:	I-I can't ask...
context: Thank you.\Sachiko...\Do you...\I'm sleepy!\I'm hungry!\N-Never mind!\School starts again today...?\I-I can't ask... response:	It's impossible to talk about romantic stuff here in this house...
context: Sachiko...\Do you...\I'm sleepy!\I'm hungry!\N-Never mind!\School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house... response:	Richie! It's been too long!
context: Do you...\I'm sleepy!\I'm hungry!\N-Never mind!\School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long! response:	Why didn't you come over for practice during winter vacation?
context: I'm sleepy!\I'm hungry!\N-Never mind!\School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation? response:	Oh... Sorry...
context: I'm hungry!\N-Never mind!\School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry... response:	Um... The teacher told me to give this to you...
context: N-Never mind!\School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you... response:	Thanks.
context: School starts again today...?\I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks. response:	Dad's finally come back...
context: I-I can't ask...\It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back... response:	that I can't bring myself to talk about anything.
context: It's impossible to talk about romantic stuff here in this house...\Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything. response:	Hey!
context: Richie! It's been too long!\Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything.\Hey! response:	Sen...! What are you doing out there?!
context: Why didn't you come over for practice during winter vacation?\Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?! response:	Richie! Get outta the way!
context: Oh... Sorry...\Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way! response:	Richie, get a jacket on!
context: Um... The teacher told me to give this to you...\Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on! response:	We're gonna practice.
context: Thanks.\Dad's finally come back...\that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice. response:	Forget it.
context: Dad's finally come back...\that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice.\Forget it. response:	Ri'ko is lonely without you around.
context: that I can't bring myself to talk about anything.\Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice.\Forget it.\Ri'ko is lonely without you around. response:	Come on, all you gotta do is stop by the shop...
context: Hey!\Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice.\Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop... response:	I'm not going back there again.
context: Sen...! What are you doing out there?!\Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice.\Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again. response:	Do you really mean that?
context: Richie! Get outta the way!\Richie, get a jacket on!\We're gonna practice.\Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that? response:	Yeah.
context: Richie, get a jacket on!\We're gonna practice.\Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that?\Yeah. response:	Kaoru, got a minute?
context: We're gonna practice.\Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that?\Yeah.\Kaoru, got a minute? response:	I thought I heard a loud noise coming from here a minute ago.
context: Forget it.\Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that?\Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago. response:	Oh, really?
context: Ri'ko is lonely without you around.\Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that?\Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really? response:	Never mind. Actually, I wanted to give you this letter.
context: Come on, all you gotta do is stop by the shop...\I'm not going back there again.\Do you really mean that?\Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter. response:	A letter?
context: I'm not going back there again.\Do you really mean that?\Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter? response:	It's from Shizu-san, our old housekeeper, remember?
context: Do you really mean that?\Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember? response:	Shizu-san? Oh, that takes me back...
context: Yeah.\Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back... response:	She wrote about your mother.
context: Kaoru, got a minute?\I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother. response:	We've had our problems over the years...
context: I thought I heard a loud noise coming from here a minute ago.\Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years... response:	She got your mother's address and insisted I pass it on to you.
context: Oh, really?\Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you. response:	We split up when you were still little,
context: Never mind. Actually, I wanted to give you this letter.\A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little, response:	so you might not remember your mom very well...
context: A letter?\It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little,\so you might not remember your mom very well... response:	But if you'd like to go see her, you could, maybe on your next break...
context: It's from Shizu-san, our old housekeeper, remember?\Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little,\so you might not remember your mom very well...\But if you'd like to go see her, you could, maybe on your next break... response:	I know this is sudden and may leave you at a loss,
context: Shizu-san? Oh, that takes me back...\She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little,\so you might not remember your mom very well...\But if you'd like to go see her, you could, maybe on your next break...\I know this is sudden and may leave you at a loss, response:	but whether you go or not is totally up to you.
context: She wrote about your mother.\We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little,\so you might not remember your mom very well...\But if you'd like to go see her, you could, maybe on your next break...\I know this is sudden and may leave you at a loss,\but whether you go or not is totally up to you. response:	Well, I'll let you get back to your studies.
context: We've had our problems over the years...\She got your mother's address and insisted I pass it on to you.\We split up when you were still little,\so you might not remember your mom very well...\But if you'd like to go see her, you could, maybe on your next break...\I know this is sudden and may leave you at a loss,\but whether you go or not is totally up to you.\Well, I'll let you get back to your studies. response:	Richie. You can bring her some sweet rice treats as a souvenir.
