context: They seem strange and alien. response:	Primitive and peculiar,
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	Whenever he drank, my father would tell me this story.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Whenever he drank, my father would tell me this story. response:	I wonder how many years it's been now.
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now. response:	One evening, on his way home from a neighboring village,
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village, response:	he found himself lost.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost. response:	He walked and walked until he lost sight of the road,
context: Mushi-Shi\Just for you\Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road, response:	but just when he was at a complete loss...
context: Just for you\Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss... response:	Finally!
context: Like I used to\Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally! response:	Thank goodness.
context: Whenever he drank, my father would tell me this story.\I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally!\Thank goodness. response:	That's where the road must be.
context: I wonder how many years it's been now.\One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally!\Thank goodness.\That's where the road must be. response:	Huh? I wonder where that light is coming from.
context: One evening, on his way home from a neighboring village,\he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally!\Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from. response:	The Banquet at the Edge of the Forest
context: he found himself lost.\He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally!\Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest response:	As he drew closer,
context: He walked and walked until he lost sight of the road,\but just when he was at a complete loss...\Finally!\Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer, response:	an indescribably alluring scent of sake wafted toward him.
context: but just when he was at a complete loss...\Finally!\Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him. response:	With that scent compelling him to sit down and take a sip,
context: Finally!\Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip, response:	he snuck into the gathering to do just so.
context: Thank goodness.\That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so. response:	The sake he'd smelled gleamed like pure gold.
context: That's where the road must be.\Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold. response:	Rokusuke.
context: Huh? I wonder where that light is coming from.\The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke. response:	Oh, I'm over here!
context: The Banquet at the Edge of the Forest\As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here! response:	You've done a fine job.
context: As he drew closer,\an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here!\You've done a fine job. response:	You can head home for the day and relax.
context: an indescribably alluring scent of sake wafted toward him.\With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax. response:	Thank you.
context: With that scent compelling him to sit down and take a sip,\he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax.\Thank you. response:	Oh, um, Brewmaster?
context: he snuck into the gathering to do just so.\The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster? response:	Hm?
context: The sake he'd smelled gleamed like pure gold.\Rokusuke.\Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster?\Hm? response:	I was wondering if I might take home a bit of this year's sake.
context: Rokusuke.\Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake. response:	Oh, of course.
context: Oh, I'm over here!\You've done a fine job.\You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course. response:	I'm certain your father will be impressed this year.
context: You've done a fine job.\You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year. response:	When I was young, whenever Dad brewed sake,
context: You can head home for the day and relax.\Thank you.\Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake, response:	I'd have to take it to the neighboring village, much like I'm doing now.
context: Thank you.\Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now. response:	During those times,
context: Oh, um, Brewmaster?\Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times, response:	the moment I stepped onto the mountain path,
context: Hm?\I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path, response:	I felt like there were things clinging to me everywhere.
context: I was wondering if I might take home a bit of this year's sake.\Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere. response:	Whoa...
context: Oh, of course.\I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa... response:	Phew, that was close.
context: I'm certain your father will be impressed this year.\When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close. response:	By the time I finally reached the village,
context: When I was young, whenever Dad brewed sake,\I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close.\By the time I finally reached the village, response:	there was always noticeably less sake.
context: I'd have to take it to the neighboring village, much like I'm doing now.\During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake. response:	The brewmaster confronted me about it one day and scolded me rather harshly,
context: During those times,\the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly, response:	but my father never once reproached me because of it.
context: the moment I stepped onto the mountain path,\I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it. response:	When you were in the mountains, did it feel like something was clinging to you?
context: I felt like there were things clinging to me everywhere.\Whoa...\Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you? response:	It did! There was stuff all around me that I couldn't see,
context: Whoa...\Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see, response:	and before I knew it, some of the sake had disappeared.
context: Phew, that was close.\By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared. response:	Really!
context: By the time I finally reached the village,\there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really! response:	I see.
context: there was always noticeably less sake.\The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really!\I see. response:	Those things that clung to you love good sake.
context: The brewmaster confronted me about it one day and scolded me rather harshly,\but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really!\I see.\Those things that clung to you love good sake. response:	They must have found our brew to be to their liking again this year.
context: but my father never once reproached me because of it.\When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really!\I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year. response:	But even tasting this good, it's still a far cry from that golden sake.
context: When you were in the mountains, did it feel like something was clinging to you?\It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really!\I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake. response:	Golden sake?
context: It did! There was stuff all around me that I couldn't see,\and before I knew it, some of the sake had disappeared.\Really!\I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake? response:	I've told you about it before, haven't I?
context: and before I knew it, some of the sake had disappeared.\Really!\I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I? response:	That shining, golden sake...
context: Really!\I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I?\That shining, golden sake... response:	I'll never forget how it tasted.
context: I see.\Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted. response:	I've been trying to get my sake to taste like that ever since.
context: Those things that clung to you love good sake.\They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since. response:	Sake is a living thing, you know.
context: They must have found our brew to be to their liking again this year.\But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know. response:	If I open up my senses and listen to what it's saying,
context: But even tasting this good, it's still a far cry from that golden sake.\Golden sake?\I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying, response:	I'm certain it'll respond to me someday.
context: Golden sake?\I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday. response:	Sake can speak?
context: I've told you about it before, haven't I?\That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak? response:	Yeah.
context: That shining, golden sake...\I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak?\Yeah. response:	If you intend to brew sake yourself one day, be sure to remember that.
context: I'll never forget how it tasted.\I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that. response:	I've finally done it, Dad.
context: I've been trying to get my sake to taste like that ever since.\Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad. response:	Yeah, it's perfect!
context: Sake is a living thing, you know.\If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect! response:	Whoa!
context: If I open up my senses and listen to what it's saying,\I'm certain it'll respond to me someday.\Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect!\Whoa! response:	I'm tripping all over myself, for some reason.
context: I'm certain it'll respond to me someday.\Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason. response:	Am I drunk already?
context: Sake can speak?\Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already? response:	Huh?
context: Yeah.\If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already?\Huh? response:	Where am I?
context: If you intend to brew sake yourself one day, be sure to remember that.\I've finally done it, Dad.\Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already?\Huh?\Where am I? response:	I must've taken a wrong turn somewhere.
context: I've finally done it, Dad.\Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already?\Huh?\Where am I?\I must've taken a wrong turn somewhere. response:	I should retrace my steps.
context: Yeah, it's perfect!\Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already?\Huh?\Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps. response:	What?
context: Whoa!\I'm tripping all over myself, for some reason.\Am I drunk already?\Huh?\Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps.\What? response:	What is this? Are these hairs from a wild animal?
context: I'm tripping all over myself, for some reason.\Am I drunk already?\Huh?\Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps.\What?\What is this? Are these hairs from a wild animal? response:	Wai
context: Am I drunk already?\Huh?\Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps.\What?\What is this? Are these hairs from a wild animal?\Wai response:	Hey!
context: Huh?\Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps.\What?\What is this? Are these hairs from a wild animal?\Wai\Hey! response:	Stop!
context: Where am I?\I must've taken a wrong turn somewhere.\I should retrace my steps.\What?\What is this? Are these hairs from a wild animal?\Wai\Hey!\Stop! response:	Hey, where are you taking it?!
context: I must've taken a wrong turn somewhere.\I should retrace my steps.\What?\What is this? Are these hairs from a wild animal?\Wai\Hey!\Stop!\Hey, where are you taking it?! response:	Get back here.
context: I should retrace my steps.\What?\What is this? Are these hairs from a wild animal?\Wai\Hey!\Stop!\Hey, where are you taking it?!\Get back here. response:	Give me that!
context: What?\What is this? Are these hairs from a wild animal?\Wai\Hey!\Stop!\Hey, where are you taking it?!\Get back here.\Give me that! response:	Huh? I wonder where that light's coming from.
context: What is this? Are these hairs from a wild animal?\Wai\Hey!\Stop!\Hey, where are you taking it?!\Get back here.\Give me that!\Huh? I wonder where that light's coming from. response:	Why are they in a place like this?
context: Wai\Hey!\Stop!\Hey, where are you taking it?!\Get back here.\Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this? response:	What are you doing?
context: Hey!\Stop!\Hey, where are you taking it?!\Get back here.\Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing? response:	Um, well...
context: Stop!\Hey, where are you taking it?!\Get back here.\Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing?\Um, well... response:	Oh, you have kouki.
context: Hey, where are you taking it?!\Get back here.\Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing?\Um, well...\Oh, you have kouki. response:	No need for you to be shy, then.
context: Get back here.\Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing?\Um, well...\Oh, you have kouki.\No need for you to be shy, then. response:	The sake's shining.
context: Give me that!\Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing?\Um, well...\Oh, you have kouki.\No need for you to be shy, then.\The sake's shining. response:	Does that mean this is...
context: Huh? I wonder where that light's coming from.\Why are they in a place like this?\What are you doing?\Um, well...\Oh, you have kouki.\No need for you to be shy, then.\The sake's shining.\Does that mean this is... response:	the sake Dad told me about?
context: Why are they in a place like this?\What are you doing?\Um, well...\Oh, you have kouki.\No need for you to be shy, then.\The sake's shining.\Does that mean this is...\the sake Dad told me about? response:	I don't remember ever meeting you before.
context: What are you doing?\Um, well...\Oh, you have kouki.\No need for you to be shy, then.\The sake's shining.\Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before. response:	You a new mushi-shi?
context: Um, well...\Oh, you have kouki.\No need for you to be shy, then.\The sake's shining.\Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi? response:	Huh?
context: Oh, you have kouki.\No need for you to be shy, then.\The sake's shining.\Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi?\Huh? response:	Uh...
context: No need for you to be shy, then.\The sake's shining.\Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi?\Huh?\Uh... response:	So they'll go away if I give them some sake?
context: The sake's shining.\Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi?\Huh?\Uh...\So they'll go away if I give them some sake? response:	Mushi-shi? Is that what these people are?
context: Does that mean this is...\the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi?\Huh?\Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are? response:	Hey, Ginko.
context: the sake Dad told me about?\I don't remember ever meeting you before.\You a new mushi-shi?\Huh?\Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko. response:	I've got some good mushi cigarettes this time.
context: I don't remember ever meeting you before.\You a new mushi-shi?\Huh?\Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time. response:	You don't say.
context: You a new mushi-shi?\Huh?\Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say. response:	Want a few in exchange for some kouki?
context: Huh?\Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki? response:	What, are you out?
context: Uh...\So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki?\What, are you out? response:	I don't have much left myself, though.
context: So they'll go away if I give them some sake?\Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though. response:	Come on!
context: Mushi-shi? Is that what these people are?\Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though.\Come on! response:	I'm sure you can spare at least a drop!
context: Hey, Ginko.\I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop! response:	All right, then... in exchange for all your cigarettes.
context: I've got some good mushi cigarettes this time.\You don't say.\Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes. response:	What?!
context: You don't say.\Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?! response:	Isn't that a bit too much?
context: Want a few in exchange for some kouki?\What, are you out?\I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much? response:	Well, you're the one who ran out of kouki.
context: What, are you out?\I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki. response:	Come on, man, don't be like that.
context: I don't have much left myself, though.\Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that. response:	Hey, you!
context: Come on!\I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you! response:	That's right. I'm talking to you.
context: I'm sure you can spare at least a drop!\All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you!\That's right. I'm talking to you. response:	That's kouki you've got in there, isn't it?
context: All right, then... in exchange for all your cigarettes.\What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you!\That's right. I'm talking to you.\That's kouki you've got in there, isn't it? response:	Can't you spread the love a little?
context: What?!\Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you!\That's right. I'm talking to you.\That's kouki you've got in there, isn't it?\Can't you spread the love a little? response:	Actually, this is...
context: Isn't that a bit too much?\Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you!\That's right. I'm talking to you.\That's kouki you've got in there, isn't it?\Can't you spread the love a little?\Actually, this is... response:	That jug looks nice and heavy.
context: Well, you're the one who ran out of kouki.\Come on, man, don't be like that.\Hey, you!\That's right. I'm talking to you.\That's kouki you've got in there, isn't it?\Can't you spread the love a little?\Actually, this is...\That jug looks nice and heavy. response:	Quit being so stingy.
