context: Science Fell in Love, So I Tried to Prove It response:	Gone Home
context: Can't help looking at him\Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love. response:	Our knowledge of romance is severely lacking.
context: Love' Kanade love, Takahashi\Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking. response:	The first thing we need to do is find someone who is in love!
context: Handsome when absorbed in something\If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love! response:	In Lab
context: If it means being together, can work hard at anything\These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab response:	4th dimension
context: These are the components of love we have identified so far.\And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab\4th dimension response:	Rm. 507
context: And, at this point, we haven't proven heart rate is one of the elements yet.\Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab\4th dimension\Rm. 507 response:	Yukimura
context: Proof 3 Science-types Fell in Love, So They Try Planning a Date.\We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab\4th dimension\Rm. 507\Yukimura response:	Kanade
context: We don't have enough sample data to calculate the base conditions for love.\Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab\4th dimension\Rm. 507\Yukimura\Kanade response:	Ikeda
context: Our knowledge of romance is severely lacking.\The first thing we need to do is find someone who is in love!\In Lab\4th dimension\Rm. 507\Yukimura\Kanade\Ikeda response:	Inukai
context: The first thing we need to do is find someone who is in love!\In Lab\4th dimension\Rm. 507\Yukimura\Kanade\Ikeda\Inukai response:	Wassup?!
context: In Lab\4th dimension\Rm. 507\Yukimura\Kanade\Ikeda\Inukai\Wassup?! response:	What's this? Ibarada's not here, huh?
context: 4th dimension\Rm. 507\Yukimura\Kanade\Ikeda\Inukai\Wassup?!\What's this? Ibarada's not here, huh? response:	That's lucky.
context: Rm. 507\Yukimura\Kanade\Ikeda\Inukai\Wassup?!\What's this? Ibarada's not here, huh?\That's lucky. response:	Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika
context: Yukimura\Kanade\Ikeda\Inukai\Wassup?!\What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika response:	Morning, Kosuke-kun.
context: Kanade\Ikeda\Inukai\Wassup?!\What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun. response:	'Sup?
context: Ikeda\Inukai\Wassup?!\What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup? response:	I haven't seen you in a while. Were you with your soccer club?
context: Inukai\Wassup?!\What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club? response:	I already retired from that.
context: Wassup?!\What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that. response:	I've just been out enjoying the nightlife a bit is all.
context: What's this? Ibarada's not here, huh?\That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all. response:	And you, my senpai, have you gotten all fired up about any research lately?
context: That's lucky.\Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately? response:	Perfect timing.
context: Saitama University 4th year college student Inukai Kosuke Height: 179 cm Weight: 71 kg Blood type: B Hobbies: Games (Dating sims), soccer Favorite foods: Ramen, Hamburg steak, curry Favorite phrase: Event Horizon Idol: Yukimura Shinya, Cristiano Ronaldo Future goals: Game developer, erect a bronze statue of Aika\Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing. response:	Kosuke, I have a question for you.
context: Morning, Kosuke-kun.\'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you. response:	Are you in love with anyone?
context: 'Sup?\I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone? response:	That's a foolish question.
context: I haven't seen you in a while. Were you with your soccer club?\I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question. response:	I'm a man who lives on love!
context: I already retired from that.\I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love! response:	The number of women I've loved is impossible to count.
context: I've just been out enjoying the nightlife a bit is all.\And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count. response:	That's a great help.
context: And you, my senpai, have you gotten all fired up about any research lately?\Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help. response:	In that case, who are you in love with currently?
context: Perfect timing.\Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently? response:	Her name is Aika. My lover who lives in a far, distant world.
context: Kosuke, I have a question for you.\Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world. response:	A distant world...
context: Are you in love with anyone?\That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world... response:	Love' Kosuke lo ve, Aika
context: That's a foolish question.\I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika response:	What they call a long-distance relationship, then...
context: I'm a man who lives on love!\The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then... response:	And what proof leads you to determine that you love this Aika?
context: The number of women I've loved is impossible to count.\That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika? response:	Proof?
context: That's a great help.\In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof? response:	Hmm... Let's see...
context: In that case, who are you in love with currently?\Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see... response:	Just being with her is fun, and my heart feels like it's racing!
context: Her name is Aika. My lover who lives in a far, distant world.\A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing! response:	I suppose... that's what people call happiness.
context: A distant world...\Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness. response:	I understand, Kosuke-kun.
context: Love' Kosuke lo ve, Aika\What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun. response:	I feel the same way when I'm with Yukimura-kun.
context: What they call a long-distance relationship, then...\And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun. response:	When I'm with him, everything is fun.
context: And what proof leads you to determine that you love this Aika?\Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun. response:	When I'm with him, my heart races.
context: Proof?\Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races. response:	These seem likely to be the base conditions for love.
context: Hmm... Let's see...\Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love. response:	What else?
context: Just being with her is fun, and my heart feels like it's racing!\I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else? response:	If possible, something with a numerical value would be preferred.
context: I suppose... that's what people call happiness.\I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred. response:	A numerical value?
context: I understand, Kosuke-kun.\I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred.\A numerical value? response:	Oh!
context: I feel the same way when I'm with Yukimura-kun.\When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred.\A numerical value?\Oh! response:	For Aika, I've ended up spending a total of about 227,000 yen,
context: When I'm with him, everything is fun.\When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred.\A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen, response:	but that's only to be expected, isn't it?
context: When I'm with him, my heart races.\These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred.\A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it? response:	Two hundred twenty-seven... thousand yen?
context: These seem likely to be the base conditions for love.\What else?\If possible, something with a numerical value would be preferred.\A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen? response:	The amount of money I've spent on Yukimura-kun is...
context: What else?\If possible, something with a numerical value would be preferred.\A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is... response:	It's not like there's anyone else giving you birthday presents, is there?
context: If possible, something with a numerical value would be preferred.\A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there? response:	You always say one thing too much.
context: A numerical value?\Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much. response:	Even if it is only one factor,
context: Oh!\For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor, response:	yen
context: For Aika, I've ended up spending a total of about 227,000 yen,\but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor,\yen response:	Love' Himuro love, Yukimura
context: but that's only to be expected, isn't it?\Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor,\yen\Love' Himuro love, Yukimura response:	yen
context: Two hundred twenty-seven... thousand yen?\The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor,\yen\Love' Himuro love, Yukimura\yen response:	Love' Kosuke love, Aika
context: The amount of money I've spent on Yukimura-kun is...\It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor,\yen\Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika response:	a simple calculation shows a 311.8-fold gap.
context: It's not like there's anyone else giving you birthday presents, is there?\You always say one thing too much.\Even if it is only one factor,\yen\Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap. response:	311.8 times
context: You always say one thing too much.\Even if it is only one factor,\yen\Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times response:	Is that how much stronger Kosuke's feelings are?
context: Even if it is only one factor,\yen\Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are? response:	Also, and this is obvious, too, but...
context: yen\Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but... response:	Every night for the last two years, without fail,
context: Love' Himuro love, Yukimura\yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail, response:	I've held her in my arms.
context: yen\Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms. response:	H-Held her...?
context: Love' Kosuke love, Aika\a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...? response:	It can't be...
context: a simple calculation shows a 311.8-fold gap.\311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...?\It can't be... response:	I've never once held Yukimura-kun and fallen asleep with him...
context: 311.8 times\Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him... response:	Wait. I did.
context: Is that how much stronger Kosuke's feelings are?\Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did. response:	It happened once.
context: Also, and this is obvious, too, but...\Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once. response:	Love' Himuro love, Yukimura
context: Every night for the last two years, without fail,\I've held her in my arms.\H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once.\Love' Himuro love, Yukimura response:	Love' Kosuke love, Aika
context: I've held her in my arms.\H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika response:	But, every night for more than two years?
context: H-Held her...?\It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years? response:	Hup!
context: It can't be...\I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years?\Hup! response:	Which means, 365 x 2...
context: I've never once held Yukimura-kun and fallen asleep with him...\Wait. I did.\It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years?\Hup!\Which means, 365 x 2... response:	730 times!
context: Wait. I did.\It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years?\Hup!\Which means, 365 x 2...\730 times! response:	The index of him holding her is at least 730 times that of mine!
context: It happened once.\Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years?\Hup!\Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine! response:	times!!
context: Love' Himuro love, Yukimura\Love' Kosuke love, Aika\But, every night for more than two years?\Hup!\Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine!\times!! response:	Th-This can't be...
context: Love' Kosuke love, Aika\But, every night for more than two years?\Hup!\Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be... response:	Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...
context: But, every night for more than two years?\Hup!\Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but... response:	Looking at it objectively, I might have been mistaken.
context: Hup!\Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken. response:	Is this the true form of a person in love?
context: Which means, 365 x 2...\730 times!\The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love? response:	If you don't feel at least that much, is it wrong to call it love?
context: 730 times!\The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love? response:	When you say Aika-chan, do you mean this girl?
context: The index of him holding her is at least 730 times that of mine!\times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl? response:	Rika Koi Another
context: times!!\Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another response:	Ibarada! Where'd you come from?!
context: Th-This can't be...\Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?! response:	Give it back!
context: Several pieces of evidence lead me to conclude that I might love Yukimura-kun, but...\Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?!\Give it back! response:	You really do love your tsundere characters, don't you, Torasuke?
context: Looking at it objectively, I might have been mistaken.\Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke? response:	Silence, Ibarada!
context: Is this the true form of a person in love?\If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada! response:	What do you know about my preferences?!
context: If you don't feel at least that much, is it wrong to call it love?\When you say Aika-chan, do you mean this girl?\Rika Koi Another\Ibarada! Where'd you come from?!\Give it back!\You really do love your tsundere characters, don't you, Torasuke?\Silence, Ibarada!\What do you know about my preferences?! response:	Childhood friends who can't get rid of each other.
