context: Johnny! response:	Johnny!
context: Then I'm going to go pick up Saki.\And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride.\Osugi!\So, what now?\I don't think he's a bad guy, but... response:	Yes, he doesn't seem like a villain,
context: And if you guys are going to team up with this Takizawa guy,\I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride.\Osugi!\So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain, response:	but the fact is, there are a lot of strange things about this,
context: I'm sorry, but we'll probably never all meet like this again.\Why not?\Even I have my pride.\Osugi!\So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this, response:	Like how he found that hotel all of a sudden,
context: Why not?\Even I have my pride.\Osugi!\So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden, response:	and how he got out unchallenged afterwards.
context: Even I have my pride.\Osugi!\So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards. response:	I think it might be a good idea to ask him about things personally.
context: Osugi!\So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally. response:	Sounds like he's coming soon anyway.
context: So, what now?\I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway. response:	You got a text from Saki? When?
context: I don't think he's a bad guy, but...\Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When? response:	Right before Osugi came.
context: Yes, he doesn't seem like a villain,\but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came. response:	He could be here any time now.
context: but the fact is, there are a lot of strange things about this,\Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came.\He could be here any time now. response:	I wonder if it was right for us to let Osugi go.
context: Like how he found that hotel all of a sudden,\and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go. response:	Saki...
context: and how he got out unchallenged afterwards.\I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki... response:	Am I the only one who didn't know?
context: I think it might be a good idea to ask him about things personally.\Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know? response:	Who are you?
context: Sounds like he's coming soon anyway.\You got a text from Saki? When?\Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know?\Who are you? response:	-What's with him? -Creepy!
context: You got a text from Saki? When?\Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy! response:	Searching
context: Right before Osugi came.\He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy!\Searching response:	So he's not registered with Eden...
context: He could be here any time now.\I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy!\Searching\So he's not registered with Eden... response:	Taking Picture
context: I wonder if it was right for us to let Osugi go.\Saki...\Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy!\Searching\So he's not registered with Eden...\Taking Picture response:	Comment
context: Saki...\Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy!\Searching\So he's not registered with Eden...\Taking Picture\Comment response:	Tell me who he is!
context: Am I the only one who didn't know?\Who are you?\-What's with him? -Creepy!\Searching\So he's not registered with Eden...\Taking Picture\Comment\Tell me who he is! response:	Selecao Activity History
context: Who are you?\-What's with him? -Creepy!\Searching\So he's not registered with Eden...\Taking Picture\Comment\Tell me who he is!\Selecao Activity History response:	Destruction of evidence and prevention
context: -What's with him? -Creepy!\Searching\So he's not registered with Eden...\Taking Picture\Comment\Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention response:	So she stopped the police for me?
context: Searching\So he's not registered with Eden...\Taking Picture\Comment\Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me? response:	of Police intervention at Hotel lnsomnia
context: So he's not registered with Eden...\Taking Picture\Comment\Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia response:	Am I the only one who doesn't know about the others?
context: Taking Picture\Comment\Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others? response:	I guess I'll have to read the old usage records...
context: Comment\Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records... response:	So do you understand the situation with Osugi now?
context: Tell me who he is!\Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now? response:	Huh? Yeah.
context: Selecao Activity History\Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah. response:	Good. So, there are a few questions we'd like to ask, too.
context: Destruction of evidence and prevention\So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too. response:	If it's about the registration, we can list me as the representative.
context: So she stopped the police for me?\of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative. response:	Well, that is one thing, but...
context: of Police intervention at Hotel lnsomnia\Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but... response:	Even if something goes wrong down the line, I'll take full responsibility.
context: Am I the only one who doesn't know about the others?\I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility. response:	Oh, but we can allot rights and dividends equally.
context: I guess I'll have to read the old usage records...\So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally. response:	You're pretty generous.
context: So do you understand the situation with Osugi now?\Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous. response:	Am I?
context: Huh? Yeah.\Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I? response:	Okay, then, I feel bad asking this as a return favor...
context: Good. So, there are a few questions we'd like to ask, too.\If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor... response:	But is there anyone who can fix this phone?
context: If it's about the registration, we can list me as the representative.\Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone? response:	I can't turn it on.
context: Well, that is one thing, but...\Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on. response:	There aren't even any holes for the charger to plug into.
context: Even if something goes wrong down the line, I'll take full responsibility.\Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into. response:	Are there texts in here from before you lost your memory, or something?
context: Oh, but we can allot rights and dividends equally.\You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something? response:	Something like that.
context: You're pretty generous.\Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that. response:	Um, you had two of those phones?
context: Am I?\Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones? response:	Huh? oh, I found that one in the movie theater.
context: Okay, then, I feel bad asking this as a return favor...\But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater. response:	But I don't really know what's on it, either.
context: But is there anyone who can fix this phone?\I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either. response:	Yeah, you don't even have your own memories, after all.
context: I can't turn it on.\There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all. response:	What about it, Micchon? Can you fix it?
context: There aren't even any holes for the charger to plug into.\Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it? response:	Phones aren't like computers.
context: Are there texts in here from before you lost your memory, or something?\Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers. response:	No luck, huh?
context: Something like that.\Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh? response:	Oh, I know. Maybe Itazu could do something with it.
context: Um, you had two of those phones?\Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it. response:	Underpants, huh?
context: Huh? oh, I found that one in the movie theater.\But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh? response:	True, he might be able to do it.
context: But I don't really know what's on it, either.\Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it. response:	Who's this Underpants guy?
context: Yeah, you don't even have your own memories, after all.\What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it.\Who's this Underpants guy? response:	We got a lot of advice from him when we were making the Eden site.
context: What about it, Micchon? Can you fix it?\Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it.\Who's this Underpants guy?\We got a lot of advice from him when we were making the Eden site. response:	He's one of the best, hailed as the Whiz Kid of Kyoto, but...
context: Phones aren't like computers.\No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it.\Who's this Underpants guy?\We got a lot of advice from him when we were making the Eden site.\He's one of the best, hailed as the Whiz Kid of Kyoto, but... response:	But?
context: No luck, huh?\Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it.\Who's this Underpants guy?\We got a lot of advice from him when we were making the Eden site.\He's one of the best, hailed as the Whiz Kid of Kyoto, but...\But? response:	For the last two years,
context: Oh, I know. Maybe Itazu could do something with it.\Underpants, huh?\True, he might be able to do it.\Who's this Underpants guy?\We got a lot of advice from him when we were making the Eden site.\He's one of the best, hailed as the Whiz Kid of Kyoto, but...\But?\For the last two years, response:	he's shut himself up in a little apartment on the Kamogawa River.
