context: Kawagoe Seminar Azumi Kotarou response:	Koumei Private High School
context: No.\A private school.\Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san?\Yeah.\Kotarou, what is this about?\Tell me! response:	What's going on here?
context: A private school.\Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san?\Yeah.\Kotarou, what is this about?\Tell me!\What's going on here? response:	Um...
context: Koumei High School.\Koumei? Isn't that...\the same one as Mizuno-san?\Yeah.\Kotarou, what is this about?\Tell me!\What's going on here?\Um... response:	You didn't tell me about this!
context: Koumei? Isn't that...\the same one as Mizuno-san?\Yeah.\Kotarou, what is this about?\Tell me!\What's going on here?\Um...\You didn't tell me about this! response:	Uh...
context: the same one as Mizuno-san?\Yeah.\Kotarou, what is this about?\Tell me!\What's going on here?\Um...\You didn't tell me about this!\Uh... response:	Where is Koumei?
context: Yeah.\Kotarou, what is this about?\Tell me!\What's going on here?\Um...\You didn't tell me about this!\Uh...\Where is Koumei? response:	You never said a word to me.
context: Kotarou, what is this about?\Tell me!\What's going on here?\Um...\You didn't tell me about this!\Uh...\Where is Koumei?\You never said a word to me. response:	Why didn't you talk to me first?
context: Tell me!\What's going on here?\Um...\You didn't tell me about this!\Uh...\Where is Koumei?\You never said a word to me.\Why didn't you talk to me first? response:	Because I just recently decided.
context: What's going on here?\Um...\You didn't tell me about this!\Uh...\Where is Koumei?\You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided. response:	Just recently?
context: Um...\You didn't tell me about this!\Uh...\Where is Koumei?\You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided.\Just recently? response:	That's not for you to decide by yourself!
context: You didn't tell me about this!\Uh...\Where is Koumei?\You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided.\Just recently?\That's not for you to decide by yourself! response:	Your future depends on this!
context: Uh...\Where is Koumei?\You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided.\Just recently?\That's not for you to decide by yourself!\Your future depends on this! response:	Do you understand?
context: Where is Koumei?\You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided.\Just recently?\That's not for you to decide by yourself!\Your future depends on this!\Do you understand? response:	I do.
context: You never said a word to me.\Why didn't you talk to me first?\Because I just recently decided.\Just recently?\That's not for you to decide by yourself!\Your future depends on this!\Do you understand?\I do. response:	Kotarou, why did you choose that school?
context: Why didn't you talk to me first?\Because I just recently decided.\Just recently?\That's not for you to decide by yourself!\Your future depends on this!\Do you understand?\I do.\Kotarou, why did you choose that school? response:	Koumei, was it?
context: Because I just recently decided.\Just recently?\That's not for you to decide by yourself!\Your future depends on this!\Do you understand?\I do.\Kotarou, why did you choose that school?\Koumei, was it? response:	Because a girl's going there?
context: Just recently?\That's not for you to decide by yourself!\Your future depends on this!\Do you understand?\I do.\Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there? response:	Say what?
context: That's not for you to decide by yourself!\Your future depends on this!\Do you understand?\I do.\Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there?\Say what? response:	The teacher mentioned that a girl in his class is applying there.
context: Your future depends on this!\Do you understand?\I do.\Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there. response:	I was so embarrassed.
context: Do you understand?\I do.\Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed. response:	This is important!
context: I do.\Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important! response:	And you chose it just because a girl you like is going there?
context: Kotarou, why did you choose that school?\Koumei, was it?\Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there? response:	I've thought this through.
context: Koumei, was it?\Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there?\I've thought this through. response:	You obviously haven't!
context: Because a girl's going there?\Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't! response:	I have.
context: Say what?\The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't!\I have. response:	Then can you tell me why you would go all the way to Chiba?
context: The teacher mentioned that a girl in his class is applying there.\I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba? response:	What do you hope to do there?
context: I was so embarrassed.\This is important!\And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there? response:	That's what I thought.
context: This is important!\And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought. response:	Shut up.
context: And you chose it just because a girl you like is going there?\I've thought this through.\You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought.\Shut up. response:	Kotarou!
context: I've thought this through.\You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought.\Shut up.\Kotarou! response:	Sorry.
context: You obviously haven't!\I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought.\Shut up.\Kotarou!\Sorry. response:	You shouldn't corner him like that.
context: I have.\Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought.\Shut up.\Kotarou!\Sorry.\You shouldn't corner him like that. response:	How is he
context: Then can you tell me why you would go all the way to Chiba?\What do you hope to do there?\That's what I thought.\Shut up.\Kotarou!\Sorry.\You shouldn't corner him like that.\How is he response:	You're being too complacent!
context: What do you hope to do there?\That's what I thought.\Shut up.\Kotarou!\Sorry.\You shouldn't corner him like that.\How is he\You're being too complacent! response:	Is that really in his best interests?
context: That's what I thought.\Shut up.\Kotarou!\Sorry.\You shouldn't corner him like that.\How is he\You're being too complacent!\Is that really in his best interests? response:	I say this because I care about
context: Shut up.\Kotarou!\Sorry.\You shouldn't corner him like that.\How is he\You're being too complacent!\Is that really in his best interests?\I say this because I care about response:	Either way, I've made up my mind.
context: Kotarou!\Sorry.\You shouldn't corner him like that.\How is he\You're being too complacent!\Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind. response:	Wait!
context: Sorry.\You shouldn't corner him like that.\How is he\You're being too complacent!\Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind.\Wait! response:	Kotarou!
context: You shouldn't corner him like that.\How is he\You're being too complacent!\Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind.\Wait!\Kotarou! response:	Are you up?
context: How is he\You're being too complacent!\Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind.\Wait!\Kotarou!\Are you up? response:	Are you up?
context: You're being too complacent!\Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind.\Wait!\Kotarou!\Are you up?\Are you up? response:	Yeah, I was studying
context: Is that really in his best interests?\I say this because I care about\Either way, I've made up my mind.\Wait!\Kotarou!\Are you up?\Are you up?\Yeah, I was studying response:	Yeah, I was studying
context: I say this because I care about\Either way, I've made up my mind.\Wait!\Kotarou!\Are you up?\Are you up?\Yeah, I was studying\Yeah, I was studying response:	Working hard, huh?
context: Either way, I've made up my mind.\Wait!\Kotarou!\Are you up?\Are you up?\Yeah, I was studying\Yeah, I was studying\Working hard, huh? response:	What about you?
context: Wait!\Kotarou!\Are you up?\Are you up?\Yeah, I was studying\Yeah, I was studying\Working hard, huh?\What about you? response:	Got in a fight with my parents
context: Kotarou!\Are you up?\Are you up?\Yeah, I was studying\Yeah, I was studying\Working hard, huh?\What about you?\Got in a fight with my parents response:	About to start studying
context: Are you up?\Are you up?\Yeah, I was studying\Yeah, I was studying\Working hard, huh?\What about you?\Got in a fight with my parents\About to start studying response:	About to start studying
context: Are you up?\Yeah, I was studying\Yeah, I was studying\Working hard, huh?\What about you?\Got in a fight with my parents\About to start studying\About to start studying response:	Okay, good luck
context: Yeah, I was studying\Yeah, I was studying\Working hard, huh?\What about you?\Got in a fight with my parents\About to start studying\About to start studying\Okay, good luck response:	Thanks
context: Yeah, I was studying\Working hard, huh?\What about you?\Got in a fight with my parents\About to start studying\About to start studying\Okay, good luck\Thanks response:	Aren't you prepping for entrance exams?
context: Working hard, huh?\What about you?\Got in a fight with my parents\About to start studying\About to start studying\Okay, good luck\Thanks\Aren't you prepping for entrance exams? response:	But...
context: What about you?\Got in a fight with my parents\About to start studying\About to start studying\Okay, good luck\Thanks\Aren't you prepping for entrance exams?\But... response:	Don't blame me if you fail.
context: Got in a fight with my parents\About to start studying\About to start studying\Okay, good luck\Thanks\Aren't you prepping for entrance exams?\But...\Don't blame me if you fail. response:	Fine.
context: About to start studying\About to start studying\Okay, good luck\Thanks\Aren't you prepping for entrance exams?\But...\Don't blame me if you fail.\Fine. response:	Now, then...
context: About to start studying\Okay, good luck\Thanks\Aren't you prepping for entrance exams?\But...\Don't blame me if you fail.\Fine.\Now, then... response:	Done.
context: Okay, good luck\Thanks\Aren't you prepping for entrance exams?\But...\Don't blame me if you fail.\Fine.\Now, then...\Done. response:	Stockinette Stitch
context: Thanks\Aren't you prepping for entrance exams?\But...\Don't blame me if you fail.\Fine.\Now, then...\Done.\Stockinette Stitch response:	You can't be serious.
context: Aren't you prepping for entrance exams?\But...\Don't blame me if you fail.\Fine.\Now, then...\Done.\Stockinette Stitch\You can't be serious. response:	A hand-knit scarf? In this day and age?
context: But...\Don't blame me if you fail.\Fine.\Now, then...\Done.\Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age? response:	Wh-What's wrong with that?
context: Don't blame me if you fail.\Fine.\Now, then...\Done.\Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that? response:	Things are going well, huh?
context: Fine.\Now, then...\Done.\Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh? response:	Yup.
context: Now, then...\Done.\Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh?\Yup. response:	Oh, but what are you doing after you graduate?
context: Done.\Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate? response:	Long-distance?
context: Stockinette Stitch\You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate?\Long-distance? response:	It's fine.
context: You can't be serious.\A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate?\Long-distance?\It's fine. response:	There's your inexplicable confidence again.
context: A hand-knit scarf? In this day and age?\Wh-What's wrong with that?\Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate?\Long-distance?\It's fine.\There's your inexplicable confidence again. response:	We're going to the same high school.
context: Wh-What's wrong with that?\Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate?\Long-distance?\It's fine.\There's your inexplicable confidence again.\We're going to the same high school. response:	Huh? What?
context: Things are going well, huh?\Yup.\Oh, but what are you doing after you graduate?\Long-distance?\It's fine.\There's your inexplicable confidence again.\We're going to the same high school.\Huh? What? response:	You mean your boyfriend's applying to the same school as you?
context: Yup.\Oh, but what are you doing after you graduate?\Long-distance?\It's fine.\There's your inexplicable confidence again.\We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you? response:	Don't tell Mom and Dad.
context: Oh, but what are you doing after you graduate?\Long-distance?\It's fine.\There's your inexplicable confidence again.\We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad. response:	Don't do that!
context: Long-distance?\It's fine.\There's your inexplicable confidence again.\We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that! response:	It's not like you'll be together your whole lives.
context: It's fine.\There's your inexplicable confidence again.\We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives. response:	What happens when you break up?
context: There's your inexplicable confidence again.\We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up? response:	Will you take responsibility?
context: We're going to the same high school.\Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility? response:	I know how you feel, but...
context: Huh? What?\You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility?\I know how you feel, but... response:	We won't break up.
context: You mean your boyfriend's applying to the same school as you?\Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility?\I know how you feel, but...\We won't break up. response:	Akane...
context: Don't tell Mom and Dad.\Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility?\I know how you feel, but...\We won't break up.\Akane... response:	Let's look at the summaries.
context: Don't do that!\It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility?\I know how you feel, but...\We won't break up.\Akane...\Let's look at the summaries. response:	The present progressive form is am waiting.
context: It's not like you'll be together your whole lives.\What happens when you break up?\Will you take responsibility?\I know how you feel, but...\We won't break up.\Akane...\Let's look at the summaries.\The present progressive form is am waiting. response:	The past progressive form is was waiting.
context: What happens when you break up?\Will you take responsibility?\I know how you feel, but...\We won't break up.\Akane...\Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting. response:	I'm home.
context: Will you take responsibility?\I know how you feel, but...\We won't break up.\Akane...\Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home. response:	Kotarou, have your dinner.
context: I know how you feel, but...\We won't break up.\Akane...\Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner. response:	No, thanks.
context: We won't break up.\Akane...\Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner.\No, thanks. response:	What?
context: Akane...\Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner.\No, thanks.\What? response:	You need to have something to eat.
context: Let's look at the summaries.\The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner.\No, thanks.\What?\You need to have something to eat. response:	Really?
context: The present progressive form is am waiting.\The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner.\No, thanks.\What?\You need to have something to eat.\Really? response:	There he is.
context: The past progressive form is was waiting.\I'm home.\Kotarou, have your dinner.\No, thanks.\What?\You need to have something to eat.\Really?\There he is. response:	He's actually doing it?
context: I'm home.\Kotarou, have your dinner.\No, thanks.\What?\You need to have something to eat.\Really?\There he is.\He's actually doing it? response:	You're kidding.
context: Kotarou, have your dinner.\No, thanks.\What?\You need to have something to eat.\Really?\There he is.\He's actually doing it?\You're kidding. response:	Kota, you're awesome!
context: No, thanks.\What?\You need to have something to eat.\Really?\There he is.\He's actually doing it?\You're kidding.\Kota, you're awesome! response:	You're applying to Mizuno-san's school?
context: What?\You need to have something to eat.\Really?\There he is.\He's actually doing it?\You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school? response:	People are talking about you.
context: You need to have something to eat.\Really?\There he is.\He's actually doing it?\You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you. response:	They are?
context: Really?\There he is.\He's actually doing it?\You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you.\They are? response:	No way! Seriously?
context: There he is.\He's actually doing it?\You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you.\They are?\No way! Seriously? response:	That's insane!
context: He's actually doing it?\You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you.\They are?\No way! Seriously?\That's insane! response:	No, it's nothing.
context: You're kidding.\Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you.\They are?\No way! Seriously?\That's insane!\No, it's nothing. response:	You're insanely in love!
context: Kota, you're awesome!\You're applying to Mizuno-san's school?\People are talking about you.\They are?\No way! Seriously?\That's insane!\No, it's nothing.\You're insanely in love! response:	Just marry him already!
context: You're applying to Mizuno-san's school?\People are talking about you.\They are?\No way! Seriously?\That's insane!\No, it's nothing.\You're insanely in love!\Just marry him already! response:	I hate you.
context: People are talking about you.\They are?\No way! Seriously?\That's insane!\No, it's nothing.\You're insanely in love!\Just marry him already!\I hate you. response:	Lucky bastard.
context: They are?\No way! Seriously?\That's insane!\No, it's nothing.\You're insanely in love!\Just marry him already!\I hate you.\Lucky bastard. response:	Damn it!
context: No way! Seriously?\That's insane!\No, it's nothing.\You're insanely in love!\Just marry him already!\I hate you.\Lucky bastard.\Damn it! response:	Mizuno-san has good grades, doesn't she?
context: That's insane!\No, it's nothing.\You're insanely in love!\Just marry him already!\I hate you.\Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she? response:	He'll make up for it with the power of love.
context: No, it's nothing.\You're insanely in love!\Just marry him already!\I hate you.\Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love. response:	Life's not that easy!
context: You're insanely in love!\Just marry him already!\I hate you.\Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy! response:	Mercy! Mercy!
context: Just marry him already!\I hate you.\Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy! response:	Are you serious?
context: I hate you.\Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy!\Are you serious? response:	About what?
context: Lucky bastard.\Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy!\Are you serious?\About what? response:	You'll never get into Koumei.
context: Damn it!\Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy!\Are you serious?\About what?\You'll never get into Koumei. response:	You need a standard score over 60.
context: Mizuno-san has good grades, doesn't she?\He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy!\Are you serious?\About what?\You'll never get into Koumei.\You need a standard score over 60. response:	I mean, I could do it, but...
context: He'll make up for it with the power of love.\Life's not that easy!\Mercy! Mercy!\Are you serious?\About what?\You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but... response:	I'm rooting for you, Kota-chan.
context: Life's not that easy!\Mercy! Mercy!\Are you serious?\About what?\You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan. response:	Get off me already.
context: Mercy! Mercy!\Are you serious?\About what?\You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already. response:	Dude, you're so creepy.
context: Are you serious?\About what?\You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy. response:	Science
context: About what?\You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy.\Science response:	Synthesis
context: You'll never get into Koumei.\You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy.\Science\Synthesis response:	Decomposition
context: You need a standard score over 60.\I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy.\Science\Synthesis\Decomposition response:	Oxidation
context: I mean, I could do it, but...\I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy.\Science\Synthesis\Decomposition\Oxidation response:	Thermal Decomposition
context: I'm rooting for you, Kota-chan.\Get off me already.\Dude, you're so creepy.\Science\Synthesis\Decomposition\Oxidation\Thermal Decomposition response:	Properties of a Circle
context: Get off me already.\Dude, you're so creepy.\Science\Synthesis\Decomposition\Oxidation\Thermal Decomposition\Properties of a Circle response:	Solutions of Quadratic Equations - Problems
context: Dude, you're so creepy.\Science\Synthesis\Decomposition\Oxidation\Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems response:	The results of the mock exam are in.
context: Science\Synthesis\Decomposition\Oxidation\Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in. response:	Azumi.
context: Synthesis\Decomposition\Oxidation\Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi. response:	Subject
context: Decomposition\Oxidation\Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi.\Subject response:	Total worth
context: Oxidation\Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi.\Subject\Total worth response:	Score
context: Thermal Decomposition\Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi.\Subject\Total worth\Score response:	English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams
context: Properties of a Circle\Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi.\Subject\Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams response:	I heard you're applying for Koumei.
context: Solutions of Quadratic Equations - Problems\The results of the mock exam are in.\Azumi.\Subject\Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei. response:	Oh, yeah...
context: The results of the mock exam are in.\Azumi.\Subject\Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah... response:	That's awesome.
context: Azumi.\Subject\Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah...\That's awesome. response:	My first choice is a public school.
context: Subject\Total worth\Score\English Mathematics Language 3-Subject Exams Science Social Studies 4-Subject Exams 5-Subject Exams\I heard you're applying for Koumei.\Oh, yeah...\That's awesome.\My first choice is a public school. response:	Yeah?
