context: Tsuritama Episode 3 response:	I don't regret my decision to fish,
context: What? Around here, then?\I told you, that's too early.\I don't get this!\Why? Why?\Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave.\What's your name? response:	I am Akira.
context: I told you, that's too early.\I don't get this!\Why? Why?\Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave.\What's your name?\I am Akira. response:	That is Tapioca.
context: I don't get this!\Why? Why?\Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave.\What's your name?\I am Akira.\That is Tapioca. response:	Tapioca? You're so cute.
context: Why? Why?\Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave.\What's your name?\I am Akira.\That is Tapioca.\Tapioca? You're so cute. response:	Here's your whitebait bowl and Enoshima bowl.
context: Why is Haru scared of him?\Excuse me.\Oh, I'm sorry. I'll leave.\What's your name?\I am Akira.\That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl. response:	Thank you for the food.
context: Excuse me.\Oh, I'm sorry. I'll leave.\What's your name?\I am Akira.\That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food. response:	Exquisite!
context: Oh, I'm sorry. I'll leave.\What's your name?\I am Akira.\That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite! response:	Eno-shima bowl!
context: What's your name?\I am Akira.\That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite!\Eno-shima bowl! response:	Good, just like that.
context: I am Akira.\That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite!\Eno-shima bowl!\Good, just like that. response:	But I'm still so far from the bucket.
context: That is Tapioca.\Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite!\Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket. response:	Now you just have to learn feathering.
context: Tapioca? You're so cute.\Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite!\Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering. response:	Feathering?
context: Here's your whitebait bowl and Enoshima bowl.\Thank you for the food.\Exquisite!\Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering? response:	Use your finger as a break,
context: Thank you for the food.\Exquisite!\Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering?\Use your finger as a break, response:	so you don't let out too much line.
context: Exquisite!\Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering?\Use your finger as a break,\so you don't let out too much line. response:	After you cast, put your finger on the spool
context: Eno-shima bowl!\Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering?\Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool response:	of the reel while the lure is in the air.
context: Good, just like that.\But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering?\Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air. response:	Watch.
context: But I'm still so far from the bucket.\Now you just have to learn feathering.\Feathering?\Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch. response:	If you press down too hard, the line will stop
context: Now you just have to learn feathering.\Feathering?\Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop response:	and the lure will fall, so be careful.
context: Feathering?\Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful. response:	Casting is hard.
context: Use your finger as a break,\so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard. response:	It's not supposed to be easy.
context: so you don't let out too much line.\After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy. response:	I thought I'd at least get it in once.
context: After you cast, put your finger on the spool\of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once. response:	Cast until you can't cast any more.
context: of the reel while the lure is in the air.\Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more. response:	Look at the time.
context: Watch.\If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time. response:	See you guys tomorrow.
context: If you press down too hard, the line will stop\and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time.\See you guys tomorrow. response:	Okay, see you tomorrow.
context: and the lure will fall, so be careful.\Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time.\See you guys tomorrow.\Okay, see you tomorrow. response:	Onii-chan, is it ready yet?
context: Casting is hard.\It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time.\See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet? response:	Sorry, I know it's late.
context: It's not supposed to be easy.\I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time.\See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late. response:	I'm starving.
context: I thought I'd at least get it in once.\Cast until you can't cast any more.\Look at the time.\See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving. response:	Hey, Sakura, your brother's a busy guy.
context: Cast until you can't cast any more.\Look at the time.\See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy. response:	Come here. I'll give you a special toss in the air.
context: Look at the time.\See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air. response:	I'm not a baby. I'll help.
context: See you guys tomorrow.\Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help. response:	Get some plates.
context: Okay, see you tomorrow.\Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates. response:	Okay.
context: Onii-chan, is it ready yet?\Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates.\Okay. response:	Natsuki, I heard you've been fishing around here lately.
context: Sorry, I know it's late.\I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately. response:	Here, Onii-chan.
context: I'm starving.\Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan. response:	Onii-chan's teaching his friends to fish.
context: Hey, Sakura, your brother's a busy guy.\Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish. response:	Really?
context: Come here. I'll give you a special toss in the air.\I'm not a baby. I'll help.\Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really? response:	Take me with you the next time you go.
context: I'm not a baby. I'll help.\Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go. response:	We'll catch a big one together!
context: Get some plates.\Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go.\We'll catch a big one together! response:	I want to fish, too.
context: Okay.\Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too. response:	We used to go together all the time, saying Enoshima bowl!
context: Natsuki, I heard you've been fishing around here lately.\Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl! response:	Yuki, you can get the Enoshima bowl in.
context: Here, Onii-chan.\Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in. response:	Thank you, Haru.
context: Onii-chan's teaching his friends to fish.\Really?\Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru. response:	Oh, Yuki.
context: Really?\Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki. response:	Haru, listen.
context: Take me with you the next time you go.\We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki.\Haru, listen. response:	What is it?
context: We'll catch a big one together!\I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki.\Haru, listen.\What is it? response:	Starting tomorrow, I won't be here.
context: I want to fish, too.\We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki.\Haru, listen.\What is it?\Starting tomorrow, I won't be here. response:	I'm going to the hospital for a little while.
context: We used to go together all the time, saying Enoshima bowl!\Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki.\Haru, listen.\What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while. response:	Again?
context: Yuki, you can get the Enoshima bowl in.\Thank you, Haru.\Oh, Yuki.\Haru, listen.\What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again? response:	The hospital?
context: Thank you, Haru.\Oh, Yuki.\Haru, listen.\What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again?\The hospital? response:	When I told them I wasn't feeling well yesterday,
context: Oh, Yuki.\Haru, listen.\What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again?\The hospital?\When I told them I wasn't feeling well yesterday, response:	they decided to give me a check up.
context: Haru, listen.\What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again?\The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up. response:	The hospital makes such a big deal of things.
context: What is it?\Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again?\The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things. response:	Haru, I'll be fine.
context: Starting tomorrow, I won't be here.\I'm going to the hospital for a little while.\Again?\The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine. response:	I'm just going to get fixed, and then I'll come back.
context: I'm going to the hospital for a little while.\Again?\The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back. response:	Okay, got it.
context: Again?\The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it. response:	You should've told me!
context: The hospital?\When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me! response:	You always wait until the last minute!
context: When I told them I wasn't feeling well yesterday,\they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me!\You always wait until the last minute! response:	I'm sorry. I didn't want you to worry.
context: they decided to give me a check up.\The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry. response:	It's fine. I'm used to it.
context: The hospital makes such a big deal of things.\Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it. response:	This time you'll have Haru, so you won't be lonely.
context: Haru, I'll be fine.\I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely. response:	Yuki?
context: I'm just going to get fixed, and then I'll come back.\Okay, got it.\You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki? response:	He'll be fine.
context: Okay, got it.\You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine. response:	Sorry, we're done for the day.
context: You should've told me!\You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine.\Sorry, we're done for the day. response:	What? Again?
context: You always wait until the last minute!\I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine.\Sorry, we're done for the day.\What? Again? response:	That sucks.
context: I'm sorry. I didn't want you to worry.\It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine.\Sorry, we're done for the day.\What? Again?\That sucks. response:	I have successfully infiltrated target JF1's school.
context: It's fine. I'm used to it.\This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine.\Sorry, we're done for the day.\What? Again?\That sucks.\I have successfully infiltrated target JF1's school. response:	I believe he and his alleged younger sister,
context: This time you'll have Haru, so you won't be lonely.\Yuki?\He'll be fine.\Sorry, we're done for the day.\What? Again?\That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister, response:	JF2, are impersonating humans.
context: Yuki?\He'll be fine.\Sorry, we're done for the day.\What? Again?\That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans. response:	What is JF1 doing in Enoshima?
context: He'll be fine.\Sorry, we're done for the day.\What? Again?\That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima? response:	He fishes every day.
context: Sorry, we're done for the day.\What? Again?\That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day. response:	He fishes? Is he just a tourist alien?
context: What? Again?\That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien? response:	Last month one of them came to Nagoya to play pachinko.
context: That sucks.\I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko. response:	They possess a dangerous power.
context: I have successfully infiltrated target JF1's school.\I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power. response:	They can control humans using water.
context: I believe he and his alleged younger sister,\JF2, are impersonating humans.\What is JF1 doing in Enoshima?\He fishes every day.\He fishes? Is he just a tourist alien?\Last month one of them came to Nagoya to play pachinko.\They possess a dangerous power.\They can control humans using water. response:	Control? What does that mean, exactly?
