context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa response:	Anime-Koi Fansubs
context: sign:The Deity Loses her Home\Title The God, getting dumped”\Title The God, going to hot spring”\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby response:	Next Episode Preview
context: Title The God, getting dumped”\Title The God, going to hot spring”\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Next Episode Preview response:	I Became a Deity
context: Title The God, going to hot spring”\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Next Episode Preview\I Became a Deity response:	Mikage Shrine
context: Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Next Episode Preview\I Became a Deity\Mikage Shrine response:	Mikage Shrine We're doing a fall festival!
context: Good bye\Good bye\ah ah ah\farewell, Baby\Next Episode Preview\I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival! response:	Make sure you come!
context: Good bye\ah ah ah\farewell, Baby\Next Episode Preview\I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come! response:	Nanami
context: ah ah ah\farewell, Baby\Next Episode Preview\I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami response:	Gasp
context: farewell, Baby\Next Episode Preview\I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami\Gasp response:	She's nothing like that!
context: Next Episode Preview\I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami\Gasp\She's nothing like that! response:	She's nothing like that!
context: I Became a Deity\Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami\Gasp\She's nothing like that!\She's nothing like that! response:	EEEk!
context: Mikage Shrine\Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk! response:	Hot spring hotel Wado.
context: Mikage Shrine We're doing a fall festival!\Make sure you come!\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado. response:	Humph
context: Make sure you come!\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph response:	Koiiwa
context: Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa response:	Koiiwa
context: Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa response:	Koiiwa If you touch it, you will be blessed.
context: She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed. response:	ANIME-KOI
context: She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI response:	PRESENTS
context: EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS response:	The Deity, getting dumped
context: Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS\The Deity, getting dumped response:	The Deity, getting dumped
context: Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS\The Deity, getting dumped\The Deity, getting dumped response:	The Deity, going to hot spring
context: Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS\The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring response:	The Deity, going to hot spring
context: Koiiwa\Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS\The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring response:	We'll be back soon!
context: Koiiwa If you touch it, you will be blessed.\ANIME-KOI\PRESENTS\The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon! response:	Momozono Nanami's father ran away from home after losing all of his money on gambling.
context: ANIME-KOI\PRESENTS\The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling. response:	She gets evicted, and some weird occurrences later, she becomes a deity.
context: PRESENTS\The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity. response:	She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.
context: The Deity, getting dumped\The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates. response:	Though later she got dumped and felt very depressed.
context: The Deity, getting dumped\The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed. response:	And on a trip to the beach, Tomoe was imprisoned underseas.
context: The Deity, going to hot spring\The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas. response:	She went all the way to the Dragon Palace to rescue him, and started feeling good again.
context: The Deity, going to hot spring\We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again. response:	She even traveled back in time,
context: We'll be back soon!\Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time, response:	but Tomoe was a super scary villain!
context: Momozono Nanami's father ran away from home after losing all of his money on gambling.\She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain! response:	Her love for him never changed, however.
context: She gets evicted, and some weird occurrences later, she becomes a deity.\She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however. response:	Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.
context: She then fells in love with her familiar, the demon fox, Tomoe. They even go out on dates.\Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma. response:	Tomoe gaver her a kiss.
context: Though later she got dumped and felt very depressed.\And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss. response:	Their relationship became more passionate and intense.
context: And on a trip to the beach, Tomoe was imprisoned underseas.\She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense. response:	Now you must be wondering what happened next, right?
context: She went all the way to the Dragon Palace to rescue him, and started feeling good again.\She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right? response:	Let's take a look!
context: She even traveled back in time,\but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look! response:	I have been kind of restless lately.
context: but Tomoe was a super scary villain!\Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately. response:	This are the real'flying legs'!
context: Her love for him never changed, however.\Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'! response:	Oh, she sank.
context: Then she defeated the Earth Spider and purified the Mikaga Shrine from the miasma.\Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank. response:	Was that...
context: Tomoe gaver her a kiss.\Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank.\Was that... response:	Can we formalize the familiar contract?
context: Their relationship became more passionate and intense.\Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank.\Was that...\Can we formalize the familiar contract? response:	But we already did that.
context: Now you must be wondering what happened next, right?\Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank.\Was that...\Can we formalize the familiar contract?\But we already did that. response:	From the bottom of my heart.
context: Let's take a look!\I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank.\Was that...\Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart. response:	Yes, that was it.
context: I have been kind of restless lately.\This are the real'flying legs'!\Oh, she sank.\Was that...\Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart.\Yes, that was it. response:	But now I feel like I'm needed.
context: This are the real'flying legs'!\Oh, she sank.\Was that...\Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed. response:	For now, this is good enough. I'm happy!
context: Oh, she sank.\Was that...\Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy! response:	Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?
context: Was that...\Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right? response:	Tomoe and Tanuko-san.
context: Can we formalize the familiar contract?\But we already did that.\From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san. response:	What you wanted is inside this box, Tomoe-sama.
context: But we already did that.\From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama. response:	Thank you for your hard work, Tanuko.
context: From the bottom of my heart.\Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko. response:	It's my pleasure.
context: Yes, that was it.\But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure. response:	I guess I don't need Nanami any more.
context: But now I feel like I'm needed.\For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more. response:	What?!
context: For now, this is good enough. I'm happy!\Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more.\What?! response:	Oh you, Tomoe-sama.
context: Tomoe, do we have something sweet to eat? We have some sweet potato cake, right?\Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama. response:	Nothing to do. I just can't stand how selfish and annoying she can get.
context: Tomoe and Tanuko-san.\What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get. response:	I am not needed?
context: What you wanted is inside this box, Tomoe-sama.\Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed? response:	Thank you for all the hard work you did, but I don't need you any longer!
context: Thank you for your hard work, Tanuko.\It's my pleasure.\I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer! response:	The horror! You just lured, used, and discarded me.
context: It's my pleasure.\I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me. response:	Die!
context: I guess I don't need Nanami any more.\What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die! response:	A lady in this kind of show always gets tricked.
context: What?!\Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked. response:	What's wrong, Nanami? You don't like your red bean jelly?
context: Oh you, Tomoe-sama.\Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly? response:	Nanami-chan, I don't think it's poisoned.
context: Nothing to do. I just can't stand how selfish and annoying she can get.\I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned. response:	Tomoe, do you think you don't need me?
context: I am not needed?\Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me? response:	What?
context: Thank you for all the hard work you did, but I don't need you any longer!\The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What? response:	Red bean jelly is tasty all right, but I want to eat something soothing.
context: The horror! You just lured, used, and discarded me.\Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing. response:	Tomoe-kun, what's this box?
context: Die!\A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box? response:	It's nothing! Don't touch it!
context: A lady in this kind of show always gets tricked.\What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it! response:	Why not? So mean!
context: What's wrong, Nanami? You don't like your red bean jelly?\Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean! response:	Oh, that's the box Tanuko-san brought. I wonder what's in it.
context: Nanami-chan, I don't think it's poisoned.\Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it. response:	Just eat your red bean jelly!
context: Tomoe, do you think you don't need me?\What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly! response:	I'm sure there's something in it he doesn't want me to see.
context: What?\Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see. response:	What's in it?
context: Red bean jelly is tasty all right, but I want to eat something soothing.\Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it? response:	As usual, this shrine sucks.
context: Tomoe-kun, what's this box?\It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks. response:	I, the super star Kurama-sama, got some expensive crabs for you, poor people.
context: It's nothing! Don't touch it!\Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people. response:	Appreciate it and eat!
context: Why not? So mean!\Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat! response:	How irritating.
context: Oh, that's the box Tanuko-san brought. I wonder what's in it.\Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating. response:	I guess you don't have anyone to have a hotpot with. Poor Tengu.
context: Just eat your red bean jelly!\I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu. response:	What... What's inside the box?
context: I'm sure there's something in it he doesn't want me to see.\What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box? response:	Um?
context: What's in it?\As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um? response:	What's wrong, Nanami?
context: As usual, this shrine sucks.\I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um?\What's wrong, Nanami? response:	You still don't feel like eating? You are always bothering me with talks about eels and crabs.
context: I, the super star Kurama-sama, got some expensive crabs for you, poor people.\Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs. response:	W-Was I that bothersome?
context: Appreciate it and eat!\How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome? response:	Kind of.
context: How irritating.\I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of. response:	Mizuki, don't pour her sake.
context: I guess you don't have anyone to have a hotpot with. Poor Tengu.\What... What's inside the box?\Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake. response:	She's not allowed to drink.
context: What... What's inside the box?\Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink. response:	Then it's only for us. You can't drink either, Tengu-kun?
context: Um?\What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun? response:	What? Are you kidding? Everyone knows I'm a heavy drinker!
context: What's wrong, Nanami?\You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker! response:	Really?
context: You still don't feel like eating? You are always bothering me with talks about eels and crabs.\W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really? response:	He is just trying to lie.
context: W-Was I that bothersome?\Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie. response:	What?
context: Kind of.\Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie.\What? response:	So you can't drink. How boring.
context: Mizuki, don't pour her sake.\She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie.\What?\So you can't drink. How boring. response:	Wait a minute there. Don't you want to hear some of my awesome stories?
context: She's not allowed to drink.\Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie.\What?\So you can't drink. How boring.\Wait a minute there. Don't you want to hear some of my awesome stories? response:	I want to hear them!
context: Then it's only for us. You can't drink either, Tengu-kun?\What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie.\What?\So you can't drink. How boring.\Wait a minute there. Don't you want to hear some of my awesome stories?\I want to hear them! response:	How stupid...
context: What? Are you kidding? Everyone knows I'm a heavy drinker!\Really?\He is just trying to lie.\What?\So you can't drink. How boring.\Wait a minute there. Don't you want to hear some of my awesome stories?\I want to hear them!\How stupid... response:	What do you mean'stupid,' you moron!
context: Really?\He is just trying to lie.\What?\So you can't drink. How boring.\Wait a minute there. Don't you want to hear some of my awesome stories?\I want to hear them!\How stupid...\What do you mean'stupid,' you moron! response:	In that case, why don't you guys see who can drink the most?
context: He is just trying to lie.\What?\So you can't drink. How boring.\Wait a minute there. Don't you want to hear some of my awesome stories?\I want to hear them!\How stupid...\What do you mean'stupid,' you moron!\In that case, why don't you guys see who can drink the most? response:	We have a lot of sake in Mizuki's brewery.
