context: They said they got a fiefdom, response:	so I was expecting, well, you know.
context: The old master died ten years ago\and since he had no heirs,\the land went into the keeping of the queen.\That's why...\The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled. response:	This region is actually renowned for
context: and since he had no heirs,\the land went into the keeping of the queen.\That's why...\The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for response:	its dry land, since it produces great grapes.
context: the land went into the keeping of the queen.\That's why...\The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes. response:	Good work, everyone!
context: That's why...\The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone! response:	Already acting like a feudal lord, I see.
context: The young folks have all given up their land\and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see. response:	I'm not acting! I really am a feudal lord!
context: and gone to the cities.\All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord! response:	The lord here is Saito, right?
context: All you've got left are old-timers like me,\scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right? response:	Saito Chevalier De Hiraga... What else was there?
context: scrabbling along to keep the land tilled.\This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there? response:	Saito Chevalier De Hiraga De Ornieres.
context: This region is actually renowned for\its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres. response:	That's it!
context: its dry land, since it produces great grapes.\Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it! response:	Still, I was pretty shocked.
context: Good work, everyone!\Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked. response:	I never expected to see you here, Tabitha.
context: Already acting like a feudal lord, I see.\I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha. response:	Is it true that you're going to become a queen?
context: I'm not acting! I really am a feudal lord!\The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen? response:	Oh yeah, I wanted to ask about that, too.
context: The lord here is Saito, right?\Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too. response:	What are you going to do?
context: Saito Chevalier De Hiraga... What else was there?\Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do? response:	I haven't decided yet.
context: Saito Chevalier De Hiraga De Ornieres.\That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet. response:	So what are you doing here?
context: That's it!\Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet.\So what are you doing here? response:	It's pretty obvious!
context: Still, I was pretty shocked.\I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet.\So what are you doing here?\It's pretty obvious! response:	Sister wants to hatch an egg!
context: I never expected to see you here, Tabitha.\Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet.\So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg! response:	An egg?
context: Is it true that you're going to become a queen?\Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet.\So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg!\An egg? response:	I think she's talking about becoming pregnant
context: Oh yeah, I wanted to ask about that, too.\What are you going to do?\I haven't decided yet.\So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant response:	with someone's child.
context: What are you going to do?\I haven't decided yet.\So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant\with someone's child. response:	P-P-Pregnant?
context: I haven't decided yet.\So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant? response:	I want to be pregnant, too!
context: So what are you doing here?\It's pretty obvious!\Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant?\I want to be pregnant, too! response:	I-I think I should go practice my sword fighting techniques.
context: It's pretty obvious!\Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques. response:	Hey, where are you going?
context: Sister wants to hatch an egg!\An egg?\I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going? response:	Wait!
context: An egg?\I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait! response:	I won't be ditched!
context: I think she's talking about becoming pregnant\with someone's child.\P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait!\I won't be ditched! response:	I'm going too!
context: with someone's child.\P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait!\I won't be ditched!\I'm going too! response:	The new lords sure are a vigorous bunch.
context: P-P-Pregnant?\I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait!\I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch. response:	It would be nice to see a successor born soon.
context: I want to be pregnant, too!\I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait!\I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon. response:	The Maidens of De Ornieres
context: I-I think I should go practice my sword fighting techniques.\Hey, where are you going?\Wait!\I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres response:	It's quite a nice hall for a country mansion.
context: Hey, where are you going?\Wait!\I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion. response:	Those look delicious!
context: Wait!\I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious! response:	Well, you know what they say.
context: I won't be ditched!\I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say. response:	The way to a man's heart is through his stomach.
context: I'm going too!\The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach. response:	Right!
context: The new lords sure are a vigorous bunch.\It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach.\Right! response:	This is more a dump than a basement.
context: It would be nice to see a successor born soon.\The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement. response:	Look at all these books!
context: The Maidens of De Ornieres\It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement.\Look at all these books! response:	Tabitha is going to love this.
context: It's quite a nice hall for a country mansion.\Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this. response:	I don't think she's really in
context: Those look delicious!\Well, you know what they say.\The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this.\I don't think she's really in response:	the mood for reading right now.
context: Well, you know what they say.\The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this.\I don't think she's really in\the mood for reading right now. response:	I've never seen her like this.
context: The way to a man's heart is through his stomach.\Right!\This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this.\I don't think she's really in\the mood for reading right now.\I've never seen her like this. response:	You're right.
context: Right!\This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this.\I don't think she's really in\the mood for reading right now.\I've never seen her like this.\You're right. response:	She came here because
context: This is more a dump than a basement.\Look at all these books!\Tabitha is going to love this.\I don't think she's really in\the mood for reading right now.\I've never seen her like this.\You're right.\She came here because response:	she wants to be close to Saito.
context: Look at all these books!\Tabitha is going to love this.\I don't think she's really in\the mood for reading right now.\I've never seen her like this.\You're right.\She came here because\she wants to be close to Saito. response:	She won't have any freedom once she ascends to the throne.
context: Tabitha is going to love this.\I don't think she's really in\the mood for reading right now.\I've never seen her like this.\You're right.\She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne. response:	But here she won't be able
context: I don't think she's really in\the mood for reading right now.\I've never seen her like this.\You're right.\She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able response:	to avoid seeing those two together.
context: the mood for reading right now.\I've never seen her like this.\You're right.\She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together. response:	Doesn't that hurt?
context: I've never seen her like this.\You're right.\She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together.\Doesn't that hurt? response:	That's love.
context: You're right.\She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together.\Doesn't that hurt?\That's love. response:	You know on a rational level,
context: She came here because\she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together.\Doesn't that hurt?\That's love.\You know on a rational level, response:	but you can't help yourself.
context: she wants to be close to Saito.\She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together.\Doesn't that hurt?\That's love.\You know on a rational level,\but you can't help yourself. response:	You're right.
context: She won't have any freedom once she ascends to the throne.\But here she won't be able\to avoid seeing those two together.\Doesn't that hurt?\That's love.\You know on a rational level,\but you can't help yourself.\You're right. response:	This feels so good!
context: But here she won't be able\to avoid seeing those two together.\Doesn't that hurt?\That's love.\You know on a rational level,\but you can't help yourself.\You're right.\This feels so good! response:	How can you be so laid back about this whole thing?
context: to avoid seeing those two together.\Doesn't that hurt?\That's love.\You know on a rational level,\but you can't help yourself.\You're right.\This feels so good!\How can you be so laid back about this whole thing? response:	We've finally got our own house,
context: Doesn't that hurt?\That's love.\You know on a rational level,\but you can't help yourself.\You're right.\This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house, response:	but we might as well still be at the academy.
context: That's love.\You know on a rational level,\but you can't help yourself.\You're right.\This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy. response:	Those are so pretty.
context: You know on a rational level,\but you can't help yourself.\You're right.\This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty. response:	Saito, look!
context: but you can't help yourself.\You're right.\This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty.\Saito, look! response:	What's wrong?
context: You're right.\This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty.\Saito, look!\What's wrong? response:	Is there something on my face?
context: This feels so good!\How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty.\Saito, look!\What's wrong?\Is there something on my face? response:	No.
context: How can you be so laid back about this whole thing?\We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty.\Saito, look!\What's wrong?\Is there something on my face?\No. response:	Then what's wrong?
context: We've finally got our own house,\but we might as well still be at the academy.\Those are so pretty.\Saito, look!\What's wrong?\Is there something on my face?\No.\Then what's wrong? response:	Why are you staring at me like that?
context: but we might as well still be at the academy.\Those are so pretty.\Saito, look!\What's wrong?\Is there something on my face?\No.\Then what's wrong?\Why are you staring at me like that? response:	I was just thinking about how happy I am.
context: Those are so pretty.\Saito, look!\What's wrong?\Is there something on my face?\No.\Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am. response:	Seeing you smile makes me happier
context: Saito, look!\What's wrong?\Is there something on my face?\No.\Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier response:	than anything else in the world.
context: What's wrong?\Is there something on my face?\No.\Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world. response:	Oh, come on.
context: Is there something on my face?\No.\Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world.\Oh, come on. response:	What are you talking about all of a sudden?
context: No.\Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world.\Oh, come on.\What are you talking about all of a sudden? response:	It's the truth.
context: Then what's wrong?\Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world.\Oh, come on.\What are you talking about all of a sudden?\It's the truth. response:	When I first came here,
context: Why are you staring at me like that?\I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world.\Oh, come on.\What are you talking about all of a sudden?\It's the truth.\When I first came here, response:	I wanted to go back to my world all the time,
context: I was just thinking about how happy I am.\Seeing you smile makes me happier\than anything else in the world.\Oh, come on.\What are you talking about all of a sudden?\It's the truth.\When I first came here,\I wanted to go back to my world all the time, response:	but now, I feel like not going back would be okay, too.
context: Seeing you smile makes me happier\than anything else in the world.\Oh, come on.\What are you talking about all of a sudden?\It's the truth.\When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too. response:	It's because you're here.
context: than anything else in the world.\Oh, come on.\What are you talking about all of a sudden?\It's the truth.\When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here. response:	Saito...
context: Oh, come on.\What are you talking about all of a sudden?\It's the truth.\When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here.\Saito... response:	I couldn't feel like this with another girl.
context: What are you talking about all of a sudden?\It's the truth.\When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here.\Saito...\I couldn't feel like this with another girl. response:	You're the one who makes me happy.
context: It's the truth.\When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here.\Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy. response:	Saito...
context: When I first came here,\I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here.\Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito... response:	Louise...
context: I wanted to go back to my world all the time,\but now, I feel like not going back would be okay, too.\It's because you're here.\Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito...\Louise... response:	I'm sorry!
context: but now, I feel like not going back would be okay, too.\It's because you're here.\Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito...\Louise...\I'm sorry! response:	That's not it.
context: It's because you're here.\Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito...\Louise...\I'm sorry!\That's not it. response:	I'm just sorry they're so small.
context: Saito...\I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito...\Louise...\I'm sorry!\That's not it.\I'm just sorry they're so small. response:	If that wasn't it, does that mean it's okay?
context: I couldn't feel like this with another girl.\You're the one who makes me happy.\Saito...\Louise...\I'm sorry!\That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay? response:	Can I ask you for a favor?
context: You're the one who makes me happy.\Saito...\Louise...\I'm sorry!\That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor? response:	What is it?
context: Saito...\Louise...\I'm sorry!\That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it? response:	Will you say,
context: Louise...\I'm sorry!\That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it?\Will you say, response:	The little meow-meow wants to be teased by the big meow-meow, meow.
context: I'm sorry!\That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow. response:	Of course that's too much.
context: That's not it.\I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much. response:	Will you be gentle if I say it?
context: I'm just sorry they're so small.\If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it? response:	Of course!
context: If that wasn't it, does that mean it's okay?\Can I ask you for a favor?\What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it?\Of course! response:	Th-The little meow-meow wants to be teased by the big meow-meow, meow.
context: Can I ask you for a favor?\What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow. response:	And can you tell me how?
context: What is it?\Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how? response:	Well... Um...
context: Will you say,\The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um... response:	You can do what you like, Saito. Meow!
context: The little meow-meow wants to be teased by the big meow-meow, meow.\Of course that's too much.\Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow! response:	Lunch is ready, meow.
context: Of course that's too much.\Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow. response:	This idiot made me say it!
context: Will you be gentle if I say it?\Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it! response:	Please stop! Ouch!
context: Of course!\Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch! response:	I'm sorry!
context: Th-The little meow-meow wants to be teased by the big meow-meow, meow.\And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch!\I'm sorry! response:	I'll never do it again!
context: And can you tell me how?\Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch!\I'm sorry!\I'll never do it again! response:	That was delicious!
context: Well... Um...\You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch!\I'm sorry!\I'll never do it again!\That was delicious! response:	It really was.
context: You can do what you like, Saito. Meow!\Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch!\I'm sorry!\I'll never do it again!\That was delicious!\It really was. response:	Excuse me.
context: Lunch is ready, meow.\This idiot made me say it!\Please stop! Ouch!\I'm sorry!\I'll never do it again!\That was delicious!\It really was.\Excuse me. response:	There is someone here to see Miss Louise.
context: This idiot made me say it!\Please stop! Ouch!\I'm sorry!\I'll never do it again!\That was delicious!\It really was.\Excuse me.\There is someone here to see Miss Louise. response:	To see me?
context: Please stop! Ouch!\I'm sorry!\I'll never do it again!\That was delicious!\It really was.\Excuse me.\There is someone here to see Miss Louise.\To see me? response:	Who could it be?
context: I'm sorry!\I'll never do it again!\That was delicious!\It really was.\Excuse me.\There is someone here to see Miss Louise.\To see me?\Who could it be? response:	Ow!
context: I'll never do it again!\That was delicious!\It really was.\Excuse me.\There is someone here to see Miss Louise.\To see me?\Who could it be?\Ow! response:	Damn you, little Louise!
context: That was delicious!\It really was.\Excuse me.\There is someone here to see Miss Louise.\To see me?\Who could it be?\Ow!\Damn you, little Louise! response:	I've heard all about the indulgent things you've been doing!
context: It really was.\Excuse me.\There is someone here to see Miss Louise.\To see me?\Who could it be?\Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing! response:	Here you go.
context: Excuse me.\There is someone here to see Miss Louise.\To see me?\Who could it be?\Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go. response:	Leaving school with a man before getting married,
context: There is someone here to see Miss Louise.\To see me?\Who could it be?\Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married, response:	trying to live in a villa with him...
context: To see me?\Who could it be?\Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him... response:	Don't expect me to ever acknowledge such a filthy relationship!
context: Who could it be?\Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship! response:	I don't have to listen to that from
context: Ow!\Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from response:	someone who failed to get married.
context: Damn you, little Louise!\I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married. response:	You'd make the House of Valliere
context: I've heard all about the indulgent things you've been doing!\Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere response:	the laughingstock of the country
context: Here you go.\Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country response:	if the third daughter lived with someone
context: Leaving school with a man before getting married,\trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone response:	with a dubious background!
context: trying to live in a villa with him...\Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone\with a dubious background! response:	We're going home.
context: Don't expect me to ever acknowledge such a filthy relationship!\I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone\with a dubious background!\We're going home. response:	Saito is not dubious!
context: I don't have to listen to that from\someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone\with a dubious background!\We're going home.\Saito is not dubious! response:	He is a real nobleman!
context: someone who failed to get married.\You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone\with a dubious background!\We're going home.\Saito is not dubious!\He is a real nobleman! response:	He received this land as a reward
context: You'd make the House of Valliere\the laughingstock of the country\if the third daughter lived with someone\with a dubious background!\We're going home.\Saito is not dubious!\He is a real nobleman!\He received this land as a reward response:	from Her Majesty for saving His Holiness!
context: the laughingstock of the country\if the third daughter lived with someone\with a dubious background!\We're going home.\Saito is not dubious!\He is a real nobleman!\He received this land as a reward\from Her Majesty for saving His Holiness! response:	I don't care, we're leaving!
context: if the third daughter lived with someone\with a dubious background!\We're going home.\Saito is not dubious!\He is a real nobleman!\He received this land as a reward\from Her Majesty for saving His Holiness!\I don't care, we're leaving! response:	Please wait!
