context: For one still so young, your calligraphy is highly conformist. response:	I don't know if it's better described as copybook-style,
context: Barakamon\Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh? response:	Mighta taken half a day's walk!
context: Baraka Kodon\Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk! response:	Uh, I can't understand what you're saying.
context: Translation: Cheerful Child\Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying. response:	Huh?! Whaddya say?!
context: Haneda Airport: SNA033 dpt 10:00 Nagasaki Airport: arrive 11:50 Nagasaki Airport: AHA 4674 dpt 13:20 Fukue Airport: arrive 14:00 Board taxi at Fukue Airport. After you arrive at location on map, contact Village Chief Kido Yuujirou. Do not act rude. - Seimei\Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?! response:	Huh?!
context: Yer lucky, sonny!\If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?! response:	Huh?!
context: If I hadn't come by,\it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?!\Huh?! response:	Ain't got no clue what yer sayin'.
context: it mighta taken you more'n half a day get to Nanatsutake Village!\Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?!\Huh?!\Ain't got no clue what yer sayin'. response:	Whatever. I'll just ignore him.
context: Huh?\Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?!\Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him. response:	There's nothing here...
context: Mighta taken half a day's walk!\Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?!\Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here... response:	Look there, sonny!
context: Uh, I can't understand what you're saying.\Huh?! Whaddya say?!\Huh?!\Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny! response:	It's th'sea! Th'sea!
context: Huh?! Whaddya say?!\Huh?!\Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny!\It's th'sea! Th'sea! response:	Th'sea?
context: Huh?!\Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny!\It's th'sea! Th'sea!\Th'sea? response:	Oh...
context: Huh?!\Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny!\It's th'sea! Th'sea!\Th'sea?\Oh... response:	What d'you think?
context: Ain't got no clue what yer sayin'.\Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny!\It's th'sea! Th'sea!\Th'sea?\Oh...\What d'you think? response:	My grandkid sure loves th'sea.
context: Whatever. I'll just ignore him.\There's nothing here...\Look there, sonny!\It's th'sea! Th'sea!\Th'sea?\Oh...\What d'you think?\My grandkid sure loves th'sea. response:	Always a-squealin' with glee at th'sight.
context: There's nothing here...\Look there, sonny!\It's th'sea! Th'sea!\Th'sea?\Oh...\What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight. response:	What's to think?
context: Look there, sonny!\It's th'sea! Th'sea!\Th'sea?\Oh...\What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think? response:	It's just the ocean...
context: It's th'sea! Th'sea!\Th'sea?\Oh...\What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean... response:	Maybe it doesn't look pretty because my heart's gone hard?
context: Th'sea?\Oh...\What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard? response:	Ow, my ribs...
context: Oh...\What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs... response:	This's as far as I take you.
context: What d'you think?\My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you. response:	Gotta get to th'field.
context: My grandkid sure loves th'sea.\Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you.\Gotta get to th'field. response:	Okay...
context: Always a-squealin' with glee at th'sight.\What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you.\Gotta get to th'field.\Okay... response:	The sea not lookin' pretty to you, sonny,
context: What's to think?\It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you.\Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny, response:	ain't'cause your heart's gone hard.
context: It's just the ocean...\Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you.\Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard. response:	It's just'cuz it gets cloudy in th'afternoon.
context: Maybe it doesn't look pretty because my heart's gone hard?\Ow, my ribs...\This's as far as I take you.\Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon. response:	Oh... so that's it.
context: Ow, my ribs...\This's as far as I take you.\Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it. response:	Th'sea's worth seein''specially when your heart's gone hard.
context: This's as far as I take you.\Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard. response:	You just don' see that.
context: Gotta get to th'field.\Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that. response:	Kijima Shipping
context: Okay...\The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping response:	Handa-san!
context: The sea not lookin' pretty to you, sonny,\ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping\Handa-san! response:	Handa-san?
context: ain't'cause your heart's gone hard.\It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping\Handa-san!\Handa-san? response:	Handa-san! It's Kijima Shipping!
context: It's just'cuz it gets cloudy in th'afternoon.\Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping\Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping! response:	I'm here!
context: Oh... so that's it.\Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping\Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping!\I'm here! response:	Huh?
context: Th'sea's worth seein''specially when your heart's gone hard.\You just don' see that.\Kijima Shipping\Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping!\I'm here!\Huh? response:	Kijima Shipping!
context: You just don' see that.\Kijima Shipping\Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping!\I'm here!\Huh?\Kijima Shipping! response:	That should be everything.
context: Kijima Shipping\Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping!\I'm here!\Huh?\Kijima Shipping!\That should be everything. response:	Uh, could you help me bring them inside?
context: Handa-san!\Handa-san?\Handa-san! It's Kijima Shipping!\I'm here!\Huh?\Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside? response:	Oh, our company doesn't do that.
context: Handa-san?\Handa-san! It's Kijima Shipping!\I'm here!\Huh?\Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that. response:	Well, I'm off.
context: Handa-san! It's Kijima Shipping!\I'm here!\Huh?\Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off. response:	Customer service turns lousy when they don't have any competitors.
context: I'm here!\Huh?\Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors. response:	I was waiting for you.
context: Huh?\Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you. response:	Er, um...
context: Kijima Shipping!\That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um... response:	Village Chief?
context: That should be everything.\Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um...\Village Chief? response:	You've had a long trip from Tokyo, eh?
context: Uh, could you help me bring them inside?\Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um...\Village Chief?\You've had a long trip from Tokyo, eh? response:	Here's your house key.
context: Oh, our company doesn't do that.\Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um...\Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key. response:	Does this place have no buses, or trains, or anything?
context: Well, I'm off.\Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um...\Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything? response:	A bus stops by once a day.
context: Customer service turns lousy when they don't have any competitors.\I was waiting for you.\Er, um...\Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day. response:	You can call for a taxi, but there aren't many of them.
context: I was waiting for you.\Er, um...\Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them. response:	You can borrow my car when you need to go to town.
context: Er, um...\Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town. response:	At any rate, could you leave me alone for a week?
context: Village Chief?\You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week? response:	I want to immerse myself in writing.
context: You've had a long trip from Tokyo, eh?\Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing. response:	Sure, got it.
context: Here's your house key.\Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it. response:	Here, let me try the key.
context: Does this place have no buses, or trains, or anything?\A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it.\Here, let me try the key. response:	Take all the time you need for writing.
context: A bus stops by once a day.\You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it.\Here, let me try the key.\Take all the time you need for writing. response:	You won't have to worry about food, either.
context: You can call for a taxi, but there aren't many of them.\You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it.\Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either. response:	Huh, that easily?
context: You can borrow my car when you need to go to town.\At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it.\Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily? response:	Um...
context: At any rate, could you leave me alone for a week?\I want to immerse myself in writing.\Sure, got it.\Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily?\Um... response:	There's nobody living here, right?
context: I want to immerse myself in writing.\Sure, got it.\Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily?\Um...\There's nobody living here, right? response:	Yeah, that's right.
context: Sure, got it.\Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily?\Um...\There's nobody living here, right?\Yeah, that's right. response:	It feels strangely lived-in, somehow.
context: Here, let me try the key.\Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily?\Um...\There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow. response:	Huh?
context: Take all the time you need for writing.\You won't have to worry about food, either.\Huh, that easily?\Um...\There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow.\Huh? response:	Shh!
context: You won't have to worry about food, either.\Huh, that easily?\Um...\There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow.\Huh?\Shh! response:	You're... You're just imagining it, really.
context: Huh, that easily?\Um...\There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow.\Huh?\Shh!\You're... You're just imagining it, really. response:	Talismans?!
context: Um...\There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow.\Huh?\Shh!\You're... You're just imagining it, really.\Talismans?! response:	Oh, don't worry about them.
context: There's nobody living here, right?\Yeah, that's right.\It feels strangely lived-in, somehow.\Huh?\Shh!\You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them. response:	They're just talismans.
context: Yeah, that's right.\It feels strangely lived-in, somehow.\Huh?\Shh!\You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them.\They're just talismans. response:	A pit toilet...
context: It feels strangely lived-in, somehow.\Huh?\Shh!\You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them.\They're just talismans.\A pit toilet... response:	What is this?
context: Huh?\Shh!\You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them.\They're just talismans.\A pit toilet...\What is this? response:	Never used a balanced-flue bath heater before?
context: Shh!\You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them.\They're just talismans.\A pit toilet...\What is this?\Never used a balanced-flue bath heater before? response:	You crank this to light the flame.
context: You're... You're just imagining it, really.\Talismans?!\Oh, don't worry about them.\They're just talismans.\A pit toilet...\What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame. response:	See?
context: Talismans?!\Oh, don't worry about them.\They're just talismans.\A pit toilet...\What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame.\See? response:	I have to live in a place like this?
context: Oh, don't worry about them.\They're just talismans.\A pit toilet...\What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame.\See?\I have to live in a place like this? response:	You all right?
context: They're just talismans.\A pit toilet...\What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame.\See?\I have to live in a place like this?\You all right? response:	I'm fine.
context: A pit toilet...\What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame.\See?\I have to live in a place like this?\You all right?\I'm fine. response:	There's definitely something in here...
context: What is this?\Never used a balanced-flue bath heater before?\You crank this to light the flame.\See?\I have to live in a place like this?\You all right?\I'm fine.\There's definitely something in here... response:	You found me!
context: Never used a balanced-flue bath heater before?\You crank this to light the flame.\See?\I have to live in a place like this?\You all right?\I'm fine.\There's definitely something in here...\You found me! response:	Village Chief! Who is this kid?!
context: You crank this to light the flame.\See?\I have to live in a place like this?\You all right?\I'm fine.\There's definitely something in here...\You found me!\Village Chief! Who is this kid?! response:	She's the village scamp.
context: See?\I have to live in a place like this?\You all right?\I'm fine.\There's definitely something in here...\You found me!\Village Chief! Who is this kid?!\She's the village scamp. response:	Seems she's made this house her base.
context: I have to live in a place like this?\You all right?\I'm fine.\There's definitely something in here...\You found me!\Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base. response:	Base?
context: You all right?\I'm fine.\There's definitely something in here...\You found me!\Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base.\Base? response:	Oh, more of a colony, really.
context: I'm fine.\There's definitely something in here...\You found me!\Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base.\Base?\Oh, more of a colony, really. response:	Uh, that makes even less sense.
context: There's definitely something in here...\You found me!\Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base.\Base?\Oh, more of a colony, really.\Uh, that makes even less sense. response:	I'm terribly sorry.
context: You found me!\Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base.\Base?\Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry. response:	I told her to leave, but...
context: Village Chief! Who is this kid?!\She's the village scamp.\Seems she's made this house her base.\Base?\Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but... response:	Hey, mister! You a Junon Boy?
context: She's the village scamp.\Seems she's made this house her base.\Base?\Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy? response:	Huh?
context: Seems she's made this house her base.\Base?\Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh? response:	Naru! It's rude to ask questions like that.
context: Base?\Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that. response:	But Miwa-nee was sayin', Junon Boys look really cool.
context: Oh, more of a colony, really.\Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool. response:	This guy looks really cool, so he's a Junon Boy!
context: Uh, that makes even less sense.\I'm terribly sorry.\I told her to leave, but...\Hey, mister! You a Junon Boy?\Huh?\Naru! It's rude to ask questions like that.\But Miwa-nee was sayin', Junon Boys look really cool.\This guy looks really cool, so he's a Junon Boy! response:	That's not entirely incorrect, but this man is a master calligrapher.
