context: The one who showed up this time sure is pretentious. response:	According to the Division of Astronomy, the spectrum of the detected star contained characteristics of a Moratorium.
context: Do you have any particular information on her?\When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko.\No... response:	It isn't me...
context: When I was a child, Papa told me there was an amulet inside that was protecting me.\Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko.\No...\It isn't me... response:	It's not my fault!
context: Information about Tahara's daughter being a contractor or something didn't exist until today.\Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko.\No...\It isn't me...\It's not my fault! response:	Meyer Hilton?
context: Do you know what this means?\Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko.\No...\It isn't me...\It's not my fault!\Meyer Hilton? response:	When the U.K. started mobilizing during the Argentine Coast War,
context: Tahara's research was progressing according to his plans.\We'll obtain both at once.\It's time for work, Ruuko.\No...\It isn't me...\It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War, response:	they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.
context: We'll obtain both at once.\It's time for work, Ruuko.\No...\It isn't me...\It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry. response:	I haven't heard any good rumors about them.
context: It's time for work, Ruuko.\No...\It isn't me...\It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them. response:	Inbreeding in order to mass-produce contractors...
context: No...\It isn't me...\It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors... response:	Manufacturing hybrids by breeding distinct supernatural beings...
context: It isn't me...\It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings... response:	Experimenting with neurosurgical contract validation on civilians...
context: It's not my fault!\Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians... response:	What is their relationship with the Moratorium in question?
context: Meyer Hilton?\When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question? response:	Unknown.
context: When the U.K. started mobilizing during the Argentine Coast War,\they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown. response:	However, around ten years ago,
context: they supplied the country with contractors for artillery purposes, since they were the first company to implement such weaponry.\I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago, response:	a Japanese man was hired as a researcher.
context: I haven't heard any good rumors about them.\Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher. response:	There has been no leakage of details.
context: Inbreeding in order to mass-produce contractors...\Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details. response:	Their purpose of entry, the subject of the research,
context: Manufacturing hybrids by breeding distinct supernatural beings...\Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research, response:	and the emergence of the new star...
context: Experimenting with neurosurgical contract validation on civilians...\What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star... response:	There may be some correlation between them.
context: What is their relationship with the Moratorium in question?\Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them. response:	Understood. I'll have Saitou and Kouno look into it.
context: Unknown.\However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it. response:	I'm on the trail of the Moratorium.
context: However, around ten years ago,\a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium. response:	Hurry, Kirihara.
context: a Japanese man was hired as a researcher.\There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara. response:	The Moratorium must be apprehended and quarantined at once.
context: There has been no leakage of details.\Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once. response:	They are neither contractors nor Dolls.
context: Their purpose of entry, the subject of the research,\and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls. response:	Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.
context: and the emergence of the new star...\There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness. response:	I'll do my best.
context: There may be some correlation between them.\Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best. response:	National Observatory
context: Understood. I'll have Saitou and Kouno look into it.\I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory response:	Boss!
context: I'm on the trail of the Moratorium.\Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory\Boss! response:	Good work, Inspector.
context: Hurry, Kirihara.\The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory\Boss!\Good work, Inspector. response:	How's the target, Chief Ishizaki?
context: The Moratorium must be apprehended and quarantined at once.\They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory\Boss!\Good work, Inspector.\How's the target, Chief Ishizaki? response:	Our mediums have tracked it again around Nerima Ward.
context: They are neither contractors nor Dolls.\Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory\Boss!\Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward. response:	However, we have only confirmed the tail end of a strong, sentient resonance.
context: Rather, they're defective monsters who merely abuse their powers and have no sense of self-awareness.\I'll do my best.\National Observatory\Boss!\Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance. response:	We have suspended further monitoring activities for the time being.
context: I'll do my best.\National Observatory\Boss!\Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being. response:	What about the evacuation alert?
context: National Observatory\Boss!\Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert? response:	We have already issued one for a five kilometer radius under the pretense of a broken gas line.
context: Boss!\Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line. response:	It has been a while, Hoshimi-sama.
context: Good work, Inspector.\How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama. response:	It's me, Kirihara.
context: How's the target, Chief Ishizaki?\Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara. response:	The reason why contractors are called contractors in the first place
context: Our mediums have tracked it again around Nerima Ward.\However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place response:	is because they have to go through a mentally exhausting, yet necessary procedure,
context: However, we have only confirmed the tail end of a strong, sentient resonance.\We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure, response:	referred to as remuneration, after using their acquired abilities.
context: We have suspended further monitoring activities for the time being.\What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities. response:	The process of remuneration is deferred for the Moratorium.
context: What about the evacuation alert?\We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium. response:	After a period of time, most of them alter their states into that of a Doll,
context: We have already issued one for a five kilometer radius under the pretense of a broken gas line.\It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll, response:	much like our mediums.
context: It has been a while, Hoshimi-sama.\It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums. response:	Unlike standard contractors, the Moratorium cannot control their abilities.
context: It's me, Kirihara.\The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities. response:	That's what we're dealing with.
context: The reason why contractors are called contractors in the first place\is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with. response:	To be honest, the Observatory doesn't know any more than what the people from External Affairs do.
context: is because they have to go through a mentally exhausting, yet necessary procedure,\referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do. response:	Moratorium sightings are few and far between.
context: referred to as remuneration, after using their acquired abilities.\The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between. response:	I see.
context: The process of remuneration is deferred for the Moratorium.\After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see. response:	Its pulse seems a little unstable this time.
context: After a period of time, most of them alter their states into that of a Doll,\much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time. response:	Long story short, there's no telling what it'll do.
context: much like our mediums.\Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do. response:	There you go again, raising your brow!
context: Unlike standard contractors, the Moratorium cannot control their abilities.\That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow! response:	You're not young anymore, so be careful or those wrinkles will become permanent.
context: That's what we're dealing with.\To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent. response:	You're as old as I am. You're not in a position to say that to me, Kanami.
context: To be honest, the Observatory doesn't know any more than what the people from External Affairs do.\Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami. response:	Don't worry about me. I don't take life seriously enough to develop wrinkles.
context: Moratorium sightings are few and far between.\I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles. response:	You haven't changed at all.
context: I see.\Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all. response:	Neither have you.
context: Its pulse seems a little unstable this time.\Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you. response:	To all residents: please proceed to your designated evacuation areas at once.
context: Long story short, there's no telling what it'll do.\There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once. response:	This area is extremely dangerous.
context: There you go again, raising your brow!\You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous. response:	Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.
context: You're not young anymore, so be careful or those wrinkles will become permanent.\You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking. response:	Mai?
context: You're as old as I am. You're not in a position to say that to me, Kanami.\Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai? response:	I repeat...
context: Don't worry about me. I don't take life seriously enough to develop wrinkles.\You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat... response:	To all residents: please proceed to your designated evacuation areas at once.
context: You haven't changed at all.\Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once. response:	What are you doing in a place like this?
context: Neither have you.\To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this? response:	If you don't hurry, you'll be in danger!
context: To all residents: please proceed to your designated evacuation areas at once.\This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger! response:	The gas lines are broken.
context: This area is extremely dangerous.\Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken. response:	Yuka!
context: Refrain from using vehicles, do not carry any luggage, and proceed swiftly without panicking.\Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka! response:	Is she a friend?
context: Mai?\I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka!\Is she a friend? response:	Oh, yeah.
context: I repeat...\To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka!\Is she a friend?\Oh, yeah. response:	It's all right, you don't have to be scared. Let's evacuate together.
context: To all residents: please proceed to your designated evacuation areas at once.\What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka!\Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together. response:	No, don't come near me!
context: What are you doing in a place like this?\If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka!\Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me! response:	He's my father, you know.
context: If you don't hurry, you'll be in danger!\The gas lines are broken.\Yuka!\Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know. response:	Go!
context: The gas lines are broken.\Yuka!\Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know.\Go! response:	Please!
context: Yuka!\Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know.\Go!\Please! response:	No!
context: Is she a friend?\Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know.\Go!\Please!\No! response:	Mai?
context: Oh, yeah.\It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know.\Go!\Please!\No!\Mai? response:	Let's hurry!
context: It's all right, you don't have to be scared. Let's evacuate together.\No, don't come near me!\He's my father, you know.\Go!\Please!\No!\Mai?\Let's hurry! response:	I said no!
context: No, don't come near me!\He's my father, you know.\Go!\Please!\No!\Mai?\Let's hurry!\I said no! response:	Dad!
context: He's my father, you know.\Go!\Please!\No!\Mai?\Let's hurry!\I said no!\Dad! response:	What the...
context: Go!\Please!\No!\Mai?\Let's hurry!\I said no!\Dad!\What the... response:	I told you...
context: Please!\No!\Mai?\Let's hurry!\I said no!\Dad!\What the...\I told you... response:	I said no!
context: No!\Mai?\Let's hurry!\I said no!\Dad!\What the...\I told you...\I said no! response:	There it is.
context: Mai?\Let's hurry!\I said no!\Dad!\What the...\I told you...\I said no!\There it is. response:	Target sighted at Nakano Ward, Maruyamakita.
context: Let's hurry!\I said no!\Dad!\What the...\I told you...\I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita. response:	Do not antagonize the target.
context: I said no!\Dad!\What the...\I told you...\I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target. response:	Wait for the Special Forces to arrive.
context: Dad!\What the...\I told you...\I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive. response:	A child?
context: What the...\I told you...\I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive.\A child? response:	Episode Four
context: I told you...\I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive.\A child?\Episode Four response:	A New Star Shines in the Dawn Sky... (Part Two)
context: I said no!\There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive.\A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two) response:	Dr. Tahara, you're so mean-spirited.
context: There it is.\Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive.\A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited. response:	Everything has gone according to your plans, hasn't it?
context: Target sighted at Nakano Ward, Maruyamakita.\Do not antagonize the target.\Wait for the Special Forces to arrive.\A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it? response:	I'm talking about your research on suppressing contractors from awakening.
context: Do not antagonize the target.\Wait for the Special Forces to arrive.\A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening. response:	In any case, I didn't realize your daughter was the subject of your experiments.
context: Wait for the Special Forces to arrive.\A child?\Episode Four\A New Star Shines in the Dawn Sky... (Part Two)\Dr. Tahara, you're so mean-spirited.\Everything has gone according to your plans, hasn't it?\I'm talking about your research on suppressing contractors from awakening.\In any case, I didn't realize your daughter was the subject of your experiments. response:	Of course, I could personally make a trip to your factory, but...
