context: Endeavor's my old man. response:	He's been stuck as the number two hero for forever.
context: At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice.\Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now- response:	The instant we start...
context: Midoriya!\First, he'll come at me with ice.\Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now-\The instant we start... response:	Start!
context: First, he'll come at me with ice.\Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now-\The instant we start...\Start! response:	Go!
context: Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now-\The instant we start...\Start!\Go! response:	Smash!
context: Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now-\The instant we start...\Start!\Go!\Smash! response:	So cold!
context: It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other!\Now-\The instant we start...\Start!\Go!\Smash!\So cold! response:	Just the wind is already this cold?!
context: It's like two great rivals fighting against each other!\Now-\The instant we start...\Start!\Go!\Smash!\So cold!\Just the wind is already this cold?! response:	Just as I expected.
context: Now-\The instant we start...\Start!\Go!\Smash!\So cold!\Just the wind is already this cold?!\Just as I expected. response:	He was prepared to injure himself to negate the attack.
context: The instant we start...\Start!\Go!\Smash!\So cold!\Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack. response:	Wow! Midoriya stopped Todoroki's attack!
context: Start!\Go!\Smash!\So cold!\Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack! response:	He didn't know what scale of attack Young Todoroki would use,
context: Go!\Smash!\So cold!\Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use, response:	so he abandoned control and fired off a shot at 100!
context: Smash!\So cold!\Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100! response:	It's true that that was the only thing he could do against the ice attack...
context: So cold!\Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack... response:	However!
context: Just the wind is already this cold?!\Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However! response:	Smash!
context: Just as I expected.\He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However!\Smash! response:	He stopped it again!
context: He was prepared to injure himself to negate the attack.\Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However!\Smash!\He stopped it again! response:	Damn...
context: Wow! Midoriya stopped Todoroki's attack!\He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However!\Smash!\He stopped it again!\Damn... response:	From what I know of Todoroki's fighting,
context: He didn't know what scale of attack Young Todoroki would use,\so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However!\Smash!\He stopped it again!\Damn...\From what I know of Todoroki's fighting, response:	he always attacks in an instant, so I don't have much data on him.
context: so he abandoned control and fired off a shot at 100!\It's true that that was the only thing he could do against the ice attack...\However!\Smash!\He stopped it again!\Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him. response:	Data... During this fight, I need to find an opening...
context: It's true that that was the only thing he could do against the ice attack...\However!\Smash!\He stopped it again!\Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening... response:	The ice he's stuck behind him is probably how he plans to keep from being blown away.
context: However!\Smash!\He stopped it again!\Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away. response:	Which means, I was right to use my fingers.
context: Smash!\He stopped it again!\Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers. response:	It's likely that it could even work against a 100 smash where I sacrifice my arm.
context: He stopped it again!\Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm. response:	I've got to look carefully...
context: Damn...\From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully... response:	Think...
context: From what I know of Todoroki's fighting,\he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think... response:	Find it...
context: he always attacks in an instant, so I don't have much data on him.\Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think...\Find it... response:	I've got six more chances...!
context: Data... During this fight, I need to find an opening...\The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think...\Find it...\I've got six more chances...! response:	You're...
context: The ice he's stuck behind him is probably how he plans to keep from being blown away.\Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think...\Find it...\I've got six more chances...!\You're... response:	Five more chances!
context: Which means, I was right to use my fingers.\It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think...\Find it...\I've got six more chances...!\You're...\Five more chances! response:	It started?!
context: It's likely that it could even work against a 100 smash where I sacrifice my arm.\I've got to look carefully...\Think...\Find it...\I've got six more chances...!\You're...\Five more chances!\It started?! response:	Kirishima, good job making it to the second round.
context: I've got to look carefully...\Think...\Find it...\I've got six more chances...!\You're...\Five more chances!\It started?!\Kirishima, good job making it to the second round. response:	Yeah, I'll be up against you next, Bakugo. Let's have a good fight!
context: Think...\Find it...\I've got six more chances...!\You're...\Five more chances!\It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight! response:	I'll kill you.
context: Find it...\I've got six more chances...!\You're...\Five more chances!\It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you. response:	I'd like to see you try!
context: I've got six more chances...!\You're...\Five more chances!\It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try! response:	But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.
context: You're...\Five more chances!\It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground. response:	Like Bam!
context: Five more chances!\It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam! response:	And you can do it with no time lag.
context: It started?!\Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag. response:	I'm not just shooting them off. Don't underestimate'em.
context: Kirishima, good job making it to the second round.\Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em. response:	Huh?
context: Yeah, I'll be up against you next, Bakugo. Let's have a good fight!\I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh? response:	If you overuse your muscles, the muscle fibers tear,
context: I'll kill you.\I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear, response:	and if you keep running, you'll run out of breath.
context: I'd like to see you try!\But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath. response:	There's a limit to how much power I can produce, too.
context: But man, you and Todoroki can both shoot off powerful attacks that cover a lot of ground.\Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too. response:	That's why I designed my costume so that I could fire blasts
context: Like Bam!\And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts response:	in excess of what my body allows without any risk.
context: And you can do it with no time lag.\I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk. response:	Quirks are physical abilities, too.
context: I'm not just shooting them off. Don't underestimate'em.\Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too. response:	They must also have some kind of limit.
context: Huh?\If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit. response:	If I think about it like that, I guess that makes sense...
context: If you overuse your muscles, the muscle fibers tear,\and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense... response:	Then, against the instant-killer Todoroki, Midoriya wants...
context: and if you keep running, you'll run out of breath.\There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants... response:	I'll end this quickly.
context: There's a limit to how much power I can produce, too.\That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly. response:	Smash!
context: That's why I designed my costume so that I could fire blasts\in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash! response:	I've used up all the fingers on my right hand!
context: in excess of what my body allows without any risk.\Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash!\I've used up all the fingers on my right hand! response:	Todoroki doesn't recoil from Midoriya's power and gets in close!
context: Quirks are physical abilities, too.\They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close! response:	Damn it...!
context: They must also have some kind of limit.\If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...! response:	Oh no, he's so close!
context: If I think about it like that, I guess that makes sense...\Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close! response:	That's a lot more powerful than before.
context: Then, against the instant-killer Todoroki, Midoriya wants...\I'll end this quickly.\Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close!\That's a lot more powerful than before. response:	Are you trying to tell me... to stay away...?
context: I'll end this quickly.\Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...? response:	It's not just his Quirk.
context: Smash!\I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk. response:	His judgment, application skills, mobility...
context: I've used up all the fingers on my right hand!\Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility... response:	All of his abilities... are strong!
context: Todoroki doesn't recoil from Midoriya's power and gets in close!\Damn it...!\Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong! response:	He's already better than the average pro...
context: Damn it...!\Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro... response:	It's like that's what you get from the son of the number two hero.
context: Oh no, he's so close!\That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero. response:	What, you're that beat up just from defending and running away?
context: That's a lot more powerful than before.\Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away? response:	He's trembling...?
context: Are you trying to tell me... to stay away...?\It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...? response:	Is that how it is...?
context: It's not just his Quirk.\His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...? response:	Damn it...
context: His judgment, application skills, mobility...\All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...?\Damn it... response:	Sorry...
context: All of his abilities... are strong!\He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...?\Damn it...\Sorry... response:	Thanks, Midoriya. That guy's face is clouded over thanks to you.
context: He's already better than the average pro...\It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...?\Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you. response:	Without using my damn old man's Quirk...
context: It's like that's what you get from the son of the number two hero.\What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...?\Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk... response:	No...
context: What, you're that beat up just from defending and running away?\He's trembling...?\Is that how it is...?\Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No... response:	I'll reject him completely by winning first place without using it.
context: He's trembling...?\Is that how it is...?\Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it. response:	With your arms like that, you can't fight anymore, can you?
context: Is that how it is...?\Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you? response:	Let's finish this.
context: Damn it...\Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this. response:	Todoroki keeps attacking with overwhelming power!
context: Sorry...\Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power! response:	Here comes the finishing ice attack!
context: Thanks, Midoriya. That guy's face is clouded over thanks to you.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack! response:	Where are you looking?
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking? response:	Bastard...
context: No...\I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking?\Bastard... response:	With your broken finger...?
context: I'll reject him completely by winning first place without using it.\With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking?\Bastard...\With your broken finger...? response:	Why are you going so far?
context: With your arms like that, you can't fight anymore, can you?\Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking?\Bastard...\With your broken finger...?\Why are you going so far? response:	You're trembling, Todoroki.
context: Let's finish this.\Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking?\Bastard...\With your broken finger...?\Why are you going so far?\You're trembling, Todoroki. response:	Quirks are physical abilities, too.
context: Todoroki keeps attacking with overwhelming power!\Here comes the finishing ice attack!\Where are you looking?\Bastard...\With your broken finger...?\Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too. response:	There's a limit to how much cold your body can take, isn't there?
context: Here comes the finishing ice attack!\Where are you looking?\Bastard...\With your broken finger...?\Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there? response:	And isn't that something you could solve by using the heat from your left side?
context: Where are you looking?\Bastard...\With your broken finger...?\Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side? response:	Everyone's fighting with everything they've got...
context: Bastard...\With your broken finger...?\Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got... response:	To win and get closer to their dream...
context: With your broken finger...?\Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream... response:	To become number one...
context: Why are you going so far?\You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one... response:	You want to win with just half your strength?!
context: You're trembling, Todoroki.\Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one...\You want to win with just half your strength?! response:	You haven't put a single scratch on me yet, you know!
context: Quirks are physical abilities, too.\There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know! response:	Come at with me with everything you've got!
context: There's a limit to how much cold your body can take, isn't there?\And isn't that something you could solve by using the heat from your left side?\Everyone's fighting with everything they've got...\To win and get closer to their dream...\To become number one...\You want to win with just half your strength?!\You haven't put a single scratch on me yet, you know!\Come at with me with everything you've got! response:	You want to win with just half your strength?!
