context: Who will you give it to? response:	Li-kun!!
context: Oh, Li-kun, lets go together.\It's a teddy bear show. It will be really fun.\Right!\Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow. response:	' Can't wait till tomorrow.' Right.
context: It's a teddy bear show. It will be really fun.\Right!\Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right. response:	Sakura is very cute, isn't she?
context: Right!\Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she? response:	I' Me and her' There is nothing
context: Great!\Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing response:	It's' really is' actually'
context: Yes, yes, lots of bears, yes, yes, yes\Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually' response:	This kid is an honest person.
context: Look at this, you could get a teddy bear gift in the show too.\Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person. response:	What am I doing?
context: Everybody could be able to get one.\Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person.\What am I doing? response:	This can't be!!
context: Can't wait till tomorrow.\' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person.\What am I doing?\This can't be!! response:	Damn!
context: ' Can't wait till tomorrow.' Right.\Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person.\What am I doing?\This can't be!!\Damn! response:	' Are you all right?' I am okay.
context: Sakura is very cute, isn't she?\I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person.\What am I doing?\This can't be!!\Damn!\' Are you all right?' I am okay. response:	That's good.
context: I' Me and her' There is nothing\It's' really is' actually'\This kid is an honest person.\What am I doing?\This can't be!!\Damn!\' Are you all right?' I am okay.\That's good. response:	Coming back from school? Yeah'
context: It's' really is' actually'\This kid is an honest person.\What am I doing?\This can't be!!\Damn!\' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah' response:	You seem to be out of it.
context: This kid is an honest person.\What am I doing?\This can't be!!\Damn!\' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah'\You seem to be out of it. response:	Anything happended in school?
context: What am I doing?\This can't be!!\Damn!\' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school? response:	No' no'
context: This can't be!!\Damn!\' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school?\No' no' response:	I know, you must be hungry.
context: Damn!\' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school?\No' no'\I know, you must be hungry. response:	I guess it was me who's hungry.
context: ' Are you all right?' I am okay.\That's good.\Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school?\No' no'\I know, you must be hungry.\I guess it was me who's hungry. response:	I am really sorry to have you come along with me.
context: That's good.\Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school?\No' no'\I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me. response:	It's not a problem.
context: Coming back from school? Yeah'\You seem to be out of it.\Anything happended in school?\No' no'\I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem. response:	Sakura invited me to have dinner at her house tonight.
context: You seem to be out of it.\Anything happended in school?\No' no'\I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight. response:	I felt improper to eat at Sakura's place even though she invited me.
context: Anything happended in school?\No' no'\I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me. response:	I think
context: No' no'\I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think response:	I will get her some cookies as a way to say thank you.
context: I know, you must be hungry.\I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you. response:	That's why I want to buy some cookie bakery tools.
context: I guess it was me who's hungry.\I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools. response:	Oh yeah!
context: I am really sorry to have you come along with me.\It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah! response:	If you don't mind, can you choose some cookie cutters with me?
context: It's not a problem.\Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me? response:	Me?
context: Sakura invited me to have dinner at her house tonight.\I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me? response:	Did you find one?
context: I felt improper to eat at Sakura's place even though she invited me.\I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one? response:	It's a teddy bear shape cutter. Sakura likes it, right?
context: I think\I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right? response:	N' no' I really'
context: I will get her some cookies as a way to say thank you.\That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really' response:	I choose this two.
context: That's why I want to buy some cookie bakery tools.\Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two. response:	But I think they are too big.
context: Oh yeah!\If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two.\But I think they are too big. response:	I think it won't be a problem,
context: If you don't mind, can you choose some cookie cutters with me?\Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two.\But I think they are too big.\I think it won't be a problem, response:	she eats anything.
context: Me?\Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two.\But I think they are too big.\I think it won't be a problem,\she eats anything. response:	If there are foods, she'll be happy.
context: Did you find one?\It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two.\But I think they are too big.\I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy. response:	And'
context: It's a teddy bear shape cutter. Sakura likes it, right?\N' no' I really'\I choose this two.\But I think they are too big.\I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy.\And' response:	If you are the one who make them,
context: N' no' I really'\I choose this two.\But I think they are too big.\I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy.\And'\If you are the one who make them, response:	she'll definitely be very happy.
context: I choose this two.\But I think they are too big.\I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy.\And'\If you are the one who make them,\she'll definitely be very happy. response:	It seems like you like Sakura a lot.
context: But I think they are too big.\I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy.\And'\If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot. response:	Wha' You' I'
context: I think it won't be a problem,\she eats anything.\If there are foods, she'll be happy.\And'\If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I' response:	What's up?
context: she eats anything.\If there are foods, she'll be happy.\And'\If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I'\What's up? response:	I like her'
context: If there are foods, she'll be happy.\And'\If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I'\What's up?\I like her' response:	Message one.
context: And'\If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I'\What's up?\I like her'\Message one. response:	Hello, this is Kinomoto.
context: If you are the one who make them,\she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I'\What's up?\I like her'\Message one.\Hello, this is Kinomoto. response:	Before tomorrow's meeting time
context: she'll definitely be very happy.\It seems like you like Sakura a lot.\Wha' You' I'\What's up?\I like her'\Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time response:	and place are decided, you've left.
context: It seems like you like Sakura a lot.\Wha' You' I'\What's up?\I like her'\Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left. response:	Tomoyo-chan, Eriol-kun
context: Wha' You' I'\What's up?\I like her'\Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun response:	and I have deci'
context: What's up?\I like her'\Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci' response:	Message two.
context: I like her'\Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci'\Message two. response:	It hurts'
context: Message one.\Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci'\Message two.\It hurts' response:	Hello, sorry about that,
context: Hello, this is Kinomoto.\Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci'\Message two.\It hurts'\Hello, sorry about that, response:	Kero-chan is playing videogame and'
context: Before tomorrow's meeting time\and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci'\Message two.\It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and' response:	It was you, who knocked me over!
context: and place are decided, you've left.\Tomoyo-chan, Eriol-kun\and I have deci'\Message two.\It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over! response:	What!!
context: Tomoyo-chan, Eriol-kun\and I have deci'\Message two.\It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over!\What!! response:	Sorry' Oh,
context: and I have deci'\Message two.\It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over!\What!!\Sorry' Oh, response:	we are talking about the meeting time and place'
context: Message two.\It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over!\What!!\Sorry' Oh,\we are talking about the meeting time and place' response:	Tomorrow at ten am,
context: It hurts'\Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over!\What!!\Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am, response:	meet us at the train station's ticket booth, okay?
context: Hello, sorry about that,\Kero-chan is playing videogame and'\It was you, who knocked me over!\What!!\Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay? response:	If you can't get there during that time,
context: Kero-chan is playing videogame and'\It was you, who knocked me over!\What!!\Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time, response:	please tell me, bye.
context: It was you, who knocked me over!\What!!\Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye. response:	Hello, this is Kinomoto.
context: What!!\Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto. response:	we are talking about the meeting time and place'
context: Sorry' Oh,\we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place' response:	I discussed with Tomoyo and Eriol-kun
context: we are talking about the meeting time and place'\Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun response:	after you gone.
context: Tomorrow at ten am,\meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone. response:	And the time is'
context: meet us at the train station's ticket booth, okay?\If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is' response:	=This can't go on forever,=
context: If you can't get there during that time,\please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is'\=This can't go on forever,= response:	=I look up=
context: please tell me, bye.\Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is'\=This can't go on forever,=\=I look up= response:	=at the blue sky.=
context: Hello, this is Kinomoto.\we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is'\=This can't go on forever,=\=I look up=\=at the blue sky.= response:	=A gentle breeze=
context: we are talking about the meeting time and place'\I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is'\=This can't go on forever,=\=I look up=\=at the blue sky.=\=A gentle breeze= response:	=goes by,=
context: I discussed with Tomoyo and Eriol-kun\after you gone.\And the time is'\=This can't go on forever,=\=I look up=\=at the blue sky.=\=A gentle breeze=\=goes by,= response:	=as I walk up the hill.=
context: after you gone.\And the time is'\=This can't go on forever,=\=I look up=\=at the blue sky.=\=A gentle breeze=\=goes by,=\=as I walk up the hill.= response:	=My usual serious face watches,=
context: And the time is'\=This can't go on forever,=\=I look up=\=at the blue sky.=\=A gentle breeze=\=goes by,=\=as I walk up the hill.=\=My usual serious face watches,= response:	=from far away=
context: =This can't go on forever,=\=I look up=\=at the blue sky.=\=A gentle breeze=\=goes by,=\=as I walk up the hill.=\=My usual serious face watches,=\=from far away= response:	=What has happened=
context: =I look up=\=at the blue sky.=\=A gentle breeze=\=goes by,=\=as I walk up the hill.=\=My usual serious face watches,=\=from far away=\=What has happened= response:	=to my pride?=
context: =at the blue sky.=\=A gentle breeze=\=goes by,=\=as I walk up the hill.=\=My usual serious face watches,=\=from far away=\=What has happened=\=to my pride?= response:	=I am devoted.=
context: =A gentle breeze=\=goes by,=\=as I walk up the hill.=\=My usual serious face watches,=\=from far away=\=What has happened=\=to my pride?=\=I am devoted.= response:	=I can't ignore her.=
context: =goes by,=\=as I walk up the hill.=\=My usual serious face watches,=\=from far away=\=What has happened=\=to my pride?=\=I am devoted.=\=I can't ignore her.= response:	=She's mysterious.=
context: =as I walk up the hill.=\=My usual serious face watches,=\=from far away=\=What has happened=\=to my pride?=\=I am devoted.=\=I can't ignore her.=\=She's mysterious.= response:	=I'll just watch quietly from here.=
context: =My usual serious face watches,=\=from far away=\=What has happened=\=to my pride?=\=I am devoted.=\=I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.= response:	=It seems something=
context: =from far away=\=What has happened=\=to my pride?=\=I am devoted.=\=I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.=\=It seems something= response:	=big waits.=
context: =What has happened=\=to my pride?=\=I am devoted.=\=I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.=\=It seems something=\=big waits.= response:	=I can't ignore this feeling,=
context: =to my pride?=\=I am devoted.=\=I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.=\=It seems something=\=big waits.=\=I can't ignore this feeling,= response:	=this strange feeling.=
context: =I am devoted.=\=I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.=\=It seems something=\=big waits.=\=I can't ignore this feeling,=\=this strange feeling.= response:	=My heart beats like in a dream.=
context: =I can't ignore her.=\=She's mysterious.=\=I'll just watch quietly from here.=\=It seems something=\=big waits.=\=I can't ignore this feeling,=\=this strange feeling.=\=My heart beats like in a dream.= response:	=It seems that everyday=
