context: To Mr. Junichi Katsuragi response:	I empathize with you. You were right about the way things are, but we should stand up for ourselves. And so, I have decided to form a publishing company together with a few of our comrades joining forces. I would like you to see it as the same battle but in a new form, and hope you will join me in this endeavor. I want to talk to you about this face to face.
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again response:	This melody...
context: (It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody... response:	A Christmas party?!
context: Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\A Christmas party?! response:	And we can go, too?!
context: dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\A Christmas party?!\And we can go, too?! response:	Of course. It's next Sunday.
context: A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\A Christmas party?!\And we can go, too?!\Of course. It's next Sunday. response:	We'll be there!
context: (What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\A Christmas party?!\And we can go, too?!\Of course. It's next Sunday.\We'll be there! response:	Since it's an Olympus party, will you play guitar for us?
context: Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\A Christmas party?!\And we can go, too?!\Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us? response:	Well, if you've got a request...
context: and won't leave me ever again\This melody...\A Christmas party?!\And we can go, too?!\Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request... response:	Ri-chan, are you coming to the Christmas party, too?
context: This melody...\A Christmas party?!\And we can go, too?!\Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too? response:	You can go with Nishimi-san, right?
context: A Christmas party?!\And we can go, too?!\Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right? response:	I'm not really part of that group, so I'll pass.
context: And we can go, too?!\Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass. response:	Sorry, I can't make it. There's a Christmas party at the church on Sunday.
context: Of course. It's next Sunday.\We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday. response:	Then Kawabuchi-kun is going to that, too?
context: We'll be there!\Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too? response:	Yeah.
context: Since it's an Olympus party, will you play guitar for us?\Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah. response:	We should've checked before...
context: Well, if you've got a request...\Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before... response:	Maruo-kun. If you don't mind, I think I'd like to go to the party after all.
context: Ri-chan, are you coming to the Christmas party, too?\You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all. response:	Really?!
context: You can go with Nishimi-san, right?\I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?! response:	I never thought you'd agree to come, Nishimi-kun.
context: I'm not really part of that group, so I'll pass.\Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun. response:	Like this, little by little, it's best to put some distance between us.
context: Sorry, I can't make it. There's a Christmas party at the church on Sunday.\Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us. response:	I'm sure of it...
context: Then Kawabuchi-kun is going to that, too?\Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it... response:	Hey!
context: Yeah.\We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey! response:	You're late, Richie-baby!
context: We should've checked before...\Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey!\You're late, Richie-baby! response:	H-Hi...
context: Maruo-kun. If you don't mind, I think I'd like to go to the party after all.\Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey!\You're late, Richie-baby!\H-Hi... response:	Alright! Next we'll play the Spiders.
context: Really?!\I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey!\You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders. response:	What about the Beatles?!
context: I never thought you'd agree to come, Nishimi-kun.\Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey!\You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?! response:	Let's go with Bang Bang Bang!
context: Like this, little by little, it's best to put some distance between us.\I'm sure of it...\Hey!\You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang! response:	Nishimi-san, how about some cider?
context: I'm sure of it...\Hey!\You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider? response:	Sure.
context: Hey!\You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure. response:	Feigning innocence, bang bang bang!
context: You're late, Richie-baby!\H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang! response:	Bang bang, bababababababa-bang!
context: H-Hi...\Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang! response:	He's someone I can't beat!
context: Alright! Next we'll play the Spiders.\What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat! response:	Bang bang, bababababababa-bang!
context: What about the Beatles?!\Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang! response:	Come on, Nishimi-san, let's sing together!
context: Let's go with Bang Bang Bang!\Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together! response:	I don't really know the popular songs...
context: Nishimi-san, how about some cider?\Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs... response:	I wonder what he's doing right now...
context: Sure.\Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now... response:	Maybe he's talking to Ri-chan at the church?
context: Feigning innocence, bang bang bang!\Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church? response:	I go to a party and all I do is think about those two...
context: Bang bang, bababababababa-bang!\He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two... response:	I feel like a fool...
context: He's someone I can't beat!\Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool... response:	Kaoru-san?
context: Bang bang, bababababababa-bang!\Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san? response:	Ri-chan...
context: Come on, Nishimi-san, let's sing together!\I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san?\Ri-chan... response:	Why are you here? I thought you were going to church...
context: I don't really know the popular songs...\I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church... response:	Yeah. The church's Christmas party is over.
context: I wonder what he's doing right now...\Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over. response:	He isn't here with you?
context: Maybe he's talking to Ri-chan at the church?\I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you? response:	Does he have to be?
context: I go to a party and all I do is think about those two...\I feel like a fool...\Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be? response:	Um... He went home with the little ones.
context: I feel like a fool...\Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be?\Um... He went home with the little ones. response:	I see...
context: Kaoru-san?\Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be?\Um... He went home with the little ones.\I see... response:	It's cold, isn't it?
context: Ri-chan...\Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be?\Um... He went home with the little ones.\I see...\It's cold, isn't it? response:	Yeah.
context: Why are you here? I thought you were going to church...\Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be?\Um... He went home with the little ones.\I see...\It's cold, isn't it?\Yeah. response:	Hey, come on!
context: Yeah. The church's Christmas party is over.\He isn't here with you?\Does he have to be?\Um... He went home with the little ones.\I see...\It's cold, isn't it?\Yeah.\Hey, come on! response:	I got you, baby!
context: He isn't here with you?\Does he have to be?\Um... He went home with the little ones.\I see...\It's cold, isn't it?\Yeah.\Hey, come on!\I got you, baby! response:	Come to think of it, it's almost his birthday, isn't it?
context: Does he have to be?\Um... He went home with the little ones.\I see...\It's cold, isn't it?\Yeah.\Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it? response:	I hope you finish in time.
context: Um... He went home with the little ones.\I see...\It's cold, isn't it?\Yeah.\Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time. response:	Why...?
context: I see...\It's cold, isn't it?\Yeah.\Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...? response:	Why do you say things like that?
context: It's cold, isn't it?\Yeah.\Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...?\Why do you say things like that? response:	You're wrong!
context: Yeah.\Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...?\Why do you say things like that?\You're wrong! response:	This is for...
context: Hey, come on!\I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...?\Why do you say things like that?\You're wrong!\This is for... response:	Never mind! Kaoru-san, you're an idiot!
context: I got you, baby!\Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...?\Why do you say things like that?\You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot! response:	What did I do this time?
context: Come to think of it, it's almost his birthday, isn't it?\I hope you finish in time.\Why...?\Why do you say things like that?\You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time? response:	I don't know.
context: I hope you finish in time.\Why...?\Why do you say things like that?\You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know. response:	It's hard to understand women.
context: Why...?\Why do you say things like that?\You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know.\It's hard to understand women. response:	Why did I lose my temper like that?
context: Why do you say things like that?\You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know.\It's hard to understand women.\Why did I lose my temper like that? response:	I'm the one who rejected Kaoru-san in the first place.
context: You're wrong!\This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know.\It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place. response:	Even if I finished knitting this, there's no way I'd be able to give it to him.
context: This is for...\Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know.\It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him. response:	I'm relieved.
context: Never mind! Kaoru-san, you're an idiot!\What did I do this time?\I don't know.\It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved. response:	You're safe for now Yurika, but let me tell you something...
context: What did I do this time?\I don't know.\It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something... response:	I know. You're going to tell me not to see him, right?
context: I don't know.\It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right? response:	You don't have to keep repeating yourself.
context: It's hard to understand women.\Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself. response:	Chet... no!
context: Why did I lose my temper like that?\I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no! response:	Chet!
context: I'm the one who rejected Kaoru-san in the first place.\Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no!\Chet! response:	Sentaro... What are you doing here?
context: Even if I finished knitting this, there's no way I'd be able to give it to him.\I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no!\Chet!\Sentaro... What are you doing here? response:	What am I...? I've been waitin' for you.
context: I'm relieved.\You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no!\Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you. response:	W-Why are you acting so formal?
context: You're safe for now Yurika, but let me tell you something...\I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no!\Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal? response:	Ri'ko...
context: I know. You're going to tell me not to see him, right?\You don't have to keep repeating yourself.\Chet... no!\Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko... response:	I'm sorry.
context: You don't have to keep repeating yourself.\Chet... no!\Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko...\I'm sorry. response:	I never realized how you felt'til now.
context: Chet... no!\Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko...\I'm sorry.\I never realized how you felt'til now. response:	I may have said dumb things an' hurt you...
context: Chet!\Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko...\I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you... response:	I'm sorry. But... um... how can I put it...?
context: Sentaro... What are you doing here?\What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko...\I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...? response:	But about your feelings, I, uh...
context: What am I...? I've been waitin' for you.\W-Why are you acting so formal?\Ri'ko...\I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh... response:	Sentaro, why are you suddenly on your best behavior?
context: W-Why are you acting so formal?\Ri'ko...\I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior? response:	Stop it already. This isn't a yakuza movie.
context: Ri'ko...\I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie. response:	Did I get it wrong?
context: I'm sorry.\I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong? response:	Yeah. You got it wrong.
context: I never realized how you felt'til now.\I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong. response:	O-Oh, a misunderstanding. Sorry for talkin' so weird...
context: I may have said dumb things an' hurt you...\I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird... response:	R-Right! We're like family. You made me nervous for a second there...
context: I'm sorry. But... um... how can I put it...?\But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there... response:	I-In that case, good.
context: But about your feelings, I, uh...\Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good. response:	We're like family, so I couldn't stand the thought of causin' you pain.
context: Sentaro, why are you suddenly on your best behavior?\Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain. response:	I'm glad I heard this now, and not a while back.
context: Stop it already. This isn't a yakuza movie.\Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back. response:	What's that supposed to mean?
context: Did I get it wrong?\Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean? response:	I'm never going to tell a blockhead like you.
context: Yeah. You got it wrong.\O-Oh, a misunderstanding. Sorry for talkin' so weird...\R-Right! We're like family. You made me nervous for a second there...\I-In that case, good.\We're like family, so I couldn't stand the thought of causin' you pain.\I'm glad I heard this now, and not a while back.\What's that supposed to mean?\I'm never going to tell a blockhead like you. response:	There's something I have to tell you.
